 ;;µmol/kg;;;kg/ha;;
 YEAR;Month;SO4;PO4;Chloride;SO4;PO4;Chloride
        2005;           1;   3042.2385254;   9994.5068359;     84.5139236;     95.0132980;    301.5197144;     17.5102520
        2005;           2;   3042.2385254;   9994.5068359;     82.6434784;     95.0132980;    301.5197144;     17.1227188
        2005;           3;   3042.2385254;   9994.5068359;     81.0637131;     95.0132980;    301.5197144;     16.7954102
        2005;           4;   3042.2385254;   9994.5068359;     82.4125671;     95.0132980;    301.5197144;     17.0748749
        2005;           5;   3042.2385254;   9994.5068359;     84.9880447;     95.0132980;    301.5197144;     17.6084843
        2005;           6;   3042.2385254;   9994.5068359;     87.6659546;     95.0132980;    301.5197144;     18.1633129
        2005;           7;   3042.2385254;   9994.5068359;     87.5905457;     95.0132980;    301.5197144;     18.1476898
        2005;           8;   3042.2385254;   9994.5068359;     87.6283417;     95.0132980;    301.5197144;     18.1555233
        2005;           9;   3042.2385254;   9994.5068359;     87.5905457;     95.0132980;    301.5197144;     18.1476898
        2005;          10;   3042.2385254;   9994.5068359;     87.6283417;     95.0132980;    301.5197144;     18.1555233
        2005;          11;   3042.2385254;   9994.5068359;     80.2412872;     95.0132980;    301.5197144;     16.6250134
        2005;          12;   3042.2385254;   9994.5068359;     76.6274567;     95.0132980;    301.5197144;     15.8762732
        2006;           1;   3042.2385254;   9994.5068359;     71.9806519;     95.0132980;    301.5197144;     14.9135094
        2006;           2;   3042.2385254;   9994.5068359;     71.2937393;     95.0132980;    301.5197144;     14.7711897
        2006;           3;   3042.2385254;   9994.5068359;     71.0580444;     95.0132980;    301.5197144;     14.7223568
        2006;           4;   3042.2385254;   9994.5068359;     72.2031403;     95.0132980;    301.5197144;     14.9596081
        2006;           5;   3042.2385254;   9994.5068359;     75.4967117;     95.0132980;    301.5197144;     15.6419945
        2006;           6;   3042.2385254;   9994.5068359;     78.1617279;     95.0132980;    301.5197144;     16.1941547
        2006;           7;   3042.2385254;   9994.5068359;     78.0649261;     95.0132980;    301.5197144;     16.1740971
        2006;           8;   3042.2385254;   9994.5068359;     78.0649261;     95.0132980;    301.5197144;     16.1740971
        2006;           9;   3042.2385254;   9994.5068359;     78.0649261;     95.0132980;    301.5197144;     16.1740971
        2006;          10;   3042.2385254;   9994.5068359;     78.0649261;     95.0132980;    301.5197144;     16.1740971
        2006;          11;   3042.2385254;   9994.5068359;     74.0071411;     95.0132980;    301.5197144;     15.3333740
        2006;          12;   3042.2385254;   9994.5068359;     73.8758011;     95.0132980;    301.5197144;     15.3061628
        2007;           1;   3042.2385254;   9994.5068359;     72.7458420;     95.0132980;    301.5197144;     15.0720472
        2007;           2;   3042.2385254;   9994.5068359;     71.2155533;     95.0132980;    301.5197144;     14.7549906
        2007;           3;   3042.2385254;   9994.5068359;     71.3715363;     95.0132980;    301.5197144;     14.7873087
        2007;           4;   3042.2385254;   9994.5068359;     72.9225693;     95.0132980;    301.5197144;     15.1086645
        2007;           5;   3042.2385254;   9994.5068359;     75.2590103;     95.0132980;    301.5197144;     15.5927467
        2007;           6;   3042.2385254;   9994.5068359;     78.3055420;     95.0132980;    301.5197144;     16.2239513
        2007;           7;   3042.2385254;   9994.5068359;     78.3531265;     95.0132980;    301.5197144;     16.2338104
        2007;           8;   3042.2385254;   9994.5068359;     77.8690872;     95.0132980;    301.5197144;     16.1335239
        2007;           9;   3042.2385254;   9994.5068359;     77.9673843;     95.0132980;    301.5197144;     16.1538868
        2007;          10;   3042.2385254;   9994.5068359;     78.3531265;     95.0132980;    301.5197144;     16.2338104
        2007;          11;   3042.2385254;   9994.5068359;     79.7858658;     95.0132980;    301.5197144;     16.5306568
        2007;          12;   3042.2385254;   9994.5068359;     78.6811905;     95.0132980;    301.5197144;     16.3017788
        2008;           1;   3042.2385254;   9994.5068359;     75.1386414;     95.0132980;    301.5197144;     15.5678082
        2008;           2;   3042.2385254;   9994.5068359;     72.2766113;     95.0132980;    301.5197144;     14.9748287
        2008;           3;   3042.2385254;   9994.5068359;     71.6027069;     95.0132980;    301.5197144;     14.8352060
        2008;           4;   3042.2385254;   9994.5068359;     72.6388168;     95.0132980;    301.5197144;     15.0498734
        2008;           5;   3042.2385254;   9994.5068359;     74.3942337;     95.0132980;    301.5197144;     15.4135771
        2008;           6;   3042.2385254;   9994.5068359;     78.4477386;     95.0132980;    301.5197144;     16.2534103
        2008;           7;   3042.2385254;   9994.5068359;     78.5416412;     95.0132980;    301.5197144;     16.2728653
        2008;           8;   3042.2385254;   9994.5068359;     78.4477386;     95.0132980;    301.5197144;     16.2534103
        2008;           9;   3042.2385254;   9994.5068359;     78.4477386;     95.0132980;    301.5197144;     16.2534103
        2008;          10;   3042.2385254;   9994.5068359;     78.4477386;     95.0132980;    301.5197144;     16.2534103
        2008;          11;   3042.2385254;   9994.5068359;     79.6157913;     95.0132980;    301.5197144;     16.4954166
        2008;          12;   3042.2385254;   9994.5068359;     78.7733459;     95.0132980;    301.5197144;     16.3208752
        2009;           1;   3042.2385254;   9994.5068359;     76.8426971;     95.0132980;    301.5197144;     15.9208670
        2009;           2;   3042.2385254;   9994.5068359;     77.3659973;     95.0132980;    301.5197144;     16.0292892
        2009;           3;   3042.2385254;   9994.5068359;     75.4967117;     95.0132980;    301.5197144;     15.6419945
        2009;           4;   3042.2385254;   9994.5068359;     75.5555038;     95.0132980;    301.5197144;     15.6541777
        2009;           5;   3042.2385254;   9994.5068359;     78.1134262;     95.0132980;    301.5197144;     16.1841488
        2009;           6;   3042.2385254;   9994.5068359;     82.6760559;     95.0132980;    301.5197144;     17.1294651
        2009;           7;   3042.2385254;   9994.5068359;     82.7408981;     95.0132980;    301.5197144;     17.1429024
        2009;           8;   3042.2385254;   9994.5068359;     75.6140594;     95.0132980;    301.5197144;     15.6663065
        2009;           9;   3042.2385254;   9994.5068359;     75.4967117;     95.0132980;    301.5197144;     15.6419945
        2009;          10;   3042.2385254;   9994.5068359;     78.0162506;     95.0132980;    301.5197144;     16.1640110
        2009;          11;   3042.2385254;   9994.5068359;     78.9103088;     95.0132980;    301.5197144;     16.3492508
        2009;          12;   3042.2385254;   9994.5068359;     77.2629929;     95.0132980;    301.5197144;     16.0079460
        2010;           1;   3042.2385254;   9994.5068359;     76.1019897;     95.0132980;    301.5197144;     15.7674007
        2010;           2;   3042.2385254;   9994.5068359;     74.7712631;     95.0132980;    301.5197144;     15.4916916
        2010;           3;   3042.2385254;   9994.5068359;     74.0071411;     95.0132980;    301.5197144;     15.3333740
        2010;           4;   3042.2385254;   9994.5068359;     74.5839844;     95.0132980;    301.5197144;     15.4528875
        2010;           5;   3042.2385254;   9994.5068359;     75.9602661;     95.0132980;    301.5197144;     15.7380381
        2010;           6;   3042.2385254;   9994.5068359;     78.3055420;     95.0132980;    301.5197144;     16.2239513
        2010;           7;   3042.2385254;   9994.5068359;     82.0736389;     95.0132980;    301.5197144;     17.0046539
        2010;           8;   3042.2385254;   9994.5068359;     82.1422882;     95.0132980;    301.5197144;     17.0188770
        2010;           9;   3042.2385254;   9994.5068359;     82.1422882;     95.0132980;    301.5197144;     17.0188770
        2010;          10;   3042.2385254;   9994.5068359;     82.4790573;     95.0132980;    301.5197144;     17.0886517
        2010;          11;   3042.2385254;   9994.5068359;     80.2818146;     95.0132980;    301.5197144;     16.6334114
        2010;          12;   3042.2385254;   9994.5068359;     77.1069565;     95.0132980;    301.5197144;     15.9756193
        2011;           1;   3042.2385254;   9994.5068359;     74.3304214;     95.0132980;    301.5197144;     15.4003544
        2011;           2;   3042.2385254;   9994.5068359;     71.9057770;     95.0132980;    301.5197144;     14.8979969
        2011;           3;   3042.2385254;   9994.5068359;     69.9108200;     95.0132980;    301.5197144;     14.4846659
        2011;           4;   3042.2385254;   9994.5068359;     69.7830658;     95.0132980;    301.5197144;     14.4581985
        2011;           5;   3042.2385254;   9994.5068359;     70.5761414;     95.0132980;    301.5197144;     14.6225119
        2011;           6;   3042.2385254;   9994.5068359;     73.2011337;     95.0132980;    301.5197144;     15.1663790
        2011;           7;   3042.2385254;   9994.5068359;     74.3942337;     95.0132980;    301.5197144;     15.4135771
        2011;           8;   3042.2385254;   9994.5068359;     74.6466827;     95.0132980;    301.5197144;     15.4658794
        2011;           9;   3042.2385254;   9994.5068359;     74.7091141;     95.0132980;    301.5197144;     15.4788160
        2011;          10;   3042.2385254;   9994.5068359;     74.7091141;     95.0132980;    301.5197144;     15.4788160
        2011;          11;   3042.2385254;   9994.5068359;     75.7304230;     95.0132980;    301.5197144;     15.6904182
        2011;          12;   3042.2385254;   9994.5068359;     75.7882462;     95.0132980;    301.5197144;     15.7023973
        2012;           1;   3042.2385254;   9994.5068359;     73.5422821;     95.0132980;    301.5197144;     15.2370625
