 ;;µmol/kg;;;;;;;kg/ha;;;;;
 YEAR;Month;Ca;Mg;K;Na;NH4;Al;H;Ca;Mg;K;Na;NH4;Al
        2005;           1;  25070.2578125;  12343.2529297;   1585.7709961;    775.0413818;      0.0034727;  23067.0234375;   3028.8625488;   1161.3195801;    346.7466125;     71.6614075;     20.5942993;      0.0000562;    719.3572388
        2005;           2;  25075.8476562;  12357.7041016;   1590.5435791;    773.8031006;      0.0088119;  23062.0546875;   3000.1589355;   1161.5786133;    347.1525574;     71.8770828;     20.5613976;      0.0001427;    719.2022705
        2005;           3;  25083.5429688;  12375.3437500;   1597.4199219;    758.2862549;      0.0129924;  23055.1347656;   2978.8859863;   1161.9350586;    347.6480713;     72.1878204;     20.1490841;      0.0002103;    718.9864502
        2005;           4;  25090.5683594;  12386.3730469;   1600.8232422;    751.2907104;      0.0173939;  23047.3964844;   2969.5234375;   1162.2604980;    347.9579468;     72.3416138;     19.9631977;      0.0002816;    718.7451172
        2005;           5;  25096.3281250;  12390.9853516;   1599.3062744;    757.0951538;      0.0116129;  23040.7343750;   2964.4960938;   1162.5272217;    348.0875244;     72.2730637;     20.1174335;      0.0001880;    718.5373535
        2005;           6;  25098.2968750;  12397.3281250;   1598.0478516;    768.6069336;      0.0093362;  23032.9296875;   2961.1818848;   1162.6185303;    348.2656555;     72.2161942;     20.4233246;      0.0001511;    718.2940063
        2005;           7;  25100.7539062;  12406.1357422;   1596.3260498;    772.9466553;      0.0069673;  23025.5722656;   2957.9580078;   1162.7322998;    348.5131226;     72.1383972;     20.5386391;      0.0001128;    718.0645142
        2005;           8;  25102.2011719;  12415.5947266;   1594.5777588;    776.4873657;      0.0054095;  23018.6660156;   2955.1569824;   1162.7993164;    348.7788086;     72.0593796;     20.6327209;      0.0000876;    717.8491211
        2005;           9;  25103.7949219;  12424.1484375;   1593.0251465;    780.1975098;      0.0043361;  23012.3593750;   2951.5231934;   1162.8731689;    349.0191040;     71.9892197;     20.7313080;      0.0000702;    717.6525269
        2005;          10;  25106.9238281;  12431.8154297;   1594.0836182;    784.4915161;      0.0040571;  23006.9785156;   2940.7465820;   1163.0181885;    349.2344971;     72.0370560;     20.8454056;      0.0000657;    717.4846802
        2005;          11;  25118.7304688;  12492.0312500;   1620.7597656;    677.5842285;      0.0035629;  22955.0429688;   3032.8769531;   1163.5650635;    350.9260864;     73.2425537;     18.0046806;      0.0000577;    715.8649902
