YEAR;Month;C mmol/m�;N mmol/m�;Ca mmol/m�;Mg mmol/m�;K mmol/m�;S mmol/m�;P mmol/m�;
        2005;           1;    120.7234726;      4.6041498;      0.7327104;      0.3316072;      0.1691196;      0.0180646;      0.1451672;
        2005;           2;     50.2002106;      1.9142997;      0.3046441;      0.1378747;      0.0703160;      0.0075109;      0.0603572;
        2005;           3;    159.9909363;      6.0951223;      0.9699856;      0.4389924;      0.2238860;      0.0239145;      0.1921771;
        2005;           4;    162.8892517;      6.2005816;      0.9867685;      0.4465879;      0.2277597;      0.0243283;      0.1955021;
        2005;           5;    207.9168701;      7.9059439;      1.2581623;      0.5694141;      0.2904011;      0.0310194;      0.2492717;
        2005;           6;    220.9885712;      8.3936176;      1.3357712;      0.6045381;      0.3083143;      0.0329328;      0.2646478;
        2005;           7;     23.5800037;      0.8958057;      0.1425597;      0.0645191;      0.0329047;      0.0035147;      0.0282444;
        2005;           8;      9.2321262;      0.3507211;      0.0558142;      0.0252602;      0.0128827;      0.0013761;      0.0110581;
        2005;           9;     41.8265114;      1.5885375;      0.2528020;      0.1144121;      0.0583502;      0.0062327;      0.0500860;
        2005;          10;    227.6717224;      7.5991578;      1.2184699;      0.5535835;      0.4117758;      0.0645734;      0.2514393;
        2005;          11;    179.1428833;      5.5487309;      0.8939762;      0.4071492;      0.3628121;      0.0634339;      0.1891424;
        2005;          12;    156.2325897;      4.8367195;      0.7792538;      0.3548988;      0.3161472;      0.0552655;      0.1648619;
        2006;           1;    169.7950134;      5.2534356;      0.8463846;      0.3854708;      0.3432817;      0.0599998;      0.1790567;
        2006;           2;     70.5945206;      2.1839914;      0.3518611;      0.1602481;      0.1426641;      0.0249312;      0.0744344;
        2006;           3;    224.9888611;      6.9534678;      1.1202633;      0.5102006;      0.4541563;      0.0793603;      0.2369811;
        2006;           4;    229.0273743;      7.0726256;      1.1394465;      0.5189340;      0.4617349;      0.0806668;      0.2410239;
        2006;           5;    292.2949219;      9.0163240;      1.4525709;      0.6615348;      0.5883622;      0.1027657;      0.3072383;
        2006;           6;    310.6065674;      9.5704346;      1.5418153;      0.7021729;      0.6241563;      0.1089858;      0.3260875;
        2006;           7;     33.1316452;      1.0211656;      0.1645088;      0.0749199;      0.0665558;      0.0116179;      0.0347898;
        2006;           8;     12.9714069;      0.3997914;      0.0644059;      0.0293314;      0.0260552;      0.0045480;      0.0136202;
        2006;           9;     58.7678375;      1.8107765;      0.2917137;      0.1328508;      0.1180086;      0.0205984;      0.0616899;
        2006;          10;    300.6763000;      8.5553408;      1.3858882;      0.6329163;      0.6684648;      0.1263841;      0.3013656;
        2006;          11;    228.6254883;      6.1959801;      1.0073049;      0.4608516;      0.5365934;      0.1052809;      0.2229403;
        2006;          12;    199.3740234;      5.4004016;      0.8779519;      0.4016684;      0.4675073;      0.0917138;      0.1942976;
        2007;           1;    216.6704712;      5.8651962;      0.9535021;      0.4362302;      0.5075667;      0.0995608;      0.2110043;
        2007;           2;     90.0768051;      2.4380956;      0.3963545;      0.1813322;      0.2109091;      0.0413652;      0.0877049;
        2007;           3;    287.0808411;      7.7621994;      1.2618718;      0.5773047;      0.6713673;      0.1316669;      0.2792178;
        2007;           4;    292.2115173;      7.8942599;      1.2833164;      0.5871101;      0.6824406;      0.1338155;      0.2839371;
        2007;           5;    372.9078369;     10.0625086;      1.6357626;      0.7483450;      0.8694246;      0.1704500;      0.3618830;
        2007;           6;    396.2305908;     10.6792030;      1.7359697;      0.7941789;      0.9220850;      0.1807329;      0.3840058;
        2007;           7;     42.2582283;      1.1392756;      0.1851913;      0.0847210;      0.0982982;      0.0192622;      0.0409600;
        2007;           8;     16.5443115;      0.4460239;      0.0725018;      0.0331679;      0.0384805;      0.0075403;      0.0160355;
        2007;           9;     74.9553909;      2.0201628;      0.3283798;      0.1502263;      0.1742834;      0.0341507;      0.0726286;
        2007;          10;    370.4332275;      9.4562225;      1.5436440;      0.7076746;      0.9105953;      0.1846951;      0.3451019;
        2007;          11;    264.9700623;      6.6300035;      1.0840111;      0.4973508;      0.6634631;      0.1360510;      0.2433053;
        2007;          12;    231.0633240;      5.7783680;      0.9447520;      0.4334543;      0.5780078;      0.1185141;      0.2120333;
        2008;           1;    251.1046753;      6.2753811;      1.0259974;      0.4707264;      0.6275024;      0.1286499;      0.2302528;
        2008;           2;    104.3892822;      2.6084628;      0.4264654;      0.1956602;      0.2607309;      0.0534490;      0.0957001;
        2008;           3;    332.6972656;      8.3044119;      1.3577038;      0.6229059;      0.8299404;      0.1701276;      0.3046639;
        2008;           4;    338.6344604;      8.4450836;      1.3806727;      0.6334370;      0.8435637;      0.1728954;      0.3097892;
        2008;           5;    432.1415710;     10.7638197;      1.7597196;      0.8073305;      1.0746087;      0.2202175;      0.3948004;
        2008;           6;    459.1539612;     11.4223976;      1.8673337;      0.8566899;      1.1395801;      0.2334875;      0.4188927;
        2008;           7;     48.9660797;      1.2184354;      0.1991837;      0.0913795;      0.1214707;      0.0248829;      0.0446763;
        2008;           8;     19.1703568;      0.4770095;      0.0779788;      0.0357743;      0.0475513;      0.0097405;      0.0174902;
        2008;           9;     86.8531265;      2.1604953;      0.3531853;      0.1620305;      0.2153649;      0.0441155;      0.0792169;
        2008;          10;    421.7052002;     10.0599108;      1.6503682;      0.7584614;      1.0873536;      0.2275702;      0.3742083;
        2008;          11;    292.1082764;      6.9161558;      1.1352967;      0.5219018;      0.7573193;      0.1590131;      0.2578785;
        2008;          12;    254.7276001;      6.0275407;      0.9894111;      0.4548334;      0.6597536;      0.1385137;      0.2247245;
        2009;           1;    276.8208313;      6.5457730;      1.0744610;      0.4939270;      0.7162278;      0.1503573;      0.2440260;
        2009;           2;    115.0790710;      2.7207594;      0.4465933;      0.2052960;      0.2975876;      0.0624665;      0.1014207;
        2009;           3;    366.7686462;      8.6617947;      1.4217616;      0.6535723;      0.9472476;      0.1988285;      0.3228706;
        2009;           4;    373.3121643;      8.8081026;      1.4457428;      0.6645886;      0.9627563;      0.2020582;      0.3282854;
        2009;           5;    476.3940735;     11.2259636;      1.8425611;      0.8469906;      1.2263945;      0.2573556;      0.4183503;
        2009;           6;    506.1700439;     11.9120722;      1.9551144;      0.8987155;      1.3004712;      0.2728546;      0.4438496;
        2009;           7;     53.9789925;      1.2705835;      0.2085324;      0.0958554;      0.1386123;      0.0290773;      0.0473346;
        2009;           8;     21.1328926;      0.4974216;      0.0816382;      0.0375263;      0.0542612;      0.0113824;      0.0185307;
        2009;           9;     95.7447662;      2.2529404;      0.3697583;      0.1699651;      0.2457543;      0.0515515;      0.0839294;
        2009;          10;    460.0236511;     10.3924065;      1.7216703;      0.7925989;      1.2181077;      0.2595645;      0.3948799;
        2009;          11;    315.0372314;      7.0878325;      1.1751633;      0.5410718;      0.8355043;      0.1782451;      0.2697541;
        2009;          12;    274.7230530;      6.1770058;      1.0241246;      0.4715257;      0.7278501;      0.1552645;      0.2350660;
        2010;           1;    298.5513916;      6.7079430;      1.1121296;      0.5120407;      0.7901380;      0.1685385;      0.2552488;
        2010;           2;    124.1128006;      2.7880988;      0.4622369;      0.2128187;      0.3282897;      0.0700191;      0.1060820;
        2010;           3;    395.5623474;      8.8760872;      1.4715465;      0.6775129;      1.0449660;      0.2228669;      0.3377053;
        2010;           4;    402.6212463;      9.0257273;      1.4963108;      0.6889063;      1.0620445;      0.2264834;      0.3433553;
        2010;           5;    513.7991943;     11.5029526;      1.9069345;      0.8779479;      1.3528322;      0.2884605;      0.4375369;
        2010;           6;    545.9161377;     12.2054768;      2.0233183;      0.9315159;      1.4344921;      0.3058261;      0.4641813;
        2010;           7;     58.2173996;      1.3018200;      0.2157955;      0.0993484;      0.1528909;      0.0325902;      0.0495001;
        2010;           8;     22.7922363;      0.5096480;      0.0844811;      0.0388935;      0.0598504;      0.0127575;      0.0193784;
        2010;           9;    103.2627640;      2.3083124;      0.3826337;      0.1761573;      0.2710681;      0.0577794;      0.0877684;
        2010;          10;    492.4230347;     10.6188812;      1.7770628;      0.8191822;      1.3264444;      0.2862880;      0.4115744;
        2010;          11;    335.7884521;      7.2226877;      1.2092990;      0.5574887;      0.9046978;      0.1953646;      0.2801949;
        2010;          12;    292.8203430;      6.2944012;      1.0538466;      0.4858203;      0.7881148;      0.1701752;      0.2441580;
        2011;           1;    318.2202148;      6.8353052;      1.1443807;      0.5275518;      0.8555478;      0.1847225;      0.2651154;
        2011;           2;    132.2899170;      2.8409798;      0.4756301;      0.2192603;      0.3554608;      0.0767420;      0.1101798;
        2011;           3;    421.6263428;      9.0443649;      1.5141693;      0.6980128;      1.1314456;      0.2442647;      0.3507471;
        2011;           4;    429.1536255;      9.1965961;      1.5396014;      0.7097279;      1.1499128;      0.2482254;      0.3566034;
        2011;           5;    547.6633911;     11.7204008;      1.9620410;      0.9044533;      1.4647274;      0.3161484;      0.4544036;
        2011;           6;    581.9033203;     12.4357681;      2.0816994;      0.9595973;      1.5530974;      0.3351755;      0.4820539;
        2011;           7;     62.0554008;      1.3263330;      0.2220119;      0.1023387;      0.1655270;      0.0357172;      0.0514036;
        2011;           8;     24.2948399;      0.5192424;      0.0869144;      0.0400640;      0.0647967;      0.0139815;      0.0201235;
        2011;           9;    110.0706406;      2.3517642;      0.3936537;      0.1814582;      0.2934701;      0.0633231;      0.0911428;
        2011;          10;    521.7626953;     10.8041878;      1.8243293;      0.8417251;      1.4221542;      0.3100071;      0.4261668;
        2011;          11;    355.2006836;      7.3409963;      1.2399472;      0.5721116;      0.9678372;      0.2110339;      0.2897274;
        2011;          12;    309.7507935;      6.3973861;      1.0805312;      0.4985523;      0.8431067;      0.1838229;      0.2524588;
        2012;           1;    336.6216431;      6.9470272;      1.1733350;      0.5413669;      0.9152341;      0.1995355;      0.2741234;
        2012;           2;    139.9405212;      2.8873639;      0.4876539;      0.2249973;      0.3802544;      0.0828954;      0.1139210;
        2012;           3;    446.0124817;      9.1919594;      1.5524331;      0.7162702;      1.2103578;      0.2638499;      0.3626534;
        2012;           4;    453.9796448;      9.3464546;      1.5784634;      0.7282712;      1.2300924;      0.2681257;      0.3686980;
        2012;           5;    579.3515625;     11.9110937;      2.0115073;      0.9280574;      1.5668300;      0.3414908;      0.4698011;
        2012;           6;    615.5809326;     12.6377039;      2.1341033;      0.9846037;      1.6613227;      0.3620386;      0.4983695;
        2012;           7;     65.6474457;      1.3478248;      0.2275916;      0.1050013;      0.1770572;      0.0385793;      0.0531412;
        2012;           8;     25.7011623;      0.5276543;      0.0890983;      0.0411062;      0.0693102;      0.0151019;      0.0208036;
        2012;           9;    116.4423294;      2.3898597;      0.4035446;      0.1861782;      0.3139113;      0.0683972;      0.0942232;
        2012;          10;    549.2226562;     10.9680099;      1.8665044;      0.8620319;      1.5100442;      0.3318395;      0.4394510;
        2012;          11;    373.6222229;      7.4488993;      1.2679211;      0.5855939;      1.0266583;      0.2256550;      0.2985744;
        2012;          12;    325.8180542;      6.4913087;      1.1048868;      0.5102910;      0.8943374;      0.1965575;      0.2601626;
        2013;           1;    354.0854797;      7.0489135;      1.1997615;      0.5541040;      0.9708381;      0.2133576;      0.2824833;
        2013;           2;    147.2016754;      2.9296627;      0.4986276;      0.2302866;      0.4033520;      0.0886372;      0.1173930;
        2013;           3;    469.1575317;      9.3265543;      1.5873551;      0.7331026;      1.2838724;      0.2821248;      0.3737031;
        2013;           4;    477.5437012;      9.4831047;      1.6139299;      0.7453666;      1.3047872;      0.2866946;      0.3799221;
        2013;           5;    609.4306641;     12.0849686;      2.0566502;      0.9498174;      1.6619482;      0.3651377;      0.4840904;
        2013;           6;    647.5509644;     12.8218155;      2.1819243;      1.0076559;      1.7621443;      0.3871045;      0.5135103;
        2013;           7;     69.0576630;      1.3674178;      0.2326831;      0.1074558;      0.1877986;      0.0412499;      0.0547537;
        2013;           8;     27.0363102;      0.5353229;      0.0910912;      0.0420669;      0.0735148;      0.0161473;      0.0214348;
        2013;           9;    122.4915543;      2.4245894;      0.4125701;      0.1905292;      0.3329540;      0.0731318;      0.0970817;
        2013;          10;    575.2932129;     11.1174946;      1.9053317;      0.8807497;      1.5919574;      0.3522105;      0.4517631;
        2013;          11;    391.2159729;      7.5487332;      1.2939498;      0.5981457;      1.0818141;      0.2393762;      0.3068438;
        2013;          12;    341.1638794;      6.5782032;      1.1275482;      0.5212193;      0.9423757;      0.2085084;      0.2673634;
        2014;           1;    370.7658997;      7.1431732;      1.2243493;      0.5659616;      1.0229771;      0.2263289;      0.2902973;
        2014;           2;    154.1373749;      2.9687936;      0.5088376;      0.2352105;      0.4250103;      0.0940256;      0.1206382;
        2014;           3;    491.2656250;      9.4510689;      1.6198467;      0.7487723;      1.3528060;      0.2992750;      0.3840311;
        2014;           4;    500.0530701;      9.6095133;      1.6469270;      0.7612807;      1.3748269;      0.3041206;      0.3904128;
        2014;           5;    638.1651611;     12.2458029;      2.0986488;      0.9700734;      1.7511383;      0.3873291;      0.4974457;
        2014;           6;    678.0938721;     12.9921045;      2.2264123;      1.0291135;      1.8566822;      0.4106274;      0.5276611;
        2014;           7;     72.3159409;      1.3855391;      0.2374195;      0.1097404;      0.1978704;      0.0437561;      0.0562607;
        2014;           8;     28.3119850;      0.5424154;      0.0929451;      0.0429611;      0.0774573;      0.0171283;      0.0220246;
        2014;           9;    128.2713013;      2.4567096;      0.4209662;      0.1945790;      0.3508099;      0.0775749;      0.0997533;
        2014;          10;    600.2027588;     11.2556953;      1.9414506;      0.8981718;      1.6687728;      0.3713271;      0.4632625;
        2014;          11;    408.0759277;      7.6416836;      1.3182898;      0.6098878;      1.1336957;      0.2522900;      0.3146006;
        2014;          12;    355.8704529;      6.6591058;      1.1487389;      0.5314424;      0.9875622;      0.2197560;      0.2741176;
        2015;           1;    386.7519836;      7.2309294;      1.2473409;      0.5770538;      1.0720210;      0.2385369;      0.2976266;
        2015;           2;    160.7846527;      3.0052233;      0.5183846;      0.2398166;      0.4453828;      0.0990968;      0.1236821;
        2015;           3;    512.4545288;      9.5669842;      1.6502274;      0.7634300;      1.4176468;      0.3154158;      0.3937182;
        2015;           4;    521.6278687;      9.7271872;      1.6777802;      0.7761667;      1.4407086;      0.3205210;      0.4002526;
        2015;           5;    665.7080688;     12.3955173;      2.1379173;      0.9890203;      1.8350334;      0.4082144;      0.5099722;
        2015;           6;    707.3723755;     13.1506119;      2.2680073;      1.0491840;      1.9456068;      0.4327659;      0.5409335;
        2015;           7;     75.4395981;      1.4024051;      0.2418478;      0.1118772;      0.2073443;      0.0461148;      0.0576741;
        2015;           8;     29.5349636;      0.5490165;      0.0946784;      0.0437975;      0.0811658;      0.0180516;      0.0225779;
        2015;           9;    133.8123474;      2.4866049;      0.4288160;      0.1983669;      0.3676055;      0.0817566;      0.1022589;
