 YEAR;Month;Ca;Mg;K;Na;NO3;NH4;SO4;Cl;P;DOC;Al;Si
;;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr
        2005;           1;      4.5362496;      4.6050706;      1.6186280;     13.0246725;      0.4127989;      0.5925894;      2.0048234;     15.4866028;      0.0647817;     10.1451206;      0.0000000;      6.9370236
        2005;           2;      0.6149356;      0.6248565;      0.2666257;      2.1356111;      0.2766036;      0.2469519;      0.3995559;      2.6662097;      0.0430264;      5.0161190;      0.0000000;      2.6070125
        2005;           3;      0.8179395;      0.8320667;      0.3389729;      2.6491971;      0.8816133;      0.4609147;      0.4805572;      2.8329945;      0.0764447;     11.7493420;      0.0000059;      7.1530633
        2005;           4;      0.4601138;      0.4683467;      0.1495405;      1.1554699;      0.5824407;      0.2716436;      0.1603837;      1.0744736;      0.0443684;      7.0478020;      0.0000145;      5.1550994
        2005;           5;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000007;      0.0000000
        2005;           6;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000001;      0.0000000
        2005;           7;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000
        2005;           8;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000
        2005;           9;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000
        2005;          10;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000
        2005;          11;      6.5957575;      6.7634554;      2.1277399;     14.6453085;     10.5822716;      0.7819754;      2.2917664;     15.9285831;      0.0745496;     63.8283157;      0.0000349;    164.6996460
        2005;          12;      2.1742661;      2.2331011;      0.9512882;      6.1593399;      2.9385438;      0.4654372;      1.3715388;      8.0578279;      0.0498125;     19.3473473;      0.0000089;     43.7035789
        2006;           1;      1.7421128;      1.7918971;      1.0453652;      6.3617520;      1.5248460;      0.6973240;      2.0372045;      9.6414785;      0.0752968;     15.9065065;      0.0000037;     22.4155102
        2006;           2;      0.4465696;      0.4595882;      0.2345472;      1.4103301;      0.4516940;      0.2558882;      0.3979136;      1.7988662;      0.0380980;      5.1393867;      0.0000035;      5.8999386
        2006;           3;      0.8614283;      0.8874364;      0.3939783;      2.3214703;      1.0571271;      0.4240300;      0.5715439;      2.5303323;      0.0511168;     10.1669493;      0.0000051;     10.7741098
        2006;           4;      0.4766700;      0.4913407;      0.1694150;      0.9890063;      0.6283380;      0.2826993;      0.1783015;      0.8982752;      0.0475165;      6.6903048;      0.0000120;      6.1271930
        2006;           5;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000001;      0.0000000
        2006;           6;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000
        2006;           7;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000
        2006;           8;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000
        2006;           9;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000
        2006;          10;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000
        2006;          11;      7.2673721;      7.5427475;      2.2856052;     12.8445892;     12.1002541;      0.8765554;      2.2560489;     12.5033226;      0.0882983;     69.2238312;      0.0000418;    168.4231415
        2006;          12;      2.3591361;      2.4521573;      1.0153772;      5.5464339;      3.3191621;      0.4976448;      1.3602985;      6.9086704;      0.0523387;     20.8717918;      0.0000097;     44.2577744
        2007;           1;      0.9893214;      1.0293485;      0.4817927;      2.6174757;      1.1625142;      0.3100508;      0.7258768;      3.4752524;      0.0360970;      8.7836437;      0.0000044;     15.7777443
        2007;           2;      1.1319699;      1.1790332;      0.5889371;      3.1639419;      1.1392845;      0.4809325;      0.9410257;      4.4645967;      0.0585438;     11.3825006;      0.0000042;     13.7248230
        2007;           3;      0.5337050;      0.5561871;      0.2252575;      1.2012063;      0.6260048;      0.3218213;      0.2897961;      1.4324670;      0.0569578;      6.9250007;      0.0000079;      6.2353854
        2007;           4;      0.5707165;      0.5951296;      0.1918779;      1.0216268;      0.7241982;      0.2936021;      0.1903330;      1.0908024;      0.0403689;      7.4209867;      0.0000151;      7.0173135
        2007;           5;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000171;      0.0000000
        2007;           6;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000031;      0.0000000
        2007;           7;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000006;      0.0000000
        2007;           8;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000001;      0.0000000
        2007;           9;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000001;      0.0000000
        2007;          10;      1.4057013;      1.4713845;      0.3260372;      1.8563268;      2.2977874;      0.3272140;      0.2303788;      2.0065761;      0.0610876;     13.6736002;      0.0001095;     40.2074814
        2007;          11;      2.5092278;      2.6305509;      0.6460412;      3.6632195;      4.3541732;      0.4818741;      0.5060492;      3.8657029;      0.0502423;     23.9580822;      0.0001108;     68.7702713
        2007;          12;      3.4738932;      3.6482708;      1.3381923;      7.3841553;      5.0106969;      0.7173991;      1.5505829;     10.7239199;      0.0550816;     28.2923203;      0.0000171;     71.5622635
        2008;           1;      1.4109924;      1.4835466;      0.7572622;      4.1558371;      1.6039172;      0.4312305;      1.2195477;      6.2512956;      0.0386767;     10.8728752;      0.0000042;     23.8753471
        2008;           2;      0.8357376;      0.8794430;      0.4413899;      2.4191139;      0.9330775;      0.3702981;      0.6970260;      3.0758283;      0.0476602;      8.4287519;      0.0000035;     11.8903761
        2008;           3;      0.8352903;      0.8797895;      0.3937047;      2.1558852;      0.9694892;      0.3808016;      0.5510454;      2.5420966;      0.0469598;      9.0008287;      0.0000038;     10.3558874
        2008;           4;      0.8000891;      0.8435223;      0.3381443;      1.8527305;      0.8956236;      0.3693326;      0.4147961;      1.9965479;      0.0412753;      9.2966146;      0.0000037;     10.2183475
        2008;           5;      0.0102049;      0.0107599;      0.0035116;      0.0193293;      0.0116710;      0.0094218;      0.0030755;      0.0180952;      0.0020081;      0.1737544;      0.0000105;      0.1340553
        2008;           6;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000008;      0.0000000
        2008;           7;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000001;      0.0000000
        2008;           8;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000
        2008;           9;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000
        2008;          10;      0.1407708;      0.1488166;      0.0311808;      0.1798621;      0.2234969;      0.0510388;      0.0203857;      0.1461515;      0.0124836;      1.6456151;      0.0000868;      3.5951729
        2008;          11;      6.0583329;      6.4214602;      1.4865630;      8.4793625;     10.4652567;      1.0480909;      1.0812224;      8.6688318;      0.0880587;     64.4485321;      0.0001985;    129.3353577
        2008;          12;      3.2128637;      3.4108639;      1.0998459;      6.1958146;      5.0529013;      0.5586564;      1.1136791;      7.6208587;      0.0393973;     28.9377384;      0.0000297;     58.3225822
        2009;           1;      1.6757284;      1.7811401;      0.7326835;      4.1283221;      2.2984042;      0.4281841;      0.9431996;      5.5422797;      0.0419447;     14.3851385;      0.0000096;     27.1054974
        2009;           2;      0.7194408;      0.7652143;      0.3023299;      1.7158499;      0.9401673;      0.2568328;      0.3723907;      2.2316682;      0.0340509;      6.8653135;      0.0000068;     10.5782909
        2009;           3;      1.2577654;      1.3393807;      0.5714661;      3.2533348;      1.6099362;      0.4790688;      0.7568777;      3.8269331;      0.0507593;     12.8691463;      0.0000050;     17.0547829
        2009;           4;      0.6141240;      0.6544350;      0.2438703;      1.3918059;      0.7586046;      0.3053973;      0.2740899;      1.4219002;      0.0429379;      7.5940509;      0.0000063;      8.3536062
        2009;           5;      0.7161626;      0.7638001;      0.2053953;      1.1824242;      0.9182043;      0.3711112;      0.1585571;      0.9904152;      0.0644088;     10.5680008;      0.0000325;      9.6772194
        2009;           6;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000038;      0.0000000
        2009;           7;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000009;      0.0000000
        2009;           8;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000002;      0.0000000
        2009;           9;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000001;      0.0000000
        2009;          10;      1.3351676;      1.4295124;      0.3259594;      2.0115566;      2.0698369;      0.2458031;      0.2312611;      1.7554868;      0.0364614;     13.2803421;      0.0000378;     35.5739403
        2009;          11;      3.1493664;      3.3792584;      0.9722312;      5.9580450;      5.0238004;      0.6384802;      0.8726990;      5.8821020;      0.0684127;     32.9208870;      0.0000334;     72.7550354
        2009;          12;      1.5681143;      1.6847421;      0.6255983;      3.8194239;      2.3333962;      0.3576212;      0.7220153;      4.2517443;      0.0297475;     14.6946363;      0.0000090;     31.5379658
        2010;           1;      1.6122081;      1.7343954;      0.7633867;      4.6284847;      2.0814989;      0.5982470;      1.0394039;      5.3704247;      0.0735847;     17.3776379;      0.0000053;     24.8160629
        2010;           2;      0.8516958;      0.9169842;      0.3831918;      2.3138263;      1.0971414;      0.4058142;      0.4969033;      2.4549127;      0.0577356;     10.4409113;      0.0000056;     10.9314690
        2010;           3;      1.3159511;      1.4185739;      0.5843120;      3.5038216;      1.6621097;      0.5801337;      0.7424488;      4.0208640;      0.0640287;     15.1184626;      0.0000056;     15.4012260
        2010;           4;      1.3259540;      1.4313105;      0.5610434;      3.3482299;      1.5131686;      0.5819315;      0.6686558;      3.9831152;      0.0595702;     15.3644323;      0.0000048;     16.2004337
        2010;           5;      0.3574887;      0.3860772;      0.1239716;      0.7407694;      0.3939398;      0.2151022;      0.1125613;      0.7815519;      0.0342796;      5.0586343;      0.0000066;      4.6915288
        2010;           6;      1.4093144;      1.5238624;      0.3725590;      2.2262588;      1.9030316;      0.6802830;      0.2741796;      2.0948126;      0.1206139;     20.6818981;      0.0000723;     19.5530357
        2010;           7;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000063;      0.0000000
        2010;           8;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000018;      0.0000000
        2010;           9;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000015;      0.0000000
        2010;          10;      2.2180042;      2.4072165;      0.4815197;      3.0397661;      3.8018763;      0.3269019;      0.2982143;      2.8967512;      0.0375156;     22.7416439;      0.0002072;     49.4317741
        2010;          11;      4.2130222;      4.5832653;      1.1856256;      7.3263960;      7.5261469;      0.6899948;      0.9531536;      6.3117990;      0.0634070;     43.5082359;      0.0000734;     84.2035599
        2010;          12;      3.1045334;      3.3838816;      1.3242797;      7.9833088;      4.6103740;      0.7634797;      1.6134038;      9.6707611;      0.0654446;     28.9460545;      0.0000098;     49.0202827
        2011;           1;      1.2642257;      1.3795706;      0.6486931;      3.8974094;      1.5862060;      0.4710299;      0.9458950;      4.7353249;      0.0501789;     12.3807917;      0.0000033;     18.2224903
        2011;           2;      0.6365837;      0.6952004;      0.3408911;      2.0444849;      0.7865171;      0.2957186;      0.5179656;      2.2611008;      0.0340934;      6.6691074;      0.0000023;      8.9579964
        2011;           3;      1.5905555;      1.7398301;      0.9124721;      5.4201469;      1.8086463;      0.7580906;      1.5276269;      6.5039067;      0.0705324;     16.4436398;      0.0000025;     19.6297188
        2011;           4;      1.0395975;      1.1386253;      0.5443392;      3.2206521;      1.0384130;      0.5106269;      0.7927461;      3.4964349;      0.0468640;     11.6883764;      0.0000013;     13.7961674
        2011;           5;      0.0250889;      0.0274822;      0.0107484;      0.0636076;      0.0233623;      0.0241073;      0.0111311;      0.0591291;      0.0045748;      0.4330341;      0.0000025;      0.3452662
        2011;           6;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000
        2011;           7;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000
        2011;           8;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000
        2011;           9;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000
        2011;          10;      0.5780983;      0.6350417;      0.1501759;      0.9092005;      0.7977942;      0.2124526;      0.1106090;      0.6633335;      0.0506785;      7.2479267;      0.0000163;     13.3818102
        2011;          11;      4.0808821;      4.4955559;      1.1629248;      6.9227319;      6.7189131;      0.7783934;      0.9440208;      6.1284533;      0.0577023;     44.5713768;      0.0000522;     86.8525696
        2011;          12;      1.9642429;      2.1669929;      0.7111787;      4.1922579;      3.1001673;      0.3940909;      0.7331006;      4.4128342;      0.0324815;     18.6246853;      0.0000140;     38.6340599
        2012;           1;      1.9930272;      2.2022295;      1.0478584;      6.0921741;      2.4536958;      0.5896100;      1.5714735;      8.0254221;      0.0536223;     17.4982681;      0.0000035;     32.7341461
        2012;           2;      0.6384563;      0.7059755;      0.3370281;      1.9526024;      0.7423857;      0.3018218;      0.5061146;      2.1591706;      0.0427903;      7.0907865;      0.0000024;      9.4987431
        2012;           3;      1.3246392;      1.4669147;      0.7968395;      4.5966597;      1.3926983;      0.6209036;      1.3584460;      4.9787588;      0.0563593;     14.1219902;      0.0000014;     18.1869774
        2012;           4;      0.9947952;      1.1028838;      0.4840007;      2.7731814;      1.0341786;      0.5730816;      0.6559490;      2.5136497;      0.0782204;     13.7473860;      0.0000022;     12.9890938
        2012;           5;      0.5619234;      0.6233991;      0.2012424;      1.1532023;      0.6193796;      0.3540056;      0.1893004;      0.8468279;      0.0573603;      8.9137030;      0.0000066;      7.5344515
        2012;           6;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000002;      0.0000000
        2012;           7;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000
        2012;           8;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000
        2012;           9;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000
        2012;          10;      3.0700214;      3.4221313;      0.8944756;      5.2862458;      4.4383049;      0.7093969;      0.7429945;      4.6557822;      0.1125689;     33.7259827;      0.0000166;     70.8942566
        2012;          11;      3.3658917;      3.7606089;      1.3135052;      7.6221962;      4.6545529;      0.8983949;      1.4658884;      8.4517183;      0.0883578;     35.4276962;      0.0000085;     65.4644928
        2012;          12;      2.0313642;      2.2732556;      1.1447520;      6.5437751;      2.1115916;      0.7213545;      1.8585144;      9.1356506;      0.0600490;     18.3967590;      0.0000028;     30.2050285
        2013;           1;      0.5963793;      0.6678694;      0.3261613;      1.8649083;      0.5808790;      0.2510715;      0.5129976;      2.4510248;      0.0270132;      5.3464475;      0.0000012;      8.3793106
        2013;           2;      0.4766400;      0.5340827;      0.2301363;      1.3130264;      0.5562993;      0.2501253;      0.3188260;      1.5088040;      0.0364391;      5.3004861;      0.0000023;      6.3951726
        2013;           3;      0.6442581;      0.7223858;      0.2613529;      1.4847889;      0.8739617;      0.3267541;      0.3028376;      1.4812355;      0.0478879;      7.7539134;      0.0000053;      8.1907339
        2013;           4;      0.9784383;      1.0980427;      0.3237399;      1.8354406;      1.3601589;      0.4438545;      0.2981606;      1.7491779;      0.0632822;     12.4487143;      0.0000140;     12.1757145
        2013;           5;      0.5480640;      0.6156269;      0.1504101;      0.8619015;      0.6930267;      0.1644335;      0.1086973;      0.8172952;      0.0061130;      6.2368922;      0.0000104;      7.3983674
        2013;           6;      0.1180468;      0.1326318;      0.0281808;      0.1643406;      0.1654582;      0.0664504;      0.0179921;      0.1531568;      0.0146969;      1.6505636;      0.0000467;      1.7105044
        2013;           7;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000150;      0.0000000
        2013;           8;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000037;      0.0000000
        2013;           9;      0.3287387;      0.3701311;      0.0660768;      0.4071509;      0.4886231;      0.0406738;      0.0354111;      0.3152648;      0.0000000;      2.7872946;      0.0000115;      7.2393727
        2013;          10;      3.0522819;      3.4457240;      0.6761985;      4.1926250;      5.3937020;      0.5502267;      0.4299586;      3.0327053;      0.0849872;     33.1177635;      0.0001882;     71.5458755
        2013;          11;      2.5226262;      2.8525503;      0.5582777;      3.5168796;      4.6849351;      0.4145443;      0.3517440;      2.5259492;      0.0440072;     27.1502895;      0.0002057;     54.5055656
        2013;          12;      1.8973333;      2.1480777;      0.4862862;      3.0600441;      3.5861719;      0.2781056;      0.3555065;      2.3638806;      0.0199867;     18.3556461;      0.0000852;     38.9308395
