 YEAR;Month;Ca;Mg;K;Na;NO3;NH4;SO4;Cl;P;DOC;H;pH;Al;R;HR;Si
;;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;no unit;µmol/L;µmol/L;µmol/L;µmol/L
        2005;           1;     14.8368874;     27.3263245;      8.8654461;     20.2911015;      6.1458716;      1.2968611;     22.8220959;     36.9731827;      1.1029705;    123.9214783;      0.0005326;      9.3222656;      0.0000027;     20.6445999;      0.0089805;      7.1175652
        2005;           2;     26.2969952;     48.2531471;     12.7945614;     29.6992073;     41.1290665;      2.5444431;     27.0101528;     46.3999405;      5.0937390;    596.9538574;     19.6944122;      4.8261719;      0.1719469;     72.5861740;     26.9061356;     22.0965900
        2005;           3;     36.2302361;     66.0129318;     16.3336163;     40.8468857;     48.9119034;      4.7527857;     31.8918324;     83.0134277;      6.8010850;    819.1622314;     26.7622910;      4.7695312;      0.2569772;     97.9159775;     38.6110497;     24.0483303
        2005;           4;     66.9564285;    121.3793030;     23.8761158;     60.1888046;    124.4708786;      7.0555983;     38.8006134;     91.7405548;     15.3729563;   2031.4697266;     50.7291527;      4.5566406;      0.7858722;    226.4781036;    112.1001816;     73.2083282
        2005;           5;    100.1593399;    180.5318756;     27.3568058;     69.3687286;    218.9281311;      7.3846612;     30.0074177;     82.7843018;     27.5466805;   3725.7333984;     73.9729538;      4.3398438;      2.2556126;    383.6139221;    237.3417053;    135.7432861
        2005;           6;    204.3750153;    365.8609924;     42.6776657;    107.8846588;    473.9943848;     10.5489235;     37.4699936;     97.1999741;     54.4073334;   8344.8281250;    129.6925049;      4.1757812;      7.2875829;    804.6752319;    586.1295166;    292.0768738
        2005;           7;    239.7088470;    428.8536987;     34.8177910;     89.5122147;    527.6122437;      3.8415153;     18.6813450;     84.2011261;      0.0000000;   7521.4443359;     28.8837719;      4.5839844;      0.4162337;    846.4674683;    407.1066284;    515.5759888
        2005;           8;    256.6459351;    459.2379456;     34.1229095;     88.6671829;    509.1015625;      1.7354714;     17.2004948;     84.3846130;      0.0000000;   6769.3071289;      4.6981239;      5.3281250;      0.0267901;    933.2297363;    194.9882050;    694.2726440
        2005;           9;    286.2696838;    510.7299500;     47.3933945;    130.6414795;    617.9797363;      4.8655615;     32.8217201;    247.5942383;     44.7260818;   9385.6425781;     90.7143478;      4.2832031;      3.3891218;    945.2229004;    619.0509033;    658.2286377
        2005;          10;    176.5020905;    313.4915161;     30.6430569;     84.0983963;    418.1494446;      3.9842563;     23.6898060;    132.9064636;     22.6482792;   6101.7368164;     77.7594147;      4.1816406;      4.2703071;    589.8027954;    427.1534729;    351.4630432
        2005;          11;     24.1629314;     42.5038681;     10.9736576;     34.5346184;     33.6058731;      2.4700570;     22.6667404;     62.0237045;      1.1233770;    485.1800232;     17.9267197;      4.8007812;      0.1630754;     58.5488243;     22.3145180;     28.6582260
        2005;          12;     14.7864666;     25.8567982;      8.1599026;     27.9505672;     11.4878292;      2.3610127;     20.5422459;     56.0166664;      1.2695837;    183.7081909;     11.7963619;      4.9433594;      0.0878734;     23.0982189;      7.5198112;      9.8574581
        2006;           1;     12.0442591;     20.8845997;      7.4767938;     27.7501907;      6.3170099;      2.8480091;     21.3159046;     48.0015564;      1.2657716;    140.9355011;     10.8626719;      5.0000000;      0.0761676;     17.9926395;      5.4966116;      5.5014253
        2006;           2;     21.2675972;     36.7653580;     10.9840040;     39.8880768;     41.7547760;      4.3985968;     25.9884796;     34.3618813;      4.5060763;    556.1989746;     22.7611847;      4.7675781;      0.2193265;     66.4435730;     26.2562561;     24.7632504
