kg/ha/month
 YEAR;Month;Ca;Mg;K;Na;Al;Si;P
        2005;           1;      0.1780441;      0.2961590;      0.0827387;      0.1155826;      1.2961001;      1.8824488;      0.0000000
        2005;           2;      0.3709584;      0.3515890;      0.0960813;      0.1800571;      1.5634081;      2.7411306;      0.0000000
        2005;           3;      1.2451671;      0.7807590;      0.1727247;      0.4176473;      2.9266894;      7.0407100;      0.0000000
        2005;           4;      1.5772334;      1.0143262;      0.2579532;      0.5813385;      4.1514645;      9.2792788;      0.0000000
        2005;           5;      0.9282535;      0.8789728;      0.2883824;      0.4633347;      4.1477275;      7.1163435;      0.0000000
        2005;           6;      1.1083455;      1.0743799;      0.3690850;      0.5622340;      5.1359568;      8.6958284;      0.0000000
        2005;           7;      1.8683281;      1.4667953;      0.5260711;      0.8235319;      6.9271846;     13.0071602;      0.0000000
        2005;           8;      0.8948113;      1.1559091;      0.4117215;      0.4993921;      5.4237289;      8.4316034;      0.0000000
        2005;           9;      0.6041794;      0.8453705;      0.2888222;      0.3471751;      3.9004581;      5.9455357;      0.0000000
        2005;          10;      1.3010677;      0.8981841;      0.2578917;      0.4721065;      3.6859782;      8.0171814;      0.0000000
        2005;          11;      1.8047751;      1.0617673;      0.1913954;      0.5050998;      3.3905070;      9.5331793;      0.0000000
        2005;          12;      1.2090250;      0.7350465;      0.1461347;      0.3711484;      2.5475857;      6.6003428;      0.0000000
        2006;           1;      1.1276233;      0.7018784;      0.1403264;      0.3500187;      2.4459612;      6.2251987;      0.0000000
        2006;           2;      0.8286040;      0.5487112;      0.1235524;      0.2896688;      2.1018803;      4.8286724;      0.0000000
        2006;           3;      0.9122117;      0.6334221;      0.1540839;      0.3443305;      2.5661438;      5.5328140;      0.0000000
        2006;           4;      1.3586020;      0.9195994;      0.2430780;      0.5299249;      3.8946733;      8.2748947;      0.0000000
        2006;           5;      0.7924809;      0.8367047;      0.2703897;      0.4177961;      3.9247200;      6.4645386;      0.0000000
        2006;           6;      1.4054668;      1.2006859;      0.4079130;      0.6743764;      5.7469721;     10.2263651;      0.0000000
        2006;           7;      2.7474723;      1.8899748;      0.5632382;      1.0146244;      7.9039350;     17.0215950;      0.0000000
