 ;;µmol/kg;;;kg/ha;;
 YEAR;Month;SO4;PO4;Chloride;SO4;PO4;Chloride
        2005;           1;   3042.2385254;   9994.5068359;     84.1840515;    120.9214249;    383.7378540;     22.1979465
        2005;           2;   3042.2385254;   9994.5068359;     82.0736389;    120.9214249;    383.7378540;     21.6414661
        2005;           3;   3042.2385254;   9994.5068359;     80.1188278;    120.9214249;    383.7378540;     21.1260147
        2005;           4;   3042.2385254;   9994.5068359;     81.3618851;    120.9214249;    383.7378540;     21.4537907
        2005;           5;   3042.2385254;   9994.5068359;     83.9576797;    120.9214249;    383.7378540;     22.1382580
        2005;           6;   3042.2385254;   9994.5068359;     86.8364716;    120.9214249;    383.7378540;     22.8973465
        2005;           7;   3042.2385254;   9994.5068359;     86.7947845;    120.9214249;    383.7378540;     22.8863525
        2005;           8;   3042.2385254;   9994.5068359;     86.8364716;    120.9214249;    383.7378540;     22.8973465
        2005;           9;   3042.2385254;   9994.5068359;     86.7947845;    120.9214249;    383.7378540;     22.8863525
        2005;          10;   3042.2385254;   9994.5068359;     86.8364716;    120.9214249;    383.7378540;     22.8973465
        2005;          11;   3042.2385254;   9994.5068359;     79.1797104;    120.9214249;    383.7378540;     20.8783836
        2005;          12;   3042.2385254;   9994.5068359;     76.1863251;    120.9214249;    383.7378540;     20.0890789
        2006;           1;   3042.2385254;   9994.5068359;     57.2182922;    120.9214249;    383.7378540;     15.0875206
        2006;           2;   3042.2385254;   9994.5068359;     53.8435631;    120.9214249;    383.7378540;     14.1976604
        2006;           3;   3042.2385254;   9994.5068359;     53.3749199;    120.9214249;    383.7378540;     14.0740871
        2006;           4;   3042.2385254;   9994.5068359;     54.5754089;    120.9214249;    383.7378540;     14.3906345
        2006;           5;   3042.2385254;   9994.5068359;     56.3975487;    120.9214249;    383.7378540;     14.8711042
        2006;           6;   3042.2385254;   9994.5068359;     58.2433777;    120.9214249;    383.7378540;     15.3578176
        2006;           7;   3042.2385254;   9994.5068359;     58.2433777;    120.9214249;    383.7378540;     15.3578176
        2006;           8;   3042.2385254;   9994.5068359;     58.2433777;    120.9214249;    383.7378540;     15.3578176
        2006;           9;   3042.2385254;   9994.5068359;     58.2433777;    120.9214249;    383.7378540;     15.3578176
        2006;          10;   3042.2385254;   9994.5068359;     58.2433777;    120.9214249;    383.7378540;     15.3578176
        2006;          11;   3042.2385254;   9994.5068359;     68.2172318;    120.9214249;    383.7378540;     17.9877605
        2006;          12;   3042.2385254;   9994.5068359;     69.7402573;    120.9214249;    383.7378540;     18.3893566
        2007;           1;   3042.2385254;   9994.5068359;     70.1216125;    120.9214249;    383.7378540;     18.4899139
        2007;           2;   3042.2385254;   9994.5068359;     65.9762115;    120.9214249;    383.7378540;     17.3968391
        2007;           3;   3042.2385254;   9994.5068359;     66.2392044;    120.9214249;    383.7378540;     17.4661865
        2007;           4;   3042.2385254;   9994.5068359;     66.6523895;    120.9214249;    383.7378540;     17.5751362
        2007;           5;   3042.2385254;   9994.5068359;     69.0402985;    120.9214249;    383.7378540;     18.2047901
        2007;           6;   3042.2385254;   9994.5068359;     71.9057770;    120.9214249;    383.7378540;     18.9603691
