YEAR;Total Uptake kg/ha/yr;;;;;;Litterfall kg/ha/yr;;;;;;Litter mineralisation kg/ha/yr;;;;;;SOM mineralisation kg/ha/yr;;;;;;
;N;Ca;Mg;K;S;P;N;Ca;Mg;K;S;P;N;Ca;Mg;K;S;P;N;Ca;Mg;K;S;P;
        2005;      9.5089531;      8.3807182;      1.4470637;     14.4450760;      1.0985022;      0.3825635;      6.1059499;      2.9897053;      0.8502178;      4.0827503;      0.6930506;      0.5178333;     12.1970291;      9.1310053;      1.7203525;      1.8129021;      1.3955251;      1.0788131;   -335.3984680;      0.0000000;      0.0000000;     -0.0003769;      0.0000000;    -30.7338181;
        2006;      9.9211159;      8.7842903;      1.5111177;     15.6682892;      1.1463245;      0.4305066;      6.3341737;      3.0928524;      0.8808752;      4.2053618;      0.7189295;      0.5101529;     12.0790644;      8.4624596;      1.6341780;      2.1628392;      1.3261335;      1.0656570;    -89.7564316;      0.0000000;      0.0000000;     -0.0008414;      0.0000000;     -7.0112104;
        2007;     10.1681995;      8.9595919;      1.5473166;     15.2606726;      1.1746495;      0.5207363;      6.0490098;      2.9649107;      0.8494876;      4.0253882;      0.6935686;      0.4805285;     12.2346907;      7.5843782;      1.5012299;      2.3749616;      1.2187274;      1.0777248;    -20.6808186;      0.0000000;      0.0000000;     -0.0009833;      0.0000000;     -0.7493045;
        2008;      8.0337820;      9.1761742;      1.5855024;     14.9857111;      1.2037499;      0.6246763;      5.7071900;      2.8045533;      0.8068715;      3.8064053;      0.6633042;      0.4469174;     12.7384939;      7.1673617;      1.4510876;      2.6235352;      1.1787570;      1.1188961;     -0.7540517;      0.0000000;      0.0000000;     -0.0010179;      0.0000000;      1.5955795;
        2009;      4.8812370;      9.4527054;      1.6290333;     14.8091726;      1.2361940;      0.5750482;      5.3436503;      2.6700461;      0.7695138;      3.6283581;      0.6379859;      0.4182016;     12.3680162;      6.5022845;      1.3438660;      2.6975563;      1.0928867;      1.0819319;      1.5865474;      0.0000000;      0.0000000;     -0.0011553;      0.0000000;      1.7497218;
        2010;      6.1281519;      9.6132870;      1.6571449;     14.6248827;      1.2575889;      0.7437976;      5.0195017;      2.5529890;      0.7358270;      3.4750912;      0.6162187;      0.3941475;     14.9475794;      7.3402824;      1.5456661;      3.3756940;      1.2591208;      1.3034118;      3.6518073;      0.0000000;      0.0000000;     -0.0012349;      0.0000000;      2.9957688;
        2011;      4.9020824;      9.7514019;      1.6827680;     14.4678431;      1.2772933;      0.6415206;      4.7242732;      2.4488833;      0.7061189;      3.3350201;      0.5972499;      0.3728954;     12.1535187;      5.6395097;      1.2085526;      2.8367927;      0.9868131;      1.0566311;      1.6630547;      0.0000000;      0.0000000;     -0.0011774;      0.0000000;      1.9559077;
        2012;      5.0968366;      9.7697678;      1.6938424;     14.2551441;      1.2868273;      0.6410059;      4.4395485;      2.3306239;      0.6772591;      3.1765962;      0.5743163;      0.3525350;     12.0668564;      5.3337822;      1.1618428;      2.8975773;      0.9511408;      1.0466671;      2.7404001;      0.0000000;      0.0000000;     -0.0011073;      0.0000000;      2.3533580;
        2013;      5.8898506;      9.8442917;      1.7111348;     14.0846539;      1.3005855;      0.6919626;      4.2090163;      2.2343626;      0.6566344;      3.0512953;      0.5577794;      0.3360866;     14.5689936;      6.0388680;      1.3352453;      3.4966662;      1.0958147;      1.2628543;      2.9376957;      0.0000000;      0.0000000;     -0.0011715;      0.0000000;      2.6794951;
        2014;      5.3257227;      9.8927088;      1.7229533;     13.9458656;      1.3100500;      0.6562657;      4.0000472;      2.1631663;      0.6424055;      2.9562228;      0.5461216;      0.3212336;     14.8122110;      5.9048820;      1.3248314;      3.6164522;      1.0899233;      1.2817253;      2.5411341;      0.0000000;      0.0000000;     -0.0013342;      0.0000000;      2.7351711;
        2015;      4.6755476;      9.9411240;      1.7347714;     13.8468761;      1.3195148;      0.3710425;      3.8029220;      2.1106586;      0.6323616;      2.8842406;      0.5378689;      0.3061846;     11.6448145;      4.5906959;      1.0451903;      2.9599106;      0.8618742;      1.0050423;      1.1201575;      0.0000000;      0.0000000;     -0.0012134;      0.0000000;      1.8288629;
