 ;;µmol/kg;;;;;;;kg/ha;;;;;
 YEAR;Month;Ca;Mg;K;Na;NH4;Al;H;Ca;Mg;K;Na;NH4;Al
        2005;           1;  29576.2890625;  17394.1113281;   5152.6250000;    179.5427246;      0.0005970;  18746.5429688;    736.2116699;   1011.7072754;    360.8303223;    171.9458008;      3.5229635;      0.0000071;    431.7103271
        2005;           2;  29589.2734375;  17408.9179688;   5134.0307617;    145.6152649;      0.0006291;  18746.0058594;    734.7684326;   1012.1514282;    361.1374817;    171.3253021;      2.8572438;      0.0000075;    431.6979980
        2005;           3;  29610.0839844;  17423.1523438;   5078.3637695;     98.4973907;      0.0009098;  18744.6562500;    771.4646606;   1012.8633423;    361.4327698;    169.4676666;      1.9327027;      0.0000109;    431.6669006
        2005;           4;  29619.3886719;  17425.4609375;   5051.6352539;     86.2334290;      0.0000000;  18742.7011719;    793.1191406;   1013.1816406;    361.4806824;    168.5757141;      1.6920609;      0.0000000;    431.6218872
        2005;           5;  29613.1582031;  17422.2128906;   5049.0312500;     91.4479065;      0.0000000;  18740.1894531;    816.9760742;   1012.9685059;    361.4132996;    168.4888458;      1.7943785;      0.0000000;    431.5640259
        2005;           6;  29612.3710938;  17423.5332031;   5035.1342773;     88.7216492;      0.0000000;  18735.7519531;    845.9137573;   1012.9415283;    361.4406738;    168.0250702;      1.7408845;      0.0000000;    431.4618530
        2005;           7;  29605.5507812;  17420.8652344;   5040.7114258;     99.5004959;      0.0000000;  18728.8203125;    869.2081909;   1012.7083130;    361.3853455;    168.2111969;      1.9523855;      0.0000000;    431.3022156
        2005;           8;  29600.1230469;  17426.0507812;   5037.7045898;    101.1816254;      0.0000000;  18721.6640625;    892.5296021;   1012.5225220;    361.4929199;    168.1108398;      1.9853725;      0.0000000;    431.1374207
        2005;           9;  29595.3261719;  17431.7148438;   5035.4355469;    102.6871872;      0.0000000;  18714.7246094;    912.5316162;   1012.3585205;    361.6104126;    168.0351257;      2.0149145;      0.0000000;    430.9775696
        2005;          10;  29605.6386719;  17441.7539062;   5024.7329102;     97.2066956;      0.0000000;  18707.1093750;    910.7232666;   1012.7111816;    361.8186340;    167.6779785;      1.9073770;      0.0000000;    430.8022461
        2005;          11;  29668.3535156;  17475.3398438;   4794.8789062;     68.4996719;      0.0003658;  18697.8066406;   1004.7331543;   1014.8565674;    362.5153503;    160.0076294;      1.3440915;      0.0000044;    430.5880127
        2005;          12;  29690.2656250;  17483.3847656;   4696.9614258;     64.7314987;      0.0007790;  18695.5742188;   1053.1112061;   1015.6060181;    362.6822815;    156.7400665;      1.2701529;      0.0000093;    430.5365601
        2006;           1;  29714.9179688;  17489.8515625;   4564.1391602;     63.8666382;      0.0010517;  18693.5175781;   1130.6296387;   1016.4492798;    362.8164062;    152.3077240;      1.2531828;      0.0000126;    430.4892273
        2006;           2;  29721.1054688;  17490.7128906;   4536.3583984;     62.4974899;      0.0008724;  18692.7460938;   1147.9938965;   1016.6610107;    362.8342896;    151.3806610;      1.2263175;      0.0000104;    430.4714355
        2006;           3;  29733.0546875;  17493.2753906;   4485.5981445;     63.4430161;      0.0011131;  18691.2578125;   1173.2614746;   1017.0696411;    362.8874207;    149.6867676;      1.2448705;      0.0000133;    430.4371948
        2006;           4;  29739.2910156;  17491.5156250;   4459.7465820;     64.0144958;      0.0000000;  18689.4765625;   1194.8317871;   1017.2830200;    362.8509216;    148.8240814;      1.2560840;      0.0000000;    430.3961792
        2006;           5;  29735.2343750;  17489.0527344;   4451.2299805;     69.4554138;      0.0000000;  18687.0292969;   1218.3704834;   1017.1441650;    362.7998047;    148.5398865;      1.3628449;      0.0000000;    430.3398132
        2006;           6;  29732.0722656;  17484.6699219;   4436.6245117;     70.0949249;      0.0000000;  18682.7070312;   1260.3913574;   1017.0360718;    362.7089233;    148.0524902;      1.3753934;      0.0000000;    430.2402954
        2006;           7;  29727.3886719;  17481.5234375;   4440.2739258;     79.6970139;      0.0000000;  18675.7148438;   1283.9718018;   1016.8758545;    362.6436462;    148.1742706;      1.5638043;      0.0000000;    430.0792542
        2006;           8;  29722.5078125;  17486.3378906;   4437.1010742;     81.8718872;      0.0000000;  18668.3203125;   1306.9982910;   1016.7089844;    362.7434998;    148.0684052;      1.6064793;      0.0000000;    429.9089661
        2006;           9;  29717.7402344;  17492.2734375;   4434.7368164;     83.4830627;      0.0000000;  18661.1875000;   1326.8953857;   1016.5458984;    362.8666687;    147.9895020;      1.6380936;      0.0000000;    429.7447205
        2006;          10;  29728.2382812;  17501.3964844;   4424.6669922;     81.8862839;      0.0000000;  18653.2226562;   1323.3101807;   1016.9049072;    363.0559082;    147.6534576;      1.6067617;      0.0000000;    429.5612793
        2006;          11;  29781.9921875;  17523.5839844;   4233.6557617;     66.9154053;      0.0003972;  18644.4199219;   1403.6459961;   1018.7437744;    363.5161743;    141.2793274;      1.3130052;      0.0000047;    429.3585510
        2006;          12;  29800.6269531;  17527.7500000;   4151.8378906;     64.8753510;      0.0008289;  18642.3339844;   1448.2543945;   1019.3812256;    363.6025696;    138.5490112;      1.2729756;      0.0000099;    429.3105469
        2007;           1;  29811.6035156;  17530.3417969;   4108.0009766;     64.2820740;      0.0009918;  18641.1601562;   1469.0554199;   1019.7565918;    363.6563416;    137.0861511;      1.2613343;      0.0000119;    429.2835083
        2007;           2;  29827.1113281;  17541.6855469;   4061.2912598;     69.6088638;      0.0017195;  18640.1718750;   1459.7429199;   1020.2871094;    363.8916626;    135.5274353;      1.3658559;      0.0000206;    429.2607422
        2007;           3;  29833.9570312;  17541.9121094;   4035.4309082;     66.8361282;      0.0011829;  18639.1464844;   1477.3448486;   1020.5211792;    363.8963623;    134.6644592;      1.3114498;      0.0000141;    429.2371521
