 YEAR;Month;Ca;Mg;K;Na;NO3;NH4;SO4;Cl;P;DOC;Al;Si
;;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr
        2005;           1;      1.9662302;      2.1037965;      7.5317435;     14.6272497;      0.1281615;      0.0481175;      3.5941000;     11.0022030;      0.0453193;      8.4987288;      0.0000000;      2.7625101
        2005;           2;      0.2456949;      0.2629932;      1.0758568;      1.7007121;      0.0232063;      0.0072686;      0.5901573;      1.5609792;      0.0239222;      4.3266649;      0.0000023;      0.5101283
        2005;           3;      0.6399300;      0.6850628;      2.2592971;      2.4423175;      0.0493758;      0.0223175;      1.0184112;      2.7298284;      0.0481076;     11.3692408;      0.0000254;      1.3386288
        2005;           4;      0.4402717;      0.4712375;      1.0987569;      1.0453776;      0.0000000;      0.0000000;      0.3424379;      1.2303305;      0.0239118;      8.1973591;      0.0000505;      1.3049535
        2005;           5;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000
        2005;           6;      0.0649835;      0.0695628;      0.0950276;      0.0933246;      0.0000000;      0.0000000;      0.0164731;      0.0967623;      0.0036000;      1.1718340;      0.0000464;      0.3235311
        2005;           7;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000011;      0.0000000
        2005;           8;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000
        2005;           9;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000
        2005;          10;      0.0668139;      0.0716132;      0.0790315;      0.0852141;      0.0000000;      0.0000000;      0.0119924;      0.0947055;      0.0028155;      1.0670826;      0.0000158;      0.5557268
        2005;          11;      4.2537279;      4.5584030;     11.1555462;      8.8823843;      0.0582099;      0.0469200;      4.2271304;     15.8249273;      0.0526951;     57.6407127;      0.0000204;     23.7071438
        2005;          12;      1.3568960;      1.4536802;      4.5971980;      3.5311785;      0.0502592;      0.0420432;      2.3471656;      7.4196353;      0.0341079;     11.1934681;      0.0000107;      3.4636745
        2006;           1;      1.5782495;      1.6900440;      5.9893203;      4.6711154;      0.0611618;      0.0760952;      3.6309230;      9.2206144;      0.0520413;     10.3242273;      0.0000086;      1.9728205
        2006;           2;      0.3367055;      0.3604986;      1.1075547;      0.8504489;      0.0148767;      0.0117448;      0.5879758;      1.2988387;      0.0209260;      4.0443907;      0.0000159;      0.9054802
        2006;           3;      0.7205192;      0.7712373;      2.2529979;      1.7760373;      0.0361648;      0.0308271;      1.1618867;      2.5970757;      0.0321361;      9.1710739;      0.0000184;      1.7982894
        2006;           4;      0.4538630;      0.4856602;      1.0355748;      0.8284714;      0.0000000;      0.0000000;      0.3801003;      1.0531187;      0.0248945;      7.6643291;      0.0000499;      1.4347878
        2006;           5;      0.0898297;      0.0961226;      0.1420073;      0.1234993;      0.0000000;      0.0000000;      0.0307434;      0.1318077;      0.0000000;      1.1782099;      0.0000003;      0.4036425
        2006;           6;      0.1732983;      0.1854118;      0.2279647;      0.2007379;      0.0000000;      0.0000000;      0.0462308;      0.1856489;      0.0176013;      3.5315747;      0.0002042;      0.8756705
