 YEAR;Month;Ca;Mg;K;Na;NO3;NH4;SO4;Cl;P;DOC;H;pH;Al;R;HR;Si
;;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;no unit;µmol/L;µmol/L;µmol/L;µmol/L
        2005;           1;      1.9975567;     38.5264091;     70.7159653;    313.3765869;      1.2310684;      2.1506588;     12.3249197;    114.5306168;      0.1369699;    114.7521820;      0.0000123;     10.9218750;      0.0000000;     19.1250477;      0.0003146;     43.1377029
        2005;           2;      1.3631493;     26.1568146;     63.1872101;    299.0174255;      1.3294321;      4.3986878;     13.5119925;    112.1370010;      0.2514318;    253.9743652;      0.0000177;     10.8027344;      0.0000000;     42.3281555;      0.0009007;     40.4315453
        2005;           3;      0.9500064;     18.1743240;     55.5630989;    270.6997375;      1.4757915;      9.0341053;     14.3488216;    111.7384567;      0.4467432;    582.1711426;      0.0000325;     10.5644531;      0.0000000;     97.0250626;      0.0034527;     41.2111931
        2005;           4;      1.0472194;     20.0108089;     59.8036308;    298.6822205;      0.5613090;      5.9711113;     14.4349337;    124.1206818;      0.5278738;   1020.8870239;      0.0000594;     10.3164062;      0.0000000;    170.1376343;      0.0101923;     50.3103600
        2005;           5;      1.3696810;     26.1975269;     66.5028915;    342.9503479;      0.0000000;      0.0000000;     12.3359575;    140.3856964;      0.0000000;   1089.5228271;      0.0000472;     10.3945312;      0.0000000;    181.5778809;      0.0092432;     59.6493797
        2005;           6;      1.4723186;     28.1908741;     63.5191154;    337.0611877;      0.0000000;      0.0000000;     11.1692286;    136.7187500;      0.0000000;    980.5704956;      0.0000349;     10.4570312;      0.0000000;    163.4211273;      0.0072961;     60.5322151
        2005;           7;      1.4357541;     27.5311069;     62.3901939;    335.4411621;      0.0000000;      0.0000000;     10.8830395;    135.9375000;      0.0000000;    882.5134277;      0.0000349;     10.4570312;      0.0000000;    147.0790100;      0.0065665;     61.5630188
        2005;           8;      1.3985171;     26.8566628;     61.2457428;    333.7412109;      0.0000000;      0.0000000;     11.0969553;    137.5000000;      0.0000000;    794.2620850;      0.0000365;     10.4375000;      0.0000000;    132.3708649;      0.0061544;     62.7385521
        2005;           9;      1.3636504;     26.2212219;     60.1953163;    332.0931396;      0.0000000;      0.0000000;     11.0969553;    137.5000000;      0.0000000;    714.8359375;      0.0000348;     10.4589844;      0.0000000;    119.1340332;      0.0052904;     63.8836212
        2005;          10;      1.3332796;     25.6397781;     59.5650177;    330.5058289;      0.0000000;      0.0000000;     11.8456621;    125.0000076;      0.0000000;    643.3523560;      0.0000262;     10.5820312;      0.0000000;    107.2217178;      0.0036749;     64.7909927
        2005;          11;      0.5079966;      9.6567259;     42.4598541;    157.7443390;      0.0100711;      0.5205101;     12.0926552;     86.1870880;      0.1345852;    439.3241272;      0.0000976;     10.0117188;      0.0000000;     73.2124863;      0.0082049;    122.9296341
        2005;          12;      0.3383353;      6.3994522;     36.9401779;    101.1892242;      0.2715400;      1.2724034;     11.9435606;     71.1907501;      0.1365903;    287.9071045;      0.0002968;      9.5234375;      0.0000001;     47.9703484;      0.0141718;     79.9341049
        2006;           1;      0.2487341;      4.6788368;     34.1566124;     61.8629570;      0.4955613;      1.9630133;     12.0073223;     34.6168938;      0.1398426;    180.8014221;      0.0001401;      9.8515625;      0.0000001;     30.1289062;      0.0046645;     32.4737930
        2006;           2;      0.2770656;      5.2052999;     38.9229813;     64.1268616;      0.5693842;      3.9378994;     13.5692444;     34.2030792;      0.2364114;    284.2793579;      0.0003776;      9.4746094;      0.0000002;     47.3645096;      0.0153827;     32.0501747
        2006;           3;      0.3597588;      6.7461758;     45.4604607;     66.7262650;      0.6916245;      5.5481758;     13.7007303;     32.2483139;      0.2550639;    413.5515747;      0.0012403;      8.9628906;      0.0000006;     68.8665543;      0.0587112;     36.8286171
