 ;;µmol/kg;;;kg/ha;;
 YEAR;Month;SO4;PO4;Chloride;SO4;PO4;Chloride
        2005;           1;   3041.7441406;   9994.5068359;     92.4062500;    115.8633575;    367.7460938;     27.2423515
        2005;           2;   3041.7441406;   9994.5068359;     91.4779816;    115.8633575;    367.7460938;     26.9686852
        2005;           3;   3041.7441406;   9994.5068359;     90.3359375;    115.8633575;    367.7460938;     26.6320000
        2005;           4;   3041.7441406;   9994.5068359;     90.9133301;    115.8633575;    367.7460938;     26.8022213
        2005;           5;   3041.7441406;   9994.5068359;     92.2825699;    115.8633575;    367.7460938;     27.2058887
        2005;           6;   3047.3447266;   9994.5068359;     94.0900574;    116.0766907;    367.7460938;     27.7387524
        2005;           7;   3052.9489746;   9994.5068359;     96.4141846;    116.2901688;    367.7460938;     28.4239349
        2005;           8;   3052.9489746;   9994.5068359;     96.3137283;    116.2901688;    367.7460938;     28.3943176
        2005;           9;   3052.9489746;   9994.5068359;     96.3643112;    116.2901688;    367.7460938;     28.4092293
        2005;          10;   3052.9489746;   9994.5068359;     96.3391037;    116.2901688;    367.7460938;     28.4017982
        2005;          11;   3052.9489746;   9994.5068359;     91.0111160;    116.2901688;    367.7460938;     26.8310490
        2005;          12;   3052.9489746;   9994.5068359;     87.9965897;    116.2901688;    367.7460938;     25.9423370
        2006;           1;   3052.9489746;   9994.5068359;     83.2043152;    116.2901688;    367.7460938;     24.5295200
        2006;           2;   3052.9489746;   9994.5068359;     82.4014359;    116.2901688;    367.7460938;     24.2928238
        2006;           3;   3052.9489746;   9994.5068359;     81.7709274;    116.2901688;    367.7460938;     24.1069431
        2006;           4;   3052.9489746;   9994.5068359;     82.4014359;    116.2901688;    367.7460938;     24.2928238
        2006;           5;   3052.9489746;   9994.5068359;     84.3228836;    116.2901688;    367.7460938;     24.8592854
        2006;           6;   3058.5576172;   9994.5068359;     87.6909256;    116.5038071;    367.7460938;     25.8522224
        2006;           7;   3058.5576172;   9994.5068359;     89.7968750;    116.5038071;    367.7460938;     26.4730778
        2006;           8;   3058.5576172;   9994.5068359;     89.7499390;    116.5038071;    367.7460938;     26.4592419
        2006;           9;   3058.5576172;   9994.5068359;     89.8897858;    116.5038071;    367.7460938;     26.5004711
        2006;          10;   3058.5576172;   9994.5068359;     89.9357605;    116.5038071;    367.7460938;     26.5140228
        2006;          11;   3058.5576172;   9994.5068359;     84.8804169;    116.5038071;    367.7460938;     25.0236549
        2006;          12;   3058.5576172;   9994.5068359;     83.2556686;    116.5038071;    367.7460938;     24.5446587
        2007;           1;   3058.5576172;   9994.5068359;     82.2331543;    116.5038071;    367.7460938;     24.2432117
        2007;           2;   3058.5576172;   9994.5068359;     81.4108124;    116.5038071;    367.7460938;     24.0007782
        2007;           3;   3058.5576172;   9994.5068359;     81.6522064;    116.5038071;    367.7460938;     24.0719433
        2007;           4;   3058.5576172;   9994.5068359;     83.7063522;    116.5038071;    367.7460938;     24.6775265
        2007;           5;   3058.5576172;   9994.5068359;     85.2828445;    116.5038071;    367.7460938;     25.1422939
        2007;           6;   3058.5576172;   9994.5068359;     87.8757629;    116.5038071;    367.7460938;     25.9067154
        2007;           7;   3064.1699219;   9994.5068359;     91.0304871;    116.7175827;    367.7460938;     26.8367634
        2007;           8;   3064.1699219;   9994.5068359;     90.9526215;    116.7175827;    367.7460938;     26.8138103
        2007;           9;   3064.1699219;   9994.5068359;     91.0690460;    116.7175827;    367.7460938;     26.8481293
        2007;          10;   3064.1699219;   9994.5068359;     91.1073837;    116.7175827;    367.7460938;     26.8594341
        2007;          11;   3064.1699219;   9994.5068359;     90.8339844;    116.7175827;    367.7460938;     26.7788296
        2007;          12;   3064.1699219;   9994.5068359;     89.2622070;    116.7175827;    367.7460938;     26.3154526
        2008;           1;   3064.1699219;   9994.5068359;     86.7668839;    116.7175827;    367.7460938;     25.5798054
        2008;           2;   3064.1699219;   9994.5068359;     84.6391678;    116.7175827;    367.7460938;     24.9525337
        2008;           3;   3064.1699219;   9994.5068359;     83.6572647;    116.7175827;    367.7460938;     24.6630554
        2008;           4;   3064.1699219;   9994.5068359;     82.9435883;    116.7175827;    367.7460938;     24.4526558
        2008;           5;   3064.1699219;   9994.5068359;     84.0903702;    116.7175827;    367.7460938;     24.7907391
        2008;           6;   3069.7861328;   9994.5068359;     86.6613998;    116.9315109;    367.7460938;     25.5487080
        2008;           7;   3075.4062500;   9994.5068359;     90.2926483;    117.1455841;    367.7460938;     26.6192398
        2008;           8;   3075.4062500;   9994.5068359;     90.4216614;    117.1455841;    367.7460938;     26.6572704
        2008;           9;   3075.4062500;   9994.5068359;     90.4641037;    117.1455841;    367.7460938;     26.6697826
        2008;          10;   3075.4062500;   9994.5068359;     90.3789444;    117.1455841;    367.7460938;     26.6446838
        2008;          11;   3075.4062500;   9994.5068359;     89.2369080;    117.1455841;    367.7460938;     26.3079948
        2008;          12;   3075.4062500;   9994.5068359;     88.2035751;    117.1455841;    367.7460938;     26.0033569
