 ;;µmol/kg;;;;;;;kg/ha;;;;;
 YEAR;Month;Ca;Mg;K;Na;NH4;Al;H;Ca;Mg;K;Na;NH4;Al
        2005;           1;    854.9250488;    189.7182770;    977.0190430;    380.0967712;     30.9449978;  32162.2695312;    177.8007965;     33.3728943;      4.4912238;     37.2066650;      8.5111685;      0.4221700;    845.2255859
        2005;           2;    853.1812134;    187.7467194;    978.5158081;    387.4448853;     46.2746773;  32141.2382812;    224.2496490;     33.3048248;      4.4445505;     37.2636681;      8.6757088;      0.6313065;    844.6728516
        2005;           3;    850.4936523;    185.7833710;    980.0031128;    392.8283691;     73.9165344;  32117.5156250;    270.2419128;     33.1999130;      4.3980718;     37.3203049;      8.7962561;      1.0084131;    844.0494385
        2005;           4;    847.1022949;    182.9080658;    980.4517212;    395.1054993;     98.8562241;  32098.4980469;    312.1176453;     33.0675278;      4.3300042;     37.3373909;      8.8472462;      1.3486552;    843.5496826
        2005;           5;    837.2567749;    174.6238403;    977.4815063;    393.3617554;    141.0737610;  32081.0175781;    363.3310242;     32.6831970;      4.1338906;     37.2242737;      8.8081989;      1.9246118;    843.0902710
        2005;           6;    834.1867676;    172.9094086;    976.4458618;    398.9355774;    149.3423920;  32061.1230469;    419.7638550;     32.5633583;      4.0933051;     37.1848412;      8.9330091;      2.0374174;    842.5673828
        2005;           7;    834.7864990;    174.6231232;    976.9241333;    410.7459717;    142.2341003;  32039.3906250;    475.1224976;     32.5867691;      4.1338735;     37.2030525;      9.1974697;      1.9404420;    841.9962769
        2005;           8;    835.2308960;    176.2418823;    974.8448486;    412.5045471;    135.3745422;  32020.2109375;    535.8217773;     32.6041145;      4.1721945;     37.1238670;      9.2368479;      1.8468597;    841.4923096
        2005;           9;    835.6896362;    177.7688751;    973.0511475;    414.1625061;    128.9002838;  32003.1933594;    589.3659058;     32.6220207;      4.2083440;     37.0555611;      9.2739725;      1.7585338;    841.0451050
        2005;          10;    837.1130981;    179.1893158;    973.2848511;    415.0879822;    126.0994568;  31987.3105469;    633.0047607;     32.6775894;      4.2419701;     37.0644608;      9.2946959;      1.7203234;    840.6276855
        2005;          11;    870.9161987;    205.8919067;    985.6799316;    424.2129822;    142.9432831;  31866.4218750;    836.3615723;     33.9971275;      4.8741031;     37.5364876;      9.4990234;      1.9501168;    837.4507446
        2005;          12;    889.4871826;    213.6085205;    992.8806152;    421.9305115;    152.5763550;  31800.9062500;    965.7174683;     34.7220688;      5.0567803;     37.8107033;      9.4479141;      2.0815370;    835.7288818
        2006;           1;    903.0208130;    213.4154510;    998.6240845;    412.6025085;    167.9956970;  31758.1269531;   1055.6304932;     35.2503662;      5.0522094;     38.0294266;      9.2390404;      2.2918968;    834.6047363
        2006;           2;    902.6466064;    209.3550110;    998.8599854;    407.0371094;    178.8858032;  31745.0859375;   1097.9721680;     35.2357597;      4.9560862;     38.0384102;      9.1144199;      2.4404662;    834.2619629
        2006;           3;    903.9271851;    205.5055847;   1000.0117798;    403.2658081;    193.1067200;  31728.0937500;   1142.4329834;     35.2857437;      4.8649578;     38.0822716;      9.0299721;      2.6344759;    833.8154297
        2006;           4;    900.6400757;    199.7539215;    999.5382690;    399.6578979;    215.2150421;  31714.9726562;   1181.9476318;     35.1574326;      4.7287984;     38.0642433;      8.9491835;      2.9360912;    833.4706421
        2006;           5;    890.2620239;    190.4949188;    996.1933594;    396.9194641;    251.2813873;  31702.9335938;   1227.2746582;     34.7523155;      4.5096087;     37.9368591;      8.8878641;      3.4281294;    833.1542358
        2006;           6;    887.9133911;    189.4903107;    995.5228271;    404.3973999;    243.5592651;  31689.1875000;   1276.2471924;     34.6606331;      4.4858265;     37.9113235;      9.0553112;      3.3227799;    832.7929688
        2006;           7;    886.6192627;    189.5349884;    994.7593994;    411.7910461;    235.2229767;  31674.0800781;   1325.7850342;     34.6101151;      4.4868846;     37.8822517;      9.2208710;      3.2090511;    832.3959351
        2006;           8;    885.9728394;    190.2398987;    992.4454956;    413.0525818;    227.1509705;  31660.3808594;   1375.8682861;     34.5848808;      4.5035715;     37.7941322;      9.2491188;      3.0989280;    832.0359497
        2006;           9;    884.9353027;    190.3904419;    990.3532104;    413.8840637;    219.3891144;  31647.5488281;   1425.1065674;     34.5443764;      4.5071359;     37.7144547;      9.2677374;      2.9930363;    831.6986694
        2006;          10;    885.6309814;    191.1100769;    990.4765015;    414.3514404;    215.8484650;  31635.1835938;   1462.3632812;     34.5715370;      4.5241714;     37.7191505;      9.2782030;      2.9447327;    831.3737183
        2006;          11;    927.2616577;    199.8739471;   1000.0435791;    417.4316406;    230.3468170;  31540.2480469;   1619.2777100;     36.1966324;      4.7316399;     38.0834808;      9.3471756;      3.1425278;    828.8788452
        2006;          12;    946.8504639;    199.7002869;   1005.3466797;    414.9600830;    235.6008911;  31484.7792969;   1738.6846924;     36.9612999;      4.7275290;     38.2854347;      9.2918320;      3.2142069;    827.4210815
        2007;           1;    952.3503418;    196.3780060;   1007.0155029;    410.3204041;    238.6607361;  31458.0664062;   1814.4141846;     37.1759949;      4.6488795;     38.3489876;      9.1879406;      3.2559512;    826.7190552
        2007;           2;    956.1498413;    191.8499756;   1008.4061890;    403.9428406;    249.0549927;  31432.8574219;   1885.9831543;     37.3243141;      4.5416875;     38.4019470;      9.0451326;      3.3977556;    826.0565186
        2007;           3;    954.0182495;    186.6589661;   1008.1286011;    398.8699646;    268.8681641;  31418.3984375;   1929.6566162;     37.2411041;      4.4187999;     38.3913765;      8.9315405;      3.6680589;    825.6766357
        2007;           4;    951.1229248;    181.7691345;   1007.8945312;    396.4769592;    285.2313232;  31403.2695312;   1976.8132324;     37.1280823;      4.3030424;     38.3824615;      8.8779554;      3.8912947;    825.2790527
        2007;           5;    941.3660889;    174.2336884;   1004.6060181;    394.2375183;    313.1165161;  31390.5722656;   2027.1767578;     36.7472115;      4.1246548;     38.2572289;      8.8278093;      4.2717209;    824.9453735
