 YEAR;Month;Ca;Mg;K;Na;NO3;NH4;SO4;Cl;P;DOC;H;pH;Al;R;HR;Si
;;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;no unit;µmol/L;µmol/L;µmol/L;µmol/L
        2005;           1;     18.3347683;     18.0933952;     22.7216339;     66.8241730;     31.0525379;      0.4302272;     21.8990517;     91.2074661;      0.5761514;    147.2223053;     18.1293564;      4.7519531;      0.0179773;     15.0020752;      6.0296836;     45.1875725
        2005;           2;     21.3972416;     21.2073154;     24.9357929;     73.4888992;     38.6976967;      0.6776316;     22.7576942;     83.2113037;      2.1425920;    344.4914246;     18.2712097;      4.7656250;      0.0176683;     35.2527618;     13.9602995;     66.4585495
        2005;           3;     29.2602215;     29.3297176;     30.2096939;     89.2682648;     58.2926636;      1.2691500;     24.8195629;     80.8262939;      2.9397142;    721.4413452;     23.1313400;      4.7011719;      0.0253552;     72.3470840;     30.7159615;     95.0508347
        2005;           4;     42.4888115;     42.8763123;     35.6770897;    105.6878738;     92.6756439;      1.8388933;     23.7627869;     88.0763016;      4.7071390;   1138.6048584;     26.0422134;      4.6347656;      0.0330909;    111.7318573;     50.9259872;    155.8528137
        2005;           5;     86.1356430;     86.8709793;     61.5660019;    182.0541077;    205.8943481;      4.1271043;     33.6980820;    142.1632233;     20.6583157;   2419.9865723;     49.8984871;      4.5195312;      0.0857001;    228.2610321;    117.4513550;    314.5091858
        2005;           6;    131.1928711;    132.3923798;     69.3527908;    211.0256195;    318.5391541;      3.6360154;     28.1928082;    177.3858185;      0.0000000;   2586.0310059;     16.8973141;      4.9082031;      0.0131349;    275.9902954;     93.4427185;    521.3063354
        2005;           7;    133.4659882;    134.9115143;     59.8674393;    185.8013458;    353.0277100;      2.3022034;     19.7615166;    168.7500000;      0.0000000;   2017.1041260;      6.7620463;      5.1699219;      0.0041555;    230.2419281;     57.9157753;    606.6122437
        2005;           8;    129.1281433;    130.8752594;     58.8275604;    183.7085266;    378.3901062;      1.6144576;     20.0479298;    175.0000000;      0.0000000;   1573.3411865;      7.3322015;      5.1347656;      0.0046066;    178.1044922;     46.6585388;    706.6001587
        2005;           9;    122.3678513;    124.3323593;     57.2106514;    179.8114319;    393.2815552;      1.1115973;     20.0479298;    173.4375000;      0.0000000;   1227.2060547;      9.8217192;      5.0078125;      0.0068346;    134.5670319;     40.7481346;    787.7527466
        2005;          10;    113.1979675;    115.2535553;     55.0250473;    173.8733063;    411.9330444;      0.7867920;     21.0503826;    175.0000000;      0.4473785;    957.2206421;     31.7653122;      4.4980469;      0.0580630;     89.6003342;     47.1454697;    841.1481323
        2005;          11;     41.4462547;     45.2958755;     32.1881523;     96.6600113;    133.7675018;      0.8092034;     21.4659481;     88.3315506;      0.6551225;    845.8806152;     38.4337196;      4.4160156;      0.0905916;     76.8409500;     43.9991493;    472.6802979
        2005;          12;     24.2994156;     27.1616173;     24.2219334;     70.3997269;     64.1803818;      0.7644965;     21.3516941;     70.8439255;      0.6600401;    454.1355591;     23.6791973;      4.6250000;      0.0307987;     44.4195900;     20.4569206;    218.3662262
        2006;           1;     13.5885801;     15.5073061;     17.9392605;     50.1082306;     22.2481461;      0.7738834;     21.7361603;     50.8235512;      0.6584853;    248.2353668;     15.3048611;      4.8222656;      0.0134448;     25.8420048;      9.6201935;     70.5371475
        2006;           2;     17.2856846;     19.8001919;     20.6753006;     57.0521202;     31.4358959;      1.0272133;     22.5034847;     52.5603943;      1.9153873;    381.4532776;     15.7924633;      4.8300781;      0.0137042;     39.8025017;     14.6908236;     82.8034515
        2006;           3;     22.1097546;     25.5746040;     23.8879547;     64.6210556;     46.5538139;      1.3662677;     24.0099411;     54.7164688;      1.6659130;    538.9125977;     19.2045937;      4.7695312;      0.0184407;     55.2147675;     21.7727528;     97.5187225
        2006;           4;     34.4427452;     40.0568161;     29.7649326;     79.6143875;     81.7894440;      1.9809091;     23.7554703;     58.8083458;      4.4779625;    963.3499756;     23.6668148;      4.6796875;      0.0271556;     95.9394302;     41.6819992;    155.3579559
        2006;           5;     95.7838593;    111.3457413;     70.0341187;    187.3057556;    243.8397064;      5.3794584;     45.5330734;    128.6508484;     19.6220303;   2719.2958984;     52.7764740;      4.6308594;      0.0676867;    266.4989319;    121.9719391;    428.2803345
        2006;           6;    110.2540741;    128.1609802;     50.2199707;    139.8771667;    282.9789734;      3.0175850;     20.0559196;    100.7812424;      0.0000000;   2121.0507812;      4.6555262;      5.3320312;      0.0026509;    250.8396606;     52.1676369;    504.0391541
        2006;           7;    109.4383087;    127.4281998;     49.9775238;    139.9297028;    316.5099487;      2.2458429;     19.7072220;    100.9765625;      0.0000000;   1654.4195557;      1.7000777;      5.7695312;      0.0008859;    210.7270660;     25.6185856;    585.7954102
        2006;           8;    108.1141510;    126.1231232;     49.6199684;    139.6849213;    342.6961060;      1.6165299;     20.0061054;    100.9765625;      0.0000000;   1290.4472656;      0.3307739;      6.4804688;      0.0001669;    176.0378113;      8.3118229;    672.4783936
        2006;           9;    103.8948975;    121.4216156;     48.5896721;    137.5687408;    359.2666626;      1.1300868;     20.0061054;    100.9765625;      0.0000000;   1006.5489502;      0.2775616;      6.5566406;      0.0001399;    137.9389954;      5.8537025;    739.7001343
        2006;          10;     97.0056915;    113.5409393;     46.9547615;    133.5502777;    379.8793945;      0.8062162;     21.0521984;    100.9765625;      0.3143952;    785.1082153;      8.2788258;      5.0820312;      0.0054021;     87.7389297;     24.4193878;    782.0074463
        2006;          11;     38.7499161;     48.0236092;     28.9302216;     78.3133240;    135.6346741;      0.9132377;     21.3023968;     63.4109879;      0.7852647;    857.2000732;     37.7625542;      4.4238281;      0.0867867;     78.0957794;     44.3613701;    447.4085693
