kg/ha/month
 YEAR;Month;Ca;Mg;K;Na;Al;Si;P
        2005;           1;      0.0839232;      0.0859473;      0.1575778;      0.0236952;      0.5695159;      0.8729042;      0.0081062
        2005;           2;      0.0804540;      0.0823971;      0.1515946;      0.0226435;      0.5474846;      0.8390138;      0.0078866
        2005;           3;      0.1022583;      0.1067693;      0.1973776;      0.0286749;      0.7060394;      1.0831541;      0.0102705
        2005;           4;      0.1455186;      0.1608060;      0.3009228;      0.0405088;      1.0469325;      1.6110203;      0.0154669
        2005;           5;      0.2116250;      0.2537665;      0.4820895;      0.0581430;      1.6167244;      2.4986429;      0.0245843
        2005;           6;      0.2197227;      0.3211474;      0.6135556;      0.0573180;      1.9008361;      2.9777277;      0.0348526
        2005;           7;      0.2564609;      0.3798153;      0.7285457;      0.0669957;      2.2443938;      3.5168343;      0.0406559
        2005;           8;      0.3070054;      0.4322652;      0.8367288;      0.0825989;      2.6289005;      4.0979619;      0.0415385
        2005;           9;      0.2323694;      0.2882636;      0.5511014;      0.0646705;      1.8263358;      2.8250904;      0.0249629
        2005;          10;      0.1313867;      0.1529853;      0.2867482;      0.0367827;      0.9822963;      1.5156696;      0.0132132
        2005;          11;      0.1100416;      0.1185364;      0.2209238;      0.0304801;      0.7792789;      1.1977243;      0.0117986
        2005;          12;      0.0898697;      0.0910401;      0.1681192;      0.0251332;      0.6099907;      0.9340633;      0.0090315
        2006;           1;      0.0860163;      0.0873893;      0.1605731;      0.0242310;      0.5820767;      0.8915999;      0.0083769
        2006;           2;      0.0812510;      0.0829371;      0.1527068;      0.0228457;      0.5521562;      0.8459675;      0.0079982
        2006;           3;      0.1012291;      0.1058170;      0.1953369;      0.0284316;      0.6983892;      1.0715731;      0.0101143
        2006;           4;      0.1455721;      0.1601019;      0.2992231;      0.0405772;      1.0427247;      1.6041912;      0.0154122
        2006;           5;      0.2086503;      0.2451436;      0.4646126;      0.0577433;      1.5714680;      2.4254596;      0.0232205
        2006;           6;      0.1924347;      0.2510899;      0.4678141;      0.0539558;      1.5292119;      2.3785076;      0.0207826
        2006;           7;      0.2101378;      0.2863293;      0.5304520;      0.0588297;      1.7081031;      2.6657567;      0.0234607
        2006;           8;      0.1898957;      0.2955001;      0.5293995;      0.0526044;      1.6415848;      2.5933878;      0.0239613
        2006;           9;      0.1221325;      0.2078449;      0.3550597;      0.0333256;      1.0883580;      1.7384183;      0.0167797
        2006;          10;      0.0780471;      0.1177312;      0.2011439;      0.0217045;      0.6446592;      1.0207944;      0.0091895
        2006;          11;      0.1105196;      0.1188792;      0.2215529;      0.0306025;      0.7818182;      1.2015457;      0.0118807
        2006;          12;      0.0902603;      0.0913350;      0.1686922;      0.0252305;      0.6122686;      0.9374932;      0.0090972
        2007;           1;      0.0882793;      0.0892522;      0.1644792;      0.0247737;      0.5973408;      0.9145983;      0.0087292
        2007;           2;      0.0824600;      0.0838821;      0.1545960;      0.0231550;      0.5596691;      0.8572626;      0.0081652
        2007;           3;      0.1056052;      0.1096351;      0.2031986;      0.0294877;      0.7281199;      1.1165719;      0.0108280
        2007;           4;      0.1495128;      0.1655177;      0.3103932;      0.0414170;      1.0783163;      1.6595447;      0.0163244
        2007;           5;      0.2160765;      0.2631091;      0.5001138;      0.0590039;      1.6660914;      2.5779343;      0.0260890
        2007;           6;      0.2027603;      0.3078332;      0.5855349;      0.0518182;      1.7866752;      2.8090527;      0.0354259
        2007;           7;      0.2169570;      0.3391069;      0.6368438;      0.0525505;      1.9075165;      3.0162857;      0.0466022
        2007;           8;      0.2425902;      0.3814893;      0.7147850;      0.0576779;      2.1275880;      3.3694468;      0.0554654
        2007;           9;      0.1882960;      0.2896558;      0.5413370;      0.0453755;      1.6303291;      2.5777717;      0.0409279
        2007;          10;      0.1376858;      0.1836975;      0.3458555;      0.0362629;      1.1145250;      1.7384404;      0.0202190
        2007;          11;      0.1039285;      0.1252747;      0.2337678;      0.0277633;      0.7857991;      1.2183678;      0.0139213
        2007;          12;      0.0922092;      0.0945844;      0.1751772;      0.0255514;      0.6317428;      0.9683489;      0.0097746
        2008;           1;      0.0894682;      0.0899364;      0.1657637;      0.0250943;      0.6031762;      0.9232069;      0.0088844
        2008;           2;      0.0835146;      0.0846422;      0.1561173;      0.0234217;      0.5658897;      0.8665749;      0.0083220
        2008;           3;      0.1041062;      0.1078671;      0.1995112;      0.0291606;      0.7154774;      1.0971051;      0.0105323
        2008;           4;      0.1477031;      0.1609182;      0.3003895;      0.0411959;      1.0499660;      1.6145542;      0.0156637
        2008;           5;      0.2100756;      0.2416795;      0.4546638;      0.0585635;      1.5494969;      2.3896406;      0.0228089
        2008;           6;      0.2353144;      0.3292966;      0.6307983;      0.0624488;      1.9877826;      3.1027777;      0.0340555
        2008;           7;      0.2525101;      0.3684822;      0.7111936;      0.0672255;      2.2089820;      3.4529366;      0.0361009
        2008;           8;      0.2783614;      0.4227630;      0.8158678;      0.0729943;      2.4913514;      3.9059951;      0.0435697
        2008;           9;      0.2182506;      0.3147359;      0.6049731;      0.0579999;      1.8888134;      2.9519713;      0.0313195
        2008;          10;      0.1234672;      0.1731659;      0.3255077;      0.0320438;      1.0296589;      1.6121730;      0.0195146
        2008;          11;      0.0993434;      0.1246575;      0.2322490;      0.0261807;      0.7677746;      1.1943657;      0.0143517
        2008;          12;      0.0911309;      0.0972665;      0.1804148;      0.0249402;      0.6393906;      0.9830812;      0.0104437
        2009;           1;      0.0919898;      0.0931242;      0.1722555;      0.0255961;      0.6246976;      0.9566436;      0.0095220
        2009;           2;      0.0856102;      0.0869512;      0.1608252;      0.0238817;      0.5822870;      0.8918046;      0.0087561
        2009;           3;      0.1072986;      0.1106466;      0.2050717;      0.0299418;      0.7364637;      1.1289254;      0.0110612
        2009;           4;      0.1507319;      0.1643330;      0.3075503;      0.0418727;      1.0744349;      1.6521230;      0.0162692
        2009;           5;      0.2239371;      0.2644395;      0.5016919;      0.0614183;      1.6904271;      2.6107447;      0.0263856
        2009;           6;      0.2435992;      0.3244437;      0.6225128;      0.0657604;      2.0002079;      3.1102471;      0.0318832
        2009;           7;      0.2745986;      0.3580750;      0.6909915;      0.0755081;      2.2405581;      3.4747756;      0.0320286
        2009;           8;      0.3048200;      0.3892703;      0.7508006;      0.0847262;      2.4534938;      3.7989850;      0.0333587
        2009;           9;      0.2051815;      0.2605511;      0.4915485;      0.0575101;      1.6214993;      2.5143852;      0.0214469
        2009;          10;      0.1474123;      0.1718846;      0.3240667;      0.0407124;      1.1048634;      1.7051638;      0.0162224
        2009;          11;      0.1111871;      0.1241923;      0.2318221;      0.0303290;      0.8042312;      1.2397095;      0.0131416
        2009;          12;      0.0928013;      0.0948672;      0.1756822;      0.0257079;      0.6342888;      0.9720665;      0.0098642
        2010;           1;      0.0914258;      0.0921203;      0.1702194;      0.0255147;      0.6186342;      0.9470203;      0.0093087
        2010;           2;      0.0867154;      0.0881416;      0.1631659;      0.0241248;      0.5903436;      0.9042441;      0.0090107
        2010;           3;      0.1085581;      0.1122436;      0.2083129;      0.0301965;      0.7471032;      1.1454638;      0.0113818
        2010;           4;      0.1535937;      0.1669092;      0.3125413;      0.0425864;      1.0927722;      1.6800458;      0.0167638
        2010;           5;      0.2280564;      0.2635199;      0.4991185;      0.0627904;      1.6956009;      2.6152632;      0.0263098
        2010;           6;      0.2702197;      0.3473560;      0.6643817;      0.0728969;      2.1593876;      3.3521278;      0.0355836
        2010;           7;      0.2557210;      0.3810806;      0.7298233;      0.0664238;      2.2416160;      3.5153017;      0.0417087
        2010;           8;      0.2652407;      0.4141220;      0.7945216;      0.0680736;      2.3971198;      3.7703898;      0.0460695
        2010;           9;      0.1943754;      0.2999307;      0.5676109;      0.0487579;      1.7184509;      2.7082648;      0.0366875
        2010;          10;      0.1378084;      0.1855434;      0.3480645;      0.0358075;      1.1149095;      1.7418998;      0.0217339
        2010;          11;      0.1101704;      0.1273408;      0.2375259;      0.0296433;      0.8113601;      1.2543670;      0.0141761
        2010;          12;      0.0939400;      0.0958466;      0.1775086;      0.0259796;      0.6410708;      0.9824253;      0.0101020
        2011;           1;      0.0929911;      0.0932428;      0.1723662;      0.0259029;      0.6273391;      0.9601051;      0.0095849
        2011;           2;      0.0871288;      0.0877198;      0.1622246;      0.0242919;      0.5891212;      0.9018054;      0.0089611
        2011;           3;      0.1094026;      0.1119915;      0.2076160;      0.0304901;      0.7474001;      1.1452039;      0.0113767
        2011;           4;      0.1546534;      0.1663119;      0.3109931;      0.0429629;      1.0915047;      1.6770875;      0.0167529
        2011;           5;      0.2241186;      0.2535299;      0.4782963;      0.0621850;      1.6385598;      2.5241654;      0.0248848
        2011;           6;      0.2687278;      0.3294199;      0.6296909;      0.0736698;      2.0866036;      3.2278337;      0.0320673
        2011;           7;      0.2510139;      0.3733298;      0.7176385;      0.0658766;      2.2099073;      3.4619911;      0.0388478
        2011;           8;      0.2778991;      0.4242351;      0.8171323;      0.0724367;      2.4886134;      3.9047897;      0.0448520
        2011;           9;      0.2154525;      0.3153973;      0.6051053;      0.0567900;      1.8774396;      2.9384425;      0.0323625
        2011;          10;      0.1273399;      0.1792542;      0.3348501;      0.0323966;      1.0535218;      1.6527772;      0.0221276
        2011;          11;      0.0985293;      0.1258129;      0.2335841;      0.0255669;      0.7648999;      1.1925882;      0.0154415
        2011;          12;      0.0913115;      0.0993230;      0.1841416;      0.0247583;      0.6465493;      0.9958412;      0.0111114
        2012;           1;      0.0942776;      0.0948385;      0.1754787;      0.0261619;      0.6374920;      0.9759591;      0.0099409
        2012;           2;      0.0883835;      0.0892074;      0.1651511;      0.0245525;      0.5988639;      0.9169505;      0.0092833
        2012;           3;      0.1098679;      0.1121280;      0.2078414;      0.0306209;      0.7490103;      1.1474633;      0.0114311
        2012;           4;      0.1571494;      0.1699565;      0.3184011;      0.0434537;      1.1146040;      1.7132484;      0.0174376
        2012;           5;      0.2293836;      0.2686341;      0.5092841;      0.0627503;      1.7198473;      2.6553941;      0.0275038
        2012;           6;      0.2500421;      0.3291730;      0.6308417;      0.0674685;      2.0344720;      3.1618817;      0.0328447
        2012;           7;      0.2766904;      0.3495211;      0.6721178;      0.0766627;      2.2066815;      3.4159803;      0.0307652
        2012;           8;      0.2915946;      0.3704203;      0.7086911;      0.0814832;      2.3239784;      3.5995989;      0.0311968
        2012;           9;      0.1876984;      0.2473328;      0.4606546;      0.0526343;      1.5031477;      2.3392441;      0.0200908
        2012;          10;      0.1492833;      0.1901069;      0.3577650;      0.0396403;      1.1724800;      1.8231921;      0.0210002
        2012;          11;      0.1144767;      0.1275406;      0.2378268;      0.0310307;      0.8244132;      1.2711934;      0.0141062
        2012;          12;      0.0955306;      0.0961905;      0.1780474;      0.0264472;      0.6462531;      0.9895269;      0.0102269
        2013;           1;      0.0939588;      0.0940321;      0.1738783;      0.0261345;      0.6331283;      0.9688935;      0.0097741
        2013;           2;      0.0886385;      0.0902086;      0.1671429;      0.0245379;      0.6038601;      0.9251908;      0.0095025
        2013;           3;      0.1106213;      0.1168618;      0.2173862;      0.0304282;      0.7718745;      1.1854970;      0.0124039
        2013;           4;      0.1532294;      0.1779985;      0.3344992;      0.0414970;      1.1368141;      1.7564409;      0.0192190
        2013;           5;      0.2119687;      0.2729968;      0.5180030;      0.0565037;      1.6844229;      2.6185899;      0.0296032
        2013;           6;      0.2470045;      0.3431551;      0.6556195;      0.0651565;      2.0681431;      3.2287891;      0.0369667
        2013;           7;      0.1930407;      0.2981592;      0.5490367;      0.0437707;      1.6391834;      2.6041918;      0.0495448
