Year;Month;Species;Concentration_Shallow;Concentration_Deep;SD_S;SD_D;Conc_S_3;Conc_D_3;SD_S_3;SD_D_3
2005;1;NH4;0.941212391;0.822756057;4.744470466;5.586143571;15.61428571;14.35714286;7.638142738;11.40888966
2005;2;NH4;1.330060307;1.496600277;2.703238798;1.979898987;17.82428571;17.72285714;8.122128252;5.593030649
2005;3;NH4;1.047934008;1.370022007;0;4.13657467;17.4;28.14166667;0;12.14833379
2005;4;NH4;1.266080631;1.48065875;2.024742934;16.55490641;8.422632887;10.2121103;2.665327265;8.992285828
2005;5;NH4;0.751568964;1.361807469;0;0;12.78144;15.70247578;0;0.46235448
2005;6;NH4;1.266080631;1.254536093;0;6.600530675;44.870144;23.72292057;9.801288;5.820887537
2005;7;NH4;1.798430541;2.069172137;0;0;15.2;19.6;0;0
2005;8;NH4;1.266080631;1.254536093;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;9;NH4;1.266080631;1.254536093;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;10;NH4;1.266080631;1.254536093;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;11;NH4;1.266080631;1.254536093;0;0;38.35;#DIV/0!;7.45;#DIV/0!
2005;12;NH4;1.71343702;1.254536093;5.720850753;3.464823228;10.64166667;10.895;3.87093622;2.905352819
2006;1;NH4;0.793414466;1.0964349;4.671545069;6.434671709;13.19;13.69875;5.99506702;8.477691958
2006;2;NH4;1.160992302;0.479758004;0;3.125411973;11.295;9.4925;5.805;2.79321835
2006;3;NH4;1.266080631;0.871605485;5.334630043;1.087982778;18.529438;13.823764;7.392680857;4.810830803
2006;4;NH4;1.345144795;0.943433585;3.622614157;2.418305192;12.34;12.08428571;2.987306479;5.056073737
2006;5;NH4;0.960353973;0.773743759;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2006;6;NH4;1.266080631;1.254536093;6.561503893;0;24.04;35.1;9.024765925;20.6
2005;1;NO3;1.625557821;2.546594021;2.849894735;14.61589717;18.27714286;61.62714286;20.05555621;128.5652823
2005;2;NO3;0.366702344;0.625864791;1.49067099;0.799030663;8.231428571;33.56142857;6.565059957;68.83155826
2005;3;NO3;0.394067616;0.39287031;0;0.898025612;2.35;4.436666667;0;2.908611735
2005;4;NO3;0.322480534;0.375113016;0.991682073;20.85965005;1.833333333;6.144285714;1.011066544;10.05553417
2005;5;NO3;0.182535502;0.489163787;0;0;3.924745588;4.519431779;0;1.763099065
2005;6;NO3;0.322480534;0.526650606;0;0.489687709;7.546876;6.163671;4.026893;9.080114002
2005;7;NO3;0.313709214;0.39654466;0;0;2.7;3.3;0;0
2005;8;NO3;0.322480534;0.526650606;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;9;NO3;0.322480534;0.526650606;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;10;NO3;0.322480534;0.526650606;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;11;NO3;0.322480534;0.526650606;0;0;1;#DIV/0!;0;#DIV/0!
2005;12;NO3;0.201451087;0.526650606;7.457157635;2.022325394;3.46;2.265;4.958628843;1.619467505
2006;1;NO3;0.228476546;0.34191751;0;0;59.68580292;2.262869385;136.0265276;3.341238331
2006;2;NO3;0.071397468;0.156562478;0;0.698246733;634.4194573;1.877739643;628.9693998;0.944623738
2006;3;NO3;0.322480534;0.304388545;2.001846352;1.695384192;139.5822678;3.370475587;265.0238141;1.540609969
2006;4;NO3;0.358915285;0.235367561;0.659224126;2.842501557;2.388404017;2.250521246;1.369733186;1.542985818
2006;5;NO3;0.118621834;0.268072849;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2006;6;NO3;0.322480534;0.526650606;2.760195913;0;6.047176009;6.313575787;2.0437288;3.917444213
2005;1;DOC;139.80296;87.87658609;0.789780512;0.041845133;2.852537008;1.216130472;0.558459156;0.029588977
2005;2;DOC;183.0085715;101.3142052;1.769273674;0.341532575;1.7952;0.690142857;1.192988416;0.268845908
2005;3;DOC;98.10209638;56.30299972;0;0;2.87997475;0.661223622;0;0.250655819
2005;4;DOC;136.4106875;49.60672095;2.722361108;0.288499567;2.0116;0.669333333;1.552407756;0.407874436
2005;5;DOC;160.4798223;44.08585374;0;0;2.217443667;0.382791264;0;0.010282703
