 ;;µmol/kg;;;kg/ha;;
 YEAR;Month;SO4;PO4;Chloride;SO4;PO4;Chloride
        2005;           1;   3079.3762207;   9994.5068359;     78.2577896;    146.6297455;    459.7099915;     28.8407593
        2005;           2;   3085.5878906;   9994.5068359;     76.1301575;    146.9255219;    459.7099915;     28.0566502
        2005;           3;   3098.0297852;   9994.5068359;     74.0071411;    147.5179443;    459.7099915;     27.2742424
        2005;           4;   3104.2597656;   9994.5068359;     75.0172348;    147.8146210;    459.7099915;     27.6464977
        2005;           5;   3104.2597656;   9994.5068359;     76.7892151;    147.8146210;    459.7099915;     28.2995358
        2005;           6;   3104.2597656;   9994.5068359;     83.1837006;    147.8146210;    459.7099915;     30.6561317
        2005;           7;   3104.2597656;   9994.5068359;     86.6684723;    147.8146210;    459.7099915;     31.9403896
        2005;           8;   3104.2597656;   9994.5068359;     86.7107925;    147.8146210;    459.7099915;     31.9559860
        2005;           9;   3104.2597656;   9994.5068359;     86.6259384;    147.8146210;    459.7099915;     31.9247208
        2005;          10;   3104.2597656;   9994.5068359;     86.6259384;    147.8146210;    459.7099915;     31.9247208
        2005;          11;   3141.7734375;   9994.5068359;     76.3810959;    149.6008759;    459.7099915;     28.1491280
        2005;          12;   3166.9074707;   9994.5068359;     74.0071411;    150.7976837;    459.7099915;     27.2742424
        2006;           1;   3204.7961426;   9994.5068359;     69.8257599;    152.6018219;    459.7099915;     25.7332573
        2006;           2;   3211.1330566;   9994.5068359;     68.9507523;    152.9035645;    459.7099915;     25.4107857
        2006;           3;   3223.8251953;   9994.5068359;     59.3343887;    153.5079041;    459.7099915;     21.8668156
        2006;           4;   3230.1806641;   9994.5068359;     63.3700142;    153.8105469;    459.7099915;     23.3540840
        2006;           5;   3230.1806641;   9994.5068359;     64.9978409;    153.8105469;    459.7099915;     23.9540005
        2006;           6;   3236.5427246;   9994.5068359;     74.3942337;    154.1134796;    459.7099915;     27.4169006
        2006;           7;   3236.5427246;   9994.5068359;     74.2663345;    154.1134796;    459.7099915;     27.3697643
        2006;           8;   3236.5427246;   9994.5068359;     74.3304214;    154.1134796;    459.7099915;     27.3933849
        2006;           9;   3236.5427246;   9994.5068359;     74.2663345;    154.1134796;    459.7099915;     27.3697643
        2006;          10;   3236.5427246;   9994.5068359;     74.3304214;    154.1134796;    459.7099915;     27.3933849
        2006;          11;   3274.8444824;   9994.5068359;     73.1319733;    155.9372711;    459.7099915;     26.9517136
        2006;          12;   3300.5043945;   9994.5068359;     71.2155533;    157.1591339;    459.7099915;     26.2454433
        2007;           1;   3313.3715820;   9994.5068359;     69.8683472;    157.7718353;    459.7099915;     25.7489529
        2007;           2;   3332.7197266;   9994.5068359;     69.5679550;    158.6931152;    459.7099915;     25.6382465
        2007;           3;   3339.1816406;   9994.5068359;     70.5761414;    159.0008087;    459.7099915;     26.0098019
        2007;           4;   3345.6499023;   9994.5068359;     72.9926910;    159.3088074;    459.7099915;     26.9003830
        2007;           5;   3345.6499023;   9994.5068359;     74.5839844;    159.3088074;    459.7099915;     27.4868298
