 ;;µmol/kg;;;;;;;kg/ha;;;;;
 YEAR;Month;Ca;Mg;K;Na;NH4;Al;H;Ca;Mg;K;Na;NH4;Al
        2005;           1;  16480.5097656;   3005.0278320;   2465.0942383;    504.9480286;      0.0086614;  58770.0351562;   5012.2280273;    853.4624634;     94.3738937;    124.5372086;     14.9999437;      0.0001568;   2048.9423828
        2005;           2;  16477.9687500;   3003.9802246;   2466.5686035;    497.7103577;      0.0157792;  58768.2617188;   5030.7407227;    853.3308105;     94.3409958;    124.6117020;     14.7849407;      0.0002856;   2048.8806152
        2005;           3;  16474.1933594;   3001.8403320;   2468.2280273;    489.5593567;      0.0264633;  58766.1757812;   5055.1035156;    853.1353760;     94.2737885;    124.6955338;     14.5428085;      0.0004789;   2048.8078613
        2005;           4;  16470.9472656;   2998.8693848;   2468.5810547;    486.2545776;      0.0172613;  58764.3671875;   5075.9531250;    852.9671631;     94.1804733;    124.7133713;     14.4446363;      0.0003124;   2048.7448730
        2005;           5;  16465.3906250;   2992.6401367;   2466.4116211;    483.8819275;      0.0004508;  58762.4453125;   5109.9106445;    852.6794434;     93.9848557;    124.6037827;     14.3741541;      0.0000082;   2048.6779785
        2005;           6;  16462.5097656;   2990.0505371;   2465.8696289;    487.2732849;      0.0000000;  58759.9609375;   5125.4091797;    852.5302124;     93.9035187;    124.5763855;     14.4748983;      0.0000000;   2048.5913086
        2005;           7;  16460.7011719;   2988.9248047;   2466.2072754;    493.9286804;      0.0000000;  58756.9101562;   5133.5014648;    852.4365845;     93.8681641;    124.5934525;     14.6726027;      0.0000000;   2048.4851074
        2005;           8;  16460.3007812;   2989.7099609;   2465.0393066;    495.0384216;      0.0000000;  58754.0781250;   5141.0791016;    852.4158936;     93.8928299;    124.5344315;     14.7055693;      0.0000000;   2048.3862305
        2005;           9;  16460.1210938;   2990.6347656;   2464.0747070;    496.2004395;      0.0000000;  58751.4648438;   5147.4179688;    852.4065552;     93.9218674;    124.4857025;     14.7400885;      0.0000000;   2048.2951660
        2005;          10;  16461.2265625;   2992.1801758;   2464.4406738;    497.2928162;      0.0000000;  58749.0507812;   5147.6801758;    852.4638062;     93.9704056;    124.5041885;     14.7725382;      0.0000000;   2048.2109375
