 YEAR;Month;Ca;Mg;K;Na;NO3;NH4;SO4;Cl;P;DOC;Al;Si
;;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr;kg/ha/yr
        2005;           1;      2.4940300;      2.5005198;      2.8916941;      5.7985997;      0.1339712;      0.1075051;      2.0584624;     17.2971592;      0.0254670;      7.4162145;      0.0000010;      5.9976773
        2005;           2;      0.4261484;      0.4271547;      0.4906984;      0.9805615;      0.0201522;      0.0351414;      0.3464270;      2.6227679;      0.0089302;      2.5651250;      0.0000014;      0.9729336
        2005;           3;      0.6437311;      0.6450083;      0.7098216;      1.4128425;      0.0264573;      0.0708912;      0.4790878;      3.1931620;      0.0153914;      6.6631584;      0.0000022;      1.2435768
        2005;           4;      0.2877588;      0.2882574;      0.2799270;      0.5565791;      0.0019682;      0.0129754;      0.1621901;      1.1530530;      0.0034065;      3.7898855;      0.0000034;      0.5403068
        2005;           5;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000120;      0.0000000
        2005;           6;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000041;      0.0000000
        2005;           7;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000011;      0.0000000
        2005;           8;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000007;      0.0000000
        2005;           9;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000003;      0.0000000
        2005;          10;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000002;      0.0000000
        2005;          11;      2.9892488;      2.9925671;      3.0328612;      6.1286039;      0.0035902;      0.0150639;      1.8941463;     13.1822710;      0.0248320;     32.6430893;      0.0000018;     15.3785276
        2005;          12;      1.5896165;      1.5907062;      1.8809165;      3.7825372;      0.0166950;      0.0388505;      1.3691301;      8.2852507;      0.0179815;     13.9882784;      0.0000013;      5.7051458
        2006;           1;      1.7564744;      1.7566936;      2.4396589;      4.8589640;      0.0409205;      0.0975981;      2.0831215;     10.3325243;      0.0277508;     12.0967474;      0.0000009;      2.9791906
        2006;           2;      0.2565481;      0.2565804;      0.3798505;      0.7578791;      0.0065323;      0.0299401;      0.3450350;      1.0424936;      0.0081078;      2.8491325;      0.0000004;      0.4869249
        2006;           3;      0.4727406;      0.4727548;      0.6664270;      1.3310180;      0.0139267;      0.0548513;      0.5751525;      1.7920519;      0.0112575;      6.1915603;      0.0000008;      0.8839289
        2006;           4;      0.2229394;      0.2229050;      0.2658204;      0.5294954;      0.0003178;      0.0042199;      0.1888805;      0.6571203;      0.0034633;      3.7328434;      0.0000021;      0.4127722
        2006;           5;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000094;      0.0000000
        2006;           6;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000011;      0.0000000
        2006;           7;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000004;      0.0000000
        2006;           8;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000001;      0.0000000
        2006;           9;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000
        2006;          10;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000;      0.0000000
        2006;          11;      2.6457162;      2.6443322;      2.8412263;      5.7647533;      0.0066207;      0.0272730;      1.8777206;     10.2522869;      0.0272853;     32.5313187;      0.0000013;     13.5147800
        2006;          12;      1.5384039;      1.5368439;      1.8470814;      3.7216635;      0.0146496;      0.0409823;      1.3641295;      7.8386884;      0.0183940;     14.4622908;      0.0000013;      5.2552662
        2007;           1;      0.7016495;      0.7007951;      0.9101980;      1.8292916;      0.0105145;      0.0335658;      0.7258236;      3.6763990;      0.0110519;      6.2590637;      0.0000010;      1.8868887
        2007;           2;      0.8859196;      0.8845708;      1.1773491;      2.3574581;      0.0246732;      0.0728645;      0.9610155;      4.6966777;      0.0165333;      7.9235287;      0.0000010;      1.5320640
