 YEAR;Month;Ca;Mg;K;Na;NO3;NH4;SO4;Cl;P;DOC;H;pH;Al;R;HR;Si
;;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;no unit;µmol/L;µmol/L;µmol/L;µmol/L
        2005;           1;     11.7407331;     18.7018738;     16.6906223;     52.4230118;      1.8363799;      1.7262003;     12.2754507;    102.9137650;      0.1671471;    112.1107330;      9.8507385;      5.0156250;      0.0068040;     12.3184681;      3.6973524;     46.1056709
        2005;           2;     12.3169270;     19.6216583;     17.5561047;     54.9982567;      1.7791353;      3.3011763;     12.9792747;    100.2221375;      0.3767840;    213.8005066;     11.4292383;      4.9746094;      0.0082246;     23.2380104;      7.3049202;     45.8043098
        2005;           3;     14.1128588;     22.4852600;     19.2513847;     60.0640602;      1.7390851;      5.6436439;     13.6125612;     95.5930710;      0.5544628;    440.7544250;     13.5624332;      4.9218750;      0.0103644;     47.2192192;     15.7456989;     44.8214111
        2005;           4;     17.7263603;     28.2430325;     21.8067608;     68.0302658;      0.5203927;      2.9706335;     13.5224457;    100.8732681;      0.6035573;    697.1625977;     16.6691818;      4.8417969;      0.0142078;     72.9967957;     26.5978680;     53.1473541
        2005;           5;     25.1307964;     40.0365601;     27.0541325;     84.5563354;      0.0000000;      0.0000000;     13.4822054;    122.9598846;      1.6496383;   1211.2475586;     27.6605167;      4.6582031;      0.0332888;    119.7846451;     53.2507286;     71.0660019
        2005;           6;     35.5263443;     56.5979080;     33.7056923;    106.0364151;      0.0000000;      0.0000000;     15.5002880;    161.6170044;      0.0000000;   1561.3730469;     26.2059326;      4.7226562;      0.0274962;    157.6507721;     65.4025345;    105.9610901
        2005;           7;     34.8242683;     55.4816704;     28.3601208;     90.0234528;      0.0000000;      0.0000000;     10.5393639;    150.0000000;      0.0000000;   1405.2357178;     16.5481701;      4.7812500;      0.0155637;    144.4923401;     56.2556229;    114.0923920
        2005;           8;     33.6883583;     53.6751976;     27.8720932;     88.6443558;      0.0000000;      0.0000000;     10.7879658;    175.0000000;      0.0000000;   1264.7121582;     26.6551571;      4.5742188;      0.0394026;    121.5903015;     59.0828667;    125.2608490
        2005;           9;     31.8534012;     50.7553329;     27.0846195;     86.3286438;      0.0000000;      0.0000000;     10.7879658;    169.5312500;      0.0000000;   1138.2409668;     23.7137375;      4.6250000;      0.0308436;    111.3328247;     51.2730255;    134.0436707
        2005;          10;     30.4202671;     48.4743538;     26.4702721;     84.4616165;      0.0000000;      0.0000000;     11.7862415;    169.9218750;      0.0000000;   1024.4168701;     24.3623257;      4.6132812;      0.0326049;     99.8062363;     46.5390396;    139.4295197
        2005;          11;     14.6768980;     23.4102268;     18.3547382;     58.0244064;      0.0367626;      0.3669361;     12.0428934;     81.4221344;      0.1822873;    539.7565918;     11.0137377;      4.9589844;      0.0080608;     58.4190750;     18.6890087;    113.8338699
        2005;          12;     10.7840929;     17.2094479;     15.6880474;     49.3419075;      0.2618060;      0.8815910;     12.0159092;     69.4105453;      0.1751153;    337.0331116;      9.0549707;      5.0429688;      0.0061014;     37.2951851;     10.8524084;     66.7360687
