kg/ha/month
 YEAR;Month;Ca;Mg;K;Na;Al;Si;P
        2005;           1;      0.0003506;      0.0003272;      0.0001967;      0.0001740;      0.0013186;      0.0027553;      0.0000392
        2005;           2;      0.0003335;      0.0003117;      0.0001874;      0.0001648;      0.0012536;      0.0026202;      0.0000374
        2005;           3;      0.0004246;      0.0003961;      0.0002372;      0.0002078;      0.0015853;      0.0033192;      0.0000479
        2005;           4;      0.0005443;      0.0005165;      0.0003123;      0.0002613;      0.0020478;      0.0042831;      0.0000618
        2005;           5;      0.0007500;      0.0007298;      0.0004482;      0.0003515;      0.0028647;      0.0059746;      0.0000863
        2005;           6;      0.0010129;      0.0009827;      0.0006012;      0.0004694;      0.0038520;      0.0080415;      0.0001161
        2005;           7;      0.0009796;      0.0009837;      0.0006179;      0.0004495;      0.0038579;      0.0079862;      0.0001157
        2005;           8;      0.0010686;      0.0010863;      0.0006858;      0.0004826;      0.0042277;      0.0087461;      0.0001284
        2005;           9;      0.0008303;      0.0008508;      0.0005374;      0.0003739;      0.0033011;      0.0068227;      0.0001010
        2005;          10;      0.0004960;      0.0005047;      0.0003176;      0.0002307;      0.0019842;      0.0040933;      0.0000592
        2005;          11;      0.0005017;      0.0004716;      0.0002833;      0.0002422;      0.0018760;      0.0039279;      0.0000569
        2005;          12;      0.0003811;      0.0003553;      0.0002131;      0.0001880;      0.0014278;      0.0029865;      0.0000429
        2006;           1;      0.0003479;      0.0003247;      0.0001952;      0.0001727;      0.0013070;      0.0027325;      0.0000388
        2006;           2;      0.0002474;      0.0002440;      0.0001494;      0.0001197;      0.0009612;      0.0019997;      0.0000275
        2006;           3;      0.0003594;      0.0003439;      0.0002097;      0.0001762;      0.0013726;      0.0028617;      0.0000400
        2006;           4;      0.0005038;      0.0004829;      0.0002939;      0.0002414;      0.0019077;      0.0039866;      0.0000570
        2006;           5;      0.0007130;      0.0006976;      0.0004288;      0.0003320;      0.0027205;      0.0056791;      0.0000823
        2006;           6;      0.0009032;      0.0008886;      0.0005501;      0.0004183;      0.0034831;      0.0072475;      0.0001048
        2006;           7;      0.0009540;      0.0009595;      0.0006009;      0.0004338;      0.0037298;      0.0077393;      0.0001135
        2006;           8;      0.0010087;      0.0010334;      0.0006497;      0.0004462;      0.0039608;      0.0082166;      0.0001235
        2006;           9;      0.0007764;      0.0008047;      0.0005042;      0.0003393;      0.0030579;      0.0063435;      0.0000965
        2006;          10;      0.0004535;      0.0004701;      0.0002912;      0.0002022;      0.0017927;      0.0037179;      0.0000554
        2006;          11;      0.0004697;      0.0004456;      0.0002698;      0.0002275;      0.0017741;      0.0037064;      0.0000531
