 YEAR;Month;Ca;Mg;K;Na;NO3;NH4;SO4;Cl;P;DOC;H;pH;Al;R;HR;Si
;;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;µmol/L;no unit;µmol/L;µmol/L;µmol/L;µmol/L
        2005;           1;      5.1349192;     10.6084013;     39.0261879;    124.5592957;      3.3162723;     30.0368881;      8.3207588;    124.5264435;      0.6498225;    110.2414932;      0.0000458;     10.3476562;      0.0000001;     22.0470619;      0.0012380;     66.2011948
        2005;           2;      3.9639170;      8.1904402;     34.1324577;    109.7511826;      4.6968241;     31.7100086;      8.1038551;    119.1652451;      1.2367655;     84.9711304;      0.0000616;     10.2148438;      0.0000001;     16.9929695;      0.0012581;     64.2589645
        2005;           3;      2.3606329;      4.8802190;     26.5525341;     84.3214035;      5.4053569;     24.2751350;      8.2878332;     87.5270157;      0.8506888;    136.5578461;      0.0002251;      9.6621094;      0.0000004;     27.3054142;      0.0061534;     42.3155899
        2005;           4;      1.9270928;      3.9849167;     23.6048012;     74.7228928;      0.0000000;      0.0000000;      6.9083176;     73.3519745;      0.0376369;    159.5307465;      3.8529603;      5.4160156;      0.0067534;     26.8546314;      5.0515165;     34.4167480
        2005;           5;      1.9373088;      4.0066967;     23.8821583;     74.9656219;      0.0000000;      0.0000000;      6.1019950;     61.8097916;      0.0000000;    233.2143250;      3.1847091;      5.5097656;      0.0054551;     39.9369926;      6.7058740;     30.9307041
        2005;           6;      2.1926448;      4.5354090;     25.5700722;     79.6112595;      0.0000000;      0.0000000;      7.2791190;     26.2614288;      1.8089856;    305.4979248;      0.0003959;      9.4238281;      0.0000006;     61.0777092;      0.0218764;     34.3720589
        2005;           7;      2.0920603;      4.3266087;     25.6821404;     80.6879883;      0.1405291;      9.4224195;      4.6873879;      0.0000011;     15.3841867;    277.3542786;      0.0001314;      9.9277344;      0.0000002;     55.4634857;      0.0073698;     38.4206314
        2005;           8;      2.1256604;      4.3952937;     26.0904026;     82.6917648;      1.7493690;     38.8562126;      5.1838012;     28.3205452;     20.3336868;    273.2282410;      0.0001451;      9.8925781;      0.0000002;     54.6378593;      0.0077911;     43.7369003
        2005;           9;      2.1420884;      4.4285450;     25.8226299;     82.4871216;      0.8517396;     18.3378735;      4.5263953;      0.0000011;      7.5055113;    230.8789978;      0.0000901;     10.0878906;      0.0000001;     46.1713638;      0.0044339;     48.4301338
        2005;          10;      6.8411493;     14.1538754;     43.9502335;    133.0623627;     10.5262737;     44.9360237;      7.9170041;     25.2634563;      2.0874732;    907.6784058;      0.0001283;      9.8964844;      0.0000002;    181.5100098;      0.0256767;     84.7726440
        2005;          11;      5.5316920;     11.4586363;     39.5966988;    112.8771057;     10.3442335;     33.2814636;      8.3431444;      0.0000010;      0.4453689;    658.8665161;      0.0000537;     10.2832031;      0.0000001;    131.7648468;      0.0084591;     69.3618469
        2005;          12;      2.0046704;      4.1566558;     23.4282131;     64.9735718;      4.9340663;     16.2626820;      8.1638813;     25.2379112;      0.2742018;    221.0939484;      0.0000948;     10.0273438;      0.0000002;     44.2139854;      0.0048021;     28.1255875
        2006;           1;      0.8572646;      1.7788041;     15.1346178;     41.6108513;      2.1182656;      9.1609077;      8.1317959;      0.0000010;      0.3086263;     75.9216995;      0.0000656;     10.1816406;      0.0000001;     15.1831360;      0.0012028;      9.4625978
        2006;           2;      0.7617136;      1.5807904;     14.4324265;     39.7345810;      2.4717073;     10.7827454;      8.2571077;     25.5384941;      0.5974006;     78.6515503;      0.0002699;      9.5781250;      0.0000004;     15.7261343;      0.0041779;      9.2464085
        2006;           3;      0.8407325;      1.7452593;     14.8951006;     40.8248367;      2.7762122;     11.2618399;      7.9162049;      0.0000010;      0.4506910;     97.6110992;      0.0000808;     10.0878906;      0.0000001;     19.5203438;      0.0018746;     10.0756998
        2006;           4;      1.0439130;      2.1673574;     16.9630394;     46.3783226;      0.0000000;      0.0000000;      6.8827772;     25.9110184;      0.0000000;    136.4075012;      0.0013759;      8.8769531;      0.0000022;     27.2543011;      0.0271966;     13.5458603
        2006;           5;      1.4283861;      2.9654865;     19.9009399;     54.2922478;      0.0000000;      0.0000000;      4.8011651;      0.0000010;      0.0000000;    207.5440674;      0.0001710;      9.7871094;      0.0000003;     41.5015144;      0.0073061;     19.8580132
        2006;           6;      1.9136710;      3.9727988;     23.1609612;     63.0982704;      0.0000000;      0.0000000;      6.4893255;     26.5881138;      4.7815504;    291.8614502;      0.0157987;      7.8281250;      0.0000250;     58.0167923;      0.3554968;     29.1526604
        2006;           7;      1.8446785;      3.8288918;     23.3356628;     64.1416626;      0.1096829;      8.2936687;      4.4914684;      0.0000011;     15.6565485;    271.3211060;      0.0001934;      9.7636719;      0.0000003;     54.2542152;      0.0100040;     32.8975372
        2006;           8;      1.8422241;      3.8230906;     23.2882824;     64.5709763;      0.0227923;      3.2502708;      4.8836923;     28.0503674;     12.4574442;    246.0837250;      0.0006005;      9.2714844;      0.0000010;     49.1931839;      0.0235681;     37.1301880
        2006;           9;      1.7993205;      3.7334502;     22.7312908;     63.5152130;      0.0000000;      0.0000000;      4.2326918;      0.0000011;      8.2603683;    213.3597870;      0.0001593;      9.8378906;      0.0000003;     42.6651688;      0.0067859;     40.9020958
        2006;          10;      1.6643324;      3.4534078;     21.3963890;     60.1132660;      0.4149491;     16.5355072;      7.5715051;     26.2504253;      3.6628618;    158.6344910;      0.0001229;      9.9316406;      0.0000002;     31.7227173;      0.0041812;     43.0609016
        2006;          11;      3.6432703;      7.5751243;     30.9500065;     75.5343399;      4.7414527;     17.8982430;      8.3804188;      0.0000010;      0.3256583;    442.9179077;      0.0000875;     10.0742188;      0.0000001;     88.5748520;      0.0087437;     47.9603271
        2006;          12;      1.8532853;      3.8560152;     21.4770870;     51.2859573;      3.1907303;     12.2657442;      8.0319519;     24.7987652;      0.3256973;    193.0668793;      0.0001702;      9.7656250;      0.0000003;     38.6062813;      0.0070933;     24.7789230
        2007;           1;      1.2979628;      2.7014134;     18.0782394;     42.9764328;      2.7269580;     10.9443092;      8.1419983;      0.0000010;      0.3962304;    121.6481781;      0.0000688;     10.1660156;      0.0000001;     24.3276463;      0.0019896;     17.3396683
        2007;           2;      1.0449796;      2.1758657;     16.1317253;     37.9962387;      2.4708707;     10.2279854;      8.1358080;     25.0964222;      0.4081705;     88.1544800;      0.0002628;      9.5820312;      0.0000004;     17.6262512;      0.0046470;      9.9520607
        2007;           3;      1.2611083;      2.6265268;     17.7333965;     41.5515289;      3.3609431;     14.7954111;      7.9893627;      0.0000010;      0.8967639;    117.2768784;      0.0000736;     10.1367188;      0.0000001;     23.4533386;      0.0020370;     10.2655497
        2007;           4;      1.5491472;      3.2269647;     19.7442436;     46.0900002;      0.0000000;      0.0000000;      6.7151666;     25.5222530;      0.0000000;    151.2917633;      0.0006142;      9.2207031;      0.0000010;     30.2424049;      0.0159487;     13.9036045
        2007;           5;      1.7430352;      3.6305373;     21.3849201;     50.0622559;      0.0000000;      0.0000000;      4.2289119;      0.0000011;      0.0000000;    177.5202789;      0.0001491;      9.8554688;      0.0000002;     35.4986076;      0.0054535;     19.7313061
        2007;           6;      1.6182439;      3.3700619;     20.4161892;     48.2081070;      0.0000000;      0.0000000;      5.4128175;     26.2942753;      3.9105153;    154.9042206;      0.0006327;      9.2207031;      0.0000010;     30.9645157;      0.0163295;     22.1516418
        2007;           7;      1.4697198;      3.0602157;     19.7864056;     47.1460724;      0.0000000;      0.0000000;      4.3575096;      0.0000011;     12.8711548;    160.2169189;      0.0002259;      9.6835938;      0.0000004;     32.0364571;      0.0069235;     24.3168564
        2007;           8;      1.5383726;      3.2026322;     20.1797600;     48.4122772;      0.0000000;      0.0000000;      5.0750341;     27.1598454;     11.0934277;    184.4485016;      0.0022410;      8.6855469;      0.0000036;     36.8377457;      0.0519532;     29.5682564
        2007;           9;      2.6905534;      5.6011014;     26.1429482;     62.4353447;      0.0000000;      0.0000000;      5.3919396;      0.0000010;      4.0495491;    349.1948853;      0.0002704;      9.5878906;      0.0000004;     69.8207779;      0.0181994;     52.0077019
        2007;          10;      6.8435335;     14.2603273;     41.6296082;     92.4941177;      4.4541688;     19.7899113;      8.4161139;     26.5293198;      0.9172397;    730.6173096;      0.0018041;      8.7695312;      0.0000029;    145.9464569;      0.1769972;     93.2913589
        2007;          11;      4.5848618;      9.5599384;     33.0564194;     71.9031525;      5.3337669;     19.4733791;      8.0960150;      0.0000010;      0.5722105;    460.9261475;      0.0000780;     10.1113281;      0.0000001;     92.1767960;      0.0084343;     69.2454376
        2007;          12;      2.2297292;      4.6528606;     22.8780708;     48.9074020;      3.2634473;     12.5636902;      8.1116734;     25.1496468;      0.3047981;    177.8484192;      0.0001354;      9.8710938;      0.0000002;     35.5643883;      0.0052939;     28.2799263
        2008;           1;      0.9210979;      1.9230062;     14.5468578;     31.2633610;      2.5163412;      7.6163855;      8.0221548;      0.0000010;      0.2263921;     72.7553635;      0.0000924;     10.0312500;      0.0000001;     14.5495052;      0.0015681;     11.0965633
        2008;           2;      0.8822911;      1.8423802;     14.3439045;     30.9172974;      3.1946259;      9.4617548;      8.1142616;      0.0000010;      0.4900460;     83.8674927;      0.0001067;      9.9765625;      0.0000002;     16.7714787;      0.0020196;      9.5074310
        2008;           3;      1.1231356;      2.3459294;     16.2063732;     34.8505249;      3.8170648;     11.0789452;      8.0620985;     25.4745560;      0.4189415;    104.9160004;      0.0010282;      8.9960938;      0.0000016;     20.9663830;      0.0168144;     10.1580343
        2008;           4;      1.2700067;      2.6532650;     17.1010437;     36.7358665;      0.0000000;      0.0000000;      7.0496054;      0.0000010;      0.0000000;    126.4689102;      0.0001683;      9.7773438;      0.0000003;     25.2892437;      0.0045380;     13.7495508
        2008;           5;      1.1025678;      2.3030822;     16.1835899;     35.0383720;      0.0000000;      0.0000000;      2.7253633;     26.0641766;      0.0000000;    108.9318924;      0.0011204;      8.9687500;      0.0000018;     21.7680225;      0.0183579;     15.3815784
        2008;           6;      1.7079585;      3.5674388;     20.2950058;     43.9282722;      0.0000000;      0.0000000;      6.5139618;      0.0000011;      1.9992239;    219.1779785;      0.0003798;      9.4472656;      0.0000006;     43.8205833;      0.0150053;     30.5294476
        2008;           7;      1.5965860;      3.3342309;     20.1238785;     43.9735374;      0.0000000;      0.0000000;      4.3284173;     28.0379772;     10.3671722;    204.5146179;      0.8297501;      6.1308594;      0.0013359;     38.0126953;      2.8902295;     34.4508362
        2008;           8;      1.5148166;      3.1628900;     19.3114090;     42.5762520;      0.0000000;      0.0000000;      4.6311812;      0.0000011;     12.7065010;    194.7463531;      0.0003810;      9.4570312;      0.0000006;     38.9361877;      0.0130820;     37.8104820
        2008;           9;      1.4301034;      2.9855366;     18.8266811;     41.8232880;      0.0000000;      0.0000000;      4.2500734;     27.5278282;      6.6119685;    173.2159271;      0.1949300;      6.7519531;      0.0003101;     33.5649261;      1.0782613;     41.8491440
        2008;          10;      5.5787568;     11.6503239;     35.7317619;     77.1434631;      2.0158088;     17.3192902;      7.7428689;      0.0000010;      2.4875340;    647.7337646;      0.0002266;      9.6542969;      0.0000004;    129.5171204;      0.0296432;     95.4055023
        2008;          11;      6.5044732;     13.5959005;     38.1978722;     78.4947205;      4.1450911;     17.4679623;      8.1456556;     25.4898739;      0.6833402;    633.5888672;      0.0015843;      8.8085938;      0.0000025;    126.5747452;      0.1430306;     90.2294846
        2008;          12;      3.6589515;      7.6530128;     28.3827419;     57.6271667;      3.6326866;     12.4961424;      8.1088743;      0.0000010;      0.3126618;    319.0576782;      0.0000681;     10.1718750;      0.0000001;     63.8063774;      0.0051575;     52.0259628
        2009;           1;      2.5478072;      5.3307543;     24.1805363;     49.2012291;      3.4763620;     12.1452751;      8.4416447;     26.4896488;      0.4669463;    204.2320862;      0.0001953;      9.7343750;      0.0000003;     40.8384399;      0.0079807;     36.3296242
        2009;           2;      1.8852149;      3.9453502;     20.2282257;     41.3288956;      3.8820686;     12.4032030;      8.0336561;      0.0000010;      0.5129568;    158.0375519;      0.0000758;     10.1230469;      0.0000001;     31.6046867;      0.0028240;     25.9398041
        2009;           3;      1.5451633;      3.2346165;     18.3707142;     37.5953217;      3.7792344;     12.0499020;      8.0284271;     25.4294071;      0.3900222;    141.2022705;      0.0006756;      9.1777344;      0.0000011;     28.2243137;      0.0161374;     19.0121708
        2009;           4;      1.6136222;      3.3782692;     19.1241989;     39.2931137;      0.0000000;      0.0000000;      6.6344466;      0.0000011;      0.0000000;    151.9702454;      0.0001673;      9.8007812;      0.0000003;     30.3888474;      0.0052048;     21.1340141
        2009;           5;      2.2227490;      4.6539993;     22.4175987;     45.8340874;      0.0000000;      0.0000000;      6.1858621;     26.6034279;      0.0000000;    249.7367401;      1.6835122;      5.8007812;      0.0027657;     44.7218437;      5.2255030;     28.4504776
        2009;           6;      2.1680572;      4.5389395;     21.8774929;     45.1061516;      0.0000000;      0.0000000;      5.7088614;      0.0000010;      3.8545918;    239.3699646;      0.0003110;      9.5253906;      0.0000005;     47.8599052;      0.0140906;     33.2188988
        2009;           7;      2.1470065;      4.4942212;     22.3815956;     46.5691185;      0.0000000;      0.0000000;      4.6950269;     27.6303005;     11.1636972;    252.3258514;      1.1202244;      5.9941406;      0.0018150;     46.2533531;      4.2118187;     39.4526863
        2009;           8;      1.9732980;      4.1298976;     21.2282944;     44.6694031;      0.0000000;      0.0000000;      4.9260807;      0.0000011;     10.1365261;    219.2914886;      0.0003539;      9.4863281;      0.0000006;     43.8443756;      0.0139230;     42.9774895
        2009;           9;      3.4647577;      7.2511983;     27.6171246;     57.8440514;      0.0000000;      0.0000000;      5.5188355;     26.2552052;      5.2485380;    424.4172058;      3.1893139;      5.5175781;      0.0054540;     72.7789917;     12.1044493;     65.5168304
        2009;          10;      7.4436846;     15.5881491;     39.5947876;     79.1841736;      2.5329101;     13.4667225;      7.8901944;      0.0000010;      1.2672499;    757.7506714;      0.0004606;      9.3437500;      0.0000007;    151.4868927;      0.0632497;     96.8373795
        2009;          11;      4.8440528;     10.1526680;     31.4159298;     60.7520409;      3.7383657;     13.8208580;      7.7408934;     24.9482117;      0.4934025;    452.2071228;      0.0018899;      8.7226562;      0.0000030;     90.3222580;      0.1191836;     61.2492409
        2009;          12;      2.8782146;      6.0348935;     24.1770439;     46.6082840;      3.4329169;     11.5835810;      8.0708513;      0.0000010;      0.3278235;    245.8962097;      0.0000785;     10.1054688;      0.0000001;     49.1746864;      0.0045553;     38.6594353
        2010;           1;      1.9543918;      4.0995178;     19.8905678;     38.2489510;      3.3906186;     12.6315947;      8.0148506;     25.1106567;      0.5954876;    164.3544006;      0.0004293;      9.3691406;      0.0000007;     32.8578110;      0.0130702;     22.1822491
        2010;           2;      1.8121184;      3.8021731;     19.2055283;     36.8868103;      3.9917493;     15.0285978;      8.0469131;      0.0000010;      0.7070110;    152.7442017;      0.0000825;     10.0898438;      0.0000001;     30.5459194;      0.0029206;     15.8523817
        2010;           3;      1.7108256;      3.5909300;     18.3938541;     35.2517700;      4.1867237;     14.3280325;      7.8140144;     24.8335743;      0.4616096;    138.6561584;      0.0004246;      9.3691406;      0.0000007;     27.7202072;      0.0110266;     11.8644934
        2010;           4;      1.7585422;      3.6921432;     18.5192776;     35.4837799;      0.0000000;      0.0000000;      6.9982629;      0.0000010;      0.0000000;    143.5330811;      0.0001617;      9.7851562;      0.0000003;     28.7015438;      0.0050715;     13.1588449
        2010;           5;      2.0736177;      4.3537197;     20.1672134;     38.7190895;      0.0000000;      0.0000000;      5.3437634;     24.9707108;      0.0000000;    181.7761078;      0.0331876;      7.4785156;      0.0000526;     35.9689636;      0.3862593;     19.1346455
        2010;           6;      2.7915726;      5.8614178;     23.8871632;     45.8156319;      0.0000000;      0.0000000;      6.9652600;      0.0000010;      1.2569592;    277.0877991;      0.0003746;      9.4472656;      0.0000006;     55.3985863;      0.0189700;     30.7957878
        2010;           7;      2.5156550;      5.2812700;     23.2820187;     45.2066116;      0.0000000;      0.0000000;      4.2518191;     27.7226009;      8.4224052;    239.3628082;      0.0245809;      7.6542969;      0.0000390;     47.4869041;      0.3856578;     34.3453293
        2010;           8;      2.3174808;      4.8644214;     22.2212772;     43.6652069;      0.0000000;      0.0000000;      4.6824322;      0.0000011;      9.7645388;    212.9577179;      0.0003149;      9.5429688;      0.0000005;     42.5794334;      0.0121145;     37.9671326
        2010;           9;      5.3095140;     11.1455393;     32.4968719;     63.0422554;      0.0000000;      0.0000000;      5.9000678;     25.8494148;      2.9275236;    570.3861694;      4.3798962;      5.3730469;      0.0077769;     95.2189255;     18.8583241;     72.6735229
