"";"Harvest";"Rock_Type";"N";"variable";"value"
"1";"H1";"Sedimentary";"Low";"DW_F";9405,1962891
"2";"H1";"Sedimentary";"Low";"DW_Brk";34195,09375
"3";"H1";"Sedimentary";"Low";"DW_Brh";12530,1513672
"4";"H1";"Sedimentary";"Low";"DW_Bol";249235,25
"5";"H2";"Sedimentary";"Low";"DW_F";11667,7753906
"6";"H2";"Sedimentary";"Low";"DW_Brk";34097,6054688
"7";"H2";"Sedimentary";"Low";"DW_Brh";13310,2724609
"8";"H2";"Sedimentary";"Low";"DW_Bol";223179,703125
"9";"H3";"Sedimentary";"Low";"DW_F";11667,7597656
"10";"H3";"Sedimentary";"Low";"DW_Brk";31821,9726562
"11";"H3";"Sedimentary";"Low";"DW_Brh";12415,4189453
"12";"H3";"Sedimentary";"Low";"DW_Bol";206292,84375
"13";"H4";"Sedimentary";"Low";"DW_F";11667,7626953
"14";"H4";"Sedimentary";"Low";"DW_Brk";31556,3964844
"15";"H4";"Sedimentary";"Low";"DW_Brh";12351,1669922
"16";"H4";"Sedimentary";"Low";"DW_Bol";204424,515625
"17";"H5";"Sedimentary";"Low";"DW_F";11667,7587891
"18";"H5";"Sedimentary";"Low";"DW_Brk";32077,9296875
"19";"H5";"Sedimentary";"Low";"DW_Brh";12577,4941406
"20";"H5";"Sedimentary";"Low";"DW_Bol";207584,25
"21";"H6";"Sedimentary";"Low";"DW_F";11667,7597656
"22";"H6";"Sedimentary";"Low";"DW_Brk";32121,9023438
"23";"H6";"Sedimentary";"Low";"DW_Brh";12563,9101562
"24";"H6";"Sedimentary";"Low";"DW_Bol";207985,859375
"25";"H7";"Sedimentary";"Low";"DW_F";11667,7646484
"26";"H7";"Sedimentary";"Low";"DW_Brk";31984,5605469
"27";"H7";"Sedimentary";"Low";"DW_Brh";12484,5898438
"28";"H7";"Sedimentary";"Low";"DW_Bol";207209,59375
"29";"H8";"Sedimentary";"Low";"DW_F";11667,9501953
"30";"H8";"Sedimentary";"Low";"DW_Brk";31587,8105469
"31";"H8";"Sedimentary";"Low";"DW_Brh";12330,7929688
"32";"H8";"Sedimentary";"Low";"DW_Bol";204711,53125
"33";"H9";"Sedimentary";"Low";"DW_F";11668,2226562
"34";"H9";"Sedimentary";"Low";"DW_Brk";30985,0019531
"35";"H9";"Sedimentary";"Low";"DW_Brh";12081,4570312
"36";"H9";"Sedimentary";"Low";"DW_Bol";201004,71875
"37";"H10";"Sedimentary";"Low";"DW_F";10306,7470703
"38";"H10";"Sedimentary";"Low";"DW_Brk";16308,5214844
"39";"H10";"Sedimentary";"Low";"DW_Brh";8546,0625
"40";"H10";"Sedimentary";"Low";"DW_Bol";95607,609375
"41";"H11";"Sedimentary";"Low";"DW_F";9776,4238281
"42";"H11";"Sedimentary";"Low";"DW_Brk";6182,1972656
"43";"H11";"Sedimentary";"Low";"DW_Brh";3209,7658691
"44";"H11";"Sedimentary";"Low";"DW_Bol";42638,890625
"45";"H1";"Sedimentary";"High";"DW_F";9022,0771484
"46";"H1";"Sedimentary";"High";"DW_Brk";31797,7167969
"47";"H1";"Sedimentary";"High";"DW_Brh";12141,1992188
"48";"H1";"Sedimentary";"High";"DW_Bol";230306,59375
"49";"H2";"Sedimentary";"High";"DW_F";10074,6240234
"50";"H2";"Sedimentary";"High";"DW_Brk";8454,4726562
"51";"H2";"Sedimentary";"High";"DW_Brh";5225,3081055
"52";"H2";"Sedimentary";"High";"DW_Bol";55831,921875
"53";"H3";"Sedimentary";"High";"DW_F";9585,8974609
"54";"H3";"Sedimentary";"High";"DW_Brk";6603,3959961
"55";"H3";"Sedimentary";"High";"DW_Brh";5488,4467773
"56";"H3";"Sedimentary";"High";"DW_Bol";57713,6875
"57";"H4";"Sedimentary";"High";"DW_F";9592,9970703
"58";"H4";"Sedimentary";"High";"DW_Brk";6706,4936523
"59";"H4";"Sedimentary";"High";"DW_Brh";5596,4111328
"60";"H4";"Sedimentary";"High";"DW_Bol";58331,2070312
"61";"H5";"Sedimentary";"High";"DW_F";9609,3574219
"62";"H5";"Sedimentary";"High";"DW_Brk";6804,9091797
"63";"H5";"Sedimentary";"High";"DW_Brh";5677,8115234
"64";"H5";"Sedimentary";"High";"DW_Bol";58886,9609375
"65";"H6";"Sedimentary";"High";"DW_F";9628,1582031
"66";"H6";"Sedimentary";"High";"DW_Brk";6904,9311523
"67";"H6";"Sedimentary";"High";"DW_Brh";5770,6914062
"68";"H6";"Sedimentary";"High";"DW_Bol";59434,734375
"69";"H7";"Sedimentary";"High";"DW_F";9636,6445312
"70";"H7";"Sedimentary";"High";"DW_Brk";7004,3642578
"71";"H7";"Sedimentary";"High";"DW_Brh";5869,53125
"72";"H7";"Sedimentary";"High";"DW_Bol";59992,84375
"73";"H8";"Sedimentary";"High";"DW_F";9648,0019531
"74";"H8";"Sedimentary";"High";"DW_Brk";7093,6328125
"75";"H8";"Sedimentary";"High";"DW_Brh";5953,6030273
"76";"H8";"Sedimentary";"High";"DW_Bol";60483,7890625
"77";"H9";"Sedimentary";"High";"DW_F";9666,1513672
"78";"H9";"Sedimentary";"High";"DW_Brk";7164,0605469
"79";"H9";"Sedimentary";"High";"DW_Brh";6009,5556641
"80";"H9";"Sedimentary";"High";"DW_Bol";60882,4960938
"81";"H10";"Sedimentary";"High";"DW_F";9675,0058594
"82";"H10";"Sedimentary";"High";"DW_Brk";7249,2226562
"83";"H10";"Sedimentary";"High";"DW_Brh";6092,0576172
"84";"H10";"Sedimentary";"High";"DW_Bol";61362,1953125
"85";"H11";"Sedimentary";"High";"DW_F";9685,0419922
"86";"H11";"Sedimentary";"High";"DW_Brk";7304,3398438
"87";"H11";"Sedimentary";"High";"DW_Brh";6141,230957
"88";"H11";"Sedimentary";"High";"DW_Bol";61665,984375
"89";"H1";"Basalt";"High";"DW_F";8133,2714844
"90";"H1";"Basalt";"High";"DW_Brk";21094,5527344
"91";"H1";"Basalt";"High";"DW_Brh";9768,703125
"92";"H1";"Basalt";"High";"DW_Bol";151757,9375
"93";"H2";"Basalt";"High";"DW_F";5211,2539062
"94";"H2";"Basalt";"High";"DW_Brk";2856,8813477
"95";"H2";"Basalt";"High";"DW_Brh";2373,0756836
"96";"H2";"Basalt";"High";"DW_Bol";22642,1523438
"97";"H3";"Basalt";"High";"DW_F";4560,7524414
"98";"H3";"Basalt";"High";"DW_Brk";2016,8144531
"99";"H3";"Basalt";"High";"DW_Brh";1580,465332
"100";"H3";"Basalt";"High";"DW_Bol";17043,9042969
"101";"H4";"Basalt";"High";"DW_F";4585,0498047
"102";"H4";"Basalt";"High";"DW_Brk";2037,6434326
"103";"H4";"Basalt";"High";"DW_Brh";1589,7775879
"104";"H4";"Basalt";"High";"DW_Bol";17072,6347656
"105";"H5";"Basalt";"High";"DW_F";4688,574707
"106";"H5";"Basalt";"High";"DW_Brk";2086,416748
"107";"H5";"Basalt";"High";"DW_Brh";1617,3623047
"108";"H5";"Basalt";"High";"DW_Bol";17250,5546875
"109";"H6";"Basalt";"High";"DW_F";4792,3867188
"110";"H6";"Basalt";"High";"DW_Brk";2159,5114746
"111";"H6";"Basalt";"High";"DW_Brh";1678,8231201
"112";"H6";"Basalt";"High";"DW_Bol";17563,4082031
"113";"H7";"Basalt";"High";"DW_F";4817,5732422
"114";"H7";"Basalt";"High";"DW_Brk";2223,5646973
"115";"H7";"Basalt";"High";"DW_Brh";1742,6931152
"116";"H7";"Basalt";"High";"DW_Bol";17911,6367188
"117";"H8";"Basalt";"High";"DW_F";4878,0927734
"118";"H8";"Basalt";"High";"DW_Brk";2284,7338867
"119";"H8";"Basalt";"High";"DW_Brh";1796,2449951
"120";"H8";"Basalt";"High";"DW_Bol";18170,1425781
"121";"H9";"Basalt";"High";"DW_F";4945,0327148
"122";"H9";"Basalt";"High";"DW_Brk";2329,579834
"123";"H9";"Basalt";"High";"DW_Brh";1831,0817871
"124";"H9";"Basalt";"High";"DW_Bol";18327,8105469
"125";"H10";"Basalt";"High";"DW_F";4952,25
"126";"H10";"Basalt";"High";"DW_Brk";2361,2263184
"127";"H10";"Basalt";"High";"DW_Brh";1854,8520508
"128";"H10";"Basalt";"High";"DW_Bol";18449,0195312
"129";"H11";"Basalt";"High";"DW_F";5000,3251953
"130";"H11";"Basalt";"High";"DW_Brk";2398,4013672
"131";"H11";"Basalt";"High";"DW_Brh";1883,9438477
"132";"H11";"Basalt";"High";"DW_Bol";18613,6132812
"133";"H1";"Basalt";"Low";"DW_F";9405,1943359
"134";"H1";"Basalt";"Low";"DW_Brk";32024,3203125
"135";"H1";"Basalt";"Low";"DW_Brh";12014,7226562
"136";"H1";"Basalt";"Low";"DW_Bol";233650,53125
"137";"H2";"Basalt";"Low";"DW_F";11667,7822266
"138";"H2";"Basalt";"Low";"DW_Brk";34352,75
"139";"H2";"Basalt";"Low";"DW_Brh";12885,4042969
"140";"H2";"Basalt";"Low";"DW_Bol";223717,015625
"141";"H3";"Basalt";"Low";"DW_F";11404,9921875
"142";"H3";"Basalt";"Low";"DW_Brk";31390,7597656
"143";"H3";"Basalt";"Low";"DW_Brh";11807,2080078
"144";"H3";"Basalt";"Low";"DW_Bol";204305,15625
"145";"H4";"Basalt";"Low";"DW_F";11105,6884766
"146";"H4";"Basalt";"Low";"DW_Brk";22546,9140625
"147";"H4";"Basalt";"Low";"DW_Brh";9618,1835938
"148";"H4";"Basalt";"Low";"DW_Bol";141568,765625
"149";"H5";"Basalt";"Low";"DW_F";10464,7597656
"150";"H5";"Basalt";"Low";"DW_Brk";16131,1572266
"151";"H5";"Basalt";"Low";"DW_Brh";7765,5297852
"152";"H5";"Basalt";"Low";"DW_Bol";99824,78125
"153";"H6";"Basalt";"Low";"DW_F";9981,1660156
"154";"H6";"Basalt";"Low";"DW_Brk";14524,8642578
"155";"H6";"Basalt";"Low";"DW_Brh";8399,6601562
"156";"H6";"Basalt";"Low";"DW_Bol";89472,0234375
"157";"H7";"Basalt";"Low";"DW_F";9802,8408203
"158";"H7";"Basalt";"Low";"DW_Brk";13251,8798828
"159";"H7";"Basalt";"Low";"DW_Brh";7960,1181641
"160";"H7";"Basalt";"Low";"DW_Bol";81595,8125
"161";"H8";"Basalt";"Low";"DW_F";9735,9599609
"162";"H8";"Basalt";"Low";"DW_Brk";12628,8808594
"163";"H8";"Basalt";"Low";"DW_Brh";7643,9331055
"164";"H8";"Basalt";"Low";"DW_Bol";78019,65625
"165";"H9";"Basalt";"Low";"DW_F";9720,0722656
"166";"H9";"Basalt";"Low";"DW_Brk";12248,0263672
"167";"H9";"Basalt";"Low";"DW_Brh";7431,2099609
"168";"H9";"Basalt";"Low";"DW_Bol";75996,0625
"169";"H10";"Basalt";"Low";"DW_F";9718,2822266
"170";"H10";"Basalt";"Low";"DW_Brk";12066,2802734
"171";"H10";"Basalt";"Low";"DW_Brh";7311,75
"172";"H10";"Basalt";"Low";"DW_Bol";75105,671875
"173";"H11";"Basalt";"Low";"DW_F";9734,7832031
"174";"H11";"Basalt";"Low";"DW_Brk";11963,3583984
"175";"H11";"Basalt";"Low";"DW_Brh";7209,6650391
"176";"H11";"Basalt";"Low";"DW_Bol";74713,7734375
