"","Harvest","Rock_Type","N","variable","value"
"1","H1","Sedimentary","Low","DW_F",12771.2578125
"2","H1","Sedimentary","Low","DW_Brk",55514.2382812
"3","H1","Sedimentary","Low","DW_Brh",16268.1601562
"4","H1","Sedimentary","Low","DW_Bol",430602.6875
"5","H2","Sedimentary","Low","DW_F",12770.0332031
"6","H2","Sedimentary","Low","DW_Brk",58003.4765625
"7","H2","Sedimentary","Low","DW_Brh",16649.1640625
"8","H2","Sedimentary","Low","DW_Bol",442687.5
"9","H3","Sedimentary","Low","DW_F",12766.6171875
"10","H3","Sedimentary","Low","DW_Brk",59631.3671875
"11","H3","Sedimentary","Low","DW_Brh",16844.3203125
"12","H3","Sedimentary","Low","DW_Bol",455489.96875
"13","H4","Sedimentary","Low","DW_F",12715.9121094
"14","H4","Sedimentary","Low","DW_Brk",57786.53125
"15","H4","Sedimentary","Low","DW_Brh",16397.7890625
"16","H4","Sedimentary","Low","DW_Bol",440965
"17","H5","Sedimentary","Low","DW_F",12669.34375
"18","H5","Sedimentary","Low","DW_Brk",52026.234375
"19","H5","Sedimentary","Low","DW_Brh",15185.8632812
"20","H5","Sedimentary","Low","DW_Bol",394246.90625
"21","H6","Sedimentary","Low","DW_F",7504.8120117
"22","H6","Sedimentary","Low","DW_Brk",8343.1523438
"23","H6","Sedimentary","Low","DW_Brh",4458.2670898
"24","H6","Sedimentary","Low","DW_Bol",56650.59375
"25","H7","Sedimentary","Low","DW_F",5380.7050781
"26","H7","Sedimentary","Low","DW_Brk",1550.0892334
"27","H7","Sedimentary","Low","DW_Brh",954.1258545
"28","H7","Sedimentary","Low","DW_Bol",13970.5703125
"29","H1","Sedimentary","High","DW_F",12468.7900391
"30","H1","Sedimentary","High","DW_Brk",44726.046875
"31","H1","Sedimentary","High","DW_Brh",14839.4609375
"32","H1","Sedimentary","High","DW_Bol",334657.15625
"33","H2","Sedimentary","High","DW_F",12502.3779297
"34","H2","Sedimentary","High","DW_Brk",21419.1503906
"35","H2","Sedimentary","High","DW_Brh",6649.0810547
"36","H2","Sedimentary","High","DW_Bol",165704.4375
"37","H3","Sedimentary","High","DW_F",12532.8623047
"38","H3","Sedimentary","High","DW_Brk",22555.4335938
"39","H3","Sedimentary","High","DW_Brh",6805.6762695
"40","H3","Sedimentary","High","DW_Bol",178556.328125
"41","H4","Sedimentary","High","DW_F",12529.1054688
"42","H4","Sedimentary","High","DW_Brk",21554.4433594
"43","H4","Sedimentary","High","DW_Brh",6792.4438477
"44","H4","Sedimentary","High","DW_Bol",178945.328125
"45","H5","Sedimentary","High","DW_F",12534.2138672
"46","H5","Sedimentary","High","DW_Brk",20985.4296875
"47","H5","Sedimentary","High","DW_Brh",7286.7338867
"48","H5","Sedimentary","High","DW_Bol",178552.890625
"49","H6","Sedimentary","High","DW_F",12536.8642578
"50","H6","Sedimentary","High","DW_Brk",21196.8847656
"51","H6","Sedimentary","High","DW_Brh",7324.965332
"52","H6","Sedimentary","High","DW_Bol",180338.25
"53","H7","Sedimentary","High","DW_F",10033.7773438
"54","H7","Sedimentary","High","DW_Brk",5104.0771484
"55","H7","Sedimentary","High","DW_Brh",4309.2124023
"56","H7","Sedimentary","High","DW_Bol",49480.8164062
"57","H1","Basalt","High","DW_F",8041.2451172
"58","H1","Basalt","High","DW_Brk",22319.1679688
"59","H1","Basalt","High","DW_Brh",10245.5585938
"60","H1","Basalt","High","DW_Bol",160439.859375
"61","H2","Basalt","High","DW_F",7231.1201172
"62","H2","Basalt","High","DW_Brk",6020.7333984
"63","H2","Basalt","High","DW_Brh",4495.8828125
"64","H2","Basalt","High","DW_Bol",44039.7578125
"65","H3","Basalt","High","DW_F",7235.6738281
"66","H3","Basalt","High","DW_Brk",5420.5424805
"67","H3","Basalt","High","DW_Brh",4052.3605957
"68","H3","Basalt","High","DW_Bol",40246.1328125
"69","H4","Basalt","High","DW_F",7238.5458984
"70","H4","Basalt","High","DW_Brk",5444.8334961
"71","H4","Basalt","High","DW_Brh",4077.6547852
"72","H4","Basalt","High","DW_Bol",40406.125
"73","H5","Basalt","High","DW_F",7258.5571289
"74","H5","Basalt","High","DW_Brk",5462.6762695
"75","H5","Basalt","High","DW_Brh",4102.1142578
"76","H5","Basalt","High","DW_Bol",40578.3671875
"77","H6","Basalt","High","DW_F",7268.2978516
"78","H6","Basalt","High","DW_Brk",5478.8520508
"79","H6","Basalt","High","DW_Brh",4127.9301758
"80","H6","Basalt","High","DW_Bol",40765.2773438
"81","H7","Basalt","High","DW_F",5616.7363281
"82","H7","Basalt","High","DW_Brk",4179.2470703
"83","H7","Basalt","High","DW_Brh",3906.9821777
"84","H7","Basalt","High","DW_Bol",30267.1503906
"85","H1","Basalt","Low","DW_F",12755.2207031
"86","H1","Basalt","Low","DW_Brk",53812.8984375
"87","H1","Basalt","Low","DW_Brh",15949.5292969
"88","H1","Basalt","Low","DW_Bol",416848.8125
"89","H2","Basalt","Low","DW_F",12753.4921875
