"","X","Ca_Tot","Mg_Tot","K_Tot","N_Tot","P_Tot","S_Tot","Ca_Har","Mg_Har","K_Har","N_Har","P_Har","S_Har","Ca_Leach","Mg_Leach","K_Leach","N_Leach","P_Leach","S_Leach","P_OCC","S_OCC","Site","Treatment"
"1",1,1952.288622061,1610.533307878,1515.8146074,2434.648794137,1243.965816362,1585.078293104,1006.289222361,165.432854878,754.8394226,1461.411591437,154.106951162,615.430496404,945.9993997,1445.100453,760.9751848,973.2372027,31.6184052,1357.9719506,1058.24046,-388.3241539,"LNS","40BO"
"2",2,4317.646796858,3918.902233969,1060.293096745,2679.457807417,1287.507745981,1649.756029517,1065.063714958,174.498819769,774.199952745,1569.441022417,163.464426281,646.157581517,3252.5830819,3744.4034142,286.093144,1110.016785,276.6435736,1479.5632698,847.3997461,-475.9648218,"LNB","40BO"
"3",3,974.504321585,1417.471009802,605.014127669,9521.663672654,1712.836857738,1496.31389606,338.083047485,64.276201102,292.244640369,720.915126854,59.158382438,261.28654426,636.4212741,1353.1948087,312.7694873,8800.7485458,31.8222629,1999.3278955,1621.8562124,-764.3005437,"HNS","40BO"
"4",4,1237.495207039,1388.830746459,390.949083416,5439.20823647,1072.640502681,1317.182849001,258.718168839,43.726127359,171.287049216,478.39612477,40.494362381,166.723374101,978.7770382,1345.1046191,219.6620342,4960.8121117,8.2114631,1558.2430506,1023.9346772,-407.7835757,"HNB","40BO"
"5",1,2836.419009469,1573.972503696,1985.096681491,3921.330634685,1239.192186426,1577.342451459,2070.393007269,348.496818096,1575.771436091,3193.063862985,361.775240926,699.476263359,766.0260022,1225.4756856,409.3252454,728.2667717,34.9107468,1304.7092237,842.5061987,-426.8430356,"LNS","40WTH"
"6",2,4538.334937401,3781.132368819,1294.750312205,3898.805793586,1241.177555096,1626.792031057,1517.873333901,261.852998719,1056.773996905,2549.456325386,267.397909496,487.056878857,3020.4616035,3519.2793701,237.9763153,1349.3494682,319.0619828,1577.6263779,654.7176628,-437.8912257,"LNB","40WTH"
"7",3,1263.681661669,1455.032397661,1076.424150544,10199.789563555,1681.492418211,1498.017660421,877.963699669,220.640138961,1004.010976544,2803.864885755,239.479459711,358.772038921,385.717962,1234.3922587,72.413174,7395.9246778,32.9621964,1953.5297938,1409.0507621,-814.2841723,"HNS","40WTH"
"8",4,1498.614086376,1410.107723563,498.715393241,5938.441409077,971.402023511,1324.925724647,547.621128876,111.051761563,419.282763641,1383.106568877,119.354738011,177.378059447,950.9929575,1299.055962,79.4326296,4555.3348402,8.4648803,1560.2753553,843.5824052,-412.7276901,"HNB","40WTH"
"9",1,2139.67193969,1621.883683729,1508.693640281,2655.045706389,1252.015773001,1628.216820983,1289.64181259,214.459186329,983.999857981,1920.363619189,197.625961001,844.818650283,850.0301271,1407.4244974,524.6937823,734.6820872,14.5725436,1170.8614714,1039.8172684,-387.4633007,"LNS","80BO"
"10",2,4394.649325364,3947.015177083,1069.289463019,2827.58770117,1302.185387101,1638.93126856,1204.436016864,199.505329083,856.681799019,1894.59524147,185.475997701,778.54902596,3190.2133085,3747.509848,212.607664,932.9924597,251.0010535,1352.0770648,865.7083359,-491.6948222,"LNB","80BO"
"11",3,963.277630484,1396.747943419,602.161157295,8610.448823175,1803.025411818,1461.559193003,579.279036684,115.385649419,520.149303295,1277.492231075,106.581442618,461.008905503,383.9985938,1281.362294,82.011854,7332.9565921,27.1988482,1843.8166439,1669.245121,-843.2663564,"HNS","80BO"
"12",4,1280.578688946,1377.766738515,275.935599879,4848.646691513,1115.414759908,1318.866425333,212.233059746,35.952377315,141.608914779,392.073974813,33.197452608,137.272265533,1068.3456292,1341.8143612,134.3266851,4456.5727167,8.2136375,1579.3469762,1074.0036698,-397.7528164,"HNB","80BO"
"13",1,2773.057517489,1568.605921209,1792.421835354,3635.974261486,1250.950266035,1617.555953933,2072.474492789,333.325432509,1508.083853054,3009.174489986,329.280490835,905.516387433,700.5830247,1235.2804887,284.3379823,626.7997715,14.0488241,1126.8648333,907.6209511,-414.8252668,"LNS","80WTH"
"14",2,4547.501741845,3851.027878096,1222.494914982,3655.691356109,1293.790433681,1615.44133886,1522.778908145,251.783246196,1019.632270982,2436.254467109,250.370246981,609.58968766,3024.7228337,3599.2446319,202.862644,1219.436889,279.8566948,1457.03133,763.5634919,-451.1796788,"LNB","80WTH"
"15",3,1217.147032541,1427.019992654,990.335893219,9073.840723692,1797.488517368,1468.90439917,980.949220041,216.246932154,937.879241319,2588.359571992,222.501952068,506.50128897,236.1978125,1210.7730605,52.4566519,6485.4811517,27.4771391,1831.7661774,1547.5094262,-869.3630672,"HNS","80WTH"
"16",4,1455.576458734,1391.469519775,404.879767785,5214.621984134,1063.954081649,1325.312226941,450.215408034,91.408640075,346.853382985,1127.387570534,97.176787049,157.576354441,1005.3610507,1300.0608797,58.0263848,4087.2344136,8.3938795,1571.8007873,958.3834151,-404.0649148,"HNB","80WTH"
