"";"Harvest";"Rock_Type";"N";"Harvest_Type";"value"
"1";"H1";"Sedimentary";"Low";"40_BO";334247,7011719
"2";"H10";"Sedimentary";"Low";"40_BO";20710,8784179
"3";"H11";"Sedimentary";"Low";"40_BO";20244,4233398
"4";"H12";"Sedimentary";"Low";"40_BO";19709,8865967
"5";"H2";"Sedimentary";"Low";"40_BO";325700,4365235
"6";"H3";"Sedimentary";"Low";"40_BO";304469,8925781
"7";"H4";"Sedimentary";"Low";"40_BO";281209,0898437
"8";"H5";"Sedimentary";"Low";"40_BO";239512,7568359
"9";"H6";"Sedimentary";"Low";"40_BO";200522,2441406
"10";"H7";"Sedimentary";"Low";"40_BO";167310,0175781
"11";"H8";"Sedimentary";"Low";"40_BO";115253,8974609
"12";"H9";"Sedimentary";"Low";"40_BO";23933,6496582
"13";"H1";"Sedimentary";"High";"40_BO";282083,3574219
"14";"H10";"Sedimentary";"High";"40_BO";50210,1628417
"15";"H11";"Sedimentary";"High";"40_BO";100556,411133
"16";"H2";"Sedimentary";"High";"40_BO";64832,4338378
"17";"H3";"Sedimentary";"High";"40_BO";51051,2158203
"18";"H4";"Sedimentary";"High";"40_BO";49860,2692871
"19";"H5";"Sedimentary";"High";"40_BO";49822,9509277
"20";"H6";"Sedimentary";"High";"40_BO";49874,2524415
"21";"H7";"Sedimentary";"High";"40_BO";49944,104248
"22";"H8";"Sedimentary";"High";"40_BO";50043,2507325
"23";"H9";"Sedimentary";"High";"40_BO";50134,5869141
"24";"H1";"Basalt";"Low";"40_BO";313041,6523438
"25";"H10";"Basalt";"Low";"40_BO";18995,7368164
"26";"H11";"Basalt";"Low";"40_BO";18533,2706299
"27";"H12";"Basalt";"Low";"40_BO";17831,866211
"28";"H2";"Basalt";"Low";"40_BO";308981,8691407
"29";"H3";"Basalt";"Low";"40_BO";272724,7031249
"30";"H4";"Basalt";"Low";"40_BO";224772,6748048
"31";"H5";"Basalt";"Low";"40_BO";165965,1621094
"32";"H6";"Basalt";"Low";"40_BO";71956,7104492
"33";"H7";"Basalt";"Low";"40_BO";20373,7856446
"34";"H8";"Basalt";"Low";"40_BO";19509,8049316
"35";"H9";"Basalt";"Low";"40_BO";19250,2636719
"36";"H1";"Basalt";"High";"40_BO";181183,6000978
"37";"H10";"Basalt";"High";"40_BO";112904,1855469
"38";"H11";"Basalt";"High";"40_BO";112886,902832
"39";"H12";"Basalt";"High";"40_BO";112891,7666015
"40";"H2";"Basalt";"High";"40_BO";137202,1855468
"41";"H3";"Basalt";"High";"40_BO";118278,0102539
