"","Harvest","Rock_Type","N","variable","value"
"1","H1","Sedimentary","Low","DW_F",9358.7900391
"2","H1","Sedimentary","Low","DW_Brk",36414.5625
"3","H1","Sedimentary","Low","DW_Brh",13085.1015625
"4","H1","Sedimentary","Low","DW_Bol",264909.71875
"5","H2","Sedimentary","Low","DW_F",9358.7900391
"6","H2","Sedimentary","Low","DW_Brk",43047.6367188
"7","H2","Sedimentary","Low","DW_Brh",18828.3164062
"8","H2","Sedimentary","Low","DW_Bol",283004.1875
"9","H3","Sedimentary","Low","DW_F",9358.7900391
"10","H3","Sedimentary","Low","DW_Brk",40938.0390625
"11","H3","Sedimentary","Low","DW_Brh",17629.4394531
"12","H3","Sedimentary","Low","DW_Bol",265736.46875
"13","H4","Sedimentary","Low","DW_F",9358.7900391
"14","H4","Sedimentary","Low","DW_Brk",38705.6328125
"15","H4","Sedimentary","Low","DW_Brh",17091.0820312
"16","H4","Sedimentary","Low","DW_Bol",253138.0625
"17","H5","Sedimentary","Low","DW_F",9358.7900391
"18","H5","Sedimentary","Low","DW_Brk",35331.578125
"19","H5","Sedimentary","Low","DW_Brh",15138.6875
"20","H5","Sedimentary","Low","DW_Bol",229029.65625
"21","H6","Sedimentary","Low","DW_F",9358.7900391
"22","H6","Sedimentary","Low","DW_Brk",32202.1953125
"23","H6","Sedimentary","Low","DW_Brh",14220.6455078
"24","H6","Sedimentary","Low","DW_Bol",206851.65625
"25","H7","Sedimentary","Low","DW_F",9346.9716797
"26","H7","Sedimentary","Low","DW_Brk",30047.8339844
"27","H7","Sedimentary","Low","DW_Brh",12714.4130859
"28","H7","Sedimentary","Low","DW_Bol",194958.96875
"29","H8","Sedimentary","Low","DW_F",3905.5708008
"30","H8","Sedimentary","Low","DW_Brk",21658.3808594
"31","H8","Sedimentary","Low","DW_Brh",10830.1347656
"32","H8","Sedimentary","Low","DW_Bol",133055.296875
"33","H9","Sedimentary","Low","DW_F",1859.2174072
"34","H9","Sedimentary","Low","DW_Brk",2430.3808594
"35","H9","Sedimentary","Low","DW_Brh",2095.2614746
"36","H9","Sedimentary","Low","DW_Bol",18030.7441406
"37","H10","Sedimentary","Low","DW_F",2046.5715332
"38","H10","Sedimentary","Low","DW_Brk",1997.7277832
"39","H10","Sedimentary","Low","DW_Brh",1805.0866699
"40","H10","Sedimentary","Low","DW_Bol",14829.7568359
"41","H11","Sedimentary","Low","DW_F",2085.2080078
"42","H11","Sedimentary","Low","DW_Brk",1907.8525391
"43","H11","Sedimentary","Low","DW_Brh",1708.6578369
"44","H11","Sedimentary","Low","DW_Bol",14355.0869141
"45","H12","Sedimentary","Low","DW_F",2282.0070801
"46","H12","Sedimentary","Low","DW_Brk",1825.0657959
"47","H12","Sedimentary","Low","DW_Brh",1619.868042
"48","H12","Sedimentary","Low","DW_Bol",13920.2871094
"49","H13","Sedimentary","Low","DW_F",1716.637085
"50","H13","Sedimentary","Low","DW_Brk",1749.5014648
"51","H13","Sedimentary","Low","DW_Brh",1535.0927734
"52","H13","Sedimentary","Low","DW_Bol",13532.9384766
"53","H1","Sedimentary","High","DW_F",9036.3935547
"54","H1","Sedimentary","High","DW_Brk",31711.03125
"55","H1","Sedimentary","High","DW_Brh",12171.3076172
"56","H1","Sedimentary","High","DW_Bol",229164.625
"57","H2","Sedimentary","High","DW_F",9358.7900391
"58","H2","Sedimentary","High","DW_Brk",38402.6484375
"59","H2","Sedimentary","High","DW_Brh",15881.1142578
"60","H2","Sedimentary","High","DW_Bol",256937.03125
"61","H3","Sedimentary","High","DW_F",9255.8857422
"62","H3","Sedimentary","High","DW_Brk",32523.7734375
"63","H3","Sedimentary","High","DW_Brh",16095.5371094
"64","H3","Sedimentary","High","DW_Bol",214736.59375
"65","H4","Sedimentary","High","DW_F",7933.8188477
"66","H4","Sedimentary","High","DW_Brk",25769.4707031
"67","H4","Sedimentary","High","DW_Brh",13898.6962891
"68","H4","Sedimentary","High","DW_Bol",155629.25
"69","H5","Sedimentary","High","DW_F",7544.9829102
"70","H5","Sedimentary","High","DW_Brk",22064.0058594
"71","H5","Sedimentary","High","DW_Brh",12684.7207031
"72","H5","Sedimentary","High","DW_Bol",131089.859375
"73","H6","Sedimentary","High","DW_F",7540.2998047
"74","H6","Sedimentary","High","DW_Brk",19421.5527344
"75","H6","Sedimentary","High","DW_Brh",11664.3476562
"76","H6","Sedimentary","High","DW_Bol",115065.390625
"77","H7","Sedimentary","High","DW_F",7567.7080078
"78","H7","Sedimentary","High","DW_Brk",18827.0371094
"79","H7","Sedimentary","High","DW_Brh",11393.1347656
"80","H7","Sedimentary","High","DW_Bol",111695.9765625
"81","H8","Sedimentary","High","DW_F",7353.4770508
"82","H8","Sedimentary","High","DW_Brk",18127.2207031
"83","H8","Sedimentary","High","DW_Brh",11112.9023438
"84","H8","Sedimentary","High","DW_Bol",107483.5625
"85","H9","Sedimentary","High","DW_F",7990.2319336
"86","H9","Sedimentary","High","DW_Brk",17831.3242188
"87","H9","Sedimentary","High","DW_Brh",10970.5878906
"88","H9","Sedimentary","High","DW_Bol",105861.359375
"89","H10","Sedimentary","High","DW_F",7867.1538086
"90","H10","Sedimentary","High","DW_Brk",17522.9570312
"91","H10","Sedimentary","High","DW_Brh",10850.6162109
"92","H10","Sedimentary","High","DW_Bol",104003.796875
"93","H11","Sedimentary","High","DW_F",7836.1308594
