"";"Harvest";"Rock_Type";"N";"value"
"1";"H1";"Sedimentary";"Low";323768,1728516
"2";"H10";"Sedimentary";"Low";20703,2541504
"3";"H11";"Sedimentary";"Low";20239,0146485
"4";"H12";"Sedimentary";"Low";19704,3937988
"5";"H2";"Sedimentary";"Low";326431,4482422
"6";"H3";"Sedimentary";"Low";304116,1835937
"7";"H4";"Sedimentary";"Low";280900,3027344
"8";"H5";"Sedimentary";"Low";238212,4384766
"9";"H6";"Sedimentary";"Low";198925,8642579
"10";"H7";"Sedimentary";"Low";167076,5683593
"11";"H8";"Sedimentary";"Low";109204,4692383
"12";"H9";"Sedimentary";"Low";23775,3773194
"13";"H1";"Sedimentary";"High";282083,3574219
"14";"H10";"Sedimentary";"High";50210,1628417
"15";"H11";"Sedimentary";"High";50278,2055665
"16";"H12";"Sedimentary";"High";50336,5498047
"17";"H2";"Sedimentary";"High";64832,4338378
"18";"H3";"Sedimentary";"High";51051,2158203
"19";"H4";"Sedimentary";"High";49860,2692871
"20";"H5";"Sedimentary";"High";49822,9509277
"21";"H6";"Sedimentary";"High";49874,2524415
"22";"H7";"Sedimentary";"High";49944,104248
"23";"H8";"Sedimentary";"High";50043,2507325
"24";"H9";"Sedimentary";"High";50134,5869141
"25";"H1";"Basalt";"Low";309189,272461
"26";"H10";"Basalt";"Low";18981,8166504
"27";"H11";"Basalt";"Low";18518,6268311
"28";"H12";"Basalt";"Low";17817,2093506
"29";"H2";"Basalt";"Low";309088,4853515
"30";"H3";"Basalt";"Low";272057,1054688
"31";"H4";"Basalt";"Low";226803,0820313
"32";"H5";"Basalt";"Low";166108,0449219
"33";"H6";"Basalt";"Low";68482,1768799
"34";"H7";"Basalt";"Low";19380,6141358
"35";"H8";"Basalt";"Low";19483,9664307
"36";"H9";"Basalt";"Low";19235,3795167
"37";"H1";"Basalt";"High";174694,9472656
"38";"H10";"Basalt";"High";113320,9975586
"39";"H11";"Basalt";"High";113286,9614257
"40";"H12";"Basalt";"High";113253,2734375
"41";"H2";"Basalt";"High";140797,3447266
"42";"H3";"Basalt";"High";121207,1279297
"43";"H4";"Basalt";"High";116492,2246094
"44";"H5";"Basalt";"High";114510,8168945
"45";"H6";"Basalt";"High";114292,5893555
"46";"H7";"Basalt";"High";113663,5502929
"47";"H8";"Basalt";"High";113690,8598633
"48";"H9";"Basalt";"High";113519,4023437
"49";"H1";"Sedimentary";"Low";323919,399414
"50";"H10";"Sedimentary";"Low";20692,6434326
"51";"H11";"Sedimentary";"Low";20483,505249
"52";"H12";"Sedimentary";"Low";19725,5355224
"53";"H2";"Sedimentary";"Low";316475,7978515
"54";"H3";"Sedimentary";"Low";290222,2255859
"55";"H4";"Sedimentary";"Low";264158,0019531
"56";"H5";"Sedimentary";"Low";222131,5917968
"57";"H6";"Sedimentary";"Low";180712,4853515
"58";"H7";"Sedimentary";"Low";146691,6259767
"59";"H8";"Sedimentary";"Low";87022,069458
"60";"H9";"Sedimentary";"Low";22155,5860595
"61";"H1";"Sedimentary";"High";287943,7324219
"62";"H10";"Sedimentary";"High";43321,6268311
"63";"H11";"Sedimentary";"High";43409,7983399
"64";"H12";"Sedimentary";"High";43489,0170897
"65";"H2";"Sedimentary";"High";51816,7873535
"66";"H3";"Sedimentary";"High";43399,8278809
"67";"H4";"Sedimentary";"High";42944,3695068
"68";"H5";"Sedimentary";"High";42981,3356933
"69";"H6";"Sedimentary";"High";43029,8464355
