"";"variable";"value";"ID";"Site";"Species";"Sens";"Response";"value2"
"1";"PerChange_LNSED_Min_Ca";4,86436812843524;"Lower";"LN SED";"Ca";"Atm";"Leach";" "
"2";"PerChange_HNSED_Min_Ca";-29,4365957571849;"Lower";"HN SED";"Ca";"Atm";"Leach";" "
"3";"PerChange_LNBAS_Min_Ca";-5,11258079303665;"Lower";"LN BAS";"Ca";"Atm";"Leach";" "
"4";"PerChange_HNBAS_Min_Ca";-9,06186290134424;"Lower";"HN BAS";"Ca";"Atm";"Leach";" "
"5";"PerChange_LNSED_Max_Ca";-2,12270753719369;"Upper";"LN SED";"Ca";"Atm";"Leach";" "
"6";"PerChange_HNSED_Max_Ca";16,1953573023016;"Upper";"HN SED";"Ca";"Atm";"Leach";" "
"7";"PerChange_LNBAS_Max_Ca";4,07400958707294;"Upper";"LN BAS";"Ca";"Atm";"Leach";" "
"8";"PerChange_HNBAS_Max_Ca";8,18841272744355;"Upper";"HN BAS";"Ca";"Atm";"Leach";" "
"9";"PerChange_LNSED_Min_Mg";-2,13970228240335;"Lower";"LN SED";"Mg";"Atm";"Leach";" "
"10";"PerChange_HNSED_Min_Mg";-39,6957215961274;"Lower";"HN SED";"Mg";"Atm";"Leach";" "
"11";"PerChange_LNBAS_Min_Mg";-7,93571972580841;"Lower";"LN BAS";"Mg";"Atm";"Leach";" "
"12";"PerChange_HNBAS_Min_Mg";-30,3715382421124;"Lower";"HN BAS";"Mg";"Atm";"Leach";" "
"13";"PerChange_LNSED_Max_Mg";2,39771592502385;"Upper";"LN SED";"Mg";"Atm";"Leach";" "
"14";"PerChange_HNSED_Max_Mg";39,0130097291447;"Upper";"HN SED";"Mg";"Atm";"Leach";" "
"15";"PerChange_LNBAS_Max_Mg";4,35260796239276;"Upper";"LN BAS";"Mg";"Atm";"Leach";" "
"16";"PerChange_HNBAS_Max_Mg";31,2884754974448;"Upper";"HN BAS";"Mg";"Atm";"Leach";" "
"17";"PerChange_LNSED_Min_K";-7,86991512915461;"Lower";"LN SED";"K";"Atm";"Leach";" "
"18";"PerChange_HNSED_Min_K";-7,30178287734341;"Lower";"HN SED";"K";"Atm";"Leach";" "
"19";"PerChange_LNBAS_Min_K";-39,3701534492625;"Lower";"LN BAS";"K";"Atm";"Leach";" "
"20";"PerChange_HNBAS_Min_K";-36,0192393065119;"Lower";"HN BAS";"K";"Atm";"Leach";" "
"21";"PerChange_LNSED_Max_K";10,0887569810402;"Upper";"LN SED";"K";"Atm";"Leach";" "
"22";"PerChange_HNSED_Max_K";1,91968501267529;"Upper";"HN SED";"K";"Atm";"Leach";" "
"23";"PerChange_LNBAS_Max_K";34,6353937857943;"Upper";"LN BAS";"K";"Atm";"Leach";" "
"24";"PerChange_HNBAS_Max_K";26,5092682556396;"Upper";"HN BAS";"K";"Atm";"Leach";" "
