"";"variable";"value";"Inc";"Site";"ID";"Sens";"Response";"value2"
"1";"PerChange_LNSED_Min_Ca";0,291571828978169;"Lower";"LN SED";"Ca";"Atm";"Weath";"NR"
"2";"PerChange_HNSED_Min_Ca";1,00095418672027;"Lower";"HN SED";"Ca";"Atm";"Weath";" "
"3";"PerChange_LNBAS_Min_Ca";-0,699847656416346;"Lower";"LN BAS";"Ca";"Atm";"Weath";"NR"
"4";"PerChange_HNBAS_Min_Ca";7,02252091806935;"Lower";"HN BAS";"Ca";"Atm";"Weath";" "
"5";"PerChange_LNSED_Min_K";-0,354083488391998;"Lower";"LN SED";"K";"Atm";"Weath";"NR"
"6";"PerChange_HNSED_Min_K";1,0881511742458;"Lower";"HN SED";"K";"Atm";"Weath";" "
"7";"PerChange_LNBAS_Min_K";0,669265261354891;"Lower";"LN BAS";"K";"Atm";"Weath";"NR"
"8";"PerChange_HNBAS_Min_K";-0,915476490740381;"Lower";"HN BAS";"K";"Atm";"Weath";"NR"
"9";"PerChange_LNSED_Max_Ca";-0,304366393050582;"Upper";"LN SED";"Ca";"Atm";"Weath";"NR"
"10";"PerChange_HNSED_Max_Ca";-1,14767969401371;"Upper";"HN SED";"Ca";"Atm";"Weath";" "
"11";"PerChange_LNBAS_Max_Ca";-3,26525403200517;"Upper";"LN BAS";"Ca";"Atm";"Weath";" "
"12";"PerChange_HNBAS_Max_Ca";-8,07017023261584;"Upper";"HN BAS";"Ca";"Atm";"Weath";" "
"13";"PerChange_LNSED_Max_K";0,881119692715199;"Upper";"LN SED";"K";"Atm";"Weath";"NR"
"14";"PerChange_HNSED_Max_K";0,0280007911611649;"Upper";"HN SED";"K";"Atm";"Weath";"NR"
"15";"PerChange_LNBAS_Max_K";0,817887359923732;"Upper";"LN BAS";"K";"Atm";"Weath";"NR"
"16";"PerChange_HNBAS_Max_K";1,65763542129197;"Upper";"HN BAS";"K";"Atm";"Weath";" "
