"";"variable";"value";"ID";"Site";"Species";"Sens";"Response";"value2"
"1";"PerChange_LNSED_Min_Ca";-3,62131165510017;"Lower";"LN SED";"Ca";"Growth";"Leach";" "
"2";"PerChange_HNSED_Min_Ca";-1,2285212793536;"Lower";"HN SED";"Ca";"Growth";"Leach";" "
"3";"PerChange_LNBAS_Min_Ca";-1,12153917720976;"Lower";"LN BAS";"Ca";"Growth";"Leach";" "
"4";"PerChange_HNBAS_Min_Ca";0,774573903576618;"Lower";"HN BAS";"Ca";"Growth";"Leach";" "
"5";"PerChange_LNSED_Max_Ca";3,88800737644707;"Upper";"LN SED";"Ca";"Growth";"Leach";" "
"6";"PerChange_HNSED_Max_Ca";0,838172385946082;"Upper";"HN SED";"Ca";"Growth";"Leach";" "
"7";"PerChange_LNBAS_Max_Ca";1,37836657174747;"Upper";"LN BAS";"Ca";"Growth";"Leach";" "
"8";"PerChange_HNBAS_Max_Ca";-0,294798114815266;"Upper";"HN BAS";"Ca";"Growth";"Leach";" "
"9";"PerChange_LNSED_Min_Mg";-2,94549281303791;"Lower";"LN SED";"Mg";"Growth";"Leach";" "
"10";"PerChange_HNSED_Min_Mg";0,0932736631456833;"Lower";"HN SED";"Mg";"Growth";"Leach";" "
"11";"PerChange_LNBAS_Min_Mg";-0,660453084278604;"Lower";"LN BAS";"Mg";"Growth";"Leach";" "
"12";"PerChange_HNBAS_Min_Mg";-0,0432529865993125;"Lower";"HN BAS";"Mg";"Growth";"Leach";" "
"13";"PerChange_LNSED_Max_Mg";2,9599320296842;"Upper";"LN SED";"Mg";"Growth";"Leach";" "
"14";"PerChange_HNSED_Max_Mg";-0,111504940199556;"Upper";"HN SED";"Mg";"Growth";"Leach";" "
"15";"PerChange_LNBAS_Max_Mg";0,747081382177062;"Upper";"LN BAS";"Mg";"Growth";"Leach";" "
"16";"PerChange_HNBAS_Max_Mg";-0,115446970464082;"Upper";"HN BAS";"Mg";"Growth";"Leach";" "
"17";"PerChange_LNSED_Min_K";-1,62609544507603;"Lower";"LN SED";"K";"Growth";"Leach";" "
"18";"PerChange_HNSED_Min_K";4,28274962367309;"Lower";"HN SED";"K";"Growth";"Leach";" "
"19";"PerChange_LNBAS_Min_K";4,80104960770073;"Lower";"LN BAS";"K";"Growth";"Leach";" "
"20";"PerChange_HNBAS_Min_K";-0,0472997439057644;"Lower";"HN BAS";"K";"Growth";"Leach";" "
"21";"PerChange_LNSED_Max_K";2,28101843758953;"Upper";"LN SED";"K";"Growth";"Leach";" "
"22";"PerChange_HNSED_Max_K";-4,32083215085564;"Upper";"HN SED";"K";"Growth";"Leach";" "
"23";"PerChange_LNBAS_Max_K";-4,86296424543249;"Upper";"LN BAS";"K";"Growth";"Leach";" "
"24";"PerChange_HNBAS_Max_K";-1,80410242970333;"Upper";"HN BAS";"K";"Growth";"Leach";" "
