"";"variable";"value";"Inc";"Site";"ID";"Sens";"Response";"value2"
"1";"PerChange_LNSED_Min_Ca";0,114335168447694;"Lower";"LN SED";"Ca";"Growth";"Weath";" "
"2";"PerChange_HNSED_Min_Ca";0,22715099632498;"Lower";"HN SED";"Ca";"Growth";"Weath";" "
"3";"PerChange_LNBAS_Min_Ca";0,180709217211538;"Lower";"LN BAS";"Ca";"Growth";"Weath";" "
"4";"PerChange_HNBAS_Min_Ca";-0,0996541280531801;"Lower";"HN BAS";"Ca";"Growth";"Weath";" "
"5";"PerChange_LNSED_Min_K";0,0662222634915414;"Lower";"LN SED";"K";"Growth";"Weath";" "
"6";"PerChange_HNSED_Min_K";0,944817856866479;"Lower";"HN SED";"K";"Growth";"Weath";" "
"7";"PerChange_LNBAS_Min_K";0,440261853036388;"Lower";"LN BAS";"K";"Growth";"Weath";" "
"8";"PerChange_HNBAS_Min_K";0,968884537634184;"Lower";"HN BAS";"K";"Growth";"Weath";" "
"9";"PerChange_LNSED_Max_Ca";-0,0895215695557726;"Upper";"LN SED";"Ca";"Growth";"Weath";" "
"10";"PerChange_HNSED_Max_Ca";-0,172242482262232;"Upper";"HN SED";"Ca";"Growth";"Weath";" "
"11";"PerChange_LNBAS_Max_Ca";-0,222674285794016;"Upper";"LN BAS";"Ca";"Growth";"Weath";" "
"12";"PerChange_HNBAS_Max_Ca";0,0377140801530125;"Upper";"HN BAS";"Ca";"Growth";"Weath";" "
"13";"PerChange_LNSED_Max_K";-0,0172663309166936;"Upper";"LN SED";"K";"Growth";"Weath";" "
"14";"PerChange_HNSED_Max_K";-0,716196376714671;"Upper";"HN SED";"K";"Growth";"Weath";" "
"15";"PerChange_LNBAS_Max_K";-0,331300571500702;"Upper";"LN BAS";"K";"Growth";"Weath";" "
"16";"PerChange_HNBAS_Max_K";-0,914144077709425;"Upper";"HN BAS";"K";"Growth";"Weath";" "
