"";"variable";"value";"ID";"Site";"Species";"Sens";"Response";"value2"
"1";"PerChange_LNSED_Min_Ca";-3,32659316108586;"Lower";"LN SED";"Ca";"Min";"Leach";" "
"2";"PerChange_HNSED_Min_Ca";-3,25822577988063;"Lower";"HN SED";"Ca";"Min";"Leach";" "
"3";"PerChange_LNBAS_Min_Ca";-20,8740421838331;"Lower";"LN BAS";"Ca";"Min";"Leach";" "
"4";"PerChange_HNBAS_Min_Ca";-19,1032809539175;"Lower";"HN BAS";"Ca";"Min";"Leach";" "
"5";"PerChange_LNSED_Max_Ca";-3,72157028458621;"Upper";"LN SED";"Ca";"Min";"Leach";" "
"6";"PerChange_HNSED_Max_Ca";2,87921925622857;"Upper";"HN SED";"Ca";"Min";"Leach";" "
"7";"PerChange_LNBAS_Max_Ca";18,9057138276163;"Upper";"LN BAS";"Ca";"Min";"Leach";" "
"8";"PerChange_HNBAS_Max_Ca";23,6170826316322;"Upper";"HN BAS";"Ca";"Min";"Leach";" "
"9";"PerChange_LNSED_Min_Mg";-0,122165206710761;"Lower";"LN SED";"Mg";"Min";"Leach";" "
"10";"PerChange_HNSED_Min_Mg";0,159337802122653;"Lower";"HN SED";"Mg";"Min";"Leach";" "
"11";"PerChange_LNBAS_Min_Mg";-3,87119129303858;"Lower";"LN BAS";"Mg";"Min";"Leach";" "
"12";"PerChange_HNBAS_Min_Mg";-7,80482740027889;"Lower";"HN BAS";"Mg";"Min";"Leach";" "
"13";"PerChange_LNSED_Max_Mg";-0,86115277048654;"Upper";"LN SED";"Mg";"Min";"Leach";" "
"14";"PerChange_HNSED_Max_Mg";-0,180302870634552;"Upper";"HN SED";"Mg";"Min";"Leach";" "
"15";"PerChange_LNBAS_Max_Mg";0,529863505050357;"Upper";"LN BAS";"Mg";"Min";"Leach";" "
"16";"PerChange_HNBAS_Max_Mg";8,13433647807375;"Upper";"HN BAS";"Mg";"Min";"Leach";" "
"17";"PerChange_LNSED_Min_K";66,5788821921557;"Lower";"LN SED";"K";"Min";"Leach";" "
"18";"PerChange_HNSED_Min_K";3,33059853429335;"Lower";"HN SED";"K";"Min";"Leach";" "
"19";"PerChange_LNBAS_Min_K";8,93073308444765;"Lower";"LN BAS";"K";"Min";"Leach";" "
"20";"PerChange_HNBAS_Min_K";91,6055655698328;"Lower";"HN BAS";"K";"Min";"Leach";" "
"21";"PerChange_LNSED_Max_K";58,9203137339738;"Upper";"LN SED";"K";"Min";"Leach";" "
"22";"PerChange_HNSED_Max_K";-3,47513132919438;"Upper";"HN SED";"K";"Min";"Leach";" "
"23";"PerChange_LNBAS_Max_K";-4,30226985443858;"Upper";"LN BAS";"K";"Min";"Leach";" "
"24";"PerChange_HNBAS_Max_K";-19,036129984768;"Upper";"HN BAS";"K";"Min";"Leach";" "
