"";"variable";"value";"Inc";"Site";"ID";"Sens";"Response";"value2"
"1";"PerChange_LNSED_Min_Ca";-39,744648793981;"Lower";"LN SED";"Ca";"Min";"Weath";" "
"2";"PerChange_HNSED_Min_Ca";-41,3640043593572;"Lower";"HN SED";"Ca";"Min";"Weath";" "
"3";"PerChange_LNBAS_Min_Ca";-40,1856184451036;"Lower";"LN BAS";"Ca";"Min";"Weath";" "
"4";"PerChange_HNBAS_Min_Ca";-42,3397680208714;"Lower";"HN BAS";"Ca";"Min";"Weath";" "
"5";"PerChange_LNSED_Min_K";387,820097622091;"Lower";"LN SED";"K";"Min";"Weath";" "
"6";"PerChange_HNSED_Min_K";-0,184737523414874;"Lower";"HN SED";"K";"Min";"Weath";" "
"7";"PerChange_LNBAS_Min_K";-1,82822281039206;"Lower";"LN BAS";"K";"Min";"Weath";" "
"8";"PerChange_HNBAS_Min_K";-2,78457173289316;"Lower";"HN BAS";"K";"Min";"Weath";" "
"9";"PerChange_LNSED_Max_Ca";39,7405260557181;"Upper";"LN SED";"Ca";"Min";"Weath";" "
"10";"PerChange_HNSED_Max_Ca";41,3529358699443;"Upper";"HN SED";"Ca";"Min";"Weath";" "
"11";"PerChange_LNBAS_Max_Ca";38,0091526625389;"Upper";"LN BAS";"Ca";"Min";"Weath";" "
"12";"PerChange_HNBAS_Max_Ca";40,8241711283837;"Upper";"HN BAS";"Ca";"Min";"Weath";" "
"13";"PerChange_LNSED_Max_K";387,247641920897;"Upper";"LN SED";"K";"Min";"Weath";" "
"14";"PerChange_HNSED_Max_K";0,226059853559438;"Upper";"HN SED";"K";"Min";"Weath";" "
"15";"PerChange_LNBAS_Max_K";2,52686612975838;"Upper";"LN BAS";"K";"Min";"Weath";" "
"16";"PerChange_HNBAS_Max_K";2,80192794379201;"Upper";"HN BAS";"K";"Min";"Weath";" "
