"";"variable";"value";"Inc";"Site";"ID";"Sens";"Response";"value2"
"1";"PerChange_LNSED_Min_Ca";0,523590791652435;"Lower";"LN SED";"Ca";"Nit";"Weath";"NR"
"2";"PerChange_HNSED_Min_Ca";0,074180619600336;"Lower";"HN SED";"Ca";"Nit";"Weath";"NR"
"3";"PerChange_LNBAS_Min_Ca";-0,688607651641882;"Lower";"LN BAS";"Ca";"Nit";"Weath";"NR"
"4";"PerChange_HNBAS_Min_Ca";-4,6158106161595;"Lower";"HN BAS";"Ca";"Nit";"Weath";" "
"5";"PerChange_LNSED_Min_K";1,78673723706734;"Lower";"LN SED";"K";"Nit";"Weath";" "
"6";"PerChange_HNSED_Min_K";1,55966998860177;"Lower";"HN SED";"K";"Nit";"Weath";" "
"7";"PerChange_LNBAS_Min_K";1,137200328678;"Lower";"LN BAS";"K";"Nit";"Weath";" "
"8";"PerChange_HNBAS_Min_K";4,50451055250804;"Lower";"HN BAS";"K";"Nit";"Weath";" "
"9";"PerChange_LNSED_Max_Ca";-0,272552049168745;"Upper";"LN SED";"Ca";"Nit";"Weath";"NR"
"10";"PerChange_HNSED_Max_Ca";0,0969365629590198;"Upper";"HN SED";"Ca";"Nit";"Weath";"NR"
"11";"PerChange_LNBAS_Max_Ca";0,114076115722072;"Upper";"LN BAS";"Ca";"Nit";"Weath";"NR"
"12";"PerChange_HNBAS_Max_Ca";0,897682059804949;"Upper";"HN BAS";"Ca";"Nit";"Weath";"NR"
"13";"PerChange_LNSED_Max_K";-0,940648082406812;"Upper";"LN SED";"K";"Nit";"Weath";"NR"
"14";"PerChange_HNSED_Max_K";0,508959276211243;"Upper";"HN SED";"K";"Nit";"Weath";"NR"
"15";"PerChange_LNBAS_Max_K";-0,0156203382290438;"Upper";"LN BAS";"K";"Nit";"Weath";"NR"
"16";"PerChange_HNBAS_Max_K";-0,831384967298223;"Upper";"HN BAS";"K";"Nit";"Weath";"NR"
