"";"variable";"value";"ID";"Site";"Species";"Sens";"Response";"value2"
"1";"PerChange_LNSED_Min_Ca";0,146809248327505;"Lower";"LN SED";"Ca";"SOMP";"Leach";" "
"2";"PerChange_HNSED_Min_Ca";0;"Lower";"HN SED";"Ca";"SOMP";"Leach";" "
"3";"PerChange_LNBAS_Min_Ca";0,310279782976865;"Lower";"LN BAS";"Ca";"SOMP";"Leach";""
"4";"PerChange_HNBAS_Min_Ca";1,71161887996028;"Lower";"HN BAS";"Ca";"SOMP";"Leach";" "
"5";"PerChange_LNSED_Max_Ca";0,0179963238374368;"Upper";"LN SED";"Ca";"SOMP";"Leach";""
"6";"PerChange_HNSED_Max_Ca";0;"Upper";"HN SED";"Ca";"SOMP";"Leach";" "
"7";"PerChange_LNBAS_Max_Ca";-0,138280264436418;"Upper";"LN BAS";"Ca";"SOMP";"Leach";" "
"8";"PerChange_HNBAS_Max_Ca";1,71159159543847;"Upper";"HN BAS";"Ca";"SOMP";"Leach";" "
"9";"PerChange_LNSED_Min_Mg";0,0131297693776495;"Lower";"LN SED";"Mg";"SOMP";"Leach";" "
"10";"PerChange_HNSED_Min_Mg";0;"Lower";"HN SED";"Mg";"SOMP";"Leach";" "
"11";"PerChange_LNBAS_Min_Mg";-0,0789941222730953;"Lower";"LN BAS";"Mg";"SOMP";"Leach";""
"12";"PerChange_HNBAS_Min_Mg";7,42169511761342;"Lower";"HN BAS";"Mg";"SOMP";"Leach";" "
"13";"PerChange_LNSED_Max_Mg";-0,04119004217419;"Upper";"LN SED";"Mg";"SOMP";"Leach";""
"14";"PerChange_HNSED_Max_Mg";0;"Upper";"HN SED";"Mg";"SOMP";"Leach";" "
"15";"PerChange_LNBAS_Max_Mg";0,0347746349747497;"Upper";"LN BAS";"Mg";"SOMP";"Leach";" "
"16";"PerChange_HNBAS_Max_Mg";7,42170015021879;"Upper";"HN BAS";"Mg";"SOMP";"Leach";" "
"17";"PerChange_LNSED_Min_K";-0,0989001809089382;"Lower";"LN SED";"K";"SOMP";"Leach";" "
"18";"PerChange_HNSED_Min_K";0;"Lower";"HN SED";"K";"SOMP";"Leach";" "
"19";"PerChange_LNBAS_Min_K";0,843132352698926;"Lower";"LN BAS";"K";"SOMP";"Leach";""
"20";"PerChange_HNBAS_Min_K";10,8094109734305;"Lower";"HN BAS";"K";"SOMP";"Leach";" "
"21";"PerChange_LNSED_Max_K";-0,153604789090376;"Upper";"LN SED";"K";"SOMP";"Leach";""
"22";"PerChange_HNSED_Max_K";0;"Upper";"HN SED";"K";"SOMP";"Leach";" "
"23";"PerChange_LNBAS_Max_K";-0,36733609346938;"Upper";"LN BAS";"K";"SOMP";"Leach";" "
"24";"PerChange_HNBAS_Max_K";10,8093413668331;"Upper";"HN BAS";"K";"SOMP";"Leach";" "
