"";"variable";"value";"Inc";"Site";"ID";"Sens";"Response";"value2"
"1";"PerChange_LNSED_Min_Ca";-1,79912786261303;"Lower";"LN SED";"Ca";"SOMP";"Weath";" "
"2";"PerChange_HNSED_Min_Ca";0;"Lower";"HN SED";"Ca";"SOMP";"Weath";" "
"3";"PerChange_LNBAS_Min_Ca";-0,0471196958175152;"Lower";"LN BAS";"Ca";"SOMP";"Weath";""
"4";"PerChange_HNBAS_Min_Ca";0,686990953160743;"Lower";"HN BAS";"Ca";"SOMP";"Weath";" "
"5";"PerChange_LNSED_Min_K";-1,79153919748469;"Lower";"LN SED";"K";"SOMP";"Weath";""
"6";"PerChange_HNSED_Min_K";0;"Lower";"HN SED";"K";"SOMP";"Weath";" "
"7";"PerChange_LNBAS_Min_K";0,0359055850065828;"Lower";"LN BAS";"K";"SOMP";"Weath";" "
"8";"PerChange_HNBAS_Min_K";-0,619891987196431;"Lower";"HN BAS";"K";"SOMP";"Weath";" "
"9";"PerChange_LNSED_Max_Ca";-1,80378553017074;"Upper";"LN SED";"Ca";"SOMP";"Weath";" "
"10";"PerChange_HNSED_Max_Ca";0;"Upper";"HN SED";"Ca";"SOMP";"Weath";" "
"11";"PerChange_LNBAS_Max_Ca";0,0218354066388968;"Upper";"LN BAS";"Ca";"SOMP";"Weath";""
"12";"PerChange_HNBAS_Max_Ca";0,686992390220492;"Upper";"HN BAS";"Ca";"SOMP";"Weath";" "
"13";"PerChange_LNSED_Max_K";-1,83314314261657;"Upper";"LN SED";"K";"SOMP";"Weath";""
"14";"PerChange_HNSED_Max_K";0;"Upper";"HN SED";"K";"SOMP";"Weath";" "
"15";"PerChange_LNBAS_Max_K";-0,0155821782725417;"Upper";"LN BAS";"K";"SOMP";"Weath";" "
"16";"PerChange_HNBAS_Max_K";-0,619880335625124;"Upper";"HN BAS";"K";"SOMP";"Weath";" "
