"";"Year";"N_PP";"Ca_PP";"Mg_PP";"K_PP";"S_PP";"P_PP";"N_PU";"Ca_PU";"Mg_PU";"K_PU";"S_PU";"P_PU";"N_AU";"Ca_AU";"Mg_AU";"K_AU";"S_AU";"P_AU";"N_Diff";"Ca_Diff";"Mg_Diff";"K_Diff";"S_Diff";"P_Diff"
"1";2005;1834571,1171875;352207,5214844;97131,0012207;312120,2890625;61567,4521485;20639,4248047;425912,9936523;51256,8599853;22706,5354614;75899,0715331;12982,0543366;18159,6170347;425913,010742;53245,9719237;29833,3916626;96112,4201662;12982,0524063;1527,8554;-0,0170897000352852;-1989,1119384;-7126,8562012;-20213,3486331;0,00193030000082217;16631,7616347
"2";2006;1166468,6132812;314119,1113283;71679,5437012;204461,1999511;41500,3430176;0;437412,2492677;52481,1418457;23278,9891358;77863,4375;13343,2742312;18604,886505;437412,2336427;54713,3020324;31276,6436766;100546,5698241;13343,2735596;1552,6824265;0,015625;-2232,16018670001;-7997,6545408;-22683,1323241;0,000671599998895545;17052,2040785
"3";2007;493483,4296874;278500,4296877;56125,4019165;189639,6337892;27939,8076173;0;444774,3354491;52647,1674806;23559,2157592;78933,5637206;13556,7733308;18818,5719757;297781,7723388;54935,8441314;31726,5460813;101928,4725342;13556,7721404;1560,4141159;146992,5631103;-2288,6766508;-8167,3303221;-22994,9088136;0,00119040000026871;17258,1578598
"4";2008;0;95110,6308593;31699,111084;103522,171875;9420,3178711;0;452648,6474611;53259,5943603;23923,845154;80174,5162353;13792,2029112;19087,298828;198373,7350465;55546,5501097;32032,2895507;103004,6984862;13792,2021331;1570,3129349;254274,9124146;-2286,9557494;-8108,4443967;-22830,1822509;0,000778100000388804;17516,9858931
"5";2009;0;64829,6958007;32700,8955078;106577,2792969;9038,857666;0;459836,5244141;54060,8884278;24285,0806276;81416,7518309;14020,6784671;19369,873047;197671,0581665;56300,665512;32194,4622193;103730,8809815;14020,6771394;1577,8566742;262165,4662476;-2239,7770842;-7909,3815917;-22314,1291506;0,00132769999981974;17792,0163728
"6";2010;0;65243,1606445;33199,8105468;107676,5253906;9112,86792;0;466022,9963377;54488,4956056;24562,9221804;82392,8706056;14205,9355773;19580,3825225;198639,9023439;56690,5111847;32313,7896729;104289,5361329;14205,9349367;1588,1134568;267383,0939938;-2202,0155791;-7750,8674925;-21896,6655273;0,000640600001133862;17992,2690657
"7";2011;0;56728,4174804;28522,9628907;89720,7177735;8204,326294;0;470862,2531739;54695,8203125;24760,6860961;83100,1843263;14348,0914765;19722,5585936;199156,8636473;56868,4764405;32384,0289917;104652,2127685;14348,0899657;1594,6458665;271705,3895266;-2172,656128;-7623,3428956;-21552,0284422;0,0015108000006876;18127,9127271
"8";2012;0;44169,7500001;22159,1196289;73423,1914062;5732,5104981;0;475469,2436523;54713,9783934;24931,738281;83743,1149904;14472,1210174;19851,6344146;197593,4786376;56866,734024;32442,8206174;104954,442383;14472,119583;1599,4545059;277875,7650147;-2152,7556306;-7511,0823364;-21211,3273926;0,00143440000101691;18252,1799087
"9";2013;0;38302,703125;19178,7089843;60711,1162109;3883,2064209;0;478519,4709473;54680,4296875;25032,4829711;84160,4877927;14558,8408507;19929,4330291;196414,7713622;56812,4759065;32433,216858;105032,1577148;14558,8394776;1603,7169645;282104,6995851;-2132,046219;-7400,7338869;-20871,6699221;0,00137309999990975;18325,7160646
"10";2014;0;30238,9218751;14372,5004882;42804,2324219;2507,4145507;0;482066,5598146;54800,9915772;25176,9921875;84687,6171875;14659,3004304;20039,5467988;195339,0292968;56910,3669741;32465,8172607;105222,560791;14659,2983703;1610,2169802;286727,5305178;-2109,3753969;-7288,8250732;-20534,9436035;0,00206010000147216;18429,3298186
"11";2015;0;16980,4887695;7369,5737305;22983,9990234;800,1320801;0;484777,8374026;54863,5877684;25282,5661011;85078,1921388;14735,7915649;20118,5154111;192659,7806398;56944,2257386;32440,7875367;105183,1596681;14735,7902528;1612,8274764;292118,0567628;-2080,6379702;-7158,2214356;-20104,9675293;0,00131210000108695;18505,6879347
