"";"id";"YEAR";"Month";"Ca";"Mg";"K";"Na";"NO3";"NH4";"SO4";"Cl";"P";"DOC";"Al";"Si";"H";"pH";"R";"HR";"group_id";"Date"
"1";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;1;1,6799108;1,6278744;1,8823557;7,9305358;2,3815336;0,2913898;1,105141;7,8764858;0,027172;8,1807079;0,000483;1,1662521;NA;NA;NA;NA;1;2005-01-01
"2";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;2;0,9915864;0,9566777;0,6193571;1,990962;1,5349175;0,1080526;0,2486546;1,3640757;0,0014648;4,6005163;0,0025455;0,1152565;NA;NA;NA;NA;1;2005-02-01
"3";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;3;1,6934938;1,6274165;1,1331869;3,1292388;2,5748382;0,244068;0,5210957;3,3285675;0;6,2551856;0,0026498;0,0993597;NA;NA;NA;NA;1;2005-03-01
"4";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;4;0,9364868;0,8971218;0,5331035;1,2893691;1,2937889;0,0933315;0,1983016;1,2650442;0;3,7948136;0,0036917;0,0564686;NA;NA;NA;NA;1;2005-04-01
"5";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;5;0,5413871;0,5168546;0,2567801;0,5633001;0,6727008;0,038439;0,0812263;0,524798;0;2,2932127;0,0047111;0,0391949;NA;NA;NA;NA;1;2005-05-01
"6";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;6;0,6385739;0,6079344;0,2584354;0,5370608;0,9633501;0,0409026;0,1083903;0,7017787;0;2,2892885;0,0125827;0,0591577;NA;NA;NA;NA;1;2005-06-01
"7";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;7;0;0;0;0;0;0;0;0;0;0;0,0424649;0;NA;NA;NA;NA;1;2005-07-01
"8";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;8;0;0;0;0;0;0;0;0;0;0;0,0246039;0;NA;NA;NA;NA;1;2005-08-01
"9";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;9;0;0;0;0;0;0;0;0;0;0;0,0183205;0;NA;NA;NA;NA;1;2005-09-01
"10";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;10;0,0674533;0,0638584;0,0192368;0,0473365;0,1335843;0,002047;0,007701;0,0773153;0;0,1429212;0,0267008;0,010873;NA;NA;NA;NA;1;2005-10-01
"11";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;11;4,4840102;4,2362523;2,9913106;7,2429686;7,4708385;0,5536259;1,8717271;12,7496319;0,028881;7,4331899;0,0031736;0,5634614;NA;NA;NA;NA;1;2005-11-01
"12";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;12;1,5598829;1,470104;1,3066819;3,32938;1,8062454;0,2955558;0,9977332;6,2998619;0,0170413;3,9914293;0,0017657;0,0996378;NA;NA;NA;NA;1;2005-12-01
"13";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;1;1,5155307;1,424368;1,6169946;4,2619457;1,3048441;0,4522309;1,5058718;8,0559607;0,0282685;4,3087163;0,001189;0,0591894;NA;NA;NA;NA;1;2006-01-01
"14";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;2;0,7330613;0,6866564;0,4826125;0,9878716;1,1209791;0,1332294;0,3123692;1,0104264;0,0017456;2,8759632;0,0034376;0,029062;NA;NA;NA;NA;1;2006-02-01
"15";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;3;1,427609;1,332154;0,945656;1,8018689;2,1061099;0,2769801;0,6899234;2,4139891;0;4,5806246;0,0034398;0,0542369;NA;NA;NA;NA;1;2006-03-01
"16";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;4;0,8574806;0,7978299;0,4650994;0,8474212;1,1769934;0,1014602;0,2271516;1,1650407;0;3,1613524;0,0051663;0,0487751;NA;NA;NA;NA;1;2006-04-01
"17";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;5;0,501334;0,4649382;0,2258416;0,3609762;0,6564376;0,0390204;0,0906711;0,4090945;0;2,0991032;0,0075515;0,0386069;NA;NA;NA;NA;1;2006-05-01
"18";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;6;0,6229687;0,576019;0,2336794;0,3427362;0,9833052;0,0412833;0,1173467;0,3326139;0;2,1976032;0,0136869;0,0594383;NA;NA;NA;NA;1;2006-06-01
"19";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;7;0;0;0;0;0;0;0;0;0;0;0,0448541;0;NA;NA;NA;NA;1;2006-07-01
"20";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;8;0;0;0;0;0;0;0;0;0;0;0,0268256;0;NA;NA;NA;NA;1;2006-08-01
"21";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;9;0;0;0;0;0;0;0;0;0;0;0,0223544;0;NA;NA;NA;NA;1;2006-09-01
"22";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;10;0,0681798;0,0626621;0,0177221;0,0294212;0,1401527;0,002057;0,0081523;0,0370776;0;0,1424727;0,0284729;0,0110281;NA;NA;NA;NA;1;2006-10-01
"23";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;11;4,6533556;4,266253;2,8014674;5,6562033;7,9117074;0,5639811;2,0253057;10,2466364;0,0289777;7,4354548;0,0038006;0,5711421;NA;NA;NA;NA;1;2006-11-01
"24";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;12;1,6376661;1,4972632;1,2346498;2,8213007;1,9572948;0,3006419;1,0927976;5,6094661;0,0172259;4,0122962;0,0021967;0,1009191;NA;NA;NA;NA;1;2006-12-01
"25";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;1;1,6311259;1,4872714;1,5518006;3,9015622;1,4819047;0,4625434;1,6136823;7,909802;0,028679;4,3402781;0,0015996;0,0612992;NA;NA;NA;NA;1;2007-01-01
"26";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;2;0,8446327;0,7675054;0,480889;1,0883309;1,217456;0,137725;0,3311523;1,5977367;0,0017734;2,9004407;0,0043035;0,02871;NA;NA;NA;NA;1;2007-02-01
"27";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;3;1,5909681;1,4402667;0,9303122;2,1017942;2,3221769;0,2797747;0,6473056;3,5463245;0;4,6218972;0,0043493;0,0538698;NA;NA;NA;NA;1;2007-03-01
"28";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;4;0,9248853;0,8348531;0,4517638;0,9762176;1,279242;0,1015637;0,2453515;1,5400538;0;3,1911616;0,0063611;0,0486838;NA;NA;NA;NA;1;2007-04-01
"29";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;5;0,5593212;0,5031878;0,2237919;0,4707642;0,7229179;0,0403518;0,0975413;0,7933955;0;2,1182981;0,0096329;0,03842;NA;NA;NA;NA;1;2007-05-01
"30";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;6;0,6802261;0,6101022;0,2295532;0,4521567;1,0758175;0,0421993;0,1240832;0,6506073;0;2,216171;0,0165781;0,0591474;NA;NA;NA;NA;1;2007-06-01
"31";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;7;0;0;0;0;0;0;0;0;0;0;0,0500919;0;NA;NA;NA;NA;1;2007-07-01
"32";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;8;0;0;0;0;0;0;0;0;0;0;0,0345573;0;NA;NA;NA;NA;1;2007-08-01
"33";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;9;0;0;0;0;0;0;0;0;0;0;0,0292217;0;NA;NA;NA;NA;1;2007-09-01
"34";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;10;0,0795625;0,0708258;0,0180349;0,0368133;0,1495375;0,0021736;0,0085659;0,1078622;0;0,1437989;0,036998;0,01105;NA;NA;NA;NA;1;2007-10-01
