"";"YEAR";"Ca";"Mg";"K";"Na";"Al";"Si";"P"
"1";2005;50,503353;29,0605865;7,6927671;13,5941005;117,2080452;234,4422046;14,3148173
"2";2006;57,8377072;31,979503;7,9918445;14,993529;124,1157748;263,5884995;15,1176284
"3";2007;48,7956232;28,4360553;7,6215119;13,423837;116,3351693;228,2913166;14,0539884
"4";2008;54,8976728;30,9365009;7,9442225;14,6102012;122,7145234;252,6268028;14,8771382
"5";2009;47,6426535;28,0820106;7,4879564;13,0976027;114,8279308;222,9432463;14,0650368
"6";2010;62,4049788;33,6806885;8,6434981;16,8992673;134,6935143;285,3781201;15,7096526
"7";2011;46,6749305;28,1783284;7,0852482;12,0694097;109,7235811;216,3730161;14,1099759
"8";2012;53,3760027;30,4929858;7,6869731;14,1589998;120,1352818;245,9536816;14,6422968
"9";2013;59,0717423;32,4133072;8,2056426;15,6842454;127,9930471;269,7263456;15,3676379
"10";2014;56,3226943;31,6739205;7,6958551;14,4394203;121,2268726;256,6235853;14,9711212
"11";2015;44,5295729;27,3140796;6,7135946;11,1646915;104,1547389;206,2840674;13,6379464
"12";2016;48,6209104;28,9114323;7,0169459;12,2146569;109,6571727;223,7140919;14,0588857
"13";2017;52,2119598;30,0838301;7,3444417;13,1678663;114,2586333;239,2962607;14,2779435
"14";2018;53,9202936;30,7712633;7,4614488;13,4875608;116,0730781;246,0554658;14,5431374
"15";2019;45,0116309;27,448592;6,8323654;11,4788894;105,8653655;209,0881038;13,6539853
"16";2020;51,7509247;30,0887141;7,3644417;13,0698151;114,4931449;237,2295867;14,4922628
"17";2021;47,3099221;28,3053398;7,0193308;12,1290715;109,3100908;218,7330177;13,9781742
"18";2022;58,8227767;32,7580931;7,8922523;15,0146231;124,5537187;267,2317966;15,2955891
"19";2023;46,337225;28,4656788;6,634025;11,0363918;104,0572342;212,1748906;14,0328933
"20";2024;53,6996057;31,0443877;7,2239157;13,1911403;114,6507919;244,1787;14,6113204
"21";2025;55,4385727;31,3758439;7,5048143;13,9125263;118,4365498;251,5047763;14,9936628
"22";2026;54,6118126;31,3440141;7,2343306;13,3030184;115,0739911;247,3678747;14,7375421
"23";2027;44,1130152;27,3444584;6,4602623;10,5756407;100,8519273;203,1548508;13,5359381
"24";2028;47,8534934;28,9171952;6,6757189;11,3683346;105,0949641;218,6421996;13,9437042
"25";2029;50,1561037;29,5105514;6,9580783;12,1816415;108,8874355;229,2517365;14,0080977
"26";2030;50,4225742;29,7137183;6,9758601;12,1538088;109,0404221;230,1080933;14,1288694
"27";2031;43,0720285;26,9191533;6,4898019;10,5635003;100,9849289;199,6893756;13,4241884
"28";2032;49,6106598;29,4746719;6,9926757;12,090589;109,2314251;226,8723567;14,2425773
"29";2033;44,8860142;27,6303418;6,6362315;11,068362;103,7468056;207,2709271;13,7067608
"30";2034;55,5875279;31,7772333;7,4349275;13,7665033;117,9886475;252,3374791;14,936917
"31";2035;46,7306708;28,7095265;6,5310361;10,873108;102,9439168;213,1791582;13,9878078
"32";2036;51,6141639;30,5149978;6,905477;12,2487898;109,8045626;234,4417616;14,3623753
"33";2037;50,6366185;29,6433225;7,1026678;12,6985869;112,155288;231,2595443;14,4773142
"34";2038;52,766081;30,7610007;6,9717342;12,5900922;111,2382375;238,8645207;14,5140795
"35";2039;42,7540762;26,8774749;6,3333692;10,1766381;98,7705416;197,3779243;13,3642901
"36";2040;47,2455178;28,748173;6,553176;11,0516625;103,3031525;215,6929838;13,8253171
"37";2041;47,4185842;28,5914464;6,6737153;11,3429437;104,5027935;217,3781386;13,6903367
"38";2042;47,6598815;28,7049259;6,7475254;11,4749987;105,4710955;218,5506197;13,8095525
"39";2043;41,768152;26,46976;6,3219358;10,0940592;98,4181837;193,7669937;13,259002
"40";2044;46,9599944;28,5393505;6,7414255;11,3432336;105,3013038;215,5438706;13,9270929
"41";2045;42,2599296;26,7152;6,4133822;10,345158;100,0803427;196,0641387;13,4448846
"42";2046;53,6199751;31,0678274;7,232776;13,1965164;114,916175;243,7956932;14,7046242
"43";2047;43,7178942;27,5667096;6,3791184;10,2512655;99,8950217;201,0537485;13,6700346
"44";2048;49,4735868;29,7116781;6,7950208;11,8076871;107,6203236;225,8557698;14,1273919
"45";2049;48,4885082;28,8832159;6,9093413;12,064189;108,8457793;222,0563379;14,2211791
"46";2050;50,0932298;29,7623205;6,843579;12,0629681;108,6566432;228,2684996;14,2117903
"47";2051;41,4946531;26,3725523;6,2454224;9,8964027;97,243915;192,1800195;13,2068193
"48";2052;45,1381206;27,9846142;6,4204615;10,5643542;100,8938303;207,0557811;13,6056192
"49";2053;44,5631229;27,4833367;6,5378666;10,8190045;101,9109412;205,976731;13,3971903
"50";2054;45,8643434;28,0148675;6,6041825;11,0425193;103,1575004;210,9912113;13,6069825
"51";2055;39,3607913;25,5858347;6,1968113;9,57618;95,9305035;184,0230793;13,0231601
"52";2056;44,4235393;27,5905037;6,5674655;10,7642779;102,3759956;204,9606414;13,6903422
"53";2057;40,9687593;26,2056705;6,3026418;10,0088143;98,2515297;190,5256319;13,297198
"54";2058;50,0601236;29,7629052;6,9999561;12,3656495;110,7653035;229,0992146;14,3405655
"55";2059;41,8754833;26,8414603;6,2883578;9,8946622;98,123588;193,6011465;13,489595
"56";2060;47,5803899;28,9412027;6,7148785;11,4709005;105,9258492;218,3114999;13,9258581
"57";2061;45,1722536;27,688463;6,6740225;11,2741606;104,882974;208,27403;13,8902956
"58";2062;48,7336673;29,2052575;6,7479787;11,7623771;107,0236821;222,561983;14,0665881
"59";2063;40,0503869;25,8065246;6,1783837;9,6297462;95,901355;186,4718884;13,0371924
"60";2064;43,6968942;27,38485;6,3756358;10,353935;99,8725564;201,3993075;13,4692356
"61";2065;42,6903874;26,7421042;6,3976086;10,3573135;99,4567674;198,0477598;13,1931665
"62";2066;43,4519193;27,1246525;6,4568425;10,4991567;100,4684125;201,0952945;13,3640429
"63";2067;38,2454155;25,1765731;6,0998474;9,2667473;94,3078433;179,2311624;12,9032466
"64";2068;42,4678392;26,8139215;6,4722994;10,4010541;100,5488492;197,1034973;13,4887847
"65";2069;39,2343807;25,5588412;6,2040107;9,6148482;96,3201568;183,3884366;13,1331264
"66";2070;48,6090255;29,1891772;6,9366004;12,1020607;109,4649521;223,3136597;14,1923118
"67";2071;40,447744;26,2600782;6,2261976;9,641935;96,8594952;187,8782188;13,3481479
"68";2072;46,110816;28,3638925;6,6142067;11,1254449;104,1491296;212,0866023;13,7952913
"69";2073;44,054874;27,2791659;6,5747988;10,9351586;103,108133;203,4332777;13,7612571
"70";2074;46,0293784;28,1653543;6,6639342;11,2898766;104,863126;211,9824171;13,8030611
"71";2075;38,8350231;25,3526823;6,0846646;9,3133345;94,2930046;181,2543001;12,9325422
"72";2076;42,0011952;26,724621;6,2819539;9,9946038;98,081141;194,4440491;13,3062489
"73";2077;41,1313258;26,1357534;6,3618367;10,1303473;98,4699515;192,04511;13,0541757
"74";2078;41,8061942;26,4860501;6,365401;10,1605352;98,7752953;194,3693039;13,2044107
"75";2079;37,3685237;24,7934337;6,0915103;9,1721294;93,8879633;175,8899867;12,8247668
"76";2080;41,3902623;26,3817079;6,3847806;10,1480921;99,1648566;192,5321074;13,3705433
"77";2081;37,9536708;25,1300848;6,1022922;9,2453091;94,5134273;177,9122795;13,0193669
"78";2082;46,2128336;28,3634214;6,7431337;11,439517;106,1986666;213,0332648;13,9909864
"79";2083;40,5504344;26,2986106;6,1975155;9,6078676;96,5517761;188,1102054;13,3320634
"80";2084;44,5377217;27,7502953;6,5549021;10,8315014;102,7694199;205,8221252;13,6473454
"81";2085;42,1527928;26,590085;6,4643048;10,5196074;101,1119569;195,6388634;13,592684
"82";2086;45,4599199;27,941542;6,5871685;11,0820788;103,6929373;209,2860298;13,7440218
"83";2087;37,8722919;24,9845392;6,0380145;9,1208026;93,345946;177,4039495;12,8282634
"84";2088;41,2009978;26,3889522;6,2569211;9,871906;97,4924369;191,2644891;13,238348
"85";2089;40,4293016;25,8696345;6,2842537;9,9067548;97,238826;188,9224295;12,9658699
"86";2090;40,5900214;26,0044864;6,3083148;9,9361165;97,66671;189,459799;13,0917366
"87";2091;36,6492325;24,5192762;6,0138571;8,944168;92,63922;172,6612128;12,7464172
"88";2092;39,9341798;25,8538164;6,3026825;9,805741;97,5115823;186,5595634;13,2291256
"89";2093;36,7985879;24,7175873;6,0397717;8,9742256;93,2468137;173,1230843;12,932694
"90";2094;45,4368664;28,0643129;6,6559769;11,1945763;104,8574171;209,5125903;13,9140861
"91";2095;38,492978;25,5185396;6,1002797;9,1750453;94,5056398;179,7133116;13,1599542
