"";"V1";"Ca_Wet";"Mg_Wet";"K_Wet";"NO3_Wet";"NH4_Wet";"Ntot_Wet";"SO4_Wet";"Na_Wet";"Cl_Wet";"K_Folx";"NO3_Folx";"NH4_Folx";"Ntot_Folx";"SO4_Folx";"Na_Folx";"Cl_Folx";"Ca_WTH";"Mg_WTH";"K_WTH";"Na_WTH";"Al_WTH";"Si_Wet";"P_WTH";"V79";"Year";"N_TU";"Ca_TU";"Mg_TU";"K_TU";"S_TU";"P_TU";"N_LF";"Ca_LF";"Mg_LF";"K_LF";"S_LF";"P_LF";"N_L_Min";"Ca_L_Min";"Mg_L_Min";"K_L_Min";"S_L_Min";"P_L_Min";"N_SOM_Min";"Ca_SOM_Min";"Mg_SOM_Min";"K_SOM_Min";"S_SOM_Min";"P_SOM_Min"
"1";2005;1,09009;1,7463391;0,7533804;0,670071;0,2597465;0,9298175;2,2871931;16,1095886;43,8582764;10,0879402;0;0;0;0;0;0;7,1302719;10,3284721;17,4948006;1,6048124;54,9436264;87,7709045;1,769141;NA;2005;12,4238043;11,3434973;1,6935846;17,0643578;1,0356532;1,4230297;2,3011115;0,6291771;0,1789266;0,7303251;0,1239734;0,2105236;3,0495465;1,3853067;0,3802628;0,3166065;0,3280133;0,2130212;-568,682373;-0,0031364;-0,001902;-0,0030597;-24,6286812;-129,0233002
"2";2006;1,5408158;1,7721338;0,7109315;0,4765487;0,1978203;0,674369;2,2849896;10,7548733;43,2920837;10,3712273;0;0;0;0;0;0;7,0499291;10,1494379;17,1108646;1,5656962;53,8407211;86,071907;1,7985889;NA;2006;12,58288;11,551445;1,7151588;18,2859764;1,0553643;1,4382228;2,3718321;0,648514;0,1844256;0,7527702;0,1277835;0,2169936;3,0193787;1,3630046;0,3742694;0,3236271;0,322216;0,2119423;-145,7383575;-0,0057195;-0,0034685;-0,0055797;-6,5006795;-33,7148857
"3";2007;1,1733867;1,8159763;0,7206305;0,5274606;0,2351948;0,7626554;2,4055202;17,7023373;45,0762634;10,6375151;0;0;0;0;0;0;7,0142393;10,061039;16,9197235;1,5466607;53,2927322;85,227562;1,8159908;NA;2007;12,3858061;11,3787622;1,6837943;18,4022903;1,0424682;1,4106818;2,4316726;0,664876;0,1890785;0,7717624;0,1310074;0,2224683;2,9920063;1,3419043;0,368607;0,3310195;0,3166992;0,2110671;-26,3179398;-0,0064999;-0,0039418;-0,006341;-1,3813902;-6,8005519
"4";2008;1,09009;1,7463391;0,7533804;0,670071;0,2597465;0,9298175;2,2871931;16,1095886;43,8582764;10,8469076;0;0;0;0;0;0;6,9618897;9,9084444;16,5870857;1,5184276;52,3843727;83,8193741;1,8414655;NA;2008;12,3721189;11,4067316;1,6819863;18,5801678;1,0440116;1,4040922;2,4837062;0,6797493;0,1933082;0,7890267;0,133938;0,2263498;2,9671454;1,321916;0,3632502;0,3387157;0,3114436;0,210365;7,3801551;-0,0067367;-0,0040854;-0,0065721;0,0639041;0,7967375
"5";2009;1,5408158;1,7721338;0,7109315;0,4765487;0,1978203;0,674369;2,2849896;10,7548733;43,2920837;10,9310646;0;0;0;0;0;0;7,0601315;10,0729771;16,9320354;1,5535593;53,3904915;85,3714066;1,8368483;NA;2009;12,4856234;11,5538931;1,6974386;18,7366428;1,0581272;1,4155542;2,5016503;0,6916495;0,1950831;0,8002198;0,1350801;0,2279316;2,9443772;1,3029597;0,3581673;0,3466417;0,3064247;0,2097924;16,5654945;-0,0068104;-0,0041301;-0,0066439;0,471629;2,9393404
"6";2010;1,1733867;1,8159763;0,7206305;0,5274606;0,2351948;0,7626554;2,4055202;17,7023373;45,0762634;11,0616941;0;0;0;0;0;0;7,084259;10,0976248;16,9864635;1,560989;53,5691338;85,6390228;1,8380415;NA;2010;12,4588604;11,5512934;1,692624;18,8355541;1,0583718;1,4092278;2,513222;0,6984789;0,1963051;0,8104147;0,1356341;0,2289548;2,9230762;1,2849319;0,3533073;0,3546956;0,3016027;0,2093072;18,0518913;-0,0068352;-0,0041452;-0,0066681;0,5862279;3,540678
"7";2011;1,09009;1,7463391;0,7533804;0,670071;0,2597465;0,9298175;2,2871931;16,1095886;43,8582764;11,1895962;0;0;0;0;0;0;7,0095153;9,9551144;16,6732445;1,5274864;52,644165;84,227211;1,8598012;NA;2011;12,3550406;11,4821463;1,6773878;18,8783016;1,0521841;1,3931682;2,5216336;0,7030269;0,1972071;0,8190113;0,1360156;0,2296714;2,9030998;1,2676972;0,3486549;0,3628508;0,2969632;0,2088981;18,0956383;-0,0068456;-0,0041515;-0,0066783;0,6182374;3,7072403
"8";2012;1,5408158;1,7721338;0,7109315;0,4765487;0,1978203;0,674369;2,2849896;10,7548733;43,2920837;11,3086586;0;0;0;0;0;0;7,0891194;10,0768862;16,9278698;1,5567371;53,4112549;85,4023972;1,8537457;NA;2012;12,2187004;11,3371887;1,6556602;18,8870487;1,0401782;1,3739178;2,5309138;0,7077381;0,1981686;0,8277313;0,1364426;0,2304562;2,8843806;1,2512105;0,3441994;0,3710842;0,2924981;0,2085591;18,0752659;-0,0068518;-0,0041553;-0,0066844;0,6267551;3,7512903
"9";2013;1,1733867;1,8159763;0,7206305;0,5274606;0,2351948;0,7626554;2,4055202;17,7023373;45,0762634;11,4074631;0;0;0;0;0;0;7,0825663;10,0547266;16,8887348;1,5526506;53,3054543;85,2330933;1,857749;NA;2013;12,0876322;11,2150097;1,6349308;18,8906822;1,031003;1,3566142;2,5349102;0,7102488;0,1985668;0,8333239;0,1365695;0,2306571;2,8668125;1,2354263;0,3399285;0,3793675;0,2881984;0,2082819;18,050621;-0,0068569;-0,0041583;-0,0066893;0,628649;3,760078
"10";2014;1,09009;1,7463391;0,7533804;0,670071;0,2597465;0,9298175;2,2871931;16,1095886;43,8582764;11,4922972;0;0;0;0;0;0;7,0097232;9,9171019;16,5873489;1,5207053;52,417942;83,8761978;1,8768423;NA;2014;12,0261669;11,1545925;1,6248395;18,9232597;1,0262377;1,3473016;2,5385172;0,7131426;0,1991237;0,8391724;0,1367872;0,2311427;2,850297;1,2202955;0,3358304;0,3876607;0,2840556;0,2080598;18,025774;-0,0068617;-0,0041613;-0,006694;0,6286967;3,7589705
