"";"Year";"N_PP";"Ca_PP";"Mg_PP";"K_PP";"S_PP";"P_PP";"N_PU";"Ca_PU";"Mg_PU";"K_PU";"S_PU";"P_PU";"N_AU";"Ca_AU";"Mg_AU";"K_AU";"S_AU";"P_AU";"N_Diff";"Ca_Diff";"Mg_Diff";"K_Diff";"S_Diff";"P_Diff"
"1";2005;1657555,4765625;368717,4746092;98590,8701171;273780,1757813;46801,7187499;57455,0725098;279900,9375;46246,2746581;15227,4694211;39642,1849367;7024,1918948;12297,2643431;279900,9335938;47891,544861;16076,1446077;51157,6190185;7024,1912535;8449,6823121;0,00390619999961928;-1645,27020290001;-848,675186600001;-11515,4340818;0,000641300000097544;3847,582031
"2";2006;1143086,1640625;336821,8398438;83597,3378906;225251,5820313;36552,1533204;4705,871826;278066,7578121;45774,5903322;15079,2799071;39210,036499;6973,9672851;12168,2874149;278066,738281;47721,9430236;16083,7777098;52839,7695314;6973,9666444;8479,9512939;0,0195310999988578;-1947,3526914;-1004,4978027;-13629,7330324;0,000640699999166827;3688,336121
"3";2007;44188,9140625;112088,2309571;3358,4807129;5864,5288086;337,5441284;0;277580,683594;45807,2753908;15054,4384768;39085,2708739;6969,6453553;12125,5004881;275970,7187502;47824,0238647;16078,4394455;52739,5914308;6969,6447142;8482,8388061;1609,9648438;-2016,7484739;-1024,0009687;-13654,3205569;0,000641100000393635;3642,661682
"4";2008;0;0;0;0;0;0;278080,292969;46144,7661132;15104,0930789;39234,9074709;7006,3190004;12158,864746;203055,7783205;47022,3894807;15989,1626969;50835,8486939;7006,3188783;8490,8021851;75024,5146485;-877,623367500004;-885,069618;-11600,941223;0,000122100000226055;3668,0625609
"5";2009;0;0;0;0;0;0;277578,4375;46108,5839842;15070,357727;39118,4544679;6999,7747496;12120,163574;177545,0351564;46306,5248108;15846,9600259;49167,9322509;6999,774231;8475,2213135;100033,4023436;-197,940826600003;-776,602298899999;-10049,477783;0,000518600000759761;3644,9422605
"6";2010;0;0;0;0;0;0;276565,527344;45910,0878908;14995,494446;38869,765625;6974,1064452;12044,2797851;174853,1093749;45966,9817735;15691,0262031;47763,8648682;6974,1056824;8448,7519531;101712,4179691;-56,893882700002;-695,531757100001;-8894,0992432;0,000762799999392882;3595,527832
"7";2011;0;0;0;0;0;0;275320,214844;45522,4167479;14893,9147339;38556,6873781;6930,3069764;11955,296692;176306,9492186;45551,1497803;15535,4101446;46669,9241943;6930,3063351;8421,7168578;99013,2656254;-28,7330323999995;-641,495410699999;-8113,2368162;0,000641300000097544;3533,5798342
"8";2012;0;0;0;0;0;0;274190,3125;45199,0043943;14799,9231569;38291,2083739;6897,1533201;11877,3389891;171445,102539;45390,4325943;15401,6055298;45829,5656129;6897,1525574;8389,9932861;102745,209961;-191,428200000002;-601,682372899999;-7538,357239;0,000762699999540928;3487,345703
"9";2013;0;0;0;0;0;0;273557,285156;45029,6972658;14749,701111;38135,4738771;6877,7398985;11831,698059;170126,0937501;45296,62722;15320,4148673;45229,3284915;6877,7386167;8371,8917846;103431,1914059;-266,929954200001;-570,7137563;-7093,8546144;0,00128179999956046;3459,8062744
"10";2014;0;0;0;0;0;0;272924,277344;44860,3854979;14699,4801022;37979,7435301;6858,3251952;11786,0571289;171739,2236328;45138,5322037;15249,6439248;44771,8669433;6858,3245544;8351,8265381;101185,0537112;-278,146705799998;-550,1638226;-6792,1234132;0,000640799999928277;3434,2305908
"11";2015;0;0;0;0;0;0;272645,566406;44887,2414551;14685,070923;37911,8919679;6857,3357847;11761,973938;167323,6748045;45269,4740753;15218,8521193;44465,0071413;6857,335144;8339,4552612;105321,8916015;-382,232620199997;-533,7811963;-6553,1151734;0,000640700000076322;3422,5186768
"12";2016;0;0;0;0;0;0;271708,90625;44549,8000489;14604,1539918;37680,839844;6822,1319885;11697,8552858;166125,0546874;44937,0615081;15124,3791846;44037,6921386;6822,1308898;8314,9002687;105583,8515626;-387,261459199995;-520,225192800001;-6356,8522946;0,0010987000005116;3382,9550171
"13";2017;0;0;0;0;0;0;271450,9375;44527,607422;14588,6071168;37611,3723143;6816,1682129;11676,0706178;168199,5468751;44816,4722672;15099,9180412;43834,2082518;6816,1671141;8303,0316774;103251,3906249;-288,864845199998;-511,310924400001;-6222,8359375;0,00109880000036355;3373,0389404
"14";2018;0;0;0;0;0;0;269476,308594;43796,6555174;14416,5406493;37124,1529541;6740,4949646;11541,673645;163494,2197266;44059,8803329;14919,547062;43225,0452574;6740,4943239;8258,8157958;105982,0888674;-263,224815500005;-503,006412700001;-6100,8923033;0,000640700000985817;3282,8578492
"15";2019;0;0;0;0;0;0;267471,7578121;42988,6379393;14238,2216189;36622,7662353;6657,2174376;11406,496582;162446,6865235;42926,7908174;14732,9873772;42605,5644836;6657,216858;8215,7459719;105025,0712886;61,8471218999985;-494,7657583;-5982,7982483;0,000579600000492064;3190,7506101
"16";2020;0;0;0;0;0;0;267487,5390621;43057,5097658;14247,117859;36614,4505618;6659,4402773;11402,4108278;164970,8349611;38104,9301225;14737,1123467;42523,2938231;6659,4396362;8207,201477;102516,704101;4952,5796433;-489,9944877;-5908,8432613;0,000641100000393635;3195,2093508
"17";2021;0;0;0;0;0;0;267041,230469;42931,4262694;14208,4644773;36517,2512209;6648,3318786;11373,1739501;160917,46875;17440,2558516;14685,6854133;42258,8914796;6648,3312379;8193,1633302;106123,761719;25491,1704178;-477,220936;-5741,6402587;0,000640700000076322;3180,0106199
"18";2022;0;0;0;0;0;0;265917,8515621;42550,7570801;14115,9791261;36227,6685791;6604,8218382;11292,6500851;159992,1406252;16561,7000808;14570,0909615;41680,154297;6604,8212585;8163,7443847;105925,7109369;25989,0569993;-454,111835399999;-5452,4857179;0,000579699999434524;3128,9057004
