"";"V1";"Ca_Wet";"Mg_Wet";"K_Wet";"NO3_Wet";"NH4_Wet";"Ntot_Wet";"SO4_Wet";"Na_Wet";"Cl_Wet";"K_Folx";"NO3_Folx";"NH4_Folx";"Ntot_Folx";"SO4_Folx";"Na_Folx";"Cl_Folx";"Ca_WTH";"Mg_WTH";"K_WTH";"Na_WTH";"Al_WTH";"Si_Wet";"P_WTH";"V79";"Year";"N_TU";"Ca_TU";"Mg_TU";"K_TU";"S_TU";"P_TU";"N_LF";"Ca_LF";"Mg_LF";"K_LF";"S_LF";"P_LF";"N_L_Min";"Ca_L_Min";"Mg_L_Min";"K_L_Min";"S_L_Min";"P_L_Min";"N_SOM_Min";"Ca_SOM_Min";"Mg_SOM_Min";"K_SOM_Min";"S_SOM_Min";"P_SOM_Min"
"1";2005;1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;8,4094305;0;0;0;0;0;0;4,3215542;2,4853961;0,9459308;0,8209171;9,4160824;20,850071;1,1788317;NA;2005;32,6621933;20,3872681;4,2450871;24,0446205;2,3311555;3,8592074;20,9218845;7,8727846;2,0077941;8,1952219;1,3093146;2,2243049;22,7858601;15,6331148;2,964515;3,358171;2,6804378;1,8149023;-313,1917725;-0,0060662;-0,0036788;-0,0059179;-28,2095394;-19,3721714
"2";2006;1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;9,7011824;0;0;0;0;0;0;4,4553304;2,5305817;0,9181556;0,8140064;9,2725458;21,1348972;1,1972346;NA;2006;32,569416;21,8644085;4,3384295;25,5527306;2,3267503;4,1645417;21,4095097;8,0562763;2,0545902;8,3862286;1,3398311;2,2761471;23,4104118;12,8571825;2,5433612;4,0913901;2,4722211;1,7604837;-72,8867722;-0,0113156;-0,0068623;-0,011039;-6,464529;-2,2500319
"3";2007;1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;10,5812397;0;0;0;0;0;0;4,5303054;2,5531216;0,8918617;0,7999821;9,1040354;21,2166595;1,2081021;NA;2007;32,5013275;22,1170425;4,3934832;26,3840008;2,3253629;4,1457338;21,5047169;8,0921011;2,0637271;8,423522;1,345789;2,2862689;25,0098286;11,5604239;2,3801324;4,8572268;2,4062855;1,8203455;-5,0841379;-0,0131675;-0,0079853;-0,0128456;-0,3324527;2,5211687
"4";2008;1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;11,5018826;0;0;0;0;0;0;4,5970421;2,5773606;0,8811974;0,7957906;9,0419273;21,3729324;1,2177726;NA;2008;32,5713081;22,5028896;4,4694576;27,3631516;2,3371334;4,1588459;21,427639;8,1198807;2,0708117;8,4524393;1,3504095;2,2941175;26,4505558;10,887435;2,3185196;5,5464702;2,3589718;1,9101975;14,8223581;-0,0139943;-0,0084868;-0,0136522;1,3922225;3,8698497
"5";2009;1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;12,2824421;0;0;0;0;0;0;4,6666894;2,6005943;0,8680554;0,7925797;8,9754305;21,5172024;1,230453;NA;2009;32,5010262;22,7008457;4,5154405;28,0981846;2,3350329;4,1440821;21,0496559;8,1162586;2,0698869;8,4486685;1,3498071;2,2930944;27,6260242;10,4878168;2,2956288;6,128747;2,3231802;1,9984056;18,7394867;-0,0144802;-0,0087814;-0,0141263;1,8717524;4,2255049
"6";2010;1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;13,0388861;0;0;0;0;0;0;4,6597342;2,5942135;0,859282;0,7820471;8,8903542;21,4196815;1,230583;NA;2010;32,3591461;22,8271847;4,5497546;28,7573872;2,3267944;4,1150236;20,6692638;8,0957222;2,0646503;8,4272938;1,3463917;2,2747524;28,5152969;10,2163363;2,2864978;6,6054006;2,2949085;2,0739582;18,5952225;-0,0148249;-0,0089904;-0,0144625;2,0276484;4,2975016
"7";2011;1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;13,8339539;0;0;0;0;0;0;4,7110133;2,6142378;0,8553882;0,7837791;8,8826904;21,5744934;1,2375896;NA;2011;32,1847191;22,8882198;4,5802555;29,4300499;2,3127375;4,0819087;20,4718628;8,1047325;2,0669489;8,4366722;1,3478905;2,2566652;29,1740208;10,0166664;2,2828219;6,994369;2,2728515;2,1338356;17,8258419;-0,0150918;-0,0091523;-0,0147229;2,0577402;4,2874765
"8";2012;1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;14,6539555;0;0;0;0;0;0;4,760263;2,6310041;0,8478747;0,7828962;8,8495922;21,6855812;1,2474172;NA;2012;32,0264549;22,9817963;4,6143322;30,1462612;2,3020966;4,054986;20,301836;8,1247864;2,0720634;8,4575481;1,3430663;2,2446399;29,6658936;9,8634024;2,2815542;7,3125772;2,2554688;2,1796923;17,6790066;-0,0153074;-0,0092831;-0,0149332;2,0586343;4,2610226
"9";2013;1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;15,4411268;0;0;0;0;0;0;4,7583694;2,6274891;0,8419608;0,7770885;8,7977476;21,6314373;1,24782;NA;2013;31,9377937;23,1281948;4,6567674;30,8725338;2,295866;4,0380721;20,2038841;8,1500845;2,0785148;8,483881;1,3283454;2,2404728;30,0341568;9,7435856;2,2815831;7,5742254;2,2397683;2,2150462;17,3283615;-0,0154854;-0,009391;-0,0151068;2,0502458;4,2369857
"10";2014;1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;16,207262;0;0;0;0;0;0;4,793365;2,6419785;0,8398647;0,7782267;8,7955246;21,7418842;1,2524529;NA;2014;31,8491211;23,2688694;4,6977429;31,5777836;2,2896349;4,0211577;20,1607399;8,1654902;2,0824437;8,499918;1,3180743;2,236973;30,3156872;9,6473083;2,2819228;7,7884588;2,2240238;2,2424262;16,67486;-0,0156339;-0,0094811;-0,0152518;2,0437751;4,2101655
"11";2015;1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;16,9403229;0;0;0;0;0;0;4,8363185;2,6571794;0,8345073;0,7789209;8,778697;21,8488026;1,2610177;NA;2015;31,8100853;23,479166;4,7451258;32,2843132;2,2893174;4,010921;20,1466904;8,1861877;2,0877223;8,5214643;1,3119302;2,2382257;30,541853;9,5696554;2,2824719;7,964715;2,2092664;2,2639148;16,7346725;-0,0157587;-0,0095568;-0,0153735;2,0351713;4,188519
"12";2016;1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;17,6185703;0;0;0;0;0;0;4,8324609;2,6535518;0,8303047;0,7747487;8,7415552;21,8016357;1,2609707;NA;2016;31,6788921;23,5285301;4,7725391;32,8722305;2,2780185;3,9882841;20,1746006;8,2043247;2,0923476;8,5403452;1,3094587;2,242234;30,732132;9,5066147;2,2830985;8,1101084;2,1961539;2,281285;16,4608345;-0,0158645;-0,0096209;-0,0154767;2,0255201;4,1586013
"13";2017;1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;18,3059216;0;0;0;0;0;0;4,8644261;2,6672704;0,8287979;0,7763042;8,7438383;21,9077415;1,2648488;NA;2017;31,6427593;23,7076225;4,8167038;33,5324211;2,2761045;3,9787598;20,2003384;8,2084503;2,0933993;8,5426731;1,3077389;2,2409964;30,8976669;9,45298;2,2831833;8,2280025;2,1848559;2,295059;15,9000368;-0,0159525;-0,0096743;-0,0155625;2,0168734;4,1372361
"14";2018;1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;18,8547859;0;0;0;0;0;0;4,9019828;2,6807926;0,8245634;0,7771835;8,7326775;22,0037708;1,2725536;NA;2018;31,3661766;23,590126;4,8196287;33,8907852;2,2518175;3,9315789;20,2300587;8,2303171;2,0989764;8,5121822;1,307261;2,2476082;31,0505238;9,4091797;2,283402;8,3218908;2,1757538;2,3063204;15,8332815;-0,0159936;-0,0096992;-0,0156027;2,0065095;4,0890908
"15";2019;1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;19,3355064;0;0;0;0;0;0;4,8974462;2,6772406;0,8208101;0,7736046;8,7003527;21,9593887;1,2721522;NA;2019;31,0854015;23,4301605;4,8180809;34,1754799;2,2250893;3,8841541;20,2852592;8,2380457;2,1009471;8,4690208;1,3080355;2,251363;31,191246;9,3719149;2,2833657;8,38834;2,1684186;2,315912;15,4301758;-0,015995;-0,0097001;-0,015604;1,9973701;4,0416389
"16";2020;1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;19,79529;0;0;0;0;0;0;4,9287939;2,6908495;0,819774;0,7754464;8,7058678;22,0663338;1,2759929;NA;2020;31,0876083;23,6127205;4,8597608;34,6320114;2,2258027;3,8801129;20,3386517;8,2512712;2,10432;8,439003;1,3091803;2,2563686;31,3287983;9,3402414;2,2832015;8,4345226;2,1629755;2,3241255;14,8715143;-0,015979;-0,0096903;-0,0155884;1,987566;4,02456
"17";2021;1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;20,3096485;0;0;0;0;0;0;4,966177;2,7043653;0,8162272;0,7770327;8,7004061;22,1667309;1,2836066;NA;2021;31,0250969;23,7204227;4,8907204;35,1083603;2,2222373;3,8710568;20,3902149;8,2522345;2,1045654;8,4183245;1,3106557;2,2562335;31,4606781;9,3114805;2,2825184;8,4652023;2,1589639;2,3307042;14,9777784;-0,0159532;-0,0096747;-0,0155633;1,9507215;4,0046139
"18";2022;1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;20,7671299;0;0;0;0;0;0;4,9651108;2,7015822;0,8127127;0,7741239;8,6709146;22,133852;1,2839435;NA;2022;30,8677483;23,7136059;4,9054117;35,4526291;2,2082729;3,8405612;20,4379139;8,2695436;2,1089799;8,407362;1,3123271;2,2629166;31,5926189;9,2871943;2,2819538;8,4875603;2,1565716;2,3363183;14,7095518;-0,015921;-0,0096552;-0,0155318;1,9415678;3,9699655
"19";2023;1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;21,2151108;0;0;0;0;0;0;4,9928713;2,7140343;0,8139177;0,7778305;8,6926661;22,2456818;1,2866151;NA;2023;30,960598;23,9472523;4,9531302;35,9670296;2,2169442;3,8577175;20,5055218;8,2753267;2,1097195;8,4003935;1,3146611;2,2666025;31,7213135;9,265481;2,2811596;8,5022316;2,1552386;2,3414207;14,2463017;-0,0158843;-0,0096329;-0,015496;1,934016;3,9688971
"20";2024;1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;21,6768475;0;0;0;0;0;0;5,0315285;2,7278783;0,8112261;0,7799871;8,6923323;22,3544674;1,2944976;NA;2024;30,7223682;23,8258591;4,9476933;36,2621841;2,1952851;3,816016;20,5626583;8,2807751;2,104557;8,3977232;1,3168882;2,2697618;31,8503933;9,245388;2,2795241;8,512557;2,1549904;2,345751;14,2474346;-0,0158438;-0,0096083;-0,0154565;1,9241498;3,9259503
"21";2025;1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;22,1162186;0;0;0;0;0;0;5,027792;2,7243879;0,8099697;0,7791977;8,680356;22,3309155;1,29363;NA;2025;30,6798325;23,8823338;4,9667854;36,6721039;2,1902165;3,8102937;20,6418037;8,2876863;2,0999861;8,4050894;1,3203996;2,2739177;31,9811363;9,226963;2,2765458;8,52073;2,1557577;2,3496029;14,0374489;-0,0158002;-0,0095819;-0,015414;1,9176216;3,9094822
"22";2026;1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;22,5350513;0;0;0;0;0;0;5,0595384;2,7383142;0,8099399;0,7820923;8,694109;22,4473171;1,2971904;NA;2026;30,3416557;23,6349659;4,9416175;36,8530197;2,1590407;3,7504842;20,699091;8,2915411;2,0949929;8,4055815;1,3225855;2,2777612;32,1137314;9,2094049;2,272526;8,5274439;2,1573725;2,3530431;13,2542114;-0,0157542;-0,009554;-0,0153691;1,9062774;3,8534579
