"";"YEAR";"Month";"Ca";"Mg";"K";"Na";"NO3";"NH4";"SO4";"Cl";"P";"DOC";"Al";"Si"
"2";2005;1;4,1423869;4,8140254;2,7658639;13,4776564;0,0687543;0,0595531;1,9081836;19,605566;0,0204777;7,8039279;0;"      6.0416088"
"3";2005;2;1,0356076;1,198186;0,6758331;2,4237108;0,0160125;0,0254627;0,4786712;4,3922653;0,0085983;3,8821228;0;"      1.3538072"
"4";2005;3;1,0182749;1,172075;0,5497778;1,4022543;0,0099487;0,0360798;0,3370975;2,9024432;0,010129;5,9458804;0,0013377;"      1.0555688"
"5";2005;4;0,4671997;0,5365349;0,2088821;0,4824601;0,0011484;0,0089997;0,1052281;1,0004214;0,0037113;3,1096206;0,0025352;"      0.4215561"
"6";2005;5;0;0;0;0;0;0;0;0;0;0;0,0012978;"      0.0000000"
"7";2005;6;0;0;0;0;0;0;0;0;0;0;0,0006006;"      0.0000000"
"8";2005;7;0;0;0;0;0;0;0;0;0;0;0,0003298;"      0.0000000"
"9";2005;8;0;0;0;0;0;0;0;0;0;0;0,000191;"      0.0000000"
"10";2005;9;0;0;0;0;0;0;0;0;0;0;7,98e-05;"      0.0000000"
"11";2005;10;0;0;0;0;0;0;0;0;0;0;1e-07;"      0.0000000"
"12";2005;11;7,4409509;8,2414103;3,2911084;7,5637789;0;0,0199332;2,1393812;16,8589478;0,0229811;37,9965973;0,000564;"     30.4460621"
"13";2005;12;3,5278594;3,831305;1,7576016;3,9047534;0,0008304;0,0218388;1,3854759;9,1308355;0,0152958;16,3306389;0,0005167;"     13.4365673"
"14";2006;1;2,9913738;3,1918347;1,871546;4,2701864;0,0083332;0,0467575;1,9603432;6,2487879;0,0220434;14,0834408;0,0001428;"      7.9497709"
"15";2006;2;0,7905503;0,8399143;0,4697559;1,0275553;0,0020955;0,0189606;0,4745004;1,3224155;0,0079802;4,5005331;0,0005589;"      1.6557122"
"16";2006;3;1,0050516;1,0611694;0,5204278;1,129699;0,0019633;0,0292647;0,4650687;1,2103254;0,0083564;6,4100742;0,0007813;"      1.8181784"
"17";2006;4;0,4489262;0,472678;0,1881665;0,3908826;8e-05;0,0038607;0,1342162;0,3698878;0,0041846;3,2812948;0,0020152;"      0.6441483"
"18";2006;5;0;0;0;0;0;0;0;0;0;0;0,0007271;"      0.0000000"
"19";2006;6;0;0;0;0;0;0;0;0;0;0;0,0002541;"      0.0000000"
"20";2006;7;0;0;0;0;0;0;0;0;0;0;7,59e-05;"      0.0000000"
"21";2006;8;0;0;0;0;0;0;0;0;0;0;3,6e-06;"      0.0000000"
"22";2006;9;0;0;0;0;0;0;0;0;0;0;1e-07;"      0.0000000"
"23";2006;10;0;0;0;0;0;0;0;0;0;0;0;"      0.0000000"
"24";2006;11;7,3962059;7,4615855;2,8307357;6,707684;0;0,0291309;2,1197495;9,0355921;0,0243151;40,3662071;0,0003201;"     32.6377716"
"25";2006;12;3,6559241;3,6070893;1,5978475;3,5366595;0,0001393;0,0254817;1,379727;6,4305978;0,0155202;17,7089672;0,0004013;"     14.2988262"
"26";2007;1;3,3592644;3,2483406;1,8112059;3,6855514;0,0112961;0,0343462;1,9457802;8,9290085;0,0192571;11,8744717;0,0003301;"      8.4158468"
"27";2007;2;0,9893259;0,9513423;0,4773563;0,902516;0,0027197;0,0187814;0,4614665;2,1173894;0,0087235;4,3758025;0,0007526;"      1.7138703"
"28";2007;3;1,7175872;1,6340238;0,6962177;1,2736602;0,003607;0,0454858;0,5684592;2,6620865;0,0120851;9,0388718;0,0012007;"      2.2044413"
"29";2007;4;0,5995338;0,5682114;0,2028676;0,3694397;0,000127;0,0043518;0,1352464;0,7962858;0,003262;3,4885552;0,0022147;"      0.6624859"
"30";2007;5;0;0;0;0;0;0;0;0;0;0;0,0012169;"      0.0000000"
"31";2007;6;0;0;0;0;0;0;0;0;0;0;0,0005013;"      0.0000000"
"32";2007;7;0;0;0;0;0;0;0;0;0;0;0,0002459;"      0.0000000"
"33";2007;8;0;0;0;0;0;0;0;0;0;0;0,0001099;"      0.0000000"
