"";"Ca_L1";"Mg_L1";"K_L1";"Na_L1";"NO3_L1";"NH4_L1";"SO4_L1";"Cl_L1";"P_L1";"DOC_L1";"pH_L1";"Al_L1";"R_L1";"HR_L1";"Si_L1";"Ca_L2";"Mg_L2";"K_L2";"Na_L2";"NO3_L2";"NH4_L2";"SO4_L2";"Cl_L2";"P_L2";"DOC_L2";"pH_L2";"Al_L2";"R_L2";"HR_L2";"Si_L2";"Ca_L3";"Mg_L3";"K_L3";"Na_L3";"NO3_L3";"NH4_L3";"SO4_L3";"Cl_L3";"P_L3";"DOC_L3";"pH_L3";"Al_L3";"R_L3";"HR_L3";"Si_L3";"Ca_L4";"Mg_L4";"K_L4";"Na_L4";"NO3_L4";"NH4_L4";"SO4_L4";"Cl_L4";"P_L4";"DOC_L4";"pH_L4";"Al_L4";"R_L4";"HR_L4";"Si_L4";"Ca_L5";"Mg_L5";"K_L5";"Na_L5";"NO3_L5";"NH4_L5";"SO4_L5";"Cl_L5";"P_L5";"DOC_L5";"pH_L5";"Al_L5";"R_L5";"HR_L5";"Si_L5";"Ca_L6";"Mg_L6";"K_L6";"Na_L6";"NO3_L6";"NH4_L6";"SO4_L6";"Cl_L6";"P_L6";"DOC_L6";"pH_L6";"Al_L6";"R_L6";"HR_L6";"Si_L6";"Ca_L7";"Mg_L7";"K_L7";"Na_L7";"NO3_L7";"NH4_L7";"SO4_L7";"Cl_L7";"P_L7";"DOC_L7";"pH_L7";"Al_L7";"R_L7";"HR_L7";"Si_L7";"Ca_L8";"Mg_L8";"K_L8";"Na_L8";"NO3_L8";"NH4_L8";"SO4_L8";"Cl_L8";"P_L8";"DOC_L8";"pH_L8";"Al_L8";"R_L8";"HR_L8";"Si_L8";"Date"
"2";17,3985081;16,6453934;8,7016239;16,3348198;2,1986353;0,4096882;22,715704;35,3938179;0,5256796;130,8608856;5,3710938;0,2674261;15,5979805;3,0964334;11,5472879;22,5141087;22,2964973;10,6494131;8,8667269;1,960626;0,2085639;22,8545685;46,7436981;0,5334766;180,1910248;5,2832031;0,3330991;21,0936947;4,6478825;19,0075588;21,8008671;22,5510654;9,4632645;35,4307785;1,73177;0,3130506;22,6261883;56,7311325;0,3056868;201,7966919;8,7460938;0,0009811;28,7916775;0,0364226;23,4045086;28,1455688;13,5761948;11,5310841;48,3509789;1,5327982;0,20831;12,9418859;66,3423691;0,2163545;188,9288635;9,9707031;5,6e-06;26,9865494;0,0032882;28,4387035;25,1643982;26,3320675;11,2986317;46,7451134;1,4299587;0,2160651;12,3961353;77,3404999;0,1612795;191,3729706;10,0917969;4,18e-05;27,3363914;0,002604;33,6382866;33,2324142;19,1085663;12,4687233;38,7091255;1,3347318;0,5691879;12,3432236;87,3389587;0,1741851;177,5534668;9,8691406;7e-07;25,3609924;0,0037902;38,3431015;13,1209688;22,7274666;7,6849756;90,748558;1,2569454;0,7505047;12,3032494;96,2397537;0,1626243;169,1862335;9,9589844;5,6e-06;24,1664467;0,0030138;42,6551094;10,1362906;19,7170601;10,5112143;108,1297455;1,2122835;0,7572014;12,3249197;101,6158905;0,139061;157,096756;10,0292969;4,8e-06;22,4399662;0,0024265;45,2916336;2005-01-01
"3";31,4571056;30,051342;12,6998911;24,4356155;4,3914814;1,1361098;26,9813175;46,433506;2,0267966;619,539917;5,0644531;0,7534342;68,9318771;19,5738258;25,9521618;34,5996399;34,2587929;14,3156929;12,1481018;3,1587341;0,3257346;26,8365192;50,9439697;2,3825469;759,2078247;4,8242188;1,7013464;79,0815659;29,3767052;49,5442429;34,5476837;35,7321129;13,1569071;46,3954926;2,0674787;0,2535223;27,5271645;60,7864876;1,2168355;784,0640259;5,3320312;3,5258167;92,7249451;19,2842007;45,6591568;33,5569572;16,2042522;13,3901997;55,2783127;1,7209445;0,360134;14,185339;65,0004654;0,6533793;572,3154907;5,9746094;0,0637239;74,7746124;6,9847488;37,6936455;25,9821072;27,1456432;11,8875113;49,44244;1,538973;0,3912238;13,3056202;70,8063812;0,358142;508,2644653;6,5234375;0,1669924;69,5182037;3,0910125;36,2313805;30,9554367;17,8542252;12,49403;39,5907249;1,4204179;1,1605438;13,3208141;80,3899231;0,4055145;416,2689819;5,2636719;0,035293;48,5258598;10,941143;38,6696129;15,6535454;26,9264889;8,7526522;67,653038;1,344093;1,4771776;13,346344;90,3123016;0,3480699;372,5989685;5,703125;0,1151673;47,0138206;6,2146029;41,8459358;12,1751175;23,6277771;11,8306284;86,7517853;1,3095237;1,4314731;13,5119925;97,681839;0,2585784;331,6541443;6,7109375;0,0109781;45,8177795;1,5613828;44,5742874;2005-02-01
"4";42,2004547;40,2172241;16,0230942;34,1423264;5,2648945;2,1891913;32,0455627;82,7059631;2,3763642;747,7097778;5,0097656;1,0690606;82,0307388;24,7849369;27,2784958;50,6175461;50,0956802;19,2235756;17,0046864;4,3789167;0,704905;33,0676765;81,5086212;2,8808224;1206,2287598;4,7285156;3,0985484;122,0175781;50,3008423;61,4974289;57,8106499;59,7721176;19,1899738;60,5427208;2,9279902;0,4547827;34,8331451;87,745491;1,7712054;1507,4371338;5,2050781;6,3452492;173,4615784;41,8865852;68,3904648;48,318737;23,3911591;16,7223434;66,4943542;2,0508089;0,6940998;15,3631582;69,4759598;0,8742034;1106,178833;5,3457031;0,3247573;131,1830902;26,8424625;50,9655495;35,7155037;37,1973114;14,5045252;60,4881935;1,8043634;0,8280421;14,3783636;67,3143616;0,5025908;1061,5684814;5,5058594;2,0240493;129,760376;21,8922901;46,8616829;39,1699142;22,6955013;14,4806681;47,0060196;1,5957929;2,2896526;14,1019936;74,6427917;0,6375559;915,2419434;4,9101562;0,1119659;97,7314529;33,0173988;46,0583878;23,026001;39,2288094;10,9504452;60,6385651;1,4909502;3,1009095;14,1288929;84,3905563;0,5983031;842,1282959;5,1152344;0,573348;94,8824387;25,421608;47,2474594;19,1166077;36,9935532;15,0012779;76,0200577;1,4471281;3,0958354;14,3488216;93,0959625;0,4595206;768,4417725;5,2773438;0,3665785;89,8436356;19,933754;49,4208488;2005-03-01
"5";70,5044632;67,0889206;22,7689114;49,4050941;5,8136468;2,4843876;37,7041702;95,8527527;5,5787468;1881,458374;4,8964844;1,9089231;200,1326141;68,6471939;64,9494247;90,6811218;89,7355499;28,3212414;25,674139;0;0;38,8102608;115,0093155;7,6191745;2996,2868652;4,5820312;7,3447924;288,8385925;139,2024078;171,8796997;111,0604095;114,7931747;28,5786629;86,3380585;0;0;38,8713303;133,9220886;3,0421565;3557,1013184;5,0214844;12,7354422;391,4432068;116,7140961;162,6036072;81,1595917;39,3468437;22,6172504;88,618454;0,7635136;0,7444505;16,2156563;94,0609207;1,2202537;2221,2739258;4,9804688;1,0352798;241,8103485;75,5145111;94,1895065;54,6831093;56,8447304;18,1835194;75,8783035;0,9926193;1,0613626;14,294385;81,8137817;0,3320853;1917,3063965;5,2011719;4,6665716;220,4299316;53,4709854;70,2292862;53,339653;30,9781551;17,1684246;56,4256363;0,4026295;1,2722204;14,0672264;84,2436676;0,7633006;1543,4345703;4,7070312;0,2575889;155,0678406;65,4228058;62,6095963;32,3013649;54,7738724;13,1754742;67,5969696;0,538129;2,4001844;14,3044815;93,8246689;0,8408332;1398,2114258;4,9316406;1,0696385;150,2009735;49,5435028;59,989006;27,198391;52,5734177;18,0507298;83,2004013;0,6106857;2,6835592;14,4349337;104,8771667;0,5589864;1266,9243164;5,0605469;0,7111832;140,8228912;40,1663132;61,5607948;2005-04-01
"6";88,0274277;83,6558914;23,3891964;51,3614159;1,1705263;0,5421256;30,1574116;83,8902664;8,3505516;3032,6293945;4,7421875;2,9585199;308,0883789;125,1443787;75,7412262;108,6611099;107,5670624;26,4855995;24,5126381;0;0;25,4067726;110,4977264;9,2101784;3679,2338867;4,6445312;3,9820497;362,2168274;163,3880005;338,8266907;128,3919983;132,721344;24,3980541;74,3872604;0;0;19,5292873;136,2722168;0;3660,0878906;5,5546875;1,8386028;451,1662292;71,7034302;233,0834198;86,3362885;41,8567429;20,5121059;81,1452942;0;0;10,8522711;96,2130585;0;2140,8730469;5,21875;0,3870746;247,1117249;58,7272835;106,0871277;68,3267822;71,0232773;20,1701069;84,6171494;0;0,0871824;12,3492899;96,0786972;0;2091,074707;5,7617188;1,0937055;266,058197;32,6667633;85,6815643;61,9296608;35,9684944;18,8552418;62,424408;0;0;12,9279833;102,5274658;0;1755,7260742;4,6875;0,2923592;175,2941895;75,5238342;81,7907867;41,0391273;69,5969315;15,1800079;83,4234543;0;0;14,133605;116,7890396;0;1620,4075928;5,15625;0,5478205;184,3699799;47,1168022;77,4174423;31,4122334;60,8050499;18,8207226;94,2275543;0;0;12,3359575;117,0643005;0;1347,2370605;5,3828125;0,2714021;160,9551239;31,5073166;73,6086502;2005-05-01
"7";167,1332703;158,6381989;36,2849197;79,8894119;0;0;39,90028;106,1338959;19,746294;6825,5566406;4,5703125;8,2684631;655,331665;319,7477722;195,0782471;180,3417664;178,5944366;37,50354;35,4380913;0;0;33,1928139;145,4304962;24,052063;8669,8857422;4,2890625;32,1348724;750,1397095;488,4154358;676,2218018;219,3049164;226,673172;36,8902206;110,5845566;0;0;30,9732628;190,5819244;7,8081555;8282,9746094;4,796875;24,0520267;855,7418213;327,5403137;498,0807495;92,5625153;44,8829346;21,2148552;84,1053848;0;0;11,8598118;103,0276031;0;2243,8894043;5,2382812;0,3661534;260,1303406;60,425312;133,2834625;69,5430298;72,2845917;18,4708462;77,8750153;0;0;10,9287148;93,359375;0;1881,9671631;7,2460938;0,0284708;264,7736206;4,0788388;86,2399292;57,0476189;33,1342392;16,0894527;53,6587486;0;0;10,9150772;99,609375;0;1580,1534424;4,6113281;0,3290998;153,848938;71,8872833;85,2757645;40,2470818;68,2673721;13,343461;80,2300797;0;0;11,487812;115,6250076;0;1458,3668213;5,4335938;0,2032543;175,9367218;32,4014053;78,7980576;30,4229107;58,9741859;17,0224438;91,4246597;0;0;11,1692286;115,8203125;0;1212,5133057;5,6386719;0,1216606;151,5099792;21,7062073;75,1855011;2005-06-01
"8";206,0520477;195,6404724;29,604969;66,3553314;0;0;18,7501068;95,1344833;11,9228668;6175,2597656;5,6210938;0,1415783;769,5042725;112,6756973;474,1278381;186,5183563;184,8745422;29,1636429;27,9080753;0;0;16,725296;135,15625;21,3435364;7802,8969727;4,3828125;10,8962212;700,0418091;414,6578064;1112,6038818;223,6528015;231,1955872;29,0378494;88,6442184;0;0;16,5638638;182,03125;0;7454,6767578;5,0625;5,7393765;829,0211182;235,9327698;511,5185547;87,3996887;42,3794594;19,9155884;79,2790756;0;0;10,7052069;101,5625;0;2019,5003662;5,3652344;0,2427781;240,4349518;48,0651398;139,8269043;68,7718201;71,4837494;18,3483562;77,46595;0;0;10,575181;93,359375;0;1693,7703857;9,5351562;0,0001462;241,8973236;0,069862;86,759758;52,124218;30,2759418;15,3534069;51,3799286;0;0;10,5577259;99,609375;0;1422,1380615;4,5898438;0,364996;137,4590149;65,7035675;89,7498779;38,5158882;65,3513489;13,0318975;79,726532;0;0;11,2908258;112,5000076;0;1312,5301514;5,7714844;0,0881725;167,2246552;20,2796555;80,180069;28,9253235;56,1514397;16,4757919;90,7439728;0;0;10,8830395;117,1875;0;1091,2619629;5,8242188;0,077708;140,0158386;15,8787422;76,911705;2005-07-01
"9";214,5328979;203,8482513;28,5606956;64,6652374;0;0;17,1653748;95,3239975;10,6134996;5557,7563477;8,9609375;5,48e-05;793,286499;0,678721;651,18573;189,6026917;188,1161499;29,384243;28,4577255;0;0;17,4436741;135,546875;23,0577927;7022,6069336;4,5820312;3,7918408;676,9712524;326,2583923;1576,7609863;219,2755737;226,7170563;28,7326698;87,9030609;0;0;17,2804661;182,421875;0;6709,2089844;5,3652344;2,4277811;798,7759399;159,6826019;525,6469116;82,0510254;39,7859688;19,2821903;76,957222;0;0;10,9684887;103,125;0;1817,550293;5,4238281;0,2084276;218,8654633;40,7846069;147,1652679;67,9443817;70,6246109;18,2179794;77,0236893;0;0;10,8468208;93,359375;0;1524,3933105;9,7832031;8,26e-05;217,731842;0,0386289;87,3087463;48,7047424;28,2903099;14,8158922;49,7346268;0;0;10,8326387;99,609375;0;1279,9241943;4,5917969;0,3615474;123,7955399;59,0507812;95,0664368;36,8256302;62,5027657;12,7218151;79,2141037;0;0;11,4282818;118,7500076;0;1181,2770996;5,7832031;0,0857261;150,74263;18,01124;81,7323456;27,5082741;53,4773331;15,947505;90,0614471;0;0;11,0969553;116,40625;0;982,1357422;6,1152344;0,0390717;130,1978607;10,1072493;78,6993942;2005-08-01
"10";260,0882568;247,0092163;42,1617279;102,2713318;0;0;34,1083336;272,7174072;16,7569637;7649,8076172;5,0019531;1,2568668;837,5332031;255,2964172;612,9358521;215,0648804;213,6039734;36,2023735;35,5702057;0;0;24,4791546;188,3850098;14,6230955;7625;4,5898438;4,8895836;737,0064697;352,2792358;2017,5224609;213,7635651;221,0604401;28,3522377;86,9144135;0;0;17,2804661;182,03125;0;6038,2880859;5,7871094;0,8492654;770,9522095;91,6604004;535,3312988;76,8059235;37,2426109;18,6435738;74,5897675;0;0;10,9684887;100;0;1635,795166;5,5722656;0,1432831;202,2316742;31,4533634;152,8332672;67,1762848;69,8270721;18,0976086;76,6101303;0;0;10,8468208;93,359375;0;1371,9539795;9,9941406;5,08e-05;195,9706573;0,0227685;87,7676392;45,8549385;26,6353436;14,3543758;48,3148079;0;0;10,8326387;99,609375;0;1151,9317627;4,6054688;0,3384575;111,9341965;52,6274872;99,5486221;35,1566391;59,687664;12,4124012;78,6642685;0;0;11,4282818;118,3593826;0;1063,1494141;6,078125;0,0426234;140,4276123;11,4508867;83,0966568;26,1980782;50,9944992;15,461154;89,3809204;0;0;11,0969553;116,796875;0;883,9221191;6,4804688;0,016691;120,5812149;5,6933775;80,3106384;2005-09-01
"11";146,5372467;139,0385895;25,7021713;62,4575233;3,7705324;0,9964719;24,0827713;148,6607513;7,4381533;5008,875;4,6464844;3,3182325;493,4373169;222,1163025;315,975647;172,1771393;171,1743011;30,512701;30,5766754;0;0;24,3032894;183,8126221;11,689517;7984,8554688;4,2265625;32,5653381;673,8209839;466,8726196;1419,1387939;227,3011627;235,0413971;32,0328941;96,2746811;0;0;24,3535328;206,2952576;6,2484479;8128,8007812;4,8144531;16,3670616;844,262085;316,9951477;942,4691772;79,9625168;38,7795219;19,2270489;76,9140244;0;0;12,1570253;106,9497299;0,025505;1717,2734375;5,4179688;0,2161752;206,5607147;38,76408;188,9559784;66,3510742;68,9708862;17,9861984;76,1586456;0;0;11,7975597;93,359375;0;1234,7585449;10,2441406;2,86e-05;176,3817902;0,0122908;88,0593262;43,3980484;25,2098866;13,9649935;47,0460167;0;0;11,7948322;99,609375;0;1036,7385254;4,6035156;0,3416467;100,6742096;47,4312973;102,420311;33,5641403;56,9951591;12,1286926;78,084671;0;0;11,909379;118,1640701;0;956,8344727;6,3925781;0,0204672;129,769516;6,9211411;84,0762711;24,9864883;48,6352997;15,1042166;88,6666412;0;0;11,8456621;116,6015625;0;795,5299072;6,9101562;0,006179;110,8200226;2,8271132;81,4699326;2005-10-01
