"";"id";"YEAR";"Month";"Ca";"Mg";"K";"Na";"NO3";"NH4";"SO4";"Cl";"P";"DOC";"Al";"Si";"H";"pH";"R";"HR";"group_id";"Date"
"1";"C:/Users/siahl/Documents/NutsforBASLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;1;0,8183308;0,4965524;1,7588835;5,220737;0,1311546;0,0297163;0,9957718;7,5852814;0,0256821;2,2871757;0,0002731;1,6672435;NA;NA;NA;NA;1;2005-01-01
"2";"C:/Users/siahl/Documents/NutsforBASLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;2;0,2979459;0,1807396;0,4755484;1,2931489;0,040113;0,0160929;0,201767;1,4730217;0,0112899;1,4397924;0,0007062;0,4116166;NA;NA;NA;NA;1;2005-02-01
"3";"C:/Users/siahl/Documents/NutsforBASLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;3;0,640851;0,3887223;0,9797694;2,5339627;0,0810547;0,050069;0,3967853;3,5148747;0,0165113;2,4384975;0,0005735;0,6137977;NA;NA;NA;NA;1;2005-03-01
"4";"C:/Users/siahl/Documents/NutsforBASLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;4;0,3588205;0,2175888;0,4671925;1,1136072;0,0199928;0,0156807;0,1519654;1,26403;0,0037939;1,7322555;0,0010145;0,5521995;NA;NA;NA;NA;1;2005-04-01
"5";"C:/Users/siahl/Documents/NutsforBASLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;5;0,348903;0,2115139;0,3510749;0,7679262;0;0;0,0815564;0,6968269;0;1,8478123;0,0017412;0,6134614;NA;NA;NA;NA;1;2005-05-01
"6";"C:/Users/siahl/Documents/NutsforBASLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;6;0,3485529;0,21125;0,2923493;0,595988;0;0;0,064302;0,4663952;0,0125374;1,8009729;0,0023616;0,7286855;NA;NA;NA;NA;1;2005-06-01
"7";"C:/Users/siahl/Documents/NutsforBASLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;7;0;0;0;0;0;0;0;0;0;0;0,009198;0;NA;NA;NA;NA;1;2005-07-01
"8";"C:/Users/siahl/Documents/NutsforBASLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;8;0;0;0;0;0;0;0;0;0;0;1e-07;0;NA;NA;NA;NA;1;2005-08-01
"9";"C:/Users/siahl/Documents/NutsforBASLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;9;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2005-09-01
"10";"C:/Users/siahl/Documents/NutsforBASLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;10;0,2988684;0,1811173;0,1620487;0,3456889;0,0037471;0,0034277;0,0256442;0,3888373;0,0025214;0,8401511;0;0,6917679;NA;NA;NA;NA;1;2005-10-01
