"";"Year";"Month";"Dry weight";"N";"Ca";"Mg";"K";"S";"P";"Date"
"1";2005;1;17896,03125;45,8358955;34,0049629;5,9955277;33,4435654;3,5482459;7,6722164;2005-01-01
"2";2005;2;17906,0058594;45,8614426;34,0239182;5,9988694;33,462204;3,5502236;7,6764922;2005-02-01
"3";2005;3;17925,953125;45,9125328;34,0618172;6,0055523;33,4994812;3,5541785;7,6850443;2005-03-01
"4";2005;4;18175,3046875;46,551178;34,5356255;6,0890899;33,9654617;3,6036177;7,791944;2005-04-01
"5";2005;5;18674,0078125;47,8284645;35,4832268;6,256165;34,8974228;3,7024953;8,005743;2005-05-01
"6";2005;6;18993,1777344;48,6459351;36,089695;6,3630939;35,4938774;3,7657773;8,1425743;2005-06-01
"7";2005;7;19312,3476562;49,4634018;36,6961632;6,4700217;36,090332;3,8290589;8,2794065;2005-07-01
"8";2005;8;19591,6210938;50,1786919;37,2268219;6,5635839;36,6122284;3,8844304;8,3991337;2005-08-01
"9";2005;9;19850,9453125;50,8428802;37,7195778;6,6504636;37,0968475;3,9358468;8,4694386;2005-09-01
"10";2005;10;19860,9199219;50,8684235;37,7385292;6,6538038;37,1154861;3,9378242;8,4737139;2005-10-01
"11";2005;11;19870,8945312;50,8939705;37,7574806;6,657146;37,1341248;3,9398019;8,4758816;2005-11-01
"12";2005;12;19877,9023438;50,9119186;37,7707977;6,6594939;37,1446037;3,9411912;8,4765749;2005-12-01
"13";2006;1;19877,9082031;50,9119225;37,7708092;6,6594944;37,1446152;3,9411917;8,4765749;2006-01-01
"14";2006;2;19877,9042969;50,9119225;37,7708092;6,6594944;37,1446075;3,9411917;8,4765749;2006-02-01
"15";2006;3;19877,8945312;50,9119225;37,7708092;6,6594944;37,1445923;3,9411917;8,4765749;2006-03-01
"16";2006;4;19885,7929688;50,9135323;37,7715492;6,6595707;37,1563988;3,9414051;8,4768686;2006-04-01
"17";2006;5;20022,9609375;51,1945915;37,8625984;6,6714358;37,2148323;3,9504473;8,483079;2006-05-01
"18";2006;6;20217,1953125;51,4439545;38,1298141;6,714622;37,4308853;3,9812555;8,5040607;2006-06-01
"19";2006;7;20416,3847656;51,8520927;38,404213;6,7590275;37,6514015;4,0056777;8,5233335;2006-07-01
"20";2006;8;20599,9804688;52,2282829;38,6942558;6,8061209;37,8853836;4,0267692;8,5435352;2006-08-01
"21";2006;9;20781,9609375;52,6011581;38,9621468;6,8491483;38,0988808;4,048636;8,566371;2006-09-01
"22";2006;10;20781,8359375;52,6008339;38,9621468;6,8491483;38,0986977;4,0486212;8,5663176;2006-10-01
