"";"Month";"Year";"Dry weight";"Ca";"Mg";"K";"S";"P";"Date"
"1";1;2005;16725,2558594;27,2345715;4,4330292;17,8421707;1,9586948;4,0905008;2005-01-01
"2";2;2005;16729,9628906;27,2422371;4,4342771;17,8471909;1,959246;4,0916524;2005-02-01
"3";3;2005;16739,3769531;27,2575665;4,4367719;17,857233;1,9603485;4,0939541;2005-03-01
"4";4;2005;16857,0488281;27,4491749;4,4679604;17,9827633;1,974129;4,1227336;2005-04-01
"5";5;2005;17092,390625;27,8323994;4,5303378;18,2338219;2,0016899;4,1802907;2005-05-01
"6";6;2005;17243,0097656;28,0776577;4,57026;18,3944988;2,0193288;4,2171283;2005-06-01
"7";7;2005;17393,6289062;28,3229198;4,6101818;18,5551758;2,036968;4,2539654;2005-07-01
"8";8;2005;17525,421875;28,5375233;4,6451135;18,6957703;2,052402;4,2861977;2005-08-01
"9";9;2005;17647,7988281;28,7367992;4,6775494;18,8263206;2,0667338;4,3051248;2005-09-01
"10";10;2005;17652,5058594;28,744463;4,6787968;18,8313408;2,0672851;4,3062758;2005-10-01
"11";11;2005;17657,2128906;28,7521267;4,6800447;18,8363628;2,0678363;4,3068595;2005-11-01
"12";12;2005;17661,9199219;28,7597923;4,6812921;18,8391857;2,0683875;4,3071251;2005-12-01
"13";1;2006;17666,1796875;28,7661247;4,6816058;18,8391876;2,0687189;4,3071384;2006-01-01
"14";2;2006;17670,4375;28,7661247;4,6816058;18,8391857;2,0687258;4,307158;2006-02-01
"15";3;2006;17678,9550781;28,7661247;4,6816058;18,8391819;2,0687599;4,3072209;2006-03-01
"16";4;2006;17785,4199219;28,7746677;4,6824231;18,8420277;2,070456;4,3094764;2006-04-01
"17";5;2006;17998,3496094;28,8957939;4,6969948;18,8938084;2,078747;4,3149762;2006-05-01
"18";6;2006;18134,625;29,0564556;4,7209659;18,980341;2,0864303;4,3233747;2006-06-01
"19";7;2006;18270,8984375;29,2173328;4,7450004;19,0664597;2,0962994;4,3308964;2006-07-01
"20";8;2006;18390,1386719;29,3787632;4,7691984;19,1532097;2,1043904;4,3383813;2006-08-01
"21";9;2006;18500,8613281;29,5184441;4,7899103;19,2273636;2,1122487;4,3463073;2006-09-01
"22";10;2006;18505,1210938;29,5184441;4,7899103;19,2273197;2,1125433;4,3473492;2006-10-01
"23";11;2006;18509,3789062;29,5184441;4,7899103;19,2272625;2,112576;4,3477139;2006-11-01
"24";12;2006;18513,6386719;29,5184441;4,7899103;19,2272453;2,1125867;4,3477631;2006-12-01
"25";1;2007;18517,3378906;29,5184441;4,7899103;19,2272453;2,1125906;4,3477769;2007-01-01
"26";2;2007;18521,0371094;29,5184441;4,7899103;19,2272415;2,1125982;4,3477969;2007-02-01
"27";3;2007;18528,4335938;29,5184441;4,7899103;19,2272396;2,1126344;4,3478622;2007-03-01
"28";4;2007;18620,8886719;29,5268497;4,7907381;19,2301292;2,1143665;4,3501625;2007-04-01
"29";5;2007;18805,8007812;29,6444569;4,8056984;19,2834225;2,1230555;4,3615704;2007-05-01
"30";6;2007;18924,1445312;29,7884541;4,8273244;19,3614025;2,1299436;4,3674912;2007-06-01
"31";7;2007;19042,4882812;29,9326477;4,8490095;19,439146;2,138793;4,374146;2007-07-01
"32";8;2007;19146,0390625;30,0773563;4,8708491;19,5174828;2,1460502;4,3807535;2007-08-01
"33";9;2007;19242,1933594;30,2025127;4,8895226;19,5843735;2,153091;4,387742;2007-09-01
"34";10;2007;19245,8925781;30,2025127;4,8895226;19,5843372;2,1533468;4,3886466;2007-10-01
"35";11;2007;19249,5917969;30,2025127;4,8895226;19,5842896;2,1533749;4,388948;2007-11-01
"36";12;2007;19253,2890625;30,2025127;4,8895226;19,5842743;2,1533844;4,3889894;2007-12-01
"37";1;2008;19256,8769531;30,2025127;4,8895226;19,5842724;2,1533887;4,3890033;2008-01-01
"38";2;2008;19260,4628906;30,2025127;4,8895226;19,5842705;2,1533964;4,3890233;2008-02-01
"39";3;2008;19267,6347656;30,2025127;4,8895226;19,5842686;2,153434;4,389091;2008-03-01
"40";4;2008;19357,2890625;30,2110271;4,8903675;19,5872211;2,1552038;4,3914404;2008-04-01
"41";5;2008;19536,5996094;30,3302059;4,9058175;19,6424007;2,1642284;4,4035125;2008-05-01
"42";6;2008;19651,3554688;30,4728317;4,9273305;19,7201538;2,1710618;4,4110541;2008-06-01
"43";7;2008;19766,1132812;30,6156635;4,9489045;19,797718;2,179841;4,417767;2008-07-01
"44";8;2008;19866,5253906;30,759016;4,9706364;19,8758869;2,1870425;4,42452;2008-08-01
"45";9;2008;19959,7675781;30,882967;4,9892073;19,9425945;2,1940243;4,4314909;2008-09-01
"46";10;2008;19963,3535156;30,882967;4,9892073;19,9425583;2,1942735;4,4323683;2008-10-01
"47";11;2008;19966,9394531;30,882967;4,9892073;19,9425144;2,1943009;4,4326472;2008-11-01
"48";12;2008;19970,5253906;30,882967;4,9892073;19,9425011;2,1943102;4,4326873;2008-12-01
"49";1;2009;19973,7753906;30,882967;4,9892073;19,9425011;2,1943147;4,4327011;2009-01-01
"50";2;2009;19977,0253906;30,882967;4,9892073;19,9424992;2,1943226;4,4327211;2009-02-01
"51";3;2009;19983,5253906;30,882967;4,9892073;19,9424953;2,1943607;4,4327893;2009-03-01
"52";4;2009;20064,7734375;30,8912678;4,9900446;19,945425;2,1961229;4,4351296;2009-04-01
"53";5;2009;20227,2734375;31,0062294;5,0054488;20,0004749;2,20523;4,4473672;2009-05-01
