"";"Year";"Month";"Dry weight";"N";"Ca";"Mg";"K";"S";"P";"Date"
"1";2005;1;108513,21875;34,323513;54,3751106;6,019938;23,7635555;4,0856643;4,6182165;2005-01-01
"2";2005;2;108567,015625;34,3405266;54,4020615;6,0229225;23,7753334;4,0876899;4,6205058;2005-02-01
"3";2005;3;108674,6015625;34,3745575;54,4559708;6,0288911;23,798893;4,0917401;4,6250849;2005-03-01
"4";2005;4;110019,4140625;34,7999344;55,1298485;6,103497;24,0934029;4,1423745;4,6823187;2005-04-01
"5";2005;5;112709,046875;35,6506844;56,4776039;6,2527084;24,6824074;4,2436423;4,7967868;2005-05-01
"6";2005;6;114430,40625;36,1951637;57,3401642;6,3482041;25,0593758;4,3084545;4,8700461;2005-06-01
"7";2005;7;116151,78125;36,7396431;58,2027245;6,4436989;25,4363422;4,3732657;4,9433064;2005-07-01
"8";2005;8;117657,96875;37,2160606;58,9574661;6,5272574;25,7661858;4,4299765;5,0074086;2005-08-01
"9";2005;9;119056,578125;37,6584511;59,6582985;6,6048479;26,0724678;4,482636;5,0450492;2005-09-01
"10";2005;10;119110,375;37,6754646;59,6852493;6,607832;26,0842514;4,4846611;5,047339;2005-10-01
"11";2005;11;119164,15625;37,6924782;59,712204;6,6108165;26,0960312;4,4866862;5,0484991;2005-11-01
"12";2005;12;119201,953125;37,7044373;59,7311401;6,6129131;26,1026535;4,4881086;5,0488701;2005-12-01
"13";2006;1;119201,984375;37,7044373;59,7311478;6,6129146;26,1026611;4,4881096;5,0488701;2006-01-01
"14";2006;2;119201,9609375;37,7044373;59,7311478;6,6129146;26,1026592;4,4881091;5,0488701;2006-02-01
"15";2006;3;119201,9140625;37,7044373;59,7311478;6,6129146;26,1026478;4,4881091;5,0488701;2006-03-01
"16";2006;4;119246,3125;37,705555;59,7322464;6,6129856;26,1104259;4,4883366;5,0490341;2006-04-01
"17";2006;5;120017,5;37,9007034;59,8672447;6,624032;26,1489258;4,4979911;5,0525007;2006-05-01
"18";2006;6;121109,5234375;38,0738449;60,2634354;6,6642385;26,2912712;4,5308843;5,0642118;2006-06-01
"19";2006;7;122229,4140625;38,3572273;60,6702766;6,7055788;26,436554;4,5569582;5,0749683;2006-07-01
"20";2006;8;123261,6328125;38,6184196;61,1002998;6,7494235;26,5907097;4,5794764;5,0862427;2006-08-01
"21";2006;9;124284,765625;38,8773193;61,4974976;6,7894812;26,7313747;4,6028223;5,0989885;2006-09-01
"22";2006;10;124284,0625;38,8770981;61,4974976;6,7894807;26,7312508;4,602807;5,098959;2006-10-01
"23";2006;11;124283,1640625;38,8770409;61,4974976;6,7894807;26,7310905;4,6028047;5,0989456;2006-11-01
"24";2006;12;124282,921875;38,8770409;61,4974976;6,7894807;26,7310486;4,6028047;5,0989451;2006-12-01
"25";2007;1;124282,8828125;38,8770409;61,4974976;6,7894807;26,7310429;4,6028047;5,0989451;2007-01-01
"26";2007;2;124282,8515625;38,8770409;61,4974976;6,7894807;26,731039;4,6028042;5,0989451;2007-02-01
"27";2007;3;124282,796875;38,8770409;61,4974976;6,7894797;26,7310295;4,6028037;5,0989451;2007-03-01
"28";2007;4;124335,40625;38,8786087;61,49897;6,7895789;26,7402458;4,6031208;5,0991726;2007-04-01
"29";2007;5;125306,1796875;38,9622307;61,6889648;6,8060179;26,9103165;4,6177874;5,1095943;2007-05-01
"30";2007;6;126449,15625;39,1499825;62,1169319;6,8497343;27,0649223;4,6522145;5,1195459;2007-06-01
"31";2007;7;127626,4453125;39,4478912;62,5583534;6,8948865;27,2236919;4,6805162;5,1310663;2007-07-01
"32";2007;8;128711,0234375;39,7223396;63,0247726;6,9427648;27,3921223;4,7049551;5,1431084;2007-08-01
"33";2007;9;129780,8515625;39,9930534;63,4532928;6,9862518;27,5449047;4,7301397;5,1566386;2007-09-01
"34";2007;10;129780,1875;39,9928436;63,4532928;6,9862518;27,5447884;4,7301254;5,1566105;2007-10-01
"35";2007;11;129779,3046875;39,9927902;63,4532928;6,9862523;27,544632;4,7301226;5,1565976;2007-11-01
"36";2007;12;129779,0703125;39,9927902;63,4532928;6,9862523;27,54459;4,7301226;5,1565971;2007-12-01
"37";2008;1;129779,03125;39,9927902;63,4532928;6,9862523;27,5445843;4,7301226;5,1565971;2008-01-01
"38";2008;2;129779;39,9927902;63,4532928;6,9862523;27,5445786;4,7301226;5,1565971;2008-02-01
"39";2008;3;129778,9453125;39,9927902;63,4532928;6,9862523;27,5445652;4,7301226;5,1565971;2008-03-01
"40";2008;4;129835,703125;39,9945793;63,4549522;6,9863639;27,5545063;4,7304831;5,1568561;2008-04-01
"41";2008;5;130896,484375;40,0936432;63,6719131;7,0054941;27,7403507;4,7476478;5,1692839;2008-05-01
"42";2008;6;132093,109375;40,2949867;64,1295853;7,0524468;27,9067879;4,7836914;5,1829686;2008-06-01
"43";2008;7;133328,21875;40,6075249;64,6026459;7,1010466;28,0781574;4,8140693;5,1955419;2008-07-01
"44";2008;8;134465,0625;40,895195;65,1020889;7,1525435;28,2598324;4,8402829;5,2088456;2008-08-01
"45";2008;9;135581,46875;41,1776962;65,5587921;7,1990819;28,4237919;4,8671594;5,2233691;2008-09-01
"46";2008;10;135580,828125;41,177494;65,5587921;7,1990824;28,4236813;4,8671451;5,2233419;2008-10-01
"47";2008;11;135579,96875;41,1774483;65,5587921;7,1990824;28,4235287;4,8671432;5,2233295;2008-11-01
"48";2008;12;135579,71875;41,1774406;65,5587921;7,1990824;28,4234867;4,8671432;5,2233291;2008-12-01
"49";2009;1;135579,671875;41,1774406;65,5587921;7,1990824;28,4234791;4,8671436;5,2233291;2009-01-01
"50";2009;2;135579,65625;41,1774406;65,5587921;7,1990824;28,4234695;4,8671432;5,2233291;2009-02-01
"51";2009;3;135579,578125;41,1774406;65,5587921;7,1990824;28,4234581;4,8671427;5,2233291;2009-03-01
"52";2009;4;135643,84375;41,1796799;65,5608139;7,1992216;28,4347191;4,8675904;5,2236514;2009-04-01
"53";2009;5;136851,65625;41,3087463;65,823761;7,2231846;28,6463203;4,8893533;5,2394791;2009-05-01
"54";2009;6;138108,8125;41,5239944;66,3138351;7,2735519;28,8245087;4,9272199;5,2505984;2009-06-01
"55";2009;7;139182,046875;41,7955742;66,7328033;7,3166723;28,9764194;4,9540329;5,2613597;2009-07-01
"56";2009;8;140085,203125;42,0241089;67,1372147;7,3584485;29,1236668;4,9751868;5,2716508;2009-08-01
"57";2009;9;140764,640625;42,1960335;67,4205017;7,3873658;29,2254505;4,9918003;5,2803831;2009-09-01
"58";2009;10;140764,03125;42,1958427;67,4205017;7,3873658;29,2253437;4,9917865;5,2803569;2009-10-01
"59";2009;11;140763,140625;42,1958008;67,4205017;7,3873653;29,225193;4,9917846;5,2803454;2009-11-01
"60";2009;12;140762,90625;42,1957932;67,4205017;7,3873644;29,2251472;4,9917846;5,280345;2009-12-01
"61";2010;1;140762,84375;42,1957932;67,4205017;7,3873644;29,2251396;4,9917841;5,280345;2010-01-01
"62";2010;2;140762,828125;42,1957932;67,4205017;7,3873644;29,225132;4,9917841;5,280345;2010-02-01
"63";2010;3;140762,75;42,1957932;67,4205017;7,3873644;29,2251205;4,9917841;5,280345;2010-03-01
"64";2010;4;140829,078125;42,1981354;67,4226151;7,3875093;29,2367401;4,9922523;5,2806821;2010-04-01
"65";2010;5;142091,78125;42,3371048;67,7034225;7,41325;29,4579563;5,0156045;5,2977047;2010-05-01
"66";2010;6;143392,421875;42,5640907;68,2193298;7,4664593;29,6463795;5,054781;5,3174558;2010-06-01
"67";2010;7;144696,75;42,8941422;68,737442;7,5199742;29,8351078;5,0879474;5,3308649;2010-07-01
"68";2010;8;145605,65625;43,1241379;69,1515961;7,5629139;29,9866142;5,1096191;5,3414421;2010-08-01
"69";2010;9;146495,21875;43,3492432;69,5289536;7,601562;30,1227932;5,1317492;5,3550968;2010-09-01
"70";2010;10;146494,640625;43,3490601;69,5289536;7,601562;30,1226883;5,1317358;5,3550715;2010-10-01
"71";2010;11;146493,765625;43,3490181;69,5289536;7,601562;30,1225357;5,1317344;5,3550606;2010-11-01
"72";2010;12;146493,53125;43,3490143;69,5289536;7,601562;30,1224937;5,1317339;5,3550601;2010-12-01
"73";2011;1;146493,484375;43,3490143;69,5289536;7,601562;30,1224842;5,1317339;5,3550601;2011-01-01
"74";2011;2;146493,453125;43,3490143;69,5289536;7,601562;30,1224804;5,1317339;5,3550601;2011-02-01
"75";2011;3;146493,390625;43,3490143;69,5289536;7,601562;30,1224651;5,1317334;5,3550601;2011-03-01
"76";2011;4;146564;43,3516388;69,5312881;7,6017251;30,1348381;5,1322579;5,3554368;2011-04-01
"77";2011;5;147926,4375;43,5121498;69,8468781;7,6312504;30,3735294;5,1591978;5,3751626;2011-05-01
"78";2011;6;149071,8125;43,8019791;70,3101883;7,6792426;30,5436916;5,1823363;5,3876538;2011-06-01
"79";2011;7;149931,5625;44,0195389;70,6584854;7,7153745;30,6713524;5,2046542;5,396584;2011-07-01
"80";2011;8;150531,90625;44,1714554;70,9375;7,744432;30,7740688;5,2192707;5,4035859;2011-08-01
"81";2011;9;151173,875;44,3338966;71,2151642;7,7729874;30,8748646;5,2355652;5,4119854;2011-09-01
"82";2011;10;151173,3125;44,333725;71,2151642;7,7729874;30,8747673;5,2355523;5,4119616;2011-10-01
"83";2011;11;151172,453125;44,333683;71,2151642;7,7729864;30,8746166;5,2355504;5,4119506;2011-11-01
"84";2011;12;151172,21875;44,333683;71,2151642;7,7729874;30,8745747;5,2355499;5,4119501;2011-12-01
"85";2012;1;151172,171875;44,333683;71,2151642;7,7729874;30,8745632;5,2355499;5,4119501;2012-01-01
"86";2012;2;151172,140625;44,333683;71,2151642;7,7729874;30,8745594;5,2355499;5,4119501;2012-02-01
"87";2012;3;151172,0625;44,333683;71,2151642;7,7729874;30,874548;5,2355499;5,4119501;2012-03-01
"88";2012;4;151242,515625;44,3362999;71,2175064;7,7731495;30,8868866;5,2360735;5,4123259;2012-04-01
"89";2012;5;152617,75;44,5027771;71,5392303;7,8033476;31,1278229;5,2635994;5,4324784;2012-05-01
"90";2012;6;153891,015625;44,8249779;72,0598679;7,8575063;31,3202019;5,2896838;5,4463758;2012-06-01
"91";2012;7;154803,28125;45,0558205;72,4334717;7,8964295;31,4579754;5,3137007;5,4559517;2012-07-01
"92";2012;8;155408,453125;45,2089539;72,717804;7,9261732;31,5633087;5,3286476;5,4630899;2012-08-01
"93";2012;9;156053,265625;45,3721237;72,9996796;7,955277;31,6662331;5,3452373;5,4716101;2012-09-01
"94";2012;10;156052,734375;45,3719559;72,9996796;7,955277;31,6661396;5,3452249;5,4715877;2012-10-01
"95";2012;11;156051,90625;45,3719215;72,9996796;7,9552774;31,6659946;5,3452234;5,4715781;2012-11-01
"96";2012;12;156051,6875;45,3719177;72,9996796;7,9552774;31,6659527;5,3452234;5,4715772;2012-12-01
"97";2013;1;156051,625;45,3719177;72,9996796;7,9552774;31,6659431;5,3452234;5,4715772;2013-01-01
"98";2013;2;156051,59375;45,3719177;72,9996796;7,9552774;31,6659393;5,3452234;5,4715772;2013-02-01
"99";2013;3;156051,515625;45,3719177;72,9996796;7,9552774;31,6659279;5,3452234;5,4715772;2013-03-01
"100";2013;4;156128,40625;45,3750534;73,0024033;7,9554687;31,6793957;5,3458471;5,4720249;2013-04-01
"101";2013;5;157640,578125;45,5815315;73,3757858;7,9917865;31,9443207;5,3793907;5,4926553;2013-05-01
"102";2013;6;159023,375;45,8365364;73,9503632;8,0517759;32,1571655;5,4210415;5,5148706;2013-06-01
"103";2013;7;160207,984375;46,1362991;74,4433594;8,1033316;32,3396378;5,4527311;5,5276966;2013-07-01
"104";2013;8;160825,40625;46,2925339;74,7381897;8,1342907;32,449276;5,4682293;5,5352182;2013-08-01
"105";2013;9;161533;46,4715919;75,0524673;8,1668539;32,5644188;5,4867182;5,5476303;2013-09-01
"106";2013;10;161532,5;46,4714355;75,0524673;8,1668539;32,5643311;5,4867072;5,5476098;2013-10-01
"107";2013;11;161531,6875;46,4714012;75,0524673;8,1668539;32,5641899;5,4867048;5,5476003;2013-11-01
"108";2013;12;161531,453125;46,4713974;75,0524673;8,1668539;32,5641479;5,4867048;5,5475998;2013-12-01
"109";2014;1;161531,40625;46,4713974;75,0524673;8,1668539;32,5641403;5,4867048;5,5475998;2014-01-01
"110";2014;2;161531,375;46,4713974;75,0524673;8,1668539;32,5641365;5,4867048;5,5475998;2014-02-01
"111";2014;3;161531,296875;46,4713974;75,0524673;8,1668539;32,5641212;5,4867048;5,5475998;2014-03-01
"112";2014;4;161608,734375;46,4745674;75,0552292;8,1670485;32,5776863;5,4873357;5,5480523;2014-04-01
"113";2014;5;163145,84375;46,6908417;75,4386063;8,2044735;32,8469772;5,5218797;5,5734968;2014-05-01
"114";2014;6;164545,171875;46,9477081;76,0252228;8,2658844;33,0650635;5,5640292;5,5868721;2014-06-01
"115";2014;7;165618,828125;47,2193947;76,4760208;8,3131533;33,2325249;5,5930433;5,5984387;2014-07-01
"116";2014;8;166433,671875;47,4255829;76,8686295;8,354495;33,3790588;5,6137094;5,6083946;2014-08-01
"117";2014;9;167093,734375;47,5926094;77,1643524;8,3852148;33,4877853;5,6311264;5,6174498;2014-09-01
"118";2014;10;167093,265625;47,5924644;77,1643524;8,3852158;33,4877014;5,6311154;5,6174293;2014-10-01
"119";2014;11;167092,46875;47,5924301;77,1643524;8,3852158;33,4875641;5,6311135;5,6174212;2014-11-01
"120";2014;12;167092,25;47,5924263;77,1643524;8,3852158;33,4875221;5,6311135;5,6174202;2014-12-01
"121";2015;1;167092,1875;47,5924263;77,1643524;8,3852158;33,4875107;5,6311135;5,6174202;2015-01-01
"122";2015;2;167092,15625;47,5924263;77,1643524;8,3852158;33,4875069;5,6311135;5,6174202;2015-02-01
"123";2015;3;167092,0625;47,5924263;77,1643524;8,3852158;33,4874916;5,6311135;5,6174202;2015-03-01
"124";2015;4;167173,25;47,5959244;77,1673508;8,3854284;33,5017166;5,6318064;5,6179175;2015-04-01
"125";2015;5;168792,75;47,8380051;77,5829239;8,4268255;33,7854424;5,6703196;5,6304836;2015-05-01
"126";2015;6;169926,90625;48,125;78,0625305;8,4771566;33,9642258;5,6943974;5,6410398;2015-06-01
"127";2015;7;170803,765625;48,3468819;78,4339142;8,5161972;34,1026497;5,7183237;5,6503949;2015-07-01
"128";2015;8;171223,84375;48,4531822;78,638092;8,5377512;34,1791153;5,729084;5,6554427;2015-08-01
"129";2015;9;171703,09375;48,5744476;78,85466;8,5602989;34,2589912;5,7418475;5,6618891;2015-09-01
"130";2015;10;171702,640625;48,5743141;78,85466;8,5602989;34,2589149;5,7418375;5,6618705;2015-10-01
"131";2015;11;171701,859375;48,5742874;78,85466;8,5602989;34,2587738;5,7418361;5,6618624;2015-11-01
"132";2015;12;171701,640625;48,5742798;78,85466;8,5602989;34,2587395;5,7418361;5,6618619;2015-12-01
"133";2016;1;171701,578125;48,5742798;78,85466;8,5602989;34,2587318;5,7418361;5,6618619;2016-01-01
"134";2016;2;171701,546875;48,5742798;78,85466;8,5602989;34,2587242;5,7418361;5,6618619;2016-02-01
"135";2016;3;171701,46875;48,5742798;78,85466;8,5602989;34,258709;5,7418361;5,6618619;2016-03-01
"136";2016;4;171784,828125;48,5779114;78,8577652;8,5605221;34,2733116;5,7425551;5,6623778;2016-04-01
"137";2016;5;173466,796875;48,8364105;79,2965164;8,6044855;34,5679893;5,7834511;5,6757898;2016-05-01
"138";2016;6;174668,921875;49,1406059;79,8110809;8,6586065;34,760437;5,8092799;5,6871872;2016-06-01
"139";2016;7;175349,03125;49,3127022;80,1026611;8,6893244;34,8694992;5,8280621;5,6945825;2016-07-01
"140";2016;8;175724,5625;49,4077377;80,2874451;8,7088776;34,9389496;5,8377986;5,6992731;2016-08-01
"141";2016;9;176164,59375;49,5190849;80,4887085;8,7298775;35,0134315;5,8496585;5,7052917;2016-09-01
"142";2016;10;176164,15625;49,518959;80,4887085;8,7298784;35,0133591;5,849649;5,7052732;2016-10-01
"143";2016;11;176163,375;49,5189285;80,4887085;8,7298784;35,0132217;5,849647;5,705265;2016-11-01
"144";2016;12;176163,15625;49,5189247;80,4887085;8,7298784;35,0131836;5,849647;5,705265;2016-12-01
