"";"Ca_L1";"Mg_L1";"K_L1";"Na_L1";"Al_L1";"Si_L1";"P_L1";"Ca_L2";"Mg_L2";"K_L2";"Na_L2";"Al_L2";"Si_L2";"P_L2";"Ca_L3";"Mg_L3";"K_L3";"Na_L3";"Al_L3";"Si_L3";"P_L3";"Ca_L4";"Mg_L4";"K_L4";"Na_L4";"Al_L4";"Si_L4";"P_L4";"Ca_L5";"Mg_L5";"K_L5";"Na_L5";"Al_L5";"Si_L5";"P_L5";"Ca_L6";"Mg_L6";"K_L6";"Na_L6";"Al_L6";"Si_L6";"P_L6";"Ca_L7";"Mg_L7";"K_L7";"Na_L7";"Al_L7";"Si_L7";"P_L7";"Ca_L8";"Mg_L8";"K_L8";"Na_L8";"Al_L8";"Si_L8";"P_L8";"Date";"Total_Ca"
"3";0,0277497;0,0436287;0,0119952;0,0176769;0,1906249;0,2808175;0;0,0654772;0,1055682;0,0294263;0,0424678;0,464466;0,6776386;0;0,0017375;0,0029208;0,0008219;0,0011384;0,0128405;0,0185645;0;2,9e-06;4,8e-06;1,4e-06;1,9e-06;2,12e-05;3,07e-05;0;0,0003114;0,0005715;0,0001609;0,0002028;0,0024629;0,0035278;0;0,0004045;0,0007434;0,0002119;0,0002653;0,0032364;0,004611;0;0,0003536;0,0006712;0,0001897;0,0002287;0,0028631;0,0040943;0;0,0002904;0,0005559;0,0001564;0,0001866;0,0023574;0,0033746;0;2005-01-01;0,0963272
"4";0,1191444;0,0789228;0,0161607;0,0397217;0,2875115;0,6827589;0;0,1134624;0,1169532;0,032422;0,059326;0,5292238;0,8857381;0;0,0021377;0,0029051;0,0008301;0,0012949;0,0131566;0,0199626;0;2,8e-06;4,6e-06;1,3e-06;1,8e-06;2,02e-05;2,93e-05;0;0,0002925;0,0005406;0,0001522;0,0001899;0,0023215;0,0033267;0;0,0003856;0,0007097;0,0002018;0,000251;0,0030742;0,0043897;0;0,0003286;0,000617;0,0001736;0,000211;0,0026253;0,0037673;0;0,000265;0,0005048;0,0001419;0,0001698;0,0021396;0,003067;0;2005-02-01;0,236019
"5";0,1883984;0,1187242;0,0219489;0,057003;0,400421;1,0343888;0;0,3271385;0,2255686;0,051882;0,1211806;0,8947957;1,9601061;0;0,0072342;0,0055758;0,0011296;0,0025663;0,0207256;0,0447917;0;8e-06;7,3e-06;2e-06;3,8e-06;3,25e-05;5,78e-05;0;0,0010998;0,0009465;0,0002564;0,0004685;0,0040284;0,0076208;0;0,0018212;0,00139;0,0003608;0,0007036;0,0057507;0,0117109;0;0,0018294;0,0013033;0,0002987;0,0006288;0,0049145;0,0110324;0;0,0010072;0,0008539;0,000188;0,0003683;0,003231;0,0066206;0;2005-03-01;0,5285367
"6";0,1580149;0,1210002;0,0316945;0,0669475;0,5214555;1,026124;0;0,4801297;0,3269921;0,0776805;0,1798354;1,3197904;2,8783271;0;0,0098386;0,007739;0,0015452;0,003431;0,028379;0,0613357;0;1,48e-05;1,13e-05;3e-06;6,2e-06;4,9e-05;9,66e-05;0;0,0019716;0,0014748;0,000376;0,0007404;0,0059485;0,0124663;0;0,0031924;0,0021908;0,0004905;0,0010491;0,0081697;0,0188323;0;0,0023302;0,0016075;0,0003322;0,0007306;0,005642;0,0135469;0;0,0012073;0,0010004;0,0002028;0,0004076;0,0035886;0,0077055;0;2005-04-01;0,6566995
"7";0,1116587;0,1312463;0,0394483;0,0615331;0,5960804;0,954161;0;0,7132095;0,4866903;0,1132231;0,2590548;1,9214417;4,2563624;0;0,0105017;0,0094907;0,0024071;0,0044556;0,0395368;0,0739965;0;2,52e-05;1,81e-05;4,8e-06;1e-05;7,65e-05;0,000158;0;0,0030023;0,0022176;0,0005564;0,0010982;0,0088057;0,0187792;0;0,0050445;0,0034149;0,0006755;0,0015095;0,0117871;0,0288849;0;0,0027702;0,0019887;0,0004609;0,0009511;0,0075145;0,0167987;0;0,0014151;0,0012519;0,0002853;0,0005313;0,004812;0,0095828;0;2005-05-01;0,8476272
"8";0,2608367;0,2087717;0,0635983;0,1223947;0,9779559;1,7962676;0;0,7306666;0,5305924;0,1451093;0,2971042;2,2928789;4,6470866;0;0,013932;0,0122648;0,0028057;0,0053659;0,0479024;0,0944678;0;2,57e-05;2e-05;5,9e-06;1,13e-05;9,04e-05;0,0001723;0;0,0027283;0,0022789;0,0006981;0,0011949;0,0102033;0,0190722;0;0,0058299;0,004032;0,000843;0,001831;0,0144527;0,0340906;0;0,0024919;0,0019782;0,000566;0,0010237;0,0085158;0,0166712;0;0,0013652;0,0013443;0,0003605;0,0005994;0,0056569;0,0101852;0;2005-06-01;1,0178763
"9";0,3812212;0,2758147;0,0668576;0,1392891;1,091475;2,3510125;0;0,9512309;0,6791759;0,1197036;0,2646951;2,153583;5,4582577;0;0,0149607;0,013519;0,0028339;0,005204;0,0491484;0,1005596;0;2,49e-05;2,13e-05;6,7e-06;1,19e-05;9,98e-05;0,0001788;0;0,0026422;0,0024486;0,0007933;0,0012587;0,0113171;0,0198718;0;0,0070896;0,0048722;0,0009875;0,0021896;0,0172041;0,0411238;0;0,0025135;0,0021447;0,0006564;0,001118;0,0096293;0,0177881;0;0,0013718;0,001486;0,0004318;0,0006624;0,0065085;0,0110371;0;2005-07-01;1,3610548
"10";0,1982578;0,2059104;0,0717077;0,1048876;0,9893342;1,6269332;0;0,701359;0,5740868;0,1852026;0,3130712;2,6399767;4,9056239;0;0,0139281;0,0139501;0,0038316;0,0061562;0,059078;0,1054264;0;2,46e-05;2,3e-05;7,4e-06;1,24e-05;0,0001089;0,0001868;0;0,0025019;0,0026111;0,0008657;0,0012751;0,0121674;0,0203022;0;0,0081815;0,0056246;0,0011565;0,0025753;0,0201443;0,0476389;0;0,0024656;0,0022899;0,0007294;0,0011716;0,0105177;0,0184978;0;0,0013679;0,001629;0,0004939;0,0007053;0,007246;0,0117794;0;2005-08-01;0,9280864
"11";0,0579843;0,122437;0,0354624;0,0360112;0,5025777;0,7190033;0;0,3553573;0,3607901;0,1227501;0,1829338;1,7129326;2,8591146;0;0,0084328;0,0096162;0,0029921;0,004303;0,0434021;0,0712248;0;1,8e-05;1,82e-05;5,8e-06;9,3e-06;8,52e-05;0,0001424;0;0,0017303;0,0020395;0,0006625;0,0009206;0,0093525;0,0150489;0;0,0069834;0,0047571;0,0009644;0,0021634;0,0168399;0,0403571;0;0,0020784;0,0021046;0,0006758;0,0010335;0,0096901;0,0164386;0;0,001136;0,0015176;0,0004674;0,0006197;0,0067421;0,0105542;0;2005-09-01;0,4337205
"12";0,124377;0,0992485;0,0286675;0,0545814;0,4437041;0,8420936;0;0,2635176;0,2303687;0,0714606;0,1215874;1,0527478;1,9019067;0;0,0062244;0,0060619;0,0016285;0,002739;0,0256586;0,0462457;0;1,09e-05;1,11e-05;3,4e-06;5,6e-06;5,12e-05;8,58e-05;0;0,000909;0,0011976;0,0003715;0,0005054;0,0053929;0,0084096;0;0,0047069;0,0031218;0,0005787;0,0013361;0,0103232;0,0263811;0;0,0014359;0,0015708;0,0004918;0,0007333;0,007143;0,0118328;0;0,0005815;0,0010828;0,0003219;0,0003568;0,0046094;0,0066855;0;2005-10-01;0,4017632
