"";"Year";"Month";"RF";"PET";"AET";"TF";"In";"Date"
"1";2005;1;636,4997559;97,5785446;47,8699341;532,6437378;103,855957;2005-01-01
"2";2005;2;132,5275421;71,2008743;52,6966248;108,283226;24,2443161;2005-02-01
"3";2005;3;258,2542114;95,7303543;56,2909317;210,604599;47,6496315;2005-03-01
"4";2005;4;111,7077408;88,6106949;71,47509;89,8121796;21,8955593;2005-04-01
"5";2005;5;82,497879;82,5547943;68,0518646;66,383522;16,1143608;2005-05-01
"6";2005;6;54,0071678;93,0231018;82,7503128;42,7270927;11,2800751;2005-06-01
"7";2005;7;5,3802967;95,0959778;93,5305176;3,6911588;1,6891377;2005-07-01
"8";2005;8;0,6658783;119,8951035;113,8193283;0,2769966;0,3888817;2005-08-01
"9";2005;9;39,6685905;147,2326508;17,422678;31,4062996;8,262289;2005-09-01
"10";2005;10;56,9814224;153,8216553;29,6030235;44,9759789;12,0054379;2005-10-01
"11";2005;11;724,5911255;89,4569778;36,4840889;607,5213013;117,0696411;2005-11-01
"12";2005;12;397,2185669;70,7788467;36,5780106;331,5108643;65,7077026;2005-12-01
"13";2006;1;636,4997559;97,5785446;47,8699341;532,6437378;103,855957;2006-01-01
"14";2006;2;132,5275421;71,2008743;52,6966248;108,283226;24,2443161;2006-02-01
"15";2006;3;258,2542114;95,7303543;56,2909317;210,604599;47,6496315;2006-03-01
"16";2006;4;111,7077408;88,6106949;71,47509;89,8121796;21,8955593;2006-04-01
"17";2006;5;82,497879;82,5547943;68,0518646;66,383522;16,1143608;2006-05-01
"18";2006;6;54,0071678;93,0231018;82,7503128;42,7270927;11,2800751;2006-06-01
"19";2006;7;5,3802967;95,0959778;93,5305176;3,6911588;1,6891377;2006-07-01
"20";2006;8;0,6658783;119,8951035;113,8193283;0,2769966;0,3888817;2006-08-01
"21";2006;9;39,6685905;147,2326508;17,422678;31,4062996;8,262289;2006-09-01
"22";2006;10;56,9814224;153,8216553;29,6030235;44,9759789;12,0054379;2006-10-01
"23";2006;11;724,5911255;89,4569778;36,4840889;607,5213013;117,0696411;2006-11-01
"24";2006;12;397,2185669;70,7788467;36,5780106;331,5108643;65,7077026;2006-12-01
"25";2007;1;636,4997559;97,5785446;47,8699341;532,6437378;103,855957;2007-01-01
"26";2007;2;132,5275421;71,2008743;52,6966248;108,283226;24,2443161;2007-02-01
"27";2007;3;258,2542114;95,7303543;56,2909317;210,604599;47,6496315;2007-03-01
"28";2007;4;111,7077408;88,6106949;71,47509;89,8121796;21,8955593;2007-04-01
"29";2007;5;82,497879;82,5547943;68,0518646;66,383522;16,1143608;2007-05-01
"30";2007;6;54,0071678;93,0231018;82,7503128;42,7270927;11,2800751;2007-06-01
"31";2007;7;5,3802967;95,0959778;93,5305176;3,6911588;1,6891377;2007-07-01
"32";2007;8;0,6658783;119,8951035;113,8193283;0,2769966;0,3888817;2007-08-01
"33";2007;9;39,6685905;147,2326508;17,422678;31,4062996;8,262289;2007-09-01
"34";2007;10;56,9814224;153,8216553;29,6030235;44,9759789;12,0054379;2007-10-01
"35";2007;11;724,5911255;89,4569778;36,4840889;607,5213013;117,0696411;2007-11-01
"36";2007;12;397,2185669;70,7788467;36,5780106;331,5108643;65,7077026;2007-12-01
"37";2008;1;636,4997559;97,5785446;47,8699341;532,6437378;103,855957;2008-01-01
"38";2008;2;132,5275421;71,2008743;52,6966248;108,283226;24,2443161;2008-02-01
"39";2008;3;258,2542114;95,7303543;56,2909317;210,604599;47,6496315;2008-03-01
"40";2008;4;111,7077408;88,6106949;71,47509;89,8121796;21,8955593;2008-04-01
"41";2008;5;82,497879;82,5547943;68,0518646;66,383522;16,1143608;2008-05-01
"42";2008;6;54,0071678;93,0231018;82,7503128;42,7270927;11,2800751;2008-06-01
"43";2008;7;5,3802967;95,0959778;93,5305176;3,6911588;1,6891377;2008-07-01
