"";"Year";"N_PP";"Ca_PP";"Mg_PP";"K_PP";"S_PP";"P_PP";"N_PU";"Ca_PU";"Mg_PU";"K_PU";"S_PU";"P_PU";"N_AU";"Ca_AU";"Mg_AU";"K_AU";"S_AU";"P_AU";"N_Diff";"Ca_Diff";"Mg_Diff";"K_Diff";"S_Diff";"P_Diff"
"1";2005;1120864,3359375;328838,4453125;81986,1235352;213004,8906249;40680,7397461;64746,7045898;86983,2577822;28303,5446778;6968,0498812;19996,8772583;3226,8370973;5662,2836724;86983,270874;28303,5496825;6968,0510102;43644,7526855;3226,8371583;4483,8508185;-0,0130917999922531;-0,00500470000042696;-0,00112900000021909;-23647,8754272;-6,0999999732303e-05;1178,4328539
"2";2006;809476,3828124;300328,5878905;68701,0590823;173337,9218751;32504,4829101;36242,4628906;88066,2342531;28822,4068603;7056,815155;20243,2016298;3288,2514727;5723,47604;88066,23761;28822,4098511;7056,8144072;46769,2346191;3288,2516557;4543,3744241;-0,00335689999337774;-0,00299080000331742;0,000747799999771814;-26526,0329893;-0,000182999999651656;1180,1016159
"3";2007;545994,3906249;276678,9570315;57571,1240235;140096,2666016;25587,9621582;10286,9778289;86614,6241455;28391,5399782;6927,7691802;19859,621399;3248,070774;5612,1742783;86614,6297912;28391,543518;6927,7694398;47066,7265626;3248,070896;4485,1962356;-0,00564570000278763;-0,00353979999636067;-0,000259599999480997;-27207,1051636;-0,000121999999919353;1126,9780427
"4";2008;25657,1171875;204356,6191405;23678,5748289;38939,9852297;4923,6563874;7,4451904;86476,3499451;28461,3356321;6920,3295289;19779,0121764;3252,8796043;5585,4535257;45627,1757812;28461,3336183;6920,3283995;47427,708496;3252,8797417;4469,4521561;40849,1741639;0,00201379999998608;0,00112939999962691;-27648,6963196;-0,000137399999857735;1116,0013696
"5";2009;0;37016,1689453;41,8168945;0;0;0;87254,2655334;28828,5226438;6983,9086305;19963,9806214;3296,8595466;5631,6737557;31231,8620302;28828,52063;6983,9098815;47594,7902833;3296,8596686;4493,6062508;56022,4035032;0,00201379999998608;-0,00125100000059319;-27630,8096619;-0,000121999999919353;1138,0675049
"6";2010;0;0;0;0;0;0;87030,7490847;28822,0357667;6964,0985564;19882,8635864;3297,6222879;5605,8295212;31555,9138183;28822,0342408;6964,0988005;47354,6870116;3297,6222115;4476,3962173;55474,8352664;0,0015259000028891;-0,000244099999690661;-27471,8234252;7,64000001254317e-05;1129,4333039
"7";2011;0;0;0;0;0;0;86261,1641543;28649,4996947;6901,4105073;19665,0668639;3278,3429451;5541,1869925;31862,5378112;28649,5037232;6901,4120178;46947,9370116;3278,3432043;4436,9744833;54398,6263431;-0,00402849999954924;-0,00151050000022224;-27282,8701477;-0,000259199999618431;1104,2125092
"8";2012;0;0;0;0;0;0;85259,3657838;28287,8170168;6812,0153504;19382,9041441;3240,9359477;5463,4540673;31068,1674192;28287,8134766;6812,0147248;46447,9128418;3240,9358867;4390,1880035;54191,1983646;0,00354019999940647;0,000625599999693804;-27065,0086977;6,0999999732303e-05;1073,2660638
"9";2013;0;0;0;0;0;0;84303,3587038;27982,9587403;6726,7260131;19139,4981995;3212,3478813;5393,5307426;31943,0146792;27982,9617311;6726,7250061;45970,5693359;3212,3479425;4347,733181;52360,3440246;-0,00299079999967944;0,00100699999984499;-26831,0711364;-6,11999998909596e-05;1045,7975616
"10";2014;0;0;0;0;0;0;83844,2569888;27832,2070311;6685,2062074;19005,8435975;3197,5002172;5355,9232673;32305,7636412;27832,2110596;6685,2064516;45601,4421387;3197,500202;4323,6334875;51538,4933476;-0,00402849999954924;-0,000244199999542616;-26595,5985412;1,52000002344721e-05;1032,2897798
"11";2015;0;0;0;0;0;0;83350,3976745;27677,7438964;6641,9469909;18867,7794494;3181,7397101;5316,7093851;31567,1481627;27677,7418822;6641,9466094;45221,7473147;3181,7397308;4298,7384262;51783,2495118;0,0020141999993939;0,000381500000003143;-26353,9678653;-2,0699999822682e-05;1017,9709589
