"";"Ca_L1";"Mg_L1";"K_L1";"Na_L1";"NO3_L1";"NH4_L1";"SO4_L1";"Cl_L1";"P_L1";"DOC_L1";"pH_L1";"Al_L1";"R_L1";"HR_L1";"Si_L1";"Ca_L2";"Mg_L2";"K_L2";"Na_L2";"NO3_L2";"NH4_L2";"SO4_L2";"Cl_L2";"P_L2";"DOC_L2";"pH_L2";"Al_L2";"R_L2";"HR_L2";"Si_L2";"Ca_L3";"Mg_L3";"K_L3";"Na_L3";"NO3_L3";"NH4_L3";"SO4_L3";"Cl_L3";"P_L3";"DOC_L3";"pH_L3";"Al_L3";"R_L3";"HR_L3";"Si_L3";"Ca_L4";"Mg_L4";"K_L4";"Na_L4";"NO3_L4";"NH4_L4";"SO4_L4";"Cl_L4";"P_L4";"DOC_L4";"pH_L4";"Al_L4";"R_L4";"HR_L4";"Si_L4";"Ca_L5";"Mg_L5";"K_L5";"Na_L5";"NO3_L5";"NH4_L5";"SO4_L5";"Cl_L5";"P_L5";"DOC_L5";"pH_L5";"Al_L5";"R_L5";"HR_L5";"Si_L5";"Ca_L6";"Mg_L6";"K_L6";"Na_L6";"NO3_L6";"NH4_L6";"SO4_L6";"Cl_L6";"P_L6";"DOC_L6";"pH_L6";"Al_L6";"R_L6";"HR_L6";"Si_L6";"Ca_L7";"Mg_L7";"K_L7";"Na_L7";"NO3_L7";"NH4_L7";"SO4_L7";"Cl_L7";"P_L7";"DOC_L7";"pH_L7";"Al_L7";"R_L7";"HR_L7";"Si_L7";"Ca_L8";"Mg_L8";"K_L8";"Na_L8";"NO3_L8";"NH4_L8";"SO4_L8";"Cl_L8";"P_L8";"DOC_L8";"pH_L8";"Al_L8";"R_L8";"HR_L8";"Si_L8";"Date"
"2";8,6874161;11,5861177;13,3461542;31,1131554;2,2626796;0,9023729;22,1775074;39,9299698;0,3731552;88,9183197;5,0214844;0,0707199;9,7850676;2,9175496;10,7866888;9,6533804;13,2203407;13,823926;41,4403648;2,1861544;0,7495544;22,2221012;54,3524628;0,3223263;130,4584961;4,9160156;0,100157;13,9535265;4,6834016;19,4626236;15,2773571;18,0077209;17,0823116;33,5706062;2,1041393;0,8066515;22,0856476;65,2022629;0,2899223;149,6452026;5,0332031;0,0670464;16,5178375;4,8600502;26,8803234;8,0089073;13,8412237;13,3954449;45,1329384;1,8880186;1,0594548;12,1982565;80,0065536;0,2174644;120,4577103;4,8203125;0,0136488;12,5326967;4,6755471;35,2373581;11,9477129;19,7525768;14,1998444;48,425827;1,8363838;1,4736055;12,3253927;93,6722412;0,15786;118,5504074;5,2109375;0,0037867;13,6597443;3,2760291;41,0005798;11,7407331;18,7018738;16,6906223;52,4230118;1,8363799;1,7262003;12,2754507;102,913765;0,1671471;112,110733;5,015625;0,006804;12,3184681;3,6973524;46,1056709;14,3313408;19,5986404;15,0325727;61,5852089;1,8391889;2,0314858;12,2440224;111,3904419;0,1615081;117,2771835;5,3085938;0,0028748;13,8024597;2,9514251;50,7331276;12,5865364;16,0366974;16,7185402;76,8327942;1,845055;2,2176514;12,2562523;116,4802704;0,1418603;114,838356;5,4414062;0,0020309;13,874299;2,5311813;53,6300774;2005-01-01
"3";13,0343275;17,3686752;17,2597122;39,9167938;3,9121563;2,4454069;24,7700176;44,6414757;1,2489483;341,9682922;4,9296875;0,1076352;36,7156219;12,1369886;10,434701;13,5481834;18,5526905;17,4949875;51,6304741;3,0668654;1,2791525;25,3315296;55,4397049;1,1529487;452,3830872;4,7734375;0,1965654;46,4049416;18,2212162;21,7106819;20,3792629;24,0184307;21,3343906;42,3399048;2,3889976;0,9637592;25,7841091;67,1466064;1,0927314;465,5754395;4,875;0,1349389;49,2209549;17,2898235;32,9926109;7,9065213;13,6672535;13,5809345;45,532402;1,7362429;1,6341424;12,8763523;74,3701019;0,6038767;257,7935791;4,6582031;0,0281596;25,4941368;11,3335171;38,4445915;12,7235384;21,0301609;15,0179243;51,0378952;1,7216243;3,0021694;12,9280663;88,5237885;0,3450011;255,560257;5,1132812;0,0052881;28,7802639;7,7283468;41,4528236;12,316927;19,6216583;17,5561047;54,9982567;1,7791353;3,3011763;12,9792747;100,2221375;0,376784;213,8005066;4,9746094;0,0082246;23,2380104;7,3049202;45,8043098;15,405694;21,0637608;16,0509033;64,7758255;1,8146882;3,9492879;12,9984989;109,5506516;0,343179;236,6632996;5,1992188;0,0041205;27,1967487;6,6122947;50,3791962;14,032527;17,9045067;18,1732006;79,2925949;1,8418618;4,3050666;13,0634155;115,931015;0,2740351;230,158493;5,3085938;0,0030603;27,0875664;5,792222;53,1491356;2005-02-01
"4";17,4583244;23,2284565;21,0534554;50,4505844;4,5203624;4,0470524;27,6420422;69,702774;1,5761315;444,1690979;4,8535156;0,1586534;46,6667137;16,7860222;8,6743793;18,9267921;25,9142418;22,0369434;63,6128082;4,0469093;2,6018667;28,6603642;71,6737137;1,4517466;719,6727295;4,7128906;0,2878222;72,4401703;30,3702145;19,3671608;28,3986855;33,4637451;27,16996;55,1568184;3,2992685;1,9407367;29,9246731;79,3218079;1,4008747;867,1634521;4,7910156;0,2170358;89,430748;34,4497452;32,9394646;10,2832584;17,7809315;16,1953125;53,5121727;1,9392469;2,3819153;14,0635357;73,5610123;0,7770131;519,6343384;4,6425781;0,0330252;51,1243935;23,109087;37,9753799;14,8671856;24,5640526;16,8043442;56,8838348;1,7483923;4,6847401;13,8297462;83,3677826;0,4599525;513,5018921;4,9960938;0,0081938;56,1334076;17,22402;40,9846001;14,1128588;22,48526;19,2513847;60,0640602;1,7390851;5,6436439;13,6125612;95,593071;0,5544628;440,754425;4,921875;0,0103644;47,2192192;15,7456989;44,8214111;17,9645329;24,5505142;17,7777596;70,5223999;1,7837118;7,330997;13,6364193;106,6584702;0,5520123;490,8523865;5,0683594;0,0063848;54,6674385;15,4543371;50,0899239;17,0107098;21,7251358;20,4129333;84,8943558;1,8216094;8,3488312;13,6235132;115,0174866;0,4589692;484,3473816;5,1523438;0,0049534;55,058342;14,1341438;53,2430458;2005-03-01
"5";22,7673435;30,2740192;25,7673035;61,6951447;4,0081;3,640106;31,0047951;0;2,8952808;1017,0212402;5,9707031;0,0085387;132,8187561;12,4699993;18,6765919;27,6337681;37,8343697;28,491581;81,9551849;0;0;32,0385094;56,4618683;2,6110456;1585,585083;4,6582031;0,4199413;156,8042297;69,7079315;39,5505486;44,1078224;51,9695129;35,7402687;73,5002213;0;0;32,447422;90,8288879;2,1991224;1825,1888428;4,6699219;0,4047705;181,1930542;79,5482254;63,6030579;12,8804541;22,2759933;17,8252316;58,7604675;0;2,2e-06;13,2605371;74,5851593;0,9370117;815,7383423;4,5488281;0,0502268;77,7391129;38,7949371;54,8065414;19,1899738;31,6983509;19,1354542;64,7058411;0,375571;2,4759212;13,5190125;86,9256744;0,2939453;843,3532715;4,8769531;0,0124656;89,2099304;31,2691193;51,4173889;17,7263603;28,2430325;21,8067608;68,0302658;0,5203927;2,9706335;13,5224457;100,8732681;0,6035573;697,1625977;4,8417969;0,0142078;72,9967957;26,597868;53,1473541;23,2851276;31,7964687;20,4586372;80,5977707;0,7705777;5,5021248;13,7213268;114,799202;0,7274873;820,7765503;4,9160156;0,0108062;87,7882767;29,4655113;57,7184372;22,1468716;28,2813854;23,4897442;96,0380783;0,9515807;7,2628388;13,597249;123,480751;0,5529143;804,6810913;4,9921875;0,0083007;87,8725586;27,0818901;59,9823761;2005-04-01
"6";38,0065346;50,4925117;32,7371674;77,434166;0;0,0519612;28,7690125;42,5472069;6,2147627;2161,8212891;4,7089844;0,3183472;217,3321228;91,4995041;36,6508331;53,4718819;73,2021027;40,7441788;117,5610886;0;0;30,6134586;71,5109024;4,9954433;3805,9550781;4,421875;1,4687296;346,4927673;197,2151642;112,074852;83,0495987;97,8522491;51,3722191;106,4732666;0;0;29,7940903;143,8318176;0;3433,8840332;4,7441406;0,3210861;349,0652771;141,489563;190,7272949;22,9519615;39,6968193;28,8373203;95,3640137;0;0;18,3857193;118,6305237;2,5304613;1766,8106689;4,4042969;0,1593487;159,7982025;92,6033478;138,6842651;32,7277489;54,0450516;26,6167049;89,8349762;0;0;14,0542383;111,0919952;0,5583261;1891,5195312;4,6054688;0,0445629;183,8005829;86,4165115;68,1422806;25,1307964;40,0365601;27,0541325;84,5563354;0;0;13,4822054;122,9598846;1,6496383;1211,2475586;4,6582031;0,0332888;119,7846451;53,2507286;71,0660019;37,5442238;51,1784134;26,9778976;105,8551331;0,0087434;0,1896565;14,2275639;138,6241608;2,0324914;1799,3416748;4,6035156;0,0426911;174,7280579;82,3207626;75,7821579;34,2194633;43,6296082;30,327652;123,4521179;0,2037108;3,9656343;13,7963905;150,1719208;1,5970838;1642,9447021;4,6640625;0,0321304;162,7891235;71,9172745;75,3165665;2005-05-01
"7";77,2809982;102,5711899;52,7094765;122,8913498;0;0;38,0543671;62,5903702;12,34231;4900,0712891;4,5039062;1,0870564;459,6308899;240,3793182;89,3728027;122,9345398;168,2403412;69,8657455;202,2026978;0;0;41,7965698;113,8386688;16,9984016;10014,9472656;4,1699219;8,3316422;825,7577515;604,9490356;273,6672363;84,1977234;99,2140503;38,8985519;81,282692;0;0;17,2838593;127,7343674;0;3090,4956055;4,9707031;0,0773038;335,5535583;105,9458084;283,272644;30,7018089;53,1112366;30,3683872;101,8180466;0;0;15,4699183;141,0537872;0;1888,1304932;4,4667969;0,0937421;174,7566071;94,9763565;274,236908;44,984623;74,2817688;31,3123608;106,3078308;0;0;14,7650433;138,0959625;0;2157,6286621;4,859375;0,01523;227,0784607;81,1541901;91,1928329;35,5263443;56,597908;33,7056923;106,0364151;0;0;15,500288;161,6170044;0;1561,3730469;4,7226562;0,0274962;157,6507721;65,4025345;105,9610901;56,9823341;77,6218491;35,2089424;139,1507263;0;0;16,3232498;187,3934021;0;2488,8994141;4,7148438;0,0288274;250,681015;104,8760223;113,2157516;57,3871117;73,096138;43,2841454;178,1742554;0;0;17,3502026;222,975235;0;2578,0021973;4,6796875;0,03642;256,7416687;111,5443878;115,2632904;2005-06-01
"8";124,1173782;164,7777863;59,1533241;140,3363495;0;0;27,2369671;69,0474319;0;6242,8237305;4,9375;0,13113;671,713501;220,1184235;259,9697876;149,457962;204,6104279;58,3096848;173,901001;0;0;20,941267;108,3434448;0;11037,4052734;4,1347656;5,9353275;896,824707;679,9476318;443,5338135;80,2875671;94,6255646;37,9892883;79,4895859;0;0;16,2327137;127,7343674;0;2781,4460449;5,1308594;0,0466035;314,5690613;82,780365;391,4860229;28,2331581;48,8540001;24,9015388;84,2917633;0;0;10,6550703;129,6875;0;1472,7416992;4,5527344;0,0438489;140,5420227;69,8496628;367,8692932;44,3205185;73,1860199;26,9767151;92,1737442;0;0;10,5024824;129,6875;0;1833,984375;5,1855469;0,0039724;210,0984039;51,8993759;91,9860001;34,8242683;55,4816704;28,3601208;90,0234528;0;0;10,5393639;150;0;1405,2357178;4,78125;0,0155637;144,4923401;56,2556229;114,092392;58,1918678;79,2483444;30,047842;120,3588333;0;0;11,2999554;176,5625;0;2240,0095215;4,9023438;0,0098067;238,6672974;81,3341064;120,3738327;59,6941109;75,9896698;35,8340645;151,8113098;0;0;10,8326864;212,5;0;2320,2019043;4,8085938;0,0139537;240,5551453;90,9022827;116,2504883;2005-07-01
"9";128,310257;170,4374695;48,8675423;117,5442734;0;0;17,2249146;58,9910965;0;5618,5429688;5,4082031;0,0217041;674,5623779;128,0865784;392,1948242;135,6760406;185,8709106;50,2322807;151,2583618;0;0;17,1380539;103,125;0;9933,6640625;4,1132812;5,5521655;799,871521;619,2235107;563,8764038;77,9967194;91,9442062;37,4503555;78,4506226;0;0;17,0709152;127,7343674;0;2503,3012695;5,3691406;0,0240297;298,2659302;59,3485794;510,759491;25,606596;44,3227844;23,711277;80,6320419;0;0;10,8682432;128,90625;0;1148,7385254;4,6816406;0,0237814;114,4745712;49,6309433;475,7330017;41,1095886;67,8894424;25,9666481;88,8984222;0;0;10,770587;131,25;0;1558,8867188;5,3398438;0,0025964;184,6508636;38,0472527;92,8546448;33,6883583;53,6751976;27,8720932;88,6443558;0;0;10,7879658;175;0;1264,7121582;4,5742188;0,0394026;121,5903015;59,0828667;125,260849;55,3966599;75,463356;29,3037682;117,6978455;0;0;11,4059458;178,125;0;2016,0084229;4,9667969;0,0078331;218,6594696;69,3417358;128,4025879;55,6561813;70,8639984;34,5637054;147,3126984;0;0;11,0262899;200;0;2088,1816406;4,9355469;0,0087201;224,5624542;73,7492294;117,3178482;2005-08-01
"10";136,2103882;180,8535919;62,6624947;158,1320801;0;0;29,7397079;187,2281952;3,7149408;4803,2768555;5,7597656;0,0140905;610,9804688;75,2020035;342,4458923;121,0714798;165,9663849;47,4611435;143,4458313;0;0;17,1197433;102,5390625;0;8940,2978516;4,1152344;5,4838428;720,4788208;556,706665;653,8551636;73,374733;86,5112305;36,3259239;76,1978989;0;0;17,0709152;127,7343674;0;2252,9711914;5,4746094;0,018304;273,8594055;47,9936409;595,6414185;22,6244907;39,1715164;22,284708;76,1055603;0;0;10,8682432;129,296875;0;896,0159912;4,7167969;0,0203784;90,3023376;37,6999435;560,5147705;38,0413437;62,8274422;24,9668026;85,63694;0;0;10,770587;128,125;0;1325,0537109;5,6210938;0,0012702;165,1160583;24,1773415;93,5322647;31,8534012;50,7553329;27,0846195;86,3286438;0;0;10,7879658;169,53125;0;1138,2409668;4,625;0,0308436;111,3328247;51,2730255;134,0436707;52,4965591;71,5356293;28,5154018;114,8451767;0;0;11,4059458;175;0;1814,4075928;5,0703125;0,0056014;202,1742401;57,0268631;135,9103394;52,2039986;66,4799118;33,4432335;143,2991333;0;0;11,0262899;200,78125;0;1879,3632812;4,9453125;0,0084299;202,6499786;65,830513;118,3649292;2005-09-01
"11";84,8954773;112,674614;43,3051643;108,3569794;3,4588163;3,1232085;24,2944794;120,4672546;6,0461588;3707,7202148;4,8867188;0,1235649;393,3002625;136,3740845;203,8561096;104,5323029;143,3755188;46,968708;142,086792;0;0;22,9801731;115,1151962;0,3524381;7261,4550781;4,1992188;3,674412;605,9906616;431,3601074;610,4447021;66,5879135;78,5249176;34,6163902;72,6957779;0;0;20,0046234;127,7343674;0;2027,6740723;5,2480469;0,0333041;235,5701599;54,0976067;643,3485718;18,8409939;32,6281929;20,3404541;69,7250595;0;0;11,8706961;129,296875;0,3274309;698,8924561;4,5703125;0,0401703;67,1016922;32,7400894;611,7836914;35,2470169;58,2170067;24,0335407;82,5393906;0;0;11,7730398;128,125;0;1126,2956543;5,7734375;0,0008776;143,5355682;17,3638191;93,9388046;30,4202671;48,4743538;26,4702721;84,4616165;0;0;11,7862415;169,921875;0;1024,4168701;4,6132812;0,0326049;99,8062363;46,5390396;139,4295197;49,7820778;67,8671799;27,771574;112,0790176;0;0;11,9050837;175;0;1632,9667969;5,1171875;0,0048546;184,0732574;49,2077179;141,6573181;49,1035881;62,5567551;32,4399109;139,5376129;0;0;11,8320732;201,171875;0;1691,4267578;4,9394531;0,0086025;182,0915833;59,5408134;119,1791763;2005-10-01
