"";"id";"YEAR";"Month";"Ca";"Mg";"K";"Na";"NO3";"NH4";"SO4";"Cl";"P";"DOC";"Al";"Si";"H";"pH";"R";"HR";"group_id";"Date"
"1";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;1;0,7464228;0,5656564;1,022372;5,0716496;0,1381875;0,0915113;0,9370556;6,4157228;0,0519304;2,7780378;0,0002756;2,0514965;NA;NA;NA;NA;1;2005-01-01
"2";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;2;0,3080461;0,2333936;0,2928231;1,3598444;0,0324046;0,0395511;0,1887775;1,2835995;0,0128247;1,8167779;0,0008015;0,5947451;NA;NA;NA;NA;1;2005-02-01
"3";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;3;0,6906905;0,5232289;0,6191666;2,7372038;0,0638945;0,0755969;0,3747779;3,3610578;0,0209597;3,1448119;0,0006612;1,0409111;NA;NA;NA;NA;1;2005-03-01
"4";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;4;0,4269597;0,3233785;0,3129317;1,2926337;0;0;0,1465477;1,2930467;0;2,2839653;0,0011824;0,9610654;NA;NA;NA;NA;1;2005-04-01
"5";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;5;0,4584788;0,3472116;0,2551012;0,977287;0;0;0,0851583;0,7402006;0;2,6169615;0,0019771;1,1917046;NA;NA;NA;NA;1;2005-05-01
"6";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;6;0,4788933;0,3626709;0,2194733;0,7882324;0;0;0,0681624;0,4959518;0,0027829;2,6645429;0,002592;1,4847581;NA;NA;NA;NA;1;2005-06-01
"7";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;7;0;0;0;0;0;0;0;0;0;0;0,0116766;0;NA;NA;NA;NA;1;2005-07-01
"8";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;8;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2005-08-01
"9";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;9;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2005-09-01
"10";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;10;0,5432003;0,4116287;0,1583551;0,5567369;0,0015252;0,0064674;0,0337254;0,4811672;0,0021245;1,6557266;0;2,1853759;NA;NA;NA;NA;1;2005-10-01
"11";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;11;2,6965873;2,045079;2,0759873;7,3293948;0,0711938;0,0922448;1,0461974;11,1843605;0,0566686;6,4028802;1e-07;10,2650757;NA;NA;NA;NA;1;2005-11-01
"12";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2005;12;0,9794963;0,742842;0,9279974;3,3431935;0,0462308;0,04416;0,5678183;6,1270747;0,0345338;2,3014193;0,0003602;1,7454115;NA;NA;NA;NA;1;2005-12-01
"13";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;1;1,2228841;0,9270057;1,3053663;4,1703906;0,0507785;0,04881;0,9290543;8,0195341;0,0522825;2,3961301;0,0003596;1,0326548;NA;NA;NA;NA;1;2006-01-01
"14";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;2;0,3946827;0,299069;0,3305899;0,9547284;0,0213539;0,0349695;0,1745891;1,131308;0,0129429;1,8359805;0,0009203;0,4982133;NA;NA;NA;NA;1;2006-02-01
"15";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;3;0,8210558;0,6218961;0,6732044;1,7868563;0,0348039;0,0561776;0,3475499;2,6077173;0,0211811;3,2057607;0,0007762;0,9670897;NA;NA;NA;NA;1;2006-03-01
"16";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;4;0,5440313;0,4119392;0,3522293;0,8785928;0;0;0,1332723;1,1733202;0;2,3279541;0,0012723;0,945326;NA;NA;NA;NA;1;2006-04-01
"17";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;5;0,5442603;0,4119899;0,2771121;0,6258756;0;0;0,07661;0,5995626;0;2,6673257;0,0022457;1,1604998;NA;NA;NA;NA;1;2006-05-01
"18";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;6;0,5560736;0,4208729;0,2357779;0,492635;0;0;0,0621114;0,376871;0,0026214;2,7135193;0,0028872;1,4525514;NA;NA;NA;NA;1;2006-06-01
"19";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;7;0;0;0;0;0;0;0;0;0;0;0,0123324;0;NA;NA;NA;NA;1;2006-07-01
"20";"C:/Users/siahl/Documents/NutsforSEDLN/Base/Output data/Soil solution/Leaching Layer 1.csv";2006;8;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2006-08-01
