"";"Month";"Year";"Dry weight";"Ca";"Mg";"K";"S";"P";"Date"
"1";1;2005;16725,2558594;27,2345715;4,4330292;17,8421707;1,9586948;4,0905008;2005-01-01
"2";2;2005;16729,9628906;27,2422371;4,4342771;17,8471909;1,959246;4,0916524;2005-02-01
"3";3;2005;16739,3769531;27,2575665;4,4367719;17,857233;1,9603485;4,0939541;2005-03-01
"4";4;2005;16857,0488281;27,4491749;4,4679604;17,9827633;1,974129;4,1227336;2005-04-01
"5";5;2005;17092,390625;27,8323994;4,5303378;18,2338219;2,0016899;4,1802907;2005-05-01
"6";6;2005;17243,0097656;28,0776577;4,57026;18,3944988;2,0193288;4,2171283;2005-06-01
"7";7;2005;17393,6289062;28,3229198;4,6101818;18,5551758;2,036968;4,2539654;2005-07-01
"8";8;2005;17525,421875;28,5375233;4,6451135;18,6957703;2,052402;4,2861977;2005-08-01
"9";9;2005;17647,7988281;28,7367992;4,6775494;18,8263206;2,0667338;4,3161273;2005-09-01
"10";10;2005;17652,5058594;28,744463;4,6787968;18,8313408;2,0672851;4,3172789;2005-10-01
"11";11;2005;17657,2128906;28,7521267;4,6800447;18,8363628;2,0678363;4,3184299;2005-11-01
"12";12;2005;17661,9199219;28,7597923;4,6812921;18,8413849;2,0683875;4,319581;2005-12-01
"13";1;2006;17666,1796875;28,7667274;4,6824207;18,8459282;2,0688863;4,3206224;2006-01-01
"14";2;2006;17670,4375;28,7736626;4,6835494;18,8504734;2,0693848;4,3216643;2006-02-01
"15";3;2006;17678,9550781;28,7875309;4,6858072;18,8595581;2,0703824;4,3237047;2006-03-01
"16";4;2006;17785,4199219;28,9608936;4,7140255;18,9139385;2,0828507;4,3394561;2006-04-01
"17";5;2006;17998,3496094;29,2537479;4,7612572;19,0663528;2,1077867;4,3762832;2006-05-01
"18";6;2006;18134,625;29,4596138;4,7973766;19,2001953;2,1237459;4,3872638;2006-06-01
"19";7;2006;18270,8984375;29,6665268;4,8334961;19,3347321;2,1397047;4,3963757;2006-07-01
"20";8;2006;18390,1386719;29,8606911;4,8651004;19,461935;2,1536691;4,4076023;2006-08-01
"21";9;2006;18500,8613281;30,040987;4,8944478;19,5800495;2,1666358;4,4214482;2006-09-01
"22";10;2006;18505,1210938;30,0424728;4,8955455;19,5827236;2,1671343;4,4224896;2006-10-01
"23";11;2006;18509,3789062;30,0424728;4,8955455;19,5829067;2,1676331;4,4229884;2006-11-01
"24";12;2006;18513,6386719;30,0424728;4,8955455;19,5829487;2,1677279;4,4230561;2006-12-01
"25";1;2007;18517,3378906;30,0424728;4,8955455;19,5829754;2,1677387;4,4230843;2007-01-01
"26";2;2007;18521,0371094;30,0424728;4,8955455;19,5830002;2,1677535;4,4231205;2007-02-01
"27";3;2007;18528,4335938;30,0424728;4,8955455;19,5830517;2,1678007;4,4232168;2007-03-01
"28";4;2007;18620,8886719;30,0506134;4,8965154;19,5866566;2,1695342;4,4258556;2007-04-01
"29";5;2007;18805,8007812;30,2050381;4,9215622;19,6749191;2,1820524;4,4449482;2007-05-01
"30";6;2007;18924,1445312;30,3894939;4,9529295;19,7959461;2,1916022;4,456079;2007-06-01
"31";7;2007;19042,4882812;30,5749264;4,9842968;19,9169102;2,2034545;4,4641657;2007-07-01
"32";8;2007;19146,0390625;30,7435398;5,0117426;20,0273762;2,2138841;4,4741359;2007-08-01
"33";9;2007;19242,1933594;30,9001141;5,0372281;20,1299515;2,2243168;4,4852295;2007-09-01
"34";10;2007;19245,8925781;30,9028015;5,0382085;20,1326694;2,2247498;4,4861341;2007-10-01
"35";11;2007;19249,5917969;30,9028015;5,0383124;20,1328201;2,2248445;4,4865074;2007-11-01
"36";12;2007;19253,2890625;30,9028015;5,0383124;20,1328564;2,2248642;4,4865618;2007-12-01
"37";1;2008;19256,8769531;30,9028015;5,0383124;20,1328773;2,2248745;4,486589;2008-01-01
"38";2;2008;19260,4628906;30,9028015;5,0383124;20,1329021;2,2248888;4,4866223;2008-02-01
"39";3;2008;19267,6347656;30,9028015;5,0383124;20,1329517;2,2249351;4,4867134;2008-03-01
"40";4;2008;19357,2890625;30,910902;5,039279;20,1365166;2,2266543;4,4893146;2008-04-01
"41";5;2008;19536,5996094;31,0659218;5,0647087;20,2261314;2,2393403;4,5086126;2008-05-01
"42";6;2008;19651,3554688;31,2483082;5,0951257;20,3461208;2,2487109;4,5236735;2008-06-01
"43";7;2008;19766,1132812;31,4316788;5,1255417;20,466177;2,2603753;4,531455;2008-07-01
"44";8;2008;19866,5253906;31,5951843;5,1521564;20,5732956;2,2706158;4,5416303;2008-08-01
"45";9;2008;19959,7675781;31,7470131;5,1768699;20,67276;2,2807803;4,5529737;2008-09-01
"46";10;2008;19963,3535156;31,7504559;5,1778197;20,6756172;2,2812002;4,5538507;2008-10-01
"47";11;2008;19966,9394531;31,7504559;5,1779871;20,6757545;2,2812796;4,5541639;2008-11-01
"48";12;2008;19970,5253906;31,7504559;5,1779871;20,675787;2,2812982;4,554213;2008-12-01
"49";1;2009;19973,7753906;31,7504559;5,1779871;20,6758041;2,2813072;4,5542369;2009-01-01
"50";2;2009;19977,0253906;31,7504559;5,1779871;20,6758289;2,2813206;4,5542674;2009-02-01
"51";3;2009;19983,5253906;31,7504559;5,1779871;20,6758709;2,2813642;4,5543513;2009-03-01
"52";4;2009;20064,7734375;31,7581329;5,178906;20,6792393;2,2829947;4,5568037;2009-04-01
"53";5;2009;20227,2734375;31,9056454;5,2036266;20,7662487;2,2953846;4,5756192;2009-05-01
