"";"Year";"Month";"Dry weight";"N";"Ca";"Mg";"K";"S";"P";"Date"
"1";2005;1;8499,296875;108,6733017;28,201601;8,0200214;38,5121841;6,5313687;11,1015406;2005-01-01
"2";2005;2;8492,7871094;108,5900726;28,1800003;8,0138788;38,4826927;6,5263667;11,0930376;2005-02-01
"3";2005;3;8492,1767578;108,5822754;28,1779766;8,0133028;38,4799271;6,5258975;11,0922403;2005-03-01
"4";2005;4;8506,0097656;108,75914;28,223875;8,0263548;38,5426025;6,5365276;11,1103077;2005-04-01
"5";2005;5;8480,3115234;108,4305725;28,1386089;8,0021067;38,4261665;6,5167799;11,0767422;2005-05-01
"6";2005;6;8483,1601562;108,4669876;28,1480598;8,0047941;38,4390678;6,5189691;11,0804615;2005-06-01
"7";2005;7;8495,7705078;108,6282349;28,1899033;8,0166931;38,496212;6,5286603;11,0969353;2005-07-01
"8";2005;8;8478,9560547;108,4132462;28,1341114;8,0008268;38,4200211;6,5157385;11,0749712;2005-08-01
"9";2005;9;8423,2216797;107,7006149;27,9491749;7,9482346;38,1674728;6,472908;11,0021725;2005-09-01
"10";2005;10;8203,3349609;104,8891144;27,2195683;7,7407479;37,1711197;6,3039351;10,714962;2005-10-01
"11";2005;11;8405,9316406;107,479538;27,8918076;7,931921;38,0891304;6,4596224;10,9795885;2005-11-01
"12";2005;12;8485,2617188;108,4938583;28,1550312;8,0067768;38,4485893;6,5205841;11,0832081;2005-12-01
"13";2006;1;8760,5048828;112,0131683;29,0683193;8,2664995;39,6957779;6,7320976;11,4347467;2006-01-01
"14";2006;2;8753,7958984;111,9273758;29,0460567;8,260169;39,6653824;6,7269421;11,4155502;2006-02-01
"15";2006;3;8753,1660156;111,9193344;29,0439682;8,2595758;39,662529;6,7264585;11,4049463;2006-03-01
"16";2006;4;8767,4238281;112,1016312;29,0912762;8,2730293;39,6284142;6,7374148;11,4020758;2006-04-01
"17";2006;5;8740,9365234;111,76297;28,989212;8,2438011;39,4679985;6,7170606;11,3572578;2006-05-01
"18";2006;6;8743,8710938;111,800499;28,9861183;8,2465944;39,4627533;6,7193165;11,3132448;2006-06-01
"19";2006;7;8756,8710938;111,9667053;29,0179348;8,2588778;39,5051079;6,7293053;11,2803497;2006-07-01
"20";2006;8;8739,5390625;111,7450867;28,9606647;8,2425489;39,4276772;6,7159858;11,226181;2006-08-01
"21";2006;9;8682,0908203;111,0105591;28,7705402;8,1883945;39,1695938;6,6718407;11,1168795;2006-09-01
"22";2006;10;8455,4472656;108,1126556;27,7367821;7,9719005;37,9464111;6,4976735;10,8294706;2006-10-01
"23";2006;11;8324,6181641;106,4398575;27,3076172;7,8485532;37,3592758;6,3971367;10,6619072;2006-11-01
"24";2006;12;8275,5576172;105,812561;27,1466789;7,8022985;37,1390991;6,359436;10,5990715;2006-12-01
"25";2007;1;8240,0898438;105,3590775;27,0303326;7,7688599;36,9799309;6,332181;10,553647;2007-01-01
"26";2007;2;8197,7451172;104,8176422;26,8914242;7,7289357;36,7898903;6,2996397;10,4994116;2007-02-01
"27";2007;3;8154,7548828;104,2679596;26,7504044;7,6884041;36,596962;6,2666039;10,4443521;2007-03-01
"28";2007;4;8756,3623047;104,8956757;26,7766876;7,6870146;36,6210251;6,3236175;10,5063038;2007-04-01
"29";2007;5;8961,4638672;105,9106445;27,052578;7,7645864;36,9206734;6,3997402;10,5843878;2007-05-01
"30";2007;6;8964,4736328;105,8945694;27,0703487;7,7714539;36,9454346;6,3916974;10,5491934;2007-06-01
"31";2007;7;8977,8007812;105,9911728;27,1196442;7,7870178;37,011879;6,3982811;10,5200796;2007-07-01
"32";2007;8;8960,03125;105,7882996;27,0775471;7,7745752;36,9545326;6,3836007;10,4712057;2007-08-01
"33";2007;9;8901,1347656;105,1394653;26,9162121;7,7277389;36,7345009;6,3416109;10,3686075;2007-09-01
"34";2007;10;8668,7714844;102,5033417;26,0416813;7,5344095;35,6635666;6,182303;10,1136761;2007-10-01
"35";2007;11;8534,6425781;100,9173431;25,6387444;7,4178319;35,1117554;6,0866461;9,9571896;2007-11-01
"36";2007;12;8484,34375;100,3225937;25,4876461;7,3741155;34,9048233;6,0507751;9,8985081;2007-12-01
"37";2008;1;8448,0839844;99,8938217;25,3787136;7,3425999;34,7556496;6,0249157;9,856204;2008-01-01
"38";2008;2;8404,7910156;99,3819122;25,2486591;7,3049726;34,5775414;5,99404;9,8056936;2008-02-01
"39";2008;3;8360,8388672;98,8621979;25,1166229;7,2667718;34,3967209;5,9626956;9,7544165;2008-03-01
"40";2008;4;8971,6806641;99,5419235;25,1531124;7,2678223;34,4303627;6,0237441;9,8217583;2008-04-01
"41";2008;5;9161,9443359;100,5803604;25,4307384;7,3470263;34,7395287;6,1006293;9,9023352;2008-05-01
"42";2008;6;9165,0214844;100,5923157;25,4654007;7,357492;34,7878494;6,0953369;9,8841925;2008-06-01
"43";2008;7;9178,6464844;100,6281586;25,5287857;7,3759584;34,8742027;6,1044998;9,8583183;2008-07-01
"44";2008;8;9160,4794922;100,271019;25,4996319;7,3669329;34,8343124;6,0925817;9,8156805;2008-08-01
"45";2008;9;9100,2646484;99,3087311;25,3627434;7,3265224;34,6472168;6,0554209;9,7246113;2008-09-01
"46";2008;10;8862,7041016;96,9296265;24,605938;7,1510396;33,6944389;5,90908;9,4978065;2008-10-01
"47";2008;11;8725,5742188;95,4298706;24,2252178;7,0403938;33,1730919;5,8176513;9,3508482;2008-11-01
"48";2008;12;8674,1503906;94,8674545;24,0824471;6,9989009;32,9775887;5,7833652;9,2957401;2008-12-01
"49";2009;1;8637,2548828;94,4639359;23,9800129;6,9691319;32,8373184;5,7587657;9,2561998;2009-01-01
"50";2009;2;8593,2041016;93,9821548;23,8577118;6,933589;32,6698456;5,7293954;9,208993;2009-02-01
"51";2009;3;8548,4824219;93,493042;23,733551;6,8975034;32,4998207;5,6995783;9,161067;2009-03-01
"52";2009;4;9165,1865234;94,2134094;23,7813931;6,9012847;32,5414352;5,7661085;9,2354546;2009-04-01
"53";2009;5;9322,3291016;94,7428284;24,0300198;6,9744587;32,8267975;5,8374596;9,3106041;2009-05-01
"54";2009;6;9325,4599609;94,5563889;24,078804;6,9880266;32,8936119;5,8343763;9,2965755;2009-06-01
"55";2009;7;9339,3232422;94,3156586;24,1538963;7,0089827;32,9954643;5,8455644;9,2725897;2009-07-01
"56";2009;8;9320,8378906;93,8826981;24,1357384;7,0029335;32,9706039;5,8358769;9,2309875;2009-08-01
"57";2009;9;9259,5693359;92,9929581;24,0197163;6,9681492;32,8120155;5,8026862;9,1462002;2009-09-01
"58";2009;10;9017,8505859;90,8832474;23,3622131;6,8083868;31,9487915;5,6676378;8,9443359;2009-10-01
"59";2009;11;8878,3193359;89,4770432;23,0007362;6,703043;31,4544563;5,5799441;8,8059425;2009-11-01
"60";2009;12;8825,9951172;88,9496994;22,8651829;6,6635385;31,2690811;5,5470581;8,7540436;2009-12-01
"61";2010;1;8788,4658203;88,5714722;22,767952;6,6352034;31,1361179;5,5234714;8,7168207;2010-01-01
"62";2010;2;8743,6572266;88,1198807;22,6518688;6,6013737;30,9773712;5,4953094;8,6723776;2010-02-01
"63";2010;3;8698,1660156;87,6614227;22,5340214;6,567029;30,8162041;5,4667192;8,6272583;2010-03-01
"64";2010;4;9324,5058594;88,4446487;22,5886536;6,5724535;30,8655262;5,535522;8,7047434;2010-04-01
"65";2010;5;9482,7128906;88,9747696;22,8547268;6,6507616;31,1738453;5,6105452;8,7857037;2010-05-01
"66";2010;6;9485,8964844;88,9456635;22,9154453;6,6671472;31,2569714;5,6096191;8,7756586;2010-06-01
"67";2010;7;9499,9990234;88,8598022;22,999445;6,6903796;31,3718395;5,6228533;8,784481;2010-07-01
"68";2010;8;9481,1962891;88,4612045;22,9908943;6,6870022;31,3603935;5,6153264;8,7462263;2010-08-01
"69";2010;9;9418,8740234;87,6356506;22,8929176;6,6572275;31,2270546;5,585876;8,6702042;2010-09-01
"70";2010;10;9172,9960938;85,7583237;22,3598766;6,511353;30,482111;5,4607315;8,4893246;2010-10-01
"71";2010;11;9031,0644531;84,4314194;22,0139122;6,4106045;30,0104694;5,3762393;8,3579721;2010-11-01
"72";2010;12;8977,8398438;83,933815;21,8841705;6,3728237;29,8336048;5,3445539;8,3087139;2010-12-01
"73";2011;1;8939,7548828;83,5777512;21,7913361;6,3457899;29,7070427;5,3218822;8,2734671;2011-01-01
