"";"Month";"Year";"Dry weight";"N";"Ca";"Mg";"K";"S";"P";"Date"
"1";1;2005;143134,515625;108,7733612;115,6146622;16,4484959;75,0492783;9,5926065;16,3809338;2005-01-01
"2";2;2005;143202,984375;108,8239746;115,6682053;16,456068;75,0847321;9,5971594;16,3886509;2005-02-01
"3";3;2005;143339,9375;108,9251938;115,7753677;16,4712162;75,1556091;9,606267;16,4040833;2005-03-01
"4";4;2005;145051,765625;110,1905365;117,1146469;16,6605473;76,0416183;9,7201214;16,5969944;2005-04-01
"5";5;2005;148475,4375;112,7212067;119,7932358;17,0392132;77,813652;9,9478292;16,9828205;2005-05-01
"6";6;2005;150666,59375;114,3408356;121,507515;17,281559;78,9477463;10,0935602;17,2297497;2005-06-01
"7";7;2005;152857,75;115,9604645;123,2218094;17,5239029;80,0818405;10,2392921;17,4766788;2005-07-01
"8";8;2005;154775,015625;117,3776398;124,721817;17,7359543;81,0741806;10,3668089;17,6927395;2005-08-01
"9";9;2005;156555,328125;118,6936035;126,1146774;17,9328575;81,9956284;10,4852161;17,8933697;2005-09-01
"10";10;2005;156623,796875;118,7442017;126,1682434;17,9404354;82,0310822;10,4897699;17,9010849;2005-10-01
"11";11;2005;156692,28125;118,7948151;126,2218094;17,9480076;82,0665207;10,4943247;17,908802;2005-11-01
"12";12;2005;156760,75;118,8454285;126,2753906;17,9555817;82,1019669;10,4988785;17,9165192;2005-12-01
"13";1;2006;156831,796875;118,8964844;126,3299103;17,963232;82,1377792;10,5035124;17,9224472;2006-01-01
"14";2;2006;156902,84375;118,9475403;126,3844147;17,9708862;82,173584;10,5081463;17,9283676;2006-02-01
"15";3;2006;157003,265625;119,0223312;126,4637451;17,9821224;82,2129974;10,5148325;17,937582;2006-03-01
"16";4;2006;157432,0625;119,4157028;126,8667221;18,0296402;82,3512573;10,5472546;17,9723587;2006-04-01
"17";5;2006;160577,265625;121,7015152;128,6629486;18,2838459;83,6089249;10,7537155;18,212471;2006-05-01
"18";6;2006;162850,90625;123,335289;130,2622375;18,5287609;84,7217484;10,9019899;18,2893543;2006-06-01
"19";7;2006;165124,546875;124,9690628;131,869339;18,7736797;85,8475494;11,0502634;18,3495922;2006-07-01
"20";8;2006;167113,984375;126,398613;133,3957367;18,9879837;86,8502274;11,1800041;18,4235115;2006-08-01
"21";9;2006;168961,3125;127,7260513;134,8131256;19,1869774;87,7812729;11,3004761;18,5197868;2006-09-01
"22";10;2006;168976,21875;127,740303;134,8200684;19,1887245;87,7844315;11,3016338;18,5219021;2006-10-01
"23";11;2006;168979,046875;127,7461014;134,8200684;19,1887226;87,7838287;11,3020306;18,5223255;2006-11-01
"24";12;2006;168982,90625;127,7464066;134,8200684;19,1887245;87,7836609;11,3020363;18,522377;2006-12-01
"25";1;2007;168986,53125;127,7465515;134,8200684;19,1887245;87,7836227;11,3020391;18,522398;2007-01-01
"26";2;2007;168990,171875;127,7467117;134,8200684;19,1887245;87,7835922;11,3020458;18,5224266;2007-02-01
"27";3;2007;168997,421875;127,7470474;134,8200684;19,1887245;87,7835388;11,3020782;18,522501;2007-03-01
"28";4;2007;169150,90625;127,7657852;134,8288422;19,1896954;87,8088913;11,304327;18,5251732;2007-04-01
"29";5;2007;170715,4375;128,5813599;135,3619995;19,2575035;88,099823;11,3562002;18,5785694;2007-05-01
"30";6;2007;172950,0625;129,8920898;136,9599152;19,4929008;89,2007446;11,4706488;18,6651592;2007-06-01
"31";7;2007;175223,6875;131,1959991;138,5921936;19,7320557;90,3196259;11,6163464;18,7240505;2007-07-01
