"";"YEAR";"Ca";"Mg";"K";"Na";"Al";"Si";"P"
"1";2005;2,6443507;3,0053945;4,296115;0,9295827;16,1597552;27,2790771;0,3054292
"2";2006;2,4850161;2,8724469;4,1613902;0,8723267;15,4800204;26,0229819;0,28917
"3";2007;2,732559;3,0444758;4,3991175;0,9571346;16,6607053;27,9765967;0,3073193
"4";2008;2,7414206;3,0729921;4,538742;0,9506708;17,0097584;28,3956301;0,3141454
"5";2009;2,7000441;2,9732585;4,2833654;0,9497937;16,3249085;27,3832425;0,2984265
"6";2010;2,8418919;3,1133577;4,5431447;0,9876753;17,2667215;28,8577918;0,3193537
"7";2011;2,7709424;3,0867434;4,6599187;0,9456009;17,3621011;28,7754146;0,3195134
"8";2012;2,77427;3,0918029;4,6647399;0,9481659;17,3811617;28,8133719;0,3211199
"9";2013;2,9548115;3,2945781;4,8757458;1,0110596;18,2484108;30,47973;0,3511779
"10";2014;2,9338621;3,229245;4,8050048;1,0088403;18,0875083;30,1139507;0,3406767
"11";2015;2,7396904;3,0678101;4,6414039;0,9335003;17,2542088;28,579938;0,3187324
"12";2016;2,7950921;3,1336881;4,7932018;0,9435902;17,727564;29,2905075;0,330454
"13";2017;2,7513593;3,0973709;4,6836367;0,9364481;17,3487841;28,7741893;0,3291132
"14";2018;2,7560299;3,1243463;4,6510363;0,9443681;17,2306604;28,7565029;0,3424036
"15";2019;2,8670763;3,1712968;4,8226693;0,9734846;17,9933776;29,7501753;0,3327455
"16";2020;2,74554;3,1060896;4,7815218;0,913265;17,5483609;28,9323917;0,3324327
"17";2021;2,960384;3,2589315;4,9063303;1,0113737;18,4008988;30,5243825;0,3452097
"18";2022;2,9459738;3,2150193;4,8129446;1,0084144;18,1473285;30,1084889;0,3398745
"19";2023;2,8615036;3,203863;4,9087365;0,9608022;18,1209892;29,9299606;0,3460445
"20";2024;2,9054746;3,2480699;4,8749073;0,9896748;18,1145548;30,1335353;0,359331
"21";2025;2,9413162;3,3109749;4,9659125;0,9995455;18,405902;30,6440528;0,3625746
"22";2026;2,9261302;3,235938;4,8923364;0,9908699;18,2480678;30,2351738;0,351206
"23";2027;2,8590347;3,2192895;4,9127236;0,9643437;18,1227039;29,9946758;0,3516723
"24";2028;2,8437104;3,2117261;4,9123899;0,9542984;18,0644205;29,8831272;0,3535993
"25";2029;2,8396109;3,2009853;4,8108215;0,9633918;17,7920228;29,6039293;0,3619066
"26";2030;2,682945;3,0694537;4,6696603;0,8930167;17,057029;28,2665107;0,3527831
"27";2031;2,8753852;3,2193736;4,9519442;0,9617088;18,2652045;30,1272527;0,3480771
"28";2032;2,8925947;3,2676955;4,9480659;0,9776761;18,2349246;30,282205;0,3664926
"29";2033;3,0126824;3,3072922;4,97611;1,0278512;18,6657644;30,9718179;0,3562065
"30";2034;3,0328294;3,2996219;4,9479056;1,0352055;18,641702;30,9290765;0,3555634
"31";2035;2,9139682;3,278558;4,9562632;0,9827582;18,2872632;30,3755818;0,3706889
"32";2036;2,9247209;3,2704561;4,9310206;0,9877154;18,2584333;30,3322475;0,3706226
"33";2037;3,0433076;3,4193003;5,0978263;1,0310912;18,89576;31,543221;0,388966
"34";2038;3,0392614;3,4189936;5,102473;1,0307767;18,8991291;31,5508711;0,391635
"35";2039;2,8710408;3,2493512;4,9669724;0,9587513;18,2268593;30,1660248;0,3658799
"36";2040;2,8579494;3,2597768;4,9043057;0,9590667;17,9671346;29,9410135;0,3893655
"37";2041;2,8686504;3,2587154;4,9281697;0,9640967;18,0892163;30,0739948;0,3787781
"38";2042;2,838423;3,1978813;4,83286;0,9528549;17,8081503;29,5717531;0,3710056
"39";2043;2,9296862;3,3370714;5,0733907;0,9838783;18,5822127;30,8572749;0,3795327
"40";2044;2,9441848;3,3478872;5,0072222;0,9978182;18,4232799;30,7609413;0,3876828
"41";2045;3,0852904;3,3839275;5,0615192;1,052495;18,9998852;31,5997548;0,370481
"42";2046;3,1161448;3,4417694;5,0900764;1,0623189;19,0681635;31,8600137;0,3863208
"43";2047;2,948821;3,3338102;5,0369674;0,9910154;18,5133319;30,7860477;0,3853764
"44";2048;2,9700151;3,3318551;5,0036499;1,001963;18,4925985;30,7863258;0,3846437
"45";2049;3,0483963;3,454373;5,095701;1,0273085;18,8208104;31,5604384;0,4060868
"46";2050;3,0443201;3,3956111;5,0800164;1,0312824;18,8684763;31,4409612;0,3864202
"47";2051;3,0009283;3,4321145;5,132294;1,0142796;18,8175683;31,4615934;0,4043956
"48";2052;2,9402723;3,3356779;5,0460635;0,9888293;18,5246747;30,8009284;0,3822406
"49";2053;2,9502365;3,3163096;4,9687112;0,997516;18,3673914;30,6112926;0,3856056
