"";"YEAR";"Litter_N_Min";"Litter_Ca_Min";"Litter_Mg_Min";"Litter_K_Min";"Litter_S_Min";"Litter_P_Min";"SOM_N_Min";"SOM_Ca_Min";"SOM_Mg_Min";"SOM_K_Min";"SOM_S_Min";"SOM_P_Min";"MB_NUP_SOM";"MB_CaUP_SOM";"MB_MgUP_SOM";"MB_KUP_SOM";"MB_SUP_SOM";"MB_PUP_SOM";"MB_NUP_DOC";"MB_CaUP_DOC";"MB_MgUP_DOC";"MB_KUP_DOC";"MB_SUP_DOC";"MB_PUP_DOC";"MB_NT";"MB_CaT";"MB_MgT";"MB_KT";"MB_ST";"MB_PT";"X";"Net_N_Minz";"Net_P_Minz";"Net_Ca_Minz";"Net_K_Minz";"Net_Mg_Minz";"Net_S_Minz"
"1";2005;235,4776668;36,7693506;16,7418939;9,7995837;10,8078082;7,5010558;198,2882514;3,62e-05;3,62e-05;3,61e-05;2,486884;5,595464;49,3822102;3,62e-05;3,62e-05;3,61e-05;0,0547866;0,4798336;121,3079331;0,0951664;0,0951664;0,0920303;0,0904331;0,8111434;74,784147;0,046237;0,046237;0,0449104;0,0720444;0,6179791;0;43,744117914;3,80478107108;14,697560567504;3,79547334271;4,045995917285;4,23328546746
"2";2006;170,9734367;24,9639129;11,6196448;9,9430471;7,1609341;5,6344786;198,0632459;0,0002164;0,0002164;0,0002152;2,4800391;5,5720272;49,399345;0,0002164;0,0002164;0,0002152;0,0547781;0,4800055;110,3254208;0,091886;0,0928213;0,0892301;0,0880898;0,781152;116,5030256;0,0792514;0,0796206;0,0767572;0,1227093;1,075725;0;36,219576652;3,22873207186;9,967800224908;3,852729509556;2,801647047695;3,06265441804
"3";2007;178,0230006;24,7790346;11,7231533;12,3037202;6,9754199;5,9986257;197,9253316;0,0004526;0,0004537;0,0004511;2,4724811;5,5499417;49,4443112;0,0004526;0,0004537;0,0004511;0,0547914;0,4804532;113,7305839;0,0910271;0,0939795;0,090388;0,0781656;0,7976689;129,8680621;0,0883675;0,0899261;0,0865388;0,1324282;1,2166141;0;36,710484762;3,32955326545;9,894147269676;4,775344994634;2,826580963875;3,00393716924
"4";2008;183,6097415;24,5822432;11,7896303;14,1873622;6,8084928;6,2926685;197,8291673;0,000706;0,0007109;0,0007063;2,4653842;5,5283143;49,5001217;0,000706;0,0007109;0,0007063;0,0548125;0,4810086;117,1185494;0,0899063;0,0949739;0,0917039;0,0803353;0,8116392;135,8736925;0,0902269;0,093773;0,090404;0,1339752;1,2675268;0;37,004850316;3,40959371292;9,815831872604;5,511396631308;2,842559022265;2,94744946902
"5";2009;187,8846566;24,3522654;11,8159372;15,6801771;6,6493253;6,5262868;197,7528452;0,0009645;0,0009759;0,0009697;2,4568371;5,5069293;49,562275;0,0009645;0,0009759;0,0009697;0,0548373;0,4816276;118,3876846;0,0867411;0,0958234;0,0926914;0,0811629;0,8245878;138,355648;0,0892444;0,0956885;0,0924579;0,1352312;1,2918946;0;37,414974408;3,47131218451;9,725038051488;6,094774292292;2,848810851585;2,8934148397
"6";2010;191,3360144;24,1248944;11,8242791;16,9049067;6,5043112;6,7194269;197,6854902;0,0012251;0,001246;0,001238;2,4476314;5,4858;49,6296195;0,0012251;0,001246;0,001238;0,054865;0,4822984;120,6184603;0,0872516;0,0965743;0,0934422;0,0818922;0,8364477;140,5748396;0,0884944;0,0969817;0,0938165;0,1361494;1,3080226;0;37,576426202;3,52091091824;9,633816699604;6,57343042345;2,85072149194;2,84373815824
"7";2011;194,1953849;23,9117485;11,8235236;17,9330611;6,3743588;6,8821299;197,629167;0,0014883;0,0015197;0,0015099;2,4382059;5,4649117;49,7019273;0,0014883;0,0015197;0,0015099;0,054895;0,483019;123,2010055;0,0881699;0,0972508;0,0941185;0,0825469;0,8475998;142,7303963;0,0890753;0,0980449;0,0948967;0,1369162;1,3212785;0;37,607296496;3,56137712546;9,548133810844;6,97526011845;2,850439967125;2,79884370668
"8";2012;196,5159846;23,7078913;11,8133622;18,7941511;6,2566691;7,0175256;197,582581;0,0017545;0,0017962;0,0017849;2,4283601;5,4442695;49,7792056;0,0017545;0,0017962;0,0017849;0,0549281;0,4837892;123,92754;0,0885142;0,0978601;0,0936642;0,0831346;0,858342;143,8428231;0,0897675;0,098996;0,0952965;0,1375935;1,333415;0;37,823943584;3,59358942507;9,466404700016;7,312214228364;2,847889351815;2,75776740876
"9";2013;198,3214032;23,5068564;11,7923312;19,4804201;6,1483046;7,1274714;197,5406219;0,0020232;0,0020757;0,002062;2,4183188;5,4238728;49,8614901;0,0020232;0,0020757;0,002062;0,054963;0,4846096;125,267185;0,0888195;0,0984059;0,0937025;0,0836584;0,8666069;145,2980594;0,0903855;0,0998708;0,0955172;0,1382001;1,3438924;0;37,883277614;3,61876314181;9,385823285676;7,580625048008;2,84271304305;2,719638579
"10";2014;199,6484687;23,3047326;11,7600771;19,9795136;6,0471567;7,214178;197,5056227;0,002294;0,0023573;0,0023411;2,40861;5,4036421;49,9487154;0,002294;0,0023573;0,0023411;0,0550007;0,4854796;126,5757441;0,0893075;0,0988929;0,0906506;0,0841235;0,8743243;147,0638086;0,0910824;0,1006831;0,0945617;0,1387457;1,3531657;0;37,880968622;3,63696064926;9,304733106516;7,777062979018;2,834823761575;2,68394880992
