"";"id";"YEAR";"Month";"Ca";"Mg";"K";"Na";"NO3";"NH4";"SO4";"Cl";"P";"DOC";"Al";"Si";"H";"pH";"R";"HR";"group_id";"Date"
"1";"C:/Users/siahl/Documents/NutsforBASHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2005;1;1,0748758;1,0432184;1,5034443;7,1243639;1,8082997;0,1679254;0,9605381;7,8764858;0,0279849;6,0303168;0,000969;1,1760582;NA;NA;NA;NA;1;2005-01-01
"2";"C:/Users/siahl/Documents/NutsforBASHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2005;2;0,6694436;0,6475837;0,5068747;1,9093828;1,1861516;0,0591696;0,1805494;1,3640757;0,001947;3,9211266;0,0033154;0,1239367;NA;NA;NA;NA;1;2005-02-01
"3";"C:/Users/siahl/Documents/NutsforBASHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2005;3;1,3280715;1,2800834;0,9975377;3,2105887;2,1377947;0,137088;0,3608275;3,3285675;0;6,1118946;0,0032058;0,1133726;NA;NA;NA;NA;1;2005-03-01
"4";"C:/Users/siahl/Documents/NutsforBASHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2005;4;0,7758705;0,7456241;0,4815998;1,3586785;1,0760528;0,0481347;0,1082369;1,2650442;0;4,2200174;0,0050082;0,0668505;NA;NA;NA;NA;1;2005-04-01
"5";"C:/Users/siahl/Documents/NutsforBASHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2005;5;0,4187158;0,4013176;0,2237358;0,5822672;0,487647;0,0170538;0,0192086;0,524798;0;2,5279994;0,0063442;0,0461726;NA;NA;NA;NA;1;2005-05-01
"6";"C:/Users/siahl/Documents/NutsforBASHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2005;6;0,5056923;0,4834847;0,2275297;0,5621891;0,6403937;0,019703;0,0404476;0,7017787;0;2,5243766;0,0103943;0,0685973;NA;NA;NA;NA;1;2005-06-01
"7";"C:/Users/siahl/Documents/NutsforBASHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2005;7;0;0;0;0;0;0;0;0;0;0;0,0070314;0;NA;NA;NA;NA;1;2005-07-01
"8";"C:/Users/siahl/Documents/NutsforBASHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2005;8;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;1;2005-08-01
"9";"C:/Users/siahl/Documents/NutsforBASHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2005;9;0;0;0;0;0;0;0;0;0;0;0,0023923;0;NA;NA;NA;NA;1;2005-09-01
"10";"C:/Users/siahl/Documents/NutsforBASHN/40_WTH/Output data/Soil solution/Leaching Layer 1.csv";2005;10;0,0474006;0,0451581;0,015895;0,0469207;0,0712691;0,0011361;0,0036374;0,0773153;0;0,1840525;0,0178092;0,0120431;NA;NA;NA;NA;1;2005-10-01
