"";"YEAR";"Litter_N_Min";"Litter_Ca_Min";"Litter_Mg_Min";"Litter_K_Min";"Litter_S_Min";"Litter_P_Min";"SOM_N_Min";"SOM_Ca_Min";"SOM_Mg_Min";"SOM_K_Min";"SOM_S_Min";"SOM_P_Min";"MB_NUP_SOM";"MB_CaUP_SOM";"MB_MgUP_SOM";"MB_KUP_SOM";"MB_SUP_SOM";"MB_PUP_SOM";"MB_NUP_DOC";"MB_CaUP_DOC";"MB_MgUP_DOC";"MB_KUP_DOC";"MB_SUP_DOC";"MB_PUP_DOC";"MB_NT";"MB_CaT";"MB_MgT";"MB_KT";"MB_ST";"MB_PT";"X";"Net_N_Minz";"Net_P_Minz";"Net_Ca_Minz";"Net_K_Minz";"Net_Mg_Minz";"Net_S_Minz"
"1";2005;235,4776668;36,7693506;16,7418939;9,7995837;10,8078082;7,5010558;186,3161591;3,44e-05;3,44e-05;3,44e-05;2,307351;5,1957948;31,1409782;3,44e-05;3,44e-05;3,44e-05;0,0490372;0,4740807;79,4854565;0,09112;0,09112;0,0880138;0,0861856;0,8221453;51,4645696;0,0442665;0,0442665;0,0429526;0,0668274;0,6195384;0;47,923171716;3,67759623141;14,6991814814;3,797043049214;4,046978957315;4,17708893616
"2";2006;170,9734367;24,9639129;11,6196448;9,9430471;7,1609341;5,6344786;186,0344211;0,000205;0,0002051;0,0002042;2,3015248;5,1747703;31,1570217;0,000205;0,0002051;0,0002042;0,0490367;0,4742517;76,8747276;0,0877311;0,0886706;0,0851169;0,0837375;0,7890045;84,123096;0,0757071;0,0760779;0,0732434;0,1139902;1,0782888;0;39,218638228;3,10326969068;9,969460773968;3,854333387712;2,802653128865;3,00681808084
"3";2007;178,0210776;24,7788391;11,7230479;12,3035604;6,9753723;5,9985537;185,8137616;0,0004289;0,0004302;0,0004274;2,2948141;5,154985;31,1920439;0,0004289;0,0004302;0,0004274;0,0490548;0,4746937;78,4972625;0,0880769;0,0898542;0,0866162;0,0774958;0,8129583;92,8533638;0,0848507;0,0859437;0,0827564;0,1245125;1,2230246;0;39,947260738;3,20247774988;9,895241745236;4,776747948168;2,827552288895;2,94717660636
"4";2008;183,6075425;24,5820222;11,789509;14,1911373;6,8084396;6,2925864;185,6247405;0,0006707;0,0006736;0,0006693;2,2884825;5,1357953;31,2346348;0,0006707;0,0006736;0,0006693;0,0490793;0,4752416;79,8806557;0,0880497;0,0908707;0,0876325;0,0770439;0,8291284;96,9233613;0,0876452;0,089674;0,0864473;0,1259382;1,27739;0;40,509227822;3,28258874701;9,816473208832;5,514449989618;2,843517757295;2,89177295092
"5";2009;187,8990769;24,3537465;11,8167225;15,6915453;6,6496821;6,5268298;185,4511624;0,0009193;0,0009251;0,000919;2,280913;5,1168576;31,281791;0,0009193;0,0009251;0,000919;0,0491076;0,4758523;81,0578695;0,0881027;0,0917406;0,0886395;0,077888;0,841399;98,8574368;0,088589;0,0915614;0,0883938;0,1264943;1,3027083;0;40,920931772;3,34546871748;9,725067827956;6,100783420304;2,84998169635;2,83817789626
"6";2010;191,3628262;24,127647;11,8257394;16,919123;6,5049736;6,7204365;185,284111;0,0011718;0,0011816;0,0011739;2,2726639;5,0981079;31,3327675;0,0011718;0,0011816;0,0011739;0,0491384;0,4765146;82,1025305;0,0862194;0,0925098;0,0894084;0,0786318;0,8540045;100,3006836;0,0882084;0,0928511;0,0897262;0,1272285;1,3194489;0;41,236216938;3,39571800703;9,635312135544;6,58054078573;2,85204864216;2,78890122742
"7";2011;194,2334823;23,9156524;11,8255993;17,9478692;6,3752999;6,8835632;185,1251898;0,0014267;0,0014412;0,0014319;2,2642049;5,0795641;31,3874273;0,0014267;0,0014412;0,0014319;0,0491716;0,4772261;83,0807624;0,0861236;0,0932027;0,0897701;0,0792997;0,8674754;101,6954784;0,0877209;0,0939153;0,0906279;0,1279555;1,3343233;0;41,478907358;3,43632339343;9,55049372618;6,98271943038;2,85190927729;2,74440175506
"8";2012;196,5535556;23,7117439;11,8154106;18,8053947;6,2575982;7,0189404;184,9730912;0,0016842;0,001704;0,0016928;2,2552921;5,0612441;31,445791;0,0016842;0,001704;0,0016928;0,0492074;0,4779874;83,897401;0,08694;0,0938268;0,089682;0,079899;0,8792443;102,918046;0,0881351;0,0948682;0,0910974;0,1286322;1,3478551;0;41,668094412;3,46893117994;9,468551370956;7,31813120239;2,84934509979;2,70361701078
"9";2013;198,349191;23,509704;11,7938451;19,4814768;6,1489912;7,1285185;184,8252911;0,0019439;0,0019695;0,0019563;2,2462711;5,0431612;31,5078683;0,0019439;0,0019695;0,0019563;0,049246;0,4787987;84,9568258;0,0874981;0,0943849;0,0897566;0,0804327;0,8911526;104,1071697;0,0888826;0,095743;0,0914194;0,1292488;1,3608838;0;41,750471882;3,49357924287;9,387462273848;7,58253963797;2,844032488585;2,66573436976
"10";2014;199,6320098;23,3031136;11,7591788;19,9701782;6,0467506;7,2135601;184,6836754;0,0022059;0,0022372;0,0022213;2,2376792;5,0252904;31,5736381;0,0022059;0,0022372;0,0022213;0,0492866;0,4796591;85,7710921;0,0879935;0,0948806;0,0862978;0,0823532;0,9001386;105,4633547;0,0896516;0,0965524;0,0901663;0,1304837;1,37217;0;41,796243034;3,51159907543;9,30457556776;7,775068042666;2,83555142897;2,62958575796
