"";"YEAR";"N_UP";"Ca_UP";"Mg_UP";"K_UP";"S_UP";"P_UP";"N_LF";"Ca_LF";"Mg_LF";"K_LF";"S_LF";"P_LF";"N_Minz";"Ca_Minz";"Mg_Minz";"K_Minz";"S_Minz";"P_Minz";"N_SOMZ";"Ca_SOMZ";"Mg_SOMZ";"K_SOMZ";"S_SOMZ";"P_SOMZ";"N_MinSUM";"P_MinSUM";"S_MinSUM"
"1";2005;38,8129425;17,3405151;3,5372026;17,8173981;2,0289729;3,4280326;26,8229275;7,060205;2,0077941;7,71315;1,2274824;2,0844312;43,9577637;14,9912148;4,1192508;3,7901108;3,5216396;2,3633375;-804,7589722;-0,032987;-0,0200047;-0,0321806;-46,1806946;-78,8231049;-760,8012085;-76,4597674;-42,659055
"2";2006;38,9480896;19,1348667;3,9119358;20,010128;2,2382946;3,7689762;27,4480991;7,2247601;2,0545902;7,892921;1,2560916;2,1330132;36,0923309;10,092371;2,7849314;3,5809255;2,2959869;1,7597154;-206,3145599;-0,0596201;-0,0361561;-0,0581627;-11,8621664;-19,2563057;-170,222229;-17,4965903;-9,5661795
"3";2007;38,8800049;19,2195683;3,9282985;20,4465313;2,2369077;3,7557235;27,5701637;7,2568865;2,0637271;7,928021;1,2616774;2,142499;38,5193253;9,8956079;2,7396412;4,2983756;2,1939795;1,8544103;-37,5736771;-0,0678925;-0,0411729;-0,0662329;-2,172956;-2,4900353;0,945648200000001;-0,635625;0,0210235000000001
"4";2008;38,9499817;19,4294167;3,9636998;21,0046158;2,2486782;3,766058;26,7376671;7,273622;2,0684869;7,934741;1,2645874;2,1474402;40,5776138;9,731142;2,70192;4,9095888;2,1078579;1,9354949;10,0087843;-0,0706556;-0,0428485;-0,0689284;0,5606989;2,2486291;50,5863981;4,184124;2,6685568
"5";2009;38,8796806;19,4769096;3,9748921;21,3171959;2,2465777;3,7540708;25,8382568;7,19486;2,046088;7,7680039;1,250894;2,1241868;42,1655312;9,5733147;2,66486;5,4148779;2,0306811;2,0009835;25,4085369;-0,0717272;-0,0434984;-0,0699739;1,3299733;3,5703278;67,5740681;5,5713113;3,3606544
"6";2010;38,737812;19,4657516;3,9780929;21,4939442;2,2383392;3,730566;25,4337807;7,2014813;2,0479705;7,5737891;1,2518986;2,1255469;43,3641052;9,4161816;2,6269503;5,8077369;1,9602859;2,0516553;27,1805916;-0,0718135;-0,0438176;-0,0704874;1,5444982;3,9226708;70,5446968;5,9743261;3,5047841
"7";2011;38,5633888;19,3783054;3,9746511;21,683712;2,224282;3,7030048;25,3382072;7,2277079;2,0554287;7,4598866;1,2511594;2,1183817;44,3415337;9,2716465;2,5917261;6,1136422;1,8974459;2,0921097;26,9556427;-0,0702413;-0,0440216;-0,0708155;1,6025487;4,0001001;71,2971764;6,0922098;3,4999946
"8";2012;38,4051247;16,0602608;3,9725919;21,912941;2,2136409;3,6788588;25,2835579;7,2482967;2,0612833;7,3848991;1,2339169;2,0893564;45,1776733;9,1392231;2,5591745;6,3546257;1,8396673;2,121454;26,9328022;-0,0672218;-0,0441787;-0,0710681;1,6163558;4,0037551;72,1104755;6,1252091;3,4560231
"9";2013;38,316452;15,1068316;3,9802229;22,179285;2,2074101;3,6647215;25,3173351;7,2716188;2,0679157;7,3398609;1,2229184;2,070683;45,9079514;9,0182962;2,5292325;6,5467854;1,7856666;2,1407657;26,6576309;-0,0653064;-0,044311;-0,0712811;1,6175467;3,9943767;72,5655823;6,1351424;3,4032133
"10";2014;38,2277985;14,9678564;3,9820182;22,3793449;2,2011793;3,6505854;24,7943459;7,0941453;2,0331242;7,1951356;1,1925808;2,0193303;46,5254707;8,8995514;2,4999459;6,6959052;1,7348071;2,1512632;26,1798172;-0,064268;-0,0444264;-0,0714666;1,615514;3,9788322;72,7052879;6,1300954;3,3503211
