"";"Year";"NG_PP";"CaG_PP";"MgG_PP";"KG_PP";"SG_PP";"PG_PP";"NG_PU";"CaG_PU";"MgG_PU";"KG_PU";"SG_PU";"PG_PU";"NG_AU";"CaG_AU";"MgG_AU";"KG_AU";"SG_AU";"PG_AU";"NG_Diff";"CaG_Diff";"MgG_Diff";"KG_Diff";"SG_Diff";"PG_Diff"
"1";2005;3335715,859375;548107,5859374;165693,6298829;460559,9453123;221139,7421874;138784,5678711;332593,7832031;48572,0241089;17902,4084855;47968,2889555;19001,6853638;15309,8005368;332593,7460937;51437,1202848;20170,6665954;61385,913086;19001,6854821;15309,7991948;0,0371093999710865;-2865,0961759;-2268,2581099;-13417,6241305;-0,0001183000022138;0,00134199999774864
"2";2006;3308890,8125;523133,4335938;159931,9194336;457249,3164063;215105,4560547;137484,8842776;332829,6301271;54755,0156859;18403,434845;47632,7245483;20175,1120988;16493,6528316;332829,6379396;57827,3389131;20835,750763;62020,8243407;20175,1126633;16493,6513676;-0,0078125;-3072,3232272;-2432,315918;-14388,0997924;-0,000564499998290557;0,00146400000085123
"3";2007;2978407,453125;497619,1914062;146578,4780274;417765,1845704;207010,4648439;119950,2348631;332936,316162;54296,4285582;18360,3552247;47566,5407714;20482,8904724;16448,5400388;332936,3090819;57452,0755464;20858,6406859;62344,8787844;20482,8903504;16448,541504;0,0070801000110805;-3155,6469882;-2498,2854612;-14778,338013;0,000122000001283595;-0,00146519999907468
"4";2008;2558939,3515625;465148,4570314;129638,4443359;367677,2265625;196868,8564454;97670,1157227;333735,9375;53616,9396666;18353,4820557;47630,4871827;20932,9686889;16431,291504;333735,9333497;56882,5875548;20938,8513184;62923,9492188;20932,9709475;16431,291504;0,00415029999567196;-3265,6478882;-2585,3692627;-15293,4620361;-0,00225859999773093;0
"5";2009;2202120;437382,0566405;115215,8486326;325033,5932617;188209,3935547;78748,5810545;333210,098877;52875,9325257;18279,6972046;47488,0189208;21140,3767394;16365,3105468;333210,1259766;56234,6464844;20938,7501069;63217,3583985;21140,378723;16365,3105468;-0,0270996000035666;-3358,7139587;-2659,0529023;-15729,3394777;-0,00198360000285902;0
"6";2010;1880710,5117187;412148,8984372;102215,3013915;286598,1110839;180401,7958983;71937,6650391;332022,9106447;51958,7653809;18163,2889099;47231,1276855;21286,7495115;16265,9208984;332022,9284668;55402,0951233;20889,3302917;63356,713501;21286,7507322;16265,9194332;-0,0178221000242047;-3443,3297424;-2726,0413818;-16125,5858155;-0,0012206999999762;0,00146519999907468
"7";2011;1808449,375;391652,3027342;91632,84375;255308,216919;174007,3818361;71790,0086669;330184,536621;51248,5276794;18037,7163698;46912,5430907;21176,2438662;16166,5327152;330184,5231936;54759,5529785;20817,3462524;63355,1367188;21176,2453615;16166,5327152;0,0134273999719881;-3511,0252991;-2779,6298826;-16442,5936281;-0,00149529999907827;0
"8";2012;1848797,0878906;381360,8085937;85092,5352782;240366,4959719;173541,2207032;73667,8873289;328105,2575684;50015,3685912;17879,5975037;46545,6978758;21177,1597595;16039,0327152;328105,2875978;53594,0795898;20707,318161;63224,0488281;21177,1605223;16039,0327152;-0,0300294000189751;-3578,7109986;-2827,7206573;-16678,3509523;-0,000762799998483388;0
"9";2013;1845792,8808594;374729,9003903;85039,2868653;239980,2001647;174318,0488282;73623,5490724;327187,5698244;49514,8480376;17807,6463318;46375,1870729;21182,204773;15980,29248;327187,5493163;53152,7835694;20656,0381011;63168,8469239;21182,2056275;15980,29248;0,0205080999876373;-3637,9355318;-2848,3917693;-16793,659851;-0,000854499998240499;0
"10";2014;1848696,7792969;368274,5585937;85206,0260621;240297,5687257;175206,3535155;73887,5892334;326269,722412;49014,3147429;17735,6933594;46204,671814;21187,2480163;15921,552246;326269,7045898;52711,4829407;20608,5641938;63135,2679443;21187,2492677;15921,552246;0,0178222000249662;-3697,1681978;-2872,8708344;-16930,5961303;-0,00125140000091051;0
"11";2015;1848385,5878906;366300,8203126;85181,2757722;240195,0835572;177649,3964844;73929,171631;326259,7163085;48631,2286529;17702,2382507;46151,9531249;21383,0916443;15888,1391604;326259,7409668;52370,7077638;20601,8867494;63230,442383;21383,0926513;15888,1391604;-0,0246583000407554;-3739,47911090001;-2899,6484987;-17078,4892581;-0,00100700000257348;0
"12";2016;1850070,390625;364055,21875;85213,6094363;240272,9098204;180009,3085939;74159,4191894;324563,8464355;48030,0383759;17597,2887268;45880,4719849;21224,5913085;15807,6855468;324563,8293457;51811,8170472;20525,7569735;63119,7318116;21224,5917665;15807,6855468;0,0170898000360467;-3781,7786713;-2928,4682467;-17239,2598267;-0,000458000002254266;0
"13";2017;1850562,9765624;364473,1796874;85202,4085695;240260,6331483;183156,7958986;74216,9439697;324550,9428709;47937,7608185;17582,1638487;45850,1870729;21299,8396911;15792,3662112;324550,9289551;51753,3844911;20538,955948;63248,352417;21299,8406981;15792,364746;0,0139157999656163;-3815,6236726;-2956,7920993;-17398,1653441;-0,0010069999989355;0,00146519999907468
"14";2018;1849197,1269531;363312,9882813;85038,9544678;239846,2878418;186019,8144532;74417,7020264;320899,8757323;46701,8190308;17361,263794;45273,5772704;20928,3300168;15624,2226564;320899,8972171;50551,293945;20346,3642883;62832,362793;20928,3312987;15624,2226564;-0,02148480003234;-3849,4749142;-2985,1004943;-17558,7855226;-0,00128190000032191;0
"15";2019;1850417,0839844;362102,0332029;84994,949646;239759,0625002;188650,428711;74741,050293;317116,1901854;45739,9092558;17153,1932677;44702,5726931;20408,9683536;15470,5488276;317116,1765136;49623,2259215;20165,6628724;62418,2478028;20408,9681094;15470,5488276;0,0136718000285327;-3883,3166657;-3012,4696047;-17715,6751097;0,000244200000452111;0
"16";2020;1851636,8984374;364349,3183592;85017,7098388;239864,7332763;192143,6464843;74779,3524169;317748,8408202;46022,3311311;17183,9019776;44778,8626708;20499,906067;15491,4199224;317748,8217773;49931,0285646;20221,8955537;62641,7661133;20499,9074401;15491,4199224;0,0190429000067525;-3908,6974335;-3037,9935761;-17862,9034425;-0,00137309999990975;0
"17";2021;1854586,3378906;365631,3769532;85068,0165405;240094,4803466;195674,4843751;75038,1759033;316717,2248533;45306,4947509;17103,2437135;44599,3864136;20523,0390318;15426,2871096;316717,2368163;49240,5762939;20166,0676574;62606,9207765;20523,0397642;15426,2871096;-0,0119629999971949;-3934,081543;-3062,8239439;-18007,5343629;-0,000732399999833433;0
"18";2022;1852415,8710938;369062,2753907;84886,7710113;239660,2481079;199734,9443359;75044,4279785;315135,123535;44920,6054686;17006,9936217;44336,8704836;20346,4508055;15352,2216792;315135,1679687;48871,6053162;20092,4163056;62477,2696531;20346,4506224;15352,2202152;-0,0444336999789812;-3950,9998476;-3085,4226839;-18140,3991695;0,000183100000867853;0,00146400000085123
