;Min Manual;Uptake;Leach;Diff_Manual;Minz;Somz;Diff_Minz;Diff_SOMZ;MB_Minz
1;-685.839042;46.220768;5.1181996;726.9416104;43.9577637;-808.3475342;7.3812039;859.6865018;
2;-169.113728;46.2501183;2.7980555;212.5657908;36.0923309;-204.2868347;12.9558429;253.3350085;
3;-23.507624;46.2650566;3.1102022;66.6624784;38.5193253;-33.8727493;10.8559335;83.2480081;57.574678
4;19.533444;44.6240997;3.3602197;21.730436;40.673317;13.2107983;7.3110024;34.7735211;13.969102
5;31.927028;39.452858;3.3202975;4.2055325;42.5239754;23.4513397;0.2491801;19.3218158;1.503138
6;32.879924;39.5100784;3.5154548;3.1146996;43.9123688;24.687212;-0.8868356;18.3383212;0.063532
7;32.470956;39.6859131;3.7326197;3.4823374;44.8185425;24.8758221;-1.4000097;18.5427107;-0.302484
8;32.330354;39.363369;3.66827;3.364745;45.3934174;24.7952766;-2.3617784;18.2363624;-0.332626
9;31.98629;39.3941841;3.798925;3.6089691;45.7588844;24.6424618;-2.5657753;18.5506473;-0.360696
10;31.4349;39.5277824;3.9517302;4.1411522;45.974823;24.4780273;-2.4953104;19.0014853;-0.392154
11;31.467604;39.2399673;3.8116546;3.9607087;46.0991058;24.3174648;-3.0474839;18.7341571;-0.315784
12;31.080028;39.2074471;3.9349382;4.1924809;46.3278389;24.1631813;-3.1854536;18.979204;-0.363118
13;30.60925;39.3930817;4.0826676;4.7011641;46.6383972;24.0159779;-3.1626479;19.4597714;-0.379288
14;30.331952;38.971138;3.9998865;4.6392995;47.0497437;23.869442;-4.0787192;19.1015825;-0.371476
15;29.727656;38.8934975;4.1879854;4.9778561;47.5364723;23.7261105;-4.4549894;19.3553724;-0.417606
16;29.307208;39.1385078;4.3354969;5.4958029;48.0731506;23.5837173;-4.5991459;19.8902874;-0.391118
17;29.298794;38.8525009;5.7199001;3.8338068;48.6286659;23.4457321;-4.0562649;21.1266689;-0.337932
18;27.444298;38.8685265;8.1192881;3.3049404;49.1865158;23.306139;-2.1987012;23.6816756;-0.729414
19;26.23775;39.1184807;9.1989756;3.6817551;49.7343254;23.1633453;-1.4168691;25.154111;-0.509628
20;25.946354;38.7447701;9.2218064;3.5766097;50.252552;23.0274963;-2.2859755;24.9390802;-0.451486
21;25.32579;29.5187244;10.8878102;-6.6948758;59.2804947;22.8181782;-18.8739601;17.5883564;-0.656054
22;15.448944;0;32.7164806;-48.1654246;80.4127121;21.7041302;-47.6962315;11.0123504;-2.04792
23;14.153062;0;37.9247742;-52.0778362;70.6199951;20.8263874;-32.6952209;17.0983868;-0.84224
24;13.870696;0.6724599;35.9180774;-49.1163135;61.8308868;20.4575768;-25.2403495;16.1329605;-0.526764
25;13.933542;0.6724599;34.6735586;-47.9346407;54.2487907;20.3225269;-18.9027722;15.0234916;-0.461608
